index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
17597,5,1,Amazon,,"['bug', 'report', 'place', 'order', 'change', 'shipping', 'free', 'bug', 'report', 'take', 'minute', 'actually', 'change', 'order', 'animation', 'loop', 'minute', 'animation', 'feel', 'application', 'hang', 'fix', 'otherwise', 'application', 'work', 'great']",2019-03-31,518256,"Bug report: when placing an order and changing shipping to free, it takes a few minutes to actually change it. The animation loops for a few minutes and it feels as if the app hanged. Please fix. Otherwise app works great.",1,bug report when placing an order and changing shipping to free bug report take a few minute to actually change an order the animation loop for a few minute and the animation feel a if the application hanged please fix otherwise application work great,C Sc,,
17602,10,1,Amazon,,"['intrusive', 'even_though', 'do', 'not', 'search', 'application', 'know', 'have', 'search', 'browser', 'text', 'message', 'communication', 'email', 'deal', 'item', 'deleting', 'application', 'do', 'not', 'trust', 'application']",2019-03-30,518299,"very intrusive... even though I dont search for it in the app, it knows what I have searched for in my browser and text message communications and will email me ""deals"" on items like such. deleting app cuz I dont trust it",1,very intrusive even though i do not search for it in the application it know what i have searched for in my browser and text message communication and will email me deal on item like such deleting application because i do not trust application,Yuro S,,
17603,11,1,Amazon,,"['doe', 'not', 'work', 'month', 'get', 'weird', 'dog', 'photo', 'sorry', 'message', 'everytime', 'click', 'anything', 'have', 'uninstale', 'instal', 'application', 'improvement']",2019-03-26,518300,"Does not work, for over a month I get the weird dog photo with a sorry message everytime I click on anything. and Yes I have uninstalled and reinstalled the app, with no improvement.",1,doe not work for over a month i get the weird dog photo with a sorry message everytime i click on anything and yes i have uninstaled and installed the application with no improvement,Jenna Galvez,,
17608,16,1,Amazon,,"['application', 'keep', 'tell', 'something_went', 'wrong', 'minute', 'use', 'application', 'have', 'try', 'instal', 'install', 'application', 'still', 'have', 'issue', 'help', 'thank']",2019-03-26,518306,"why this app keeps telling me ""something went wrong"" within 1 minute of using the app. I have tried uninstall and install it again and still have issues. please help. thanks.",1,why this application keep telling me something went wrong within minute of using the application i have tried instal and install the application again and still have issue please help thanks,Shirlie,,
17609,17,1,Amazon,,"['love', 'shopping', 'amazon', 'application', 'have', 'connection', 'issue', 'even', 'ph', 'have', 'grin', 'never', 'have', 'problem', 'shop', 'aps', 'amazon', 'application', 'amazon', 'fix', 'issue', 'thank']",2019-03-28,518308,love shopping on amazon but this application have connection issues even when my ph have 4g i never have this problem with other shopping apps only this amazon app amazon please fix this issue thank you,2,love shopping on amazon but this application have connection issue even when my ph have grin i never have this problem with other shopping aps only this amazon application amazon please fix this issue thank you,chrismercedcm,,
17615,23,1,Amazon,,"['amazon', 'webster', 'want', 'application', 'phone', 'application', 'phone', 'crashing', 'want', 'keep', 'use', 'webster', 'not', 'application', 'phone', 'someone', 'help', 'thank']",2019-03-27,518314,i like Amazon. i like the website but i want to get rid of the app on my phone. The app crashing so i just want to keep using the website. I can not get rid of the app. can someone please help me. Thanks,3,i like amazon i like the webster but i want to get rid of the application on my phone the application on my phone crashing so i just want to keep using the webster i can not get rid of the application on my phone can someone please help me thanks,Julie Keller,,
17622,30,1,Amazon,,"['good', 'application', 'problem', 'time', 'come', 'open', 'basket', 'give', 'error', 'message']",2019-03-24,518321,Very good app. But the problem some times comes when you open the basket.. It gives you error msg.,4,very good application but the problem some time come when you open the basket it give you error message,Hashem Al-Haddad,,
17627,35,1,Amazon,,"['recent', 'update', 'have', 'not', 'be', 'able', 'use', 'application', 'be', 'frustrating', 'do', 'load', 'shopping', 'amazon', 'fix']",2019-03-27,518328,"since the most recent update I have not been able to use the app, which is very frustrating since I do loads of shopping on Amazon. please fix this.",3,since the most recent update i have not been able to use the application which is very frustrating since i do load of shopping on amazon please fix this,Kenny Thomas,,
17691,99,1,Amazon,,"['uh_oh', 'something_went', 'wrong', 'end']",2019-03-30,518492,Uh-oh Something went wrong on our end.,1,uh-oh something went wrong on our end,TexasBlazed,,
17694,102,1,Amazon,,"['application', 'not', 'open', 'not', 'sure', 'working', 'yesterday']",2019-03-24,518496,app will not open. not sure why as it was working yesterday.,1,application will not open not sure why a it was working yesterday,Joanne Banks,,
