index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
139542,121950,1,Messenger,,"['not', 'send', 'message', 'connect', 'internet']",2019-04-14,252441,It won't send my messages or connect to my internet.,1,it will not send my message or connect to my internet,Sara Watkins,,
139546,121954,1,Messenger,,"['bad', 'application', 'ever', 'make', 'complete', 'waste', 'time', 'bad', 'credit']",2019-04-14,252453,worst app ever made complete waste off time worse then brexit,1,worst application ever made complete waste off time worse then credit,robert thomas,,
139548,121956,1,Messenger,,"['happen', 'messenger', 'not', 'even', 'log', 'messenger', 'say', 'network', 'error', 'even', 'have', 'datum']",2019-04-14,252454,what happen to my messenger i can't even log in it says network error even if i have a data,1,what happen to my messenger i can not even log in my messenger say network error even if i have a data,Haru Takeshi,,
139550,121958,1,Messenger,,"['not', 'see', 'message', 'friend', 'be', 'bad']",2019-04-14,252460,I can't see the messages from my friends why this is very bad 😡😡😡😡😡,1,i can not see the message from my friend why this is very bad,Jaysea Ampatua,,
139554,121962,1,Messenger,,"['get', 'kick', 'session', 'expiry', 'try', 'religion', 'link', 'official', 'face', 'account', 'have', 'problem', 'login', 'intermittent', 'connection', 'even_though', 'connection', 'be', 'run', 'well', 'test', 'ap', 'do', 'possible', 'troubleshoot', 'none', 'work']",2019-04-14,252470,I got kicked because of session expiry. Trying to relogin my linked official own FB account but having problem login due to my intermittent connection even though my connection is running well by tested other apps. Done all the possible troubleshooting but none work.,1,i got kicked because of session expiry trying to religion my linked official own face-on account but having problem login due to my intermittent connection even though my connection is running well by tested other aps done all the possible troubleshooting but none work,Chew Jian Xiong,,
139558,121966,1,Messenger,,"['not', 'let', 'send', 'call']",2019-04-14,252485,not letting me send or call,1,not letting me send or call,Uptightbest14,,
139562,121970,1,Messenger,,"['sometimes', 'doe', 'not', 'work', 'well', 'connection', 'go']",2019-04-14,252498,sometimes doesn't work as well my connection be gone,2,sometimes doe not work a well my connection be gone,PariX Beauty,,
139563,121971,1,Messenger,,"['problem', 'internet_connection', 'not']",2019-04-14,252501,there were problems about my internet connection but it wasn't,1,there were problem about my internet connection but it was not,SIN OFGREED,,
139564,121972,1,Messenger,,"['bug', 'present', 'time']",2019-04-14,252502,bugs are present all the time.,2,bug are present all the time,Ibrahim Basit,,
139569,121977,1,Messenger,,"['keep', 'try', 'log', 'in', 'say', 'have', 'wife', 'clearly', 'do', 'restart', 'phone', 'still', 'not', 'work', 'know', 'enter', 'correct', 'phone', 'number', 'password', 'be', 'not', 'someone', 'tell', 'fix']",2019-04-14,252514,"I keep trying to log in, but it says that I have no wifi. I clearly do. I restarted my phone but it still won't work. I know I'm entering the correct phone number and password, so it's not that. Can someone please tell me how to fix this?",4,i keep trying to log in but it say that i have no wife i clearly do i restarted my phone but it still will not work i know i am entering the correct phone number and password so it is not that can someone please tell me how to fix this,{{EchØ StØne}},,
139570,121978,1,Messenger,,"['ever', 'have', 'update', 'not', 'send', 'message', 'even_though', 'receive', 'message']",2019-04-14,252516,"ever since I've updated it, I can't send messages at all, even though I receive messages",1,ever since i have updated it i can not send message at all even though i receive message,Zmaj Šćekić,,
139571,121979,1,Messenger,,"['happen', 'messenger', 'update', 'have', 'issue', 'opening', 'application']",2019-04-14,252519,What happened to messenger after the update? We are having issue while opening the app?,2,what happened to messenger after the update we are having issue while opening the application,Cherrie Mijares,,
139572,121980,1,Messenger,,"['not', 'login', 'even_though', 'mobile', 'datum', 'be', 'fast', 'reply', 'quick']",2019-04-14,252521,Can't Login Even Though My Mobile Data Is Fast Please Reply Quick,3,can not login even though my mobile data is fast please reply quick,Koruzu,,
139577,121985,1,Messenger,,"['sudden', 'not', 'log', 'in', 'messenger', 'account', 'whenever', 'try', 'log', 'messenger', 'account', 'say', 'internet_connection', 'be', 'not', 'stable', 'record', 'be', 'nothing', 'wrong', 'internet_connection', 'fix', 'soon_possible']",2019-04-14,252529,"All of a sudden, I can't log in to my messenger account. Whenever I try to log in, it just says that my internet connection is not stable. For the record, there is nothing wrong with my internet connection. Please fix this ASAP.",1,all of a sudden i can not log in to my messenger account whenever i try to log in my messenger account just say that my internet connection is not stable for the record there is nothing wrong with my internet connection please fix this a soon a possible,Daniel Del Rosario,,
139578,121986,1,Messenger,,"['try', 'open', 'application', 'morning', 'application', 'not', 'load', 'tried_uninstaling', 'instal', 'still', 'nothing', 'go', 'ahead', 'download', 'lite', 'version', 'problem', 's', 'go']",2019-04-14,252530,I tried to open the app this morning and it wont load .. I tried uninstalling and reinstalling .. still nothing .. I then went ahead and downloaded the Lite version .. same problem ... Whats going on ??,1,i tried to open the application this morning and the application will not load i tried uninstaling and installing still nothing i then went ahead and downloaded the lite version same problem whats going on,Meaghan Franchi,,
139580,121988,1,Messenger,,"['be', 'messenger', 'int', 'work', 'hast', 'hour', 'fix', 'messenger']",2019-04-14,252541,this is bs my messenger isnt working hasmt for 6 hours fix it now,1,this is b my messenger int working hast for hour fix b my messenger now,bibby enterprise,,
