id,appTitle,userName,date,score,text,Bug_report,
29113,WhatsApp Messenger,Shah Elly,"April 14, 2019",1,dear whatsapp . pada hari ini 14/04/2019 . saya tidak dapat mengekses akaun saya meski pun saya sudah padam dan instal semula . saya jugak tidak dapat backup semula semua chat saya . saya juga telah menggunakan rangkaian wifi/unifi . tetap dinyatakan saya tidak dapat memuat semula kerana tiada rangkaian data . mohon pihak anda memberi maklum.balas dengan kadar segera . kerana banyak urusan saya diuruskan melalui aplikasi whatsapp ini . tq,e,
529827,Messenger – Text and Video Chat for Free,Margaret Barrett,"February 19, 2019",5,never gives me trouble,0,
256046,Messenger – Text and Video Chat for Free,Shane Annala,"April 14, 2019",5,I like the convenience of being able to call any one of my friends even if I don't have their number.,0,
201052,Snapchat,Kishore Kiss,"May 25, 2019",1,It's very poor app! Don't Download nd waste Your data!,1,
558946,Google,Abhishek Mishra AB,"May 7, 2019",1,not getting 140 reward yer...😡😡😡,1,
388557,Microsoft Outlook,A Google User,"May 18, 2019",1,I need this app to support signing into my Microsoft Exchange email accounts. Please make it so and I'll come back.,0,
431581,Messenger – Text and Video Chat for Free,Sharon Wymbs,"March 14, 2019",5,I think you are so awesome Facebook,0,
510409,Snapchat,,"February 17, 2019",4,it need games like iphone messenging,0,
226300,Facebook,Nazeer Shaik,"May 14, 2019",4,Why the hell it keep on update everyday 😡,1,
82195,Snapchat,ayunda nur,"April 29, 2019",5,"love it so much hope get more filters on it and than good resolution for video call or calling , as far its so good love it",0,
23219,WhatsApp Messenger,rakesh ponkiya,"April 28, 2019",5,this application is very helpful to communicate with each other. THANK YOU WhatsApp,0,
409885,Microsoft Outlook,Sheila Evans,"April 8, 2019",4,Things have changed somewhat.,0,
411886,Microsoft Outlook,Raja Raju,"April 6, 2019",1,not opening closing often,1,
136882,Snapchat,Dhruvin Prajapati,"March 22, 2019",1,don't download this cheapest application,1,
