index,Unnamed: 0,id,appTitle,userName,date,score,text,original_text,Bug_report,comment,margins
74332,76922,135046,Snapchat,A Google User,"March 21, 2019",2,i do not know from where to backup the memoriesits so confusing,i dont know from where to backup the memories...its so confusing,0,"['do', 'not', 'know', 'backup', 'memoriesit', 'confusing']",1.89181427874274E-05
64896,67140,139801,Snapchat,,"March 21, 2019",2,i do not know from where to backup the memoriesits so confusing,i dont know from where to backup the memories...its so confusing,0,"['do', 'not', 'know', 'backup', 'memoriesit', 'confusing']",1.89181427874274E-05
5325,5627,323347,Facebook,Pablo Santos,"March 7, 2019",1,since they began using political demographic my post in all aspect of face-on are virtually invisible to everyone else that post the only exception is if i comment directly to someone else and only if i post someone else name a a tag to that comment face-on censoring face-on sum for the social conservative a the social conservative have labeled me even this comment will not be seen thanks to the social conservative friend at goole,"Since they began using political demographics, my posts in all aspects of fb are virtually invisible to everyone else that posts. the only exception is if I comment directly to someone else and only if I post their name as a tag to that comment. Fb censoring. Fb suxs for the social conservative as they've labeled me. Even this comment won't be seen thanks to their friends at Google.",0,"['begin', 'use', 'political', 'demographic', 'post', 'aspect', 'face', 'virtually', 'invisible', 'everyone_else', 'post', 'exception', 'be', 'comment', 'directly', 'someone', 'else', 'post', 'someone', 'else', 'name', 'tag', 'comment', 'face', 'censor', 'face', 'sum', 'social', 'conservative', 'social', 'conservative', 'have', 'label', 'even', 'comment', 'not', 'see', 'thank', 'social', 'conservative', 'friend', 'goole']",2.34273515552497E-05
158522,164306,31456,WhatsApp Messenger,ify Diana,"April 14, 2019",3,its very bad telling me to update every month,its very bad telling me to update every month,0,"['bad', 'tell', 'update', 'month']",2.4371558524694E-05
44332,45900,428239,Messenger – Text and Video Chat for Free,cO Ve Ri aN,"March 16, 2019",3,dark mood is not working,dark mood is not working,1,"['dark_mood', 'be', 'not', 'work']",3.32665884085759E-05
104760,108599,343059,Facebook,Zain Khattak,"April 14, 2019",5,good application but some time not working very well,Good app but some time not working very well,0,"['good', 'application', 'time', 'not', 'work', 'well']",4.12682194243508E-05
220794,229026,112995,WhatsApp Messenger,Medina De Wet,"May 14, 2019",4,its cool but why is the emosi so horrible the rolling the eye is emosi doe not even look like the eye rolling the eye eye also add a covering its eye emosi thanks edit why the for doe the rolling eye emosi look like that,Its cool but why is the emojis so horrible? The rolling the eye's emoji doesn't even look like its rolling its eyes. Also add a covering the eyes emoji thanks edit 02/19 WHY THE FOOK DOES THE ROLLING EYE EMOJI LOOK LIKE THAT 🙄,0,"['cool', 'be', 'emosi', 'horrible', 'rolling', 'eye', 'be', 'emosi', 'doe', 'not', 'even', 'look', 'eye', 'roll', 'eye', 'eye', 'also', 'add', 'cover', 'eye', 'emosi', 'thank', 'edit', 'doe', 'roll', 'eye', 'emosi', 'look']",8.32265684114208E-05
184301,191272,454338,Google Play Music,sivakumar aliamban,"May 16, 2019",1,some third party application doing bass function like genius it is so sad goole inhouse team failed on design,some third party app doing bass function like genius. it's so sad Google in-house team failed on design,0,"['third_party', 'application', 'do', 'bass', 'function', 'genius', 'be', 'sad', 'goole', 'inhouse', 'team', 'fail', 'design']",0.000105722091994
200875,208461,398093,Microsoft Outlook,Erica Williams,"May 1, 2019",5,need more work did to it not easy to update,need more work did to it Not easy to update,0,"['need', 'work', 'do', 'not', 'easy', 'update']",0.000115270148542
221243,229486,114487,WhatsApp Messenger,Tanvir Nadaf,"May 14, 2019",4,plc remove status system,pllzzzzzzzzz🙏🙏🙏 remove stasus system,0,"['remove', 'status', 'system']",0.000120279383436
34697,35874,156248,Maps - Navigate & Explore,Charles Owens,"March 24, 2019",1,long time user professional driver for er company extremely dissatisfied with the fact you have speed trap alert will be looking for a mapping application that doe not encourage speeding with alert of near by chp watching for dangerous driver a an emergency response service worker who work on a major highway i recommend taking this off so people are not encouraged to speed in place where your speed trap alert are not in place law are law for safety reason,"long time user, professional driver for ERS company. extremely dissatisfied with the fact you have ""speed trap"" alerts. will be looking for a mapping application that does not encourage speeding with alerts of near by CHP watching for dangerous drivers. as an Emergency Response Service worker. who works on a major highway, I reccomend taking this off so people are not encouraged to speed in places where your ""speed trap"" alerts are not in place. laws are laws. for safety reasons.",0,"['long', 'time', 'user', 'professional', 'driver', 'company', 'extremely', 'dissatisfied', 'fact', 'have', 'speed_trap', 'alert', 'look', 'mapping', 'application', 'doe', 'not', 'encourage', 'speeding', 'alert', 'chp', 'watch', 'dangerous', 'driver', 'emergency', 'response', 'service', 'worker', 'work', 'major', 'highway', 'recommend', 'take', 'people', 'not', 'encourage', 'speed', 'place', 'speed_trap', 'alert', 'not', 'place', 'law', 'law', 'safety', 'reason']",0.000128986819997
42579,44068,424839,Messenger – Text and Video Chat for Free,,"March 20, 2019",1,such a cheap emosi after updating application i do not need this type of emosi,such a cheap emojis after updating app.. I don't need this type of emojis,1,"['cheap', 'emosi', 'update', 'application', 'do', 'not', 'need', 'type', 'emosi']",0.000133070700714
41124,42547,420976,Messenger – Text and Video Chat for Free,A Google User,"March 20, 2019",1,such a cheap emosi after updating application i do not need this type of emosi,such a cheap emojis after updating app.. I don't need this type of emojis,1,"['cheap', 'emosi', 'update', 'application', 'do', 'not', 'need', 'type', 'emosi']",0.000133070700714
60056,62162,149626,Snapchat,,"March 7, 2019",3,people can randomly send nude its bad,people can randomly send nudes its bad :(,0,"['people', 'randomly', 'send', 'nude', 'bad']",0.000139337425834
239813,248703,510808,Snapchat,Kalyani Deshpande,"February 16, 2019",1,d bitmoji feature not available,3d bitmoji feature not available,0,"['bitmoji', 'feature', 'not', 'available']",0.000140279770911
116939,121188,533292,Maps - Navigate & Explore,nemichand jangir,"April 19, 2019",4,i am using goole map and i give contribution on map my local guide level going on level but now not showing my earned point was above but now showing only something please help me that is how will be solve it,I am using google maps and i give contributions on map. my local guide level going on level 8 but now not showing. my earned point was above 8000 but now showing only 3100 something. please help me that's how will be solve it.,1,"['use', 'goole', 'map', 'give', 'contribution', 'map', 'local_guide', 'level', 'go', 'level', 'not', 'show', 'earned', 'point', 'show', 'something', 'help', 'be', 'solve']",0.000153760922176
212845,220798,216277,Snapchat,Brian Rees,"May 5, 2019",1,camara take forever to open when replying to people and people with phone just get a black screen when sending video,Camara takes forever to open when replying to people and people with iPhone just get a black screen when sending videos,1,"['camara', 'take_forever', 'open', 'replying', 'people', 'people', 'phone', 'get', 'black_screen', 'send', 'video']",0.000162231027455
16655,17344,288019,Google,,"March 23, 2019",4,only you give update no new item where there,only you give update no new items where there.,0,"['give', 'update', 'new', 'item']",0.00017858963571
232837,241492,523734,Messenger – Text and Video Chat for Free,vaishak kangath,"February 11, 2019",1,d emosi has gone this update was the worst one i need the d emosi this update was more attractive,"3D emoji has gone... This update was the worst one... I need the 3D emojis, it was more attractive...",0,"['emosi', 'go', 'update', 'bad', 'need', 'emosi', 'update', 'attractive']",0.000214179883527
211943,219848,214953,Snapchat,MTG,"May 2, 2019",5,it keep crashing when i log in,It keeps crashing when i log in,1,"['keep', 'crash', 'log']",0.000214317017643
118755,123065,536881,Maps - Navigate & Explore,Nakia Warsop,"April 24, 2019",1,i love the application but i think the application could be better if you could enter in a time that you want to leave and/or the time you need to arrive and the application tell you how long it will be and the time to leave where your current location for example let say i amin portland i wanted to go to vancouver washington and i want to be there at pm so i enter in the destination and the time and it tell me to leave at pm,I love the app but i think it could be better if you could enter in a time that you want to leave and/or the time you need to arrive and it tells u how long it will be and the time to leave where your current location for example. lets say im in portland i wanted to go to Vancouver Washington and i wanna be there at 2pm so i enter in the destination and the time and it tells me to leave at 1:00pm,0,"['love', 'application', 'think', 'application', 'could', 'better', 'could', 'enter', 'time', 'want', 'leave', 'time', 'need', 'arrive', 'application', 'tell', 'long', 'time', 'leave', 'current_location', 'example', 'let', 'say', 'amin', 'portland', 'want', 'go', 'vancouver', 'washington', 'want', 'enter', 'destination', 'time', 'tell', 'leave', 'pm']",0.000257113979931
