Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['issue', 'resolve', 'soon_possible', 'work', 'relate', 'confirm', 'event', 'focus', 'properly', 'guess']","[0.388, 0.131, 0.096, 0.092, 0.02, 0.012, 0.012, 0.01, 0.009, 0.008]","['faceon', 'problem', 'messenger', 'error', 'today', 'report', 'yesterday', 'instagram', 'message', 'act']","[0.237, 0.22, 0.071, 0.058, 0.052, 0.034, 0.033, 0.023, 0.02, 0.018]"
"['fix', 'shit', 'yal', 'game', 'yo', 'man', 'gon_na', 'kid', 'whats_goe', 'cost']","[0.472, 0.112, 0.073, 0.021, 0.012, 0.009, 0.008, 0.008, 0.007, 0.007]","['issue', 'fix', 'application', 'pic', 'user', 'soon_possible', 'browser', 'big', 'happen', 'frustrating']","[0.153, 0.136, 0.136, 0.051, 0.038, 0.032, 0.026, 0.026, 0.022, 0.02]"
"['error', 'application', 'message', 'log', 'keep_getting', 'load', 'network', 'iphone', 'click', 'keep_saying']","[0.207, 0.145, 0.129, 0.056, 0.027, 0.023, 0.019, 0.018, 0.016, 0.015]","['marketplace', 'freeze', 'turn', 'market_place', 'stupid', 'find', 'screen', 'mess', 'location', 'force']","[0.115, 0.053, 0.049, 0.047, 0.046, 0.045, 0.036, 0.033, 0.033, 0.029]"
"['page', 'business', 'today', 'platform', 'run', 'respond', 'week', 'link', 'social_medium', 'live']","[0.144, 0.067, 0.06, 0.046, 0.038, 0.03, 0.029, 0.029, 0.024, 0.021]","['fix', 'give', 'suck', 'bug', 'star', 'lot', 'guy', 'hope', 'recently', 'mark']","[0.243, 0.083, 0.08, 0.078, 0.046, 0.034, 0.03, 0.015, 0.015, 0.014]"
"['fix', 'make', 'doe', 'wrong', 'video', 'time', 'issue', 'feel', 'hard', 'end']","[0.231, 0.106, 0.047, 0.038, 0.037, 0.032, 0.031, 0.02, 0.018, 0.018]","['faceon', 'download', 'reason', 'aps', 'block', 'ap', 'link', 'contact', 'lose', 'business']","[0.578, 0.053, 0.03, 0.025, 0.022, 0.02, 0.02, 0.018, 0.018, 0.016]"
"['fix', 'break', 'guy', 'fuck', 'hurry', 'twitter', 'whyal', 'stupid', 'bullshit', 'annoying']","[0.246, 0.141, 0.083, 0.071, 0.061, 0.034, 0.023, 0.012, 0.012, 0.011]","['post', 'comment', 'share', 'reply', 'fail', 'status', 'react', 'memory', 'section', 'jail']","[0.402, 0.275, 0.07, 0.043, 0.032, 0.025, 0.025, 0.023, 0.016, 0.004]"
"['post', 'comment', 'share', 'block', 'frustrating', 'status', 'server', 'internet', 'computer', 'react']","[0.358, 0.12, 0.049, 0.044, 0.038, 0.027, 0.017, 0.017, 0.01, 0.009]","['phone', 'happen', 'android', 'mobile', 'device', 'recent', 'connect', 'restart', 'wife', 'connection']","[0.216, 0.058, 0.038, 0.036, 0.029, 0.027, 0.027, 0.024, 0.023, 0.022]"
"['facebok', 'bug', 'having_trouble', 'good', 'sign', 'twitt', 'horrible', 'ridiculous', 'free', 'word']","[0.382, 0.068, 0.059, 0.042, 0.023, 0.015, 0.012, 0.011, 0.011, 0.01]","['bad', 'make', 'thing', 'people', 'version', 'long', 'review', 'previous', 'continue', 'awful']","[0.163, 0.122, 0.092, 0.079, 0.069, 0.039, 0.031, 0.014, 0.014, 0.013]"
"['log', 'login', 'code', 'phone', 'password', 'email', 'change', 'error_code', 'send', 'receive']","[0.113, 0.087, 0.072, 0.06, 0.058, 0.049, 0.042, 0.037, 0.036, 0.028]","['load', 'picture', 'change', 'slow', 'profile', 'set', 'datum', 'cover_photo', 'save', 'loading']","[0.132, 0.122, 0.105, 0.067, 0.059, 0.036, 0.036, 0.023, 0.018, 0.017]"
"['site', 'unable', 'bad', 'show', 'find', 'support', 'real', 'reply', 'call', 'team']","[0.052, 0.047, 0.046, 0.039, 0.038, 0.033, 0.032, 0.03, 0.027, 0.024]","['crash', 'update', 'stop', 'delete', 'wrong', 'constantly', 'hate', 'useless', 'break', 'completely']","[0.099, 0.094, 0.081, 0.056, 0.056, 0.051, 0.043, 0.037, 0.028, 0.027]"
"['account', 'access', 'hack', 'delete', 'contact', 'laugh', 'open', 'loud', 'year', 'disabled']","[0.35, 0.074, 0.039, 0.039, 0.033, 0.028, 0.028, 0.025, 0.023, 0.018]","['work', 'doe', 'application', 'fine', 'properly', 'run', 'sort', 'samsung', 'anymore', 'trash']","[0.283, 0.201, 0.077, 0.042, 0.033, 0.024, 0.023, 0.023, 0.022, 0.021]"
"['problem', 'back', 'happen', 'report', 'glitch', 'month', 'ago', 'notification', 'start', 'recent']","[0.168, 0.091, 0.073, 0.063, 0.032, 0.031, 0.03, 0.03, 0.029, 0.012]","['video', 'play', 'good', 'start', 'watch', 'scroll', 'glitch', 'annoy', 'automatically', 'experience']","[0.235, 0.07, 0.06, 0.046, 0.045, 0.039, 0.029, 0.025, 0.023, 0.02]"
"['hour', 'update', 'give', 'big', 'facebok', 'service', 'company', 'day', 'maintenance', 'minute']","[0.19, 0.102, 0.053, 0.043, 0.038, 0.034, 0.032, 0.029, 0.025, 0.02]","['photo', 'page', 'unload', 'group', 'add', 'option', 'album', 'view', 'edit', 'disappear']","[0.176, 0.149, 0.108, 0.07, 0.051, 0.048, 0.028, 0.024, 0.019, 0.019]"
"['facebokdown', 'user', 'affect', 'ad', 'trouble', 'work', 'outage', 'lot', 'server', 'ap']","[0.113, 0.062, 0.06, 0.046, 0.044, 0.035, 0.032, 0.025, 0.023, 0.02]","['notification', 'show', 'click', 'annoying', 'button', 'check', 'clear', 'tab', 'read', 'multiple']","[0.293, 0.148, 0.072, 0.049, 0.033, 0.033, 0.024, 0.021, 0.021, 0.017]"
"['fix', 'damn', 'thing', 'hell', 'money', 'fast', 'information', 'lose', 'website', 'miss']","[0.35, 0.046, 0.046, 0.029, 0.026, 0.025, 0.017, 0.016, 0.016, 0.015]","['day', 'send', 'message', 'code', 'login', 'unable', 'receive', 'faceon', 'hell', 'access']","[0.123, 0.108, 0.081, 0.074, 0.067, 0.065, 0.038, 0.027, 0.023, 0.021]"
"['people', 'issue', 'work', 'stop', 'reason', 'ban', 'stuff', 'life', 'pay', 'fine']","[0.18, 0.117, 0.083, 0.041, 0.03, 0.028, 0.021, 0.02, 0.019, 0.018]","['application', 'time', 'instal', 'uninstale', 'install', 'deinstal', 'keep_crashing', 'half', 'sudden', 'waste']","[0.281, 0.249, 0.112, 0.035, 0.024, 0.023, 0.02, 0.019, 0.014, 0.014]"
"['facebok', 'time', 'system', 'wait', 'sort', 'talk', 'family', 'put', 'fail', 'idea']","[0.261, 0.124, 0.03, 0.029, 0.028, 0.023, 0.022, 0.018, 0.018, 0.018]","['post', 'friend', 'recent', 'feed', 'horrible', 'ad', 'refresh', 'news_feed', 'nest', 'remove']","[0.101, 0.101, 0.057, 0.044, 0.036, 0.035, 0.032, 0.025, 0.022, 0.02]"
"['facebok', 'instagram', 'day', 'long', 'hope', 'crash', 'whatsap', 'facebokdown_instagramdown', 'reach', 'figure']","[0.225, 0.176, 0.12, 0.081, 0.054, 0.033, 0.013, 0.012, 0.011, 0.01]","['update', 'late', 'feature', 'auto', 'week', 'ridiculous', 'happy', 'updating', 'suppose', 'pixel']","[0.715, 0.057, 0.028, 0.027, 0.023, 0.017, 0.012, 0.009, 0.006, 0.005]"
