Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['report', 'doe', 'fail', 'guide', 'check', 'select', 'end', 'photo', 'tool', 'view']","[0.15, 0.05, 0.044, 0.044, 0.039, 0.039, 0.033, 0.022, 0.017, 0.017]","['map', 'gole', 'suck', 'trouble', 'developer', 'pie', 'error', 'write', 'sad', 'message']","[0.447, 0.327, 0.039, 0.019, 0.01, 0.008, 0.007, 0.006, 0.006, 0.005]"
"['road', 'turn', 'traffic', 'save', 'area', 'month', 'long', 'big', 'google', 'main']","[0.131, 0.061, 0.045, 0.035, 0.035, 0.03, 0.03, 0.025, 0.02, 0.02]","['phone', 'gps', 'android', 'run', 'service', 'restart', 'lock', 'message', 'stick', 'hang']","[0.239, 0.157, 0.052, 0.031, 0.025, 0.024, 0.023, 0.02, 0.02, 0.019]"
"['place', 'street', 'add', 'miss', 'apple', 'move', 'drive', 'feature', 'system', 'gps']","[0.131, 0.094, 0.079, 0.042, 0.031, 0.031, 0.031, 0.026, 0.021, 0.021]","['turn', 'give', 'issue', 'good', 'thing', 'lot', 'notification', 'mobile', 'display', 'longer']","[0.113, 0.106, 0.105, 0.09, 0.049, 0.042, 0.03, 0.029, 0.025, 0.021]"
"['problem', 'phone', 'option', 'map', 'make', 'people', 'car', 'disappear', 'care', 'request']","[0.123, 0.05, 0.05, 0.045, 0.045, 0.039, 0.034, 0.034, 0.022, 0.022]","['work', 'doe', 'useless', 'anymore', 'fine', 'give', 'response', 'link', 'render', 'dint']","[0.376, 0.247, 0.054, 0.043, 0.031, 0.019, 0.015, 0.01, 0.009, 0.009]"
"['goglemap', 'route', 'find', 'reputation', 'park', 'repair', 'top', 'trick', 'seoexpert', 'south']","[0.115, 0.066, 0.06, 0.033, 0.027, 0.016, 0.016, 0.016, 0.016, 0.016]","['back', 'change', 'option', 'star', 'view', 'compass', 'set', 'remove', 'north', 'wave']","[0.098, 0.077, 0.056, 0.054, 0.054, 0.051, 0.045, 0.034, 0.033, 0.031]"
"['map', 'find', 'set', 'city', 'idea', 'keyword', 'thing', 'delete', 'constantly', 'product']","[0.416, 0.04, 0.023, 0.023, 0.017, 0.012, 0.012, 0.012, 0.012, 0.012]","['screen', 'open', 'close', 'application', 'feature', 'force', 'bar', 'zoom', 'street_name', 'annoying']","[0.132, 0.097, 0.065, 0.05, 0.044, 0.031, 0.028, 0.027, 0.023, 0.022]"
"['fix', 'bug', 'device', 'minute', 'reply', 'scheme', 'remove', 'fine', 'thing', 'worker']","[0.362, 0.051, 0.023, 0.023, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017]","['fix', 'address', 'bug', 'month', 'week', 'report', 'galaxy', 'freeze', 'share', 'stopped_working']","[0.154, 0.082, 0.049, 0.037, 0.036, 0.031, 0.029, 0.029, 0.027, 0.025]"
"['show', 'location', 'bad', 'trouble', 'search', 'business', 'frustrating', 'start', 'longer', 'today']","[0.147, 0.105, 0.063, 0.047, 0.042, 0.032, 0.026, 0.021, 0.021, 0.016]","['problem', 'search', 'day', 'area', 'home', 'recently', 'terrible', 'edit', 'stupid', 'city']","[0.165, 0.133, 0.068, 0.041, 0.041, 0.036, 0.028, 0.027, 0.026, 0.024]"
"['issue', 'reach', 'free', 'correct', 'question', 'post', 'hospital', 'version', 'pollution', 'flight']","[0.322, 0.057, 0.052, 0.034, 0.034, 0.017, 0.017, 0.017, 0.017, 0.017]","['application', 'slow', 'great', 'reason', 'love', 'information', 'hate', 'frustrating', 'please_fix', 'impossible']","[0.326, 0.134, 0.045, 0.029, 0.029, 0.024, 0.023, 0.021, 0.018, 0.018]"
"['issue', 'local', 'break', 'account', 'give', 'fight', 'yesterday', 'alert', 'result', 'middle']","[0.125, 0.053, 0.046, 0.046, 0.033, 0.026, 0.026, 0.02, 0.02, 0.02]","['show', 'work', 'working_properly', 'wrong', 'samsung', 'note', 'doe', 'current_location', 'everytime', 'blue']","[0.305, 0.057, 0.051, 0.04, 0.038, 0.038, 0.038, 0.034, 0.028, 0.022]"
