Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['application', 'direction', 'search', 'traffic', 'street', 'happen', 'customer', 'phone', 'thing', 'change']","[0.085, 0.056, 0.048, 0.036, 0.032, 0.024, 0.02, 0.02, 0.02, 0.02]","['gps', 'search', 'lose', 'work', 'fine', 'working_properly', 'anymore', 'horrible', 'signal', 'locate']","[0.197, 0.155, 0.099, 0.09, 0.047, 0.044, 0.04, 0.037, 0.021, 0.013]"
"['google_map', 'bug', 'wrong', 'doe', 'check', 'give', 'website', 'business', 'correct', 'hope']","[0.117, 0.062, 0.058, 0.043, 0.043, 0.039, 0.031, 0.027, 0.023, 0.023]","['application', 'phone', 'crash', 'freeze', 'restart', 'force', 'samsung', 'galaxy', 'single', 'completely']","[0.285, 0.197, 0.054, 0.049, 0.026, 0.025, 0.024, 0.023, 0.019, 0.017]"
"['reach', 'late', 'bus', 'station', 'find', 'house', 'resolve', 'question', 'hear', 'free']","[0.036, 0.032, 0.032, 0.028, 0.028, 0.028, 0.028, 0.024, 0.024, 0.024]","['map', 'place', 'save', 'address', 'add', 'delete', 'list', 'point', 'annoying', 'photo']","[0.165, 0.152, 0.063, 0.062, 0.05, 0.038, 0.034, 0.027, 0.027, 0.022]"
"['fix', 'error', 'city', 'save', 'edit', 'crash', 'photo', 'local', 'centre', 'ago']","[0.172, 0.107, 0.042, 0.027, 0.023, 0.023, 0.023, 0.019, 0.015, 0.015]","['work', 'doe', 'stop', 'properly', 'display', 'week', 'make', 'blank', 'super', 'bike']","[0.374, 0.147, 0.141, 0.047, 0.018, 0.016, 0.011, 0.01, 0.009, 0.009]"
"['time', 'road', 'address', 'report', 'year', 'navigation', 'step', 'send', 'lead', 'lot']","[0.125, 0.062, 0.062, 0.052, 0.048, 0.028, 0.024, 0.024, 0.021, 0.014]","['start', 'close', 'navigate', 'button', 'run', 'respond', 'month', 'view', 'click', 'disappear']","[0.11, 0.079, 0.066, 0.057, 0.049, 0.039, 0.038, 0.033, 0.032, 0.032]"
"['map', 'location', 'people', 'bad', 'good', 'incorrect', 'fail', 'internet', 'share', 'api']","[0.131, 0.092, 0.067, 0.046, 0.028, 0.028, 0.025, 0.021, 0.018, 0.014]","['good', 'change', 'make', 'set', 'latest_update', 'thing', 'check', 'error', 'aps', 'service']","[0.115, 0.07, 0.068, 0.048, 0.048, 0.04, 0.031, 0.03, 0.026, 0.023]"
"['fix', 'show', 'work', 'day', 'lose', 'street', 'area', 'glitch', 'bike', 'soul']","[0.089, 0.082, 0.069, 0.052, 0.048, 0.041, 0.038, 0.027, 0.021, 0.021]","['route', 'option', 'internet', 'select', 'share', 'notification', 'continue', 'hard', 'fast', 'city']","[0.265, 0.055, 0.026, 0.022, 0.02, 0.02, 0.019, 0.017, 0.016, 0.015]"
"['issue', 'long', 'submit', 'user', 'week', 'break', 'multiple', 'desktop', 'contact', 'line']","[0.217, 0.041, 0.033, 0.025, 0.025, 0.02, 0.016, 0.012, 0.012, 0.012]","['show', 'bad', 'correct', 'travel', 'proper', 'experience', 'km', 'improve', 'space', 'home']","[0.368, 0.196, 0.038, 0.027, 0.027, 0.023, 0.015, 0.013, 0.012, 0.012]"
"['place', 'update', 'goglemap', 'view', 'link', 'datum', 'add', 'month', 'end', 'regard']","[0.112, 0.062, 0.05, 0.041, 0.037, 0.033, 0.033, 0.029, 0.021, 0.021]","['turn', 'voice', 'exit', 'bus', 'leave', 'minute', 'make', 'terrible', 'miss', 'trip']","[0.138, 0.052, 0.044, 0.044, 0.041, 0.041, 0.032, 0.03, 0.028, 0.027]"
"['problem', 'route', 'make', 'back', 'drive', 'bridge', 'hour', 'doe', 'update', 'bring']","[0.151, 0.073, 0.054, 0.054, 0.035, 0.027, 0.027, 0.019, 0.019, 0.019]","['time', 'wrong', 'long', 'online', 'send', 'real', 'waste', 'street', 'feedback', 'daily']","[0.339, 0.172, 0.063, 0.039, 0.039, 0.02, 0.018, 0.016, 0.014, 0.011]"
,,"['application', 'slow', 'load', 'constantly', 'tablet', 'extremely', 'rid', 'install', 'unresponsive', 'sort']","[0.576, 0.077, 0.035, 0.035, 0.014, 0.011, 0.01, 0.008, 0.008, 0.006]"
,,"['issue', 'back', 'version', 'arrow', 'compass', 'move', 'drive', 'north', 'while_driving', 'switch']","[0.128, 0.117, 0.088, 0.069, 0.05, 0.048, 0.035, 0.022, 0.021, 0.02]"
,,"['fix', 'day', 'please_fix', 'bug', 'star', 'report', 'wave', 'year', 'datum', 'stay']","[0.103, 0.072, 0.062, 0.057, 0.049, 0.039, 0.035, 0.033, 0.031, 0.026]"
,,"['direction', 'give', 'destination', 'stupid', 'car', 'point', 'edit', 'walk', 'end', 'longer']","[0.262, 0.107, 0.07, 0.032, 0.032, 0.025, 0.025, 0.023, 0.02, 0.02]"
,,"['navigation', 'problem', 'android', 'work', 'fix', 'soon_possible', 'mobile', 'face', 'recently', 'solve']","[0.25, 0.155, 0.046, 0.035, 0.027, 0.026, 0.021, 0.02, 0.02, 0.02]"
,,"['doe', 'road', 'application', 'useless', 'review', 'put', 'drive', 'traffic', 'street', 'type']","[0.14, 0.117, 0.077, 0.062, 0.059, 0.043, 0.036, 0.033, 0.029, 0.021]"
,,"['screen', 'open', 'great', 'feature', 'suck', 'lock', 'remove', 'device', 'happen', 'download']","[0.126, 0.069, 0.046, 0.039, 0.039, 0.033, 0.031, 0.028, 0.028, 0.026]"
,,"['map', 'gole', 'people', 'guy', 'instruction', 'team', 'contact', 'longer', 'area', 'revert']","[0.474, 0.297, 0.023, 0.011, 0.01, 0.009, 0.008, 0.007, 0.006, 0.006]"
,,"['location', 'find', 'current', 'accurate', 'poor', 'track', 'permission', 'unable', 'accuracy', 'pic']","[0.366, 0.111, 0.03, 0.028, 0.025, 0.024, 0.015, 0.015, 0.014, 0.013]"
,,"['update', 'instal', 'recent', 'clear', 'uninstale', 'crash', 'cache', 'ago', 'history', 'deinstal']","[0.575, 0.07, 0.045, 0.036, 0.026, 0.021, 0.02, 0.02, 0.017, 0.014]"
