Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['message', 'application', 'forward', 'problem', 'country', 'sudden', 'contact', 'frustrated', 'continuous', 'real']","[0.2, 0.12, 0.08, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]","['nan', 'suck', 'real', 'single', 'improve', 'mayday', 'life', 'restore', 'dot', 'rating']","[0.729, 0.101, 0.009, 0.008, 0.008, 0.005, 0.005, 0.004, 0.004, 0.004]"
"['nan', 'english', 'frenchit', 'setting', 'start', 'support', 'block', 'watdahel', 'photo', 'people']","[0.536, 0.071, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036]","['nan', 'error', 'add', 'low', 'important', 'decide', 'yesterday', 'opening', 'float', 'lay']","[0.816, 0.02, 0.017, 0.013, 0.01, 0.007, 0.006, 0.006, 0.004, 0.004]"
"['messenger', 'team', 'big', 'update', 'philippine', 'picture', 'ampangit', 'design', 'optimisation', 'uninstaled']","[0.312, 0.125, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062]","['message', 'notification', 'open', 'show', 'sound', 'set', 'request', 'annoying', 'disappear', 'clear']","[0.222, 0.139, 0.087, 0.066, 0.041, 0.038, 0.033, 0.024, 0.023, 0.02]"
"['bug', 'quality', 'delete', 'typing', 'product', 'issue', 'send', 'bagong', 'himher', 'share']","[0.158, 0.105, 0.105, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053]","['nan', 'trouble', 'put', 'access', 'step', 'age', 'inconvenient', 'design', 'wave', 'ruin']","[0.821, 0.018, 0.016, 0.012, 0.009, 0.006, 0.006, 0.006, 0.006, 0.004]"
"['nan', 'find', 'send', 'impossible', 'complain', 'language', 'yesterday', 'change', 'trouble', 'old']","[0.667, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.0]","['nan', 'hang', 'number', 'conversation', 'feature', 'kind', 'matter', 'trash', 'select', 'remember']","[0.761, 0.025, 0.012, 0.011, 0.01, 0.009, 0.006, 0.006, 0.005, 0.005]"
"['fix', 'update', 'residue', 'facebok', 'leave', 'loud', 'while', 'forward', 'go', 'optimisation']","[0.538, 0.154, 0.077, 0.077, 0.077, 0.077, 0.0, 0.0, 0.0, 0.0]","['delete', 'remove', 'people', 'bug', 'contact', 'active', 'person', 'lot', 'online', 'button']","[0.108, 0.077, 0.068, 0.067, 0.066, 0.041, 0.035, 0.028, 0.026, 0.022]"
,,"['messenger', 'account', 'log', 'switch', 'tablet', 'automatically', 'experience', 'unable', 'code', 'display']","[0.479, 0.074, 0.06, 0.051, 0.017, 0.016, 0.015, 0.015, 0.013, 0.011]"
,,"['message', 'send', 'photo', 'receive', 'error', 'file', 'reply', 'month', 'annoying', 'longer']","[0.327, 0.207, 0.062, 0.05, 0.019, 0.018, 0.018, 0.017, 0.017, 0.015]"
,,"['nan', 'share', 'super', 'response', 'side', 'shame', 'impossible', 'helpful', 'desktop', 'match']","[0.834, 0.013, 0.01, 0.008, 0.006, 0.005, 0.005, 0.004, 0.004, 0.003]"
,,"['time', 'instal', 'issue', 'load', 'long', 'password', 'wrong', 'check', 'sign', 'year']","[0.192, 0.104, 0.077, 0.039, 0.028, 0.027, 0.026, 0.025, 0.022, 0.02]"
,,"['phone', 'hate', 'version', 'screen', 'slow', 'text', 'late', 'freeze', 'talk', 'restart']","[0.23, 0.076, 0.075, 0.049, 0.049, 0.047, 0.044, 0.03, 0.023, 0.022]"
,,"['call', 'video', 'voice', 'connect', 'reason', 'bluetoth', 'terrible', 'uninstale', 'quality', 'sound']","[0.215, 0.127, 0.075, 0.041, 0.029, 0.028, 0.027, 0.026, 0.026, 0.023]"
,,"['emosi', 'back', 'update', 'change', 'turn', 'android', 'auto', 'recent', 'glitch', 'week']","[0.131, 0.127, 0.113, 0.064, 0.049, 0.034, 0.028, 0.028, 0.025, 0.021]"
,,"['bad', 'chat', 'picture', 'give', 'find', 'star', 'option', 'thing', 'sticker', 'horrible']","[0.149, 0.082, 0.054, 0.051, 0.046, 0.041, 0.039, 0.035, 0.022, 0.021]"
,,"['fix', 'problem', 'good', 'friend', 'please_fix', 'play', 'game', 'hope', 'soon_possible', 'aps']","[0.145, 0.143, 0.089, 0.087, 0.078, 0.054, 0.037, 0.017, 0.017, 0.015]"
,,"['work', 'doe', 'day', 'crash', 'happen', 'story', 'chat_head', 'show', 'everytime', 'bring_back']","[0.226, 0.145, 0.076, 0.046, 0.04, 0.04, 0.037, 0.036, 0.033, 0.032]"
,,"['application', 'download', 'force', 'close', 'read', 'respond', 'store', 'minute', 'developer', 'simple']","[0.539, 0.066, 0.056, 0.043, 0.032, 0.02, 0.014, 0.014, 0.01, 0.009]"
,,"['application', 'faceon', 'install', 'datum', 'stupid', 'space', 'mobile', 'internet', 'messaging', 'run']","[0.249, 0.205, 0.059, 0.035, 0.033, 0.031, 0.021, 0.021, 0.02, 0.015]"
,,"['update', 'make', 'stop', 'permission', 'emosi', 'home', 'break', 'irritate', 'expire', 'pretty']","[0.551, 0.121, 0.084, 0.011, 0.011, 0.011, 0.011, 0.01, 0.009, 0.007]"
,,"['nan', 'miss', 'half', 'extremely', 'medium', 'pc', 'absolutely', 'fan', 'safe', 'link']","[0.807, 0.015, 0.014, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004]"
