Keywords_tweets,weights_tweets,reviews_keywords,reviews_weights
"['fix', 'camera', 'iphone', 'android', 'application', 'quality', 'front', 'max', 'photo', 'galaxy']","[0.208, 0.154, 0.088, 0.071, 0.04, 0.038, 0.035, 0.027, 0.026, 0.024]","['make', 'slow', 'application', 'terrible', 'love', 'run', 'awful', 'lie', 'super', 'ruin']","[0.185, 0.119, 0.083, 0.048, 0.043, 0.026, 0.026, 0.024, 0.024, 0.023]"
"['issue', 'account', 'time', 'guy', 'change', 'anymore', 'user', 'log', 'reply', 'unable']","[0.126, 0.117, 0.06, 0.055, 0.051, 0.032, 0.028, 0.027, 0.025, 0.021]","['camera', 'android', 'phone', 'zoom', 'quality', 'galaxy', 'samsung', 'front', 'face', 'zoomed']","[0.189, 0.122, 0.09, 0.059, 0.059, 0.043, 0.04, 0.038, 0.025, 0.021]"
"['snapchat', 'break', 'stuff', 'girlfriend', 'nigga', 'record', 'concert', 'woman', 'lmao', 'main']","[0.261, 0.155, 0.037, 0.018, 0.018, 0.016, 0.014, 0.012, 0.012, 0.012]","['update', 'hate', 'ever_since', 'trash', 'bring_back', 'honestly', 'thing', 'stand', 'home_screen', 'exist']","[0.652, 0.097, 0.046, 0.033, 0.02, 0.011, 0.007, 0.006, 0.005, 0.005]"
"['issue', 'back', 'email', 'number', 'problem', 'respond', 'feature', 'late', 'code', 'choose']","[0.159, 0.111, 0.056, 0.04, 0.027, 0.025, 0.019, 0.017, 0.015, 0.015]","['update', 'suck', 'recent', 'edit', 'horrible', 'march', 'hang', 'dint', 'mode', 'previous_version']","[0.57, 0.106, 0.065, 0.042, 0.029, 0.014, 0.011, 0.011, 0.009, 0.008]"
"['instagram', 'crash', 'facebok', 'twitter', 'open', 'social_medium', 'amgoe', 'freeze', 'platform', 'whatsap']","[0.144, 0.083, 0.074, 0.072, 0.07, 0.043, 0.022, 0.018, 0.017, 0.015]","['snapshot', 'problem', 'year', 'everytime', 'android_user', 'guy', 'stop', 'email', 'support', 'watch']","[0.503, 0.089, 0.026, 0.025, 0.018, 0.016, 0.015, 0.012, 0.012, 0.012]"
"['fix', 'application', 'shit', 'fuck', 'yal', 'stop', 'stupid', 'car', 'roll', 'picture']","[0.179, 0.125, 0.091, 0.082, 0.065, 0.038, 0.027, 0.022, 0.013, 0.011]","['application', 'freeze', 'start', 'stop', 'constantly', 'week', 'favorite', 'ap', 'ad', 'great']","[0.674, 0.036, 0.03, 0.029, 0.022, 0.015, 0.012, 0.01, 0.009, 0.008]"
"['snapchat', 'break', 'watch', 'girl', 'play', 'happen', 'private', 'start', 'care', 'hate']","[0.133, 0.069, 0.06, 0.038, 0.038, 0.03, 0.028, 0.028, 0.024, 0.024]","['video', 'time', 'load', 'long', 'doe', 'play', 'record', 'frustrating', 'sound', 'order']","[0.27, 0.147, 0.115, 0.058, 0.033, 0.029, 0.028, 0.025, 0.024, 0.018]"
"['friend', 'add', 'time', 'username', 'having_trouble', 'limit', 'people', 'hope', 'bug', 'make_sure']","[0.156, 0.104, 0.082, 0.041, 0.032, 0.032, 0.03, 0.03, 0.026, 0.026]","['friend', 'fix', 'bug', 'annoying', 'streak', 'bitmoji', 'annoy', 'happen', 'trophy', 'person']","[0.174, 0.095, 0.091, 0.052, 0.048, 0.04, 0.035, 0.031, 0.027, 0.027]"
"['filter', 'today', 'year', 'put', 'trouble', 'eye', 'single', 'group', 'ap', 'future']","[0.07, 0.061, 0.059, 0.031, 0.026, 0.024, 0.022, 0.02, 0.02, 0.018]","['story', 'save', 'post', 'unload', 'anymore', 'unable', 'entire', 'individual', 'part', 'full']","[0.339, 0.186, 0.114, 0.046, 0.034, 0.029, 0.02, 0.016, 0.016, 0.013]"
"['send', 'video', 'doe', 'message', 'delete', 'fail', 'block', 'datum', 'wifi', 'terrible']","[0.178, 0.129, 0.075, 0.073, 0.07, 0.033, 0.017, 0.014, 0.014, 0.01]","['picture', 'camera_roll', 'eye', 'photo', 'pic', 'put', 'multiple', 'move', 'select', 'gallery']","[0.214, 0.129, 0.129, 0.116, 0.061, 0.046, 0.043, 0.033, 0.03, 0.022]"
"['horrible', 'post', 'problem', 'thing', 'report', 'call', 'wrong', 'ad', 'super', 'date']","[0.06, 0.057, 0.055, 0.055, 0.042, 0.042, 0.028, 0.026, 0.025, 0.023]","['snap', 'open', 'time', 'hour', 'unle', 'today', 'happen', 'literally', 'everytime', 'report']","[0.514, 0.145, 0.024, 0.02, 0.014, 0.013, 0.012, 0.012, 0.01, 0.01]"
"['story', 'save', 'memory', 'post', 'version', 'full', 'chat', 'news', 'idea', 'accidentally']","[0.253, 0.085, 0.057, 0.03, 0.027, 0.025, 0.019, 0.019, 0.014, 0.014]","['add', 'back', 'private_story', 'thing', 'delete', 'download', 'view', 'change', 'log', 'account']","[0.091, 0.084, 0.071, 0.07, 0.064, 0.058, 0.056, 0.054, 0.05, 0.038]"
"['snap', 'update', 'fix', 'streak', 'lose', 'wait', 'error', 'weird', 'set', 'view']","[0.164, 0.155, 0.078, 0.051, 0.037, 0.033, 0.019, 0.017, 0.017, 0.014]","['work', 'phone', 'notification', 'doe', 'instal', 'fine', 'set', 'restart', 'turn', 'receive']","[0.187, 0.12, 0.099, 0.059, 0.044, 0.038, 0.036, 0.024, 0.023, 0.019]"
"['bad', 'day', 'picture', 'long', 'feel', 'notification', 'game', 'amso', 'give', 'conversation']","[0.199, 0.103, 0.055, 0.052, 0.036, 0.025, 0.021, 0.018, 0.016, 0.014]","['send', 'message', 'chat', 'fail', 'minute', 'delete', 'wait', 'receive', 'take_forever', 'ago']","[0.393, 0.199, 0.08, 0.037, 0.033, 0.032, 0.028, 0.022, 0.018, 0.017]"
"['show', 'face', 'hour', 'ago', 'arm', 'tweet', 'broken', 'son', 'read', 'child']","[0.065, 0.048, 0.042, 0.04, 0.035, 0.033, 0.032, 0.032, 0.028, 0.026]","['memory', 'save', 'option', 'anymore', 'longer', 'button', 'find', 'sticker', 'image', 'search']","[0.182, 0.148, 0.076, 0.069, 0.054, 0.045, 0.043, 0.041, 0.032, 0.023]"
"['phone', 'work', 'give', 'text', 'check', 'miss', 'fine', 'plan', 'man', 'receive']","[0.168, 0.087, 0.049, 0.045, 0.041, 0.019, 0.019, 0.019, 0.019, 0.017]","['people', 'fix', 'star', 'give', 'great', 'close', 'reason', 'time', 'voice', 'change']","[0.108, 0.099, 0.065, 0.065, 0.057, 0.051, 0.037, 0.022, 0.019, 0.018]"
"['people', 'talk', 'lot', 'person', 'screen', 'month', 'literally', 'big', 'sad', 'bug']","[0.174, 0.058, 0.043, 0.032, 0.03, 0.028, 0.026, 0.024, 0.021, 0.021]","['fix', 'issue', 'problem', 'soon_possible', 'doe', 'good', 'user', 'work', 'note', 'hard']","[0.238, 0.122, 0.041, 0.038, 0.035, 0.032, 0.026, 0.021, 0.02, 0.019]"
"['problem', 'love', 'find', 'life', 'hear', 'chat', 'apple', 'assistance', 'light', 'facebok']","[0.223, 0.042, 0.038, 0.032, 0.03, 0.027, 0.021, 0.015, 0.013, 0.013]","['bad', 'update', 'lot', 'feature', 'crash', 'late', 'lag', 'glitch', 'remove', 'conversation']","[0.178, 0.162, 0.068, 0.067, 0.065, 0.057, 0.048, 0.044, 0.037, 0.017]"
