Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['fix', 'update', 'camera', 'trouble', 'doe', 'error', 'zoom', 'follow', 'man', 'read']","[0.223, 0.086, 0.051, 0.041, 0.038, 0.022, 0.022, 0.019, 0.016, 0.013]","['picture', 'photo', 'camera_roll', 'multiple', 'stuff', 'chat', 'share', 'select', 'call', 'gallery']","[0.172, 0.105, 0.058, 0.054, 0.041, 0.039, 0.037, 0.034, 0.03, 0.029]"
"['issue', 'work', 'phone', 'fix', 'support', 'give', 'experience', 'email', 'switch', 'code']","[0.14, 0.09, 0.041, 0.038, 0.026, 0.026, 0.023, 0.02, 0.017, 0.017]","['update', 'suck', 'anymore', 'find', 'mess', 'everytime', 'ever_since', 'kick', 'keep_crashing', 'trophy']","[0.336, 0.108, 0.084, 0.044, 0.041, 0.038, 0.031, 0.022, 0.022, 0.022]"
"['snap', 'send', 'face', 'iphone', 'long', 'report', 'talk', 'guy', 'literally', 'glitch']","[0.114, 0.073, 0.038, 0.038, 0.029, 0.025, 0.022, 0.022, 0.019, 0.019]","['phone', 'android', 'glitch', 'user', 'samsung', 'guy', 'apple', 'experience', 'mention', 'constant']","[0.291, 0.263, 0.059, 0.057, 0.041, 0.024, 0.022, 0.021, 0.014, 0.01]"
"['problem', 'snapchat', 'video', 'watch', 'change', 'screnshot', 'open', 'month', 'filter', 'delete']","[0.132, 0.119, 0.056, 0.033, 0.033, 0.03, 0.03, 0.03, 0.026, 0.023]","['application', 'crash', 'lot', 'poor', 'developer', 'social', 'medium', 'great', 'keep_crashe', 'install']","[0.656, 0.086, 0.039, 0.016, 0.011, 0.011, 0.011, 0.01, 0.01, 0.009]"
"['make', 'friend', 'add', 'people', 'android', 'having_trouble', 'hope', 'twitt', 'horrible', 'note']","[0.089, 0.08, 0.074, 0.065, 0.041, 0.033, 0.027, 0.021, 0.021, 0.021]","['snap', 'give', 'star', 'game', 'day', 'unable', 'check', 'extremely', 'option', 'tap']","[0.465, 0.074, 0.069, 0.035, 0.02, 0.016, 0.016, 0.013, 0.013, 0.013]"
"['application', 'snapchat', 'happen', 'good', 'twitter', 'medium', 'heart', 'hear', 'social', 'put']","[0.093, 0.079, 0.038, 0.038, 0.034, 0.034, 0.034, 0.031, 0.028, 0.024]","['send', 'message', 'notification', 'pic', 'receive', 'wait', 'button', 'hour', 'person', 'internet']","[0.285, 0.133, 0.073, 0.042, 0.036, 0.036, 0.027, 0.025, 0.022, 0.018]"
"['bad', 'back', 'memory', 'instagram', 'call', 'today', 'ad', 'photo', 'feel', 'thing']","[0.11, 0.091, 0.045, 0.045, 0.039, 0.032, 0.026, 0.026, 0.023, 0.019]","['work', 'doe', 'slow', 'stop', 'properly', 'loading', 'pixel', 'run', 'extremely', 'voice']","[0.256, 0.208, 0.103, 0.097, 0.025, 0.02, 0.02, 0.02, 0.018, 0.011]"
"['story', 'log', 'select', 'life', 'fail', 'bug', 'view', 'reach', 'fuck', 'facebok']","[0.111, 0.041, 0.041, 0.038, 0.035, 0.032, 0.032, 0.025, 0.025, 0.022]","['memory', 'delete', 'year', 'day', 'fail', 'longer', 'ago', 'show', 'annoy', 'flashback']","[0.18, 0.101, 0.066, 0.059, 0.054, 0.041, 0.039, 0.032, 0.029, 0.025]"
"['account', 'time', 'login', 'error_message', 'check', 'team', 'link', 'reason', 'lock', 'unable']","[0.124, 0.121, 0.055, 0.052, 0.052, 0.049, 0.043, 0.035, 0.032, 0.029]","['log', 'back', 'instal', 'reason', 'streak', 'account', 'put', 'sticker', 'turn', 'clear']","[0.098, 0.082, 0.064, 0.048, 0.042, 0.037, 0.034, 0.033, 0.032, 0.03]"
"['break', 'post', 'stop', 'shit', 'screen', 'crash', 'hate', 'day', 'message', 'streak']","[0.109, 0.096, 0.061, 0.045, 0.035, 0.032, 0.029, 0.029, 0.026, 0.022]","['snapshot', 'love', 'happen', 'samsung_galaxy', 'upgrade', 'contact', 'choose', 'unusable', 'doe', 'hawes']","[0.591, 0.062, 0.051, 0.029, 0.015, 0.015, 0.014, 0.012, 0.01, 0.01]"
