Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['problem', 'code', 'stop', 'hack', 'hear', 'guy', 'bad', 'touch', 'date', 'manually']","[0.315, 0.065, 0.037, 0.037, 0.028, 0.028, 0.028, 0.028, 0.019, 0.019]","['doe', 'picture', 'medium', 'file', 'user', 'save', 'set', 'gallery', 'select', 'irritate']","[0.182, 0.171, 0.068, 0.063, 0.05, 0.047, 0.046, 0.037, 0.024, 0.02]"
"['update', 'bad', 'make', 'kind', 'reply', 'people', 'forward', 'ear', 'user', 'previous']","[0.116, 0.074, 0.063, 0.042, 0.042, 0.042, 0.032, 0.032, 0.032, 0.021]","['voice', 'video', 'image', 'play', 'stop', 'load', 'note', 'clear', 'sound', 'record']","[0.146, 0.127, 0.113, 0.076, 0.053, 0.046, 0.037, 0.034, 0.03, 0.024]"
"['bug', 'video', 'report', 'photo', 'receiver', 'camera', 'iphone', 'person', 'instal', 'sim']","[0.31, 0.083, 0.048, 0.036, 0.024, 0.024, 0.024, 0.012, 0.012, 0.012]","['fix', 'back', 'audio', 'recent', 'happen', 'lot', 'give', 'profile_pic', 'low', 'samsung']","[0.107, 0.098, 0.057, 0.054, 0.049, 0.048, 0.043, 0.036, 0.033, 0.031]"
"['solve', 'open', 'chat', 'web', 'email', 'support', 'resolve', 'emoji', 'display', 'dark']","[0.082, 0.071, 0.059, 0.047, 0.047, 0.047, 0.035, 0.035, 0.024, 0.024]","['problem', 'number', 'day', 'solve', 'fail', 'sticker', 'big', 'ban', 'enter', 'block']","[0.363, 0.1, 0.083, 0.06, 0.028, 0.026, 0.02, 0.011, 0.011, 0.01]"
"['number', 'wa', 'show', 'account', 'back', 'loud', 'unable', 'block', 'audio', 'body']","[0.308, 0.087, 0.048, 0.048, 0.038, 0.038, 0.038, 0.029, 0.029, 0.01]","['application', 'receive', 'instal', 'install', 'wrong', 'massage', 'wife', 'open', 'account', 'close']","[0.405, 0.103, 0.068, 0.047, 0.031, 0.027, 0.023, 0.022, 0.019, 0.016]"
"['issue', 'whatsap', 'doe', 'big', 'disadvantage', 'run', 'android', 'pause', 'dm', 'uninstaled']","[0.245, 0.245, 0.039, 0.039, 0.029, 0.01, 0.01, 0.01, 0.01, 0.01]","['update', 'version', 'late', 'network', 'previous', 'kindly', 'current', 'fast', 'store', 'battery']","[0.307, 0.183, 0.125, 0.026, 0.024, 0.02, 0.017, 0.012, 0.012, 0.011]"
"['application', 'account', 'group', 'admin', 'move', 'put', 'backup', 'feature', 'groupchat', 'chose']","[0.179, 0.105, 0.105, 0.053, 0.032, 0.032, 0.032, 0.021, 0.021, 0.011]","['fix', 'issue', 'bug', 'soon_possible', 'great', 'camera', 'turn', 'month', 'resolve', 'conversation']","[0.251, 0.13, 0.111, 0.049, 0.039, 0.033, 0.031, 0.026, 0.026, 0.02]"
"['send', 'work', 'call', 'speaker', 'face', 'ban', 'day', 'friend', 'problem', 'suck']","[0.11, 0.088, 0.077, 0.066, 0.055, 0.044, 0.044, 0.033, 0.022, 0.022]","['contact', 'show', 'profile_picture', 'pic', 'add', 'anymore', 'remove', 'miss', 'blank', 'longer']","[0.363, 0.179, 0.066, 0.063, 0.043, 0.032, 0.03, 0.024, 0.015, 0.015]"
"['phone', 'contact', 'verification', 'receive', 'break', 'error', 'step', 'oneplus', 'strong', 'file']","[0.216, 0.126, 0.081, 0.072, 0.054, 0.045, 0.027, 0.027, 0.027, 0.027]","['make', 'option', 'screen', 'restore', 'suck', 'find', 'lose', 'watson', 'backup', 'link']","[0.107, 0.082, 0.059, 0.038, 0.035, 0.035, 0.032, 0.029, 0.029, 0.027]"
"['fix', 'message', 'status', 'delete', 'time', 'add', 'find', 'addition', 'picture', 'suffer']","[0.114, 0.114, 0.096, 0.088, 0.053, 0.035, 0.035, 0.026, 0.026, 0.026]","['download', 'unable', 'error', 'show', 'check', 'internet', 'connection', 'working_properly', 'read', 'connect']","[0.209, 0.09, 0.086, 0.071, 0.052, 0.044, 0.044, 0.041, 0.03, 0.028]"
,,"['application', 'open', 'notification', 'reply', 'crash', 'everytime', 'annoy', 'bar', 'terrible', 'slowly']","[0.247, 0.148, 0.113, 0.054, 0.036, 0.025, 0.019, 0.016, 0.016, 0.012]"
,,"['status', 'unload', 'share', 'view', 'post', 'service', 'watch', 'hope', 'automatically', 'dp']","[0.408, 0.081, 0.069, 0.054, 0.045, 0.024, 0.022, 0.021, 0.019, 0.014]"
