Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['problem', 'support', 'email', 'request', 'dear', 'unblock', 'month', 'kindly', 'idea', 'add']","[0.295, 0.08, 0.062, 0.062, 0.034, 0.017, 0.017, 0.017, 0.017, 0.011]","['bad', 'number', 'wrong', 'account', 'reply', 'code', 'reason', 'faceon', 'anymore', 'team']","[0.15, 0.106, 0.042, 0.033, 0.032, 0.031, 0.024, 0.024, 0.024, 0.024]"
"['problem', 'upload', 'friend', 'solve', 'file', 'good', 'sir', 'service', 'yesterday', 'system']","[0.18, 0.126, 0.102, 0.072, 0.042, 0.036, 0.036, 0.036, 0.024, 0.018]","['application', 'open', 'device', 'crash', 'hang', 'close', 'mode', 'waste', 'fix', 'great']","[0.435, 0.129, 0.05, 0.047, 0.037, 0.032, 0.024, 0.024, 0.023, 0.015]"
"['message', 'voice', 'bug', 'late', 'profile', 'back', 'assistance', 'yo', 'mdia', 'doe']","[0.305, 0.123, 0.11, 0.058, 0.039, 0.026, 0.013, 0.013, 0.013, 0.013]","['notification', 'receive', 'message', 'check', 'open', 'sound', 'set', 'ap', 'pop', 'disappear']","[0.198, 0.121, 0.073, 0.048, 0.047, 0.04, 0.033, 0.027, 0.026, 0.023]"
"['video', 'trouble', 'receive', 'day', 'note', 'picture', 'resolve', 'frustrating', 'share', 'immediately']","[0.154, 0.083, 0.071, 0.071, 0.053, 0.047, 0.041, 0.041, 0.024, 0.024]","['time', 'bad', 'give', 'star', 'save', 'set', 'memory', 'restore', 'love', 'restart']","[0.292, 0.149, 0.084, 0.054, 0.048, 0.025, 0.02, 0.019, 0.017, 0.015]"
"['work', 'soon_possible', 'version', 'ese', 'story', 'provide', 'download', 'morning', 'forward', 'este']","[0.204, 0.105, 0.099, 0.031, 0.031, 0.025, 0.025, 0.019, 0.019, 0.019]","['phone', 'doe', 'android', 'note', 'samsung', 'switch', 'put', 'galaxy', 'space', 'force']","[0.268, 0.179, 0.043, 0.026, 0.025, 0.024, 0.021, 0.021, 0.018, 0.015]"
"['issue', 'image', 'face', 'wrong', 'document', 'aware', 'card', 'application', 'week', 'view']","[0.394, 0.223, 0.104, 0.031, 0.021, 0.016, 0.01, 0.01, 0.01, 0.01]","['change', 'make', 'option', 'add', 'feature', 'sticker', 'hate', 'backup', 'user', 'latest_version']","[0.087, 0.069, 0.056, 0.05, 0.046, 0.041, 0.034, 0.033, 0.03, 0.028]"
"['phone', 'time', 'call', 'change', 'connect', 'display', 'switch', 'give', 'crash', 'recovery']","[0.223, 0.144, 0.085, 0.053, 0.037, 0.027, 0.021, 0.021, 0.016, 0.016]","['contact', 'friend', 'happen', 'mobile', 'wife', 'online', 'suddenly', 'aps', 'network', 'even_though']","[0.243, 0.132, 0.06, 0.057, 0.033, 0.031, 0.029, 0.027, 0.024, 0.019]"
"['status', 'update', 'contact', 'show', 'type', 'user', 'visible', 'back', 'history', 'window']","[0.192, 0.169, 0.085, 0.068, 0.051, 0.04, 0.028, 0.023, 0.023, 0.017]","['message', 'send', 'delete', 'person', 'receive', 'read', 'deliver', 'tick', 'verification_code', 'horrible']","[0.409, 0.096, 0.096, 0.071, 0.029, 0.021, 0.019, 0.017, 0.016, 0.014]"
"['fix', 'beta', 'break', 'code', 'shit', 'verification', 'store', 'review', 'disappear', 'mother']","[0.276, 0.099, 0.088, 0.05, 0.044, 0.022, 0.022, 0.017, 0.017, 0.017]","['send', 'picture', 'image', 'unable', 'camera', 'voice_note', 'everytime', 'terrible', 'post', 'process']","[0.373, 0.183, 0.106, 0.045, 0.025, 0.025, 0.023, 0.013, 0.011, 0.011]"
"['problem', 'backup', 'team', 'restore', 'whatsapdown', 'hope', 'thing', 'clear', 'reason', 'crash']","[0.333, 0.05, 0.039, 0.039, 0.033, 0.033, 0.028, 0.028, 0.028, 0.022]","['status', 'unload', 'update', 'remove', 'hour', 'connection', 'internet', 'minute', 'annoying', 'speed']","[0.36, 0.123, 0.095, 0.034, 0.032, 0.029, 0.028, 0.022, 0.017, 0.017]"
