Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['whatsap', 'trouble', 'guy', 'solve', 'solution', 'wait', 'web', 'important', 'bad', 'add']","[0.225, 0.063, 0.056, 0.049, 0.042, 0.042, 0.035, 0.035, 0.028, 0.028]","['application', 'great', 'year', 'love', 'system', 'messaging', 'date', 'feedback', 'sap', 'stupid']","[0.759, 0.027, 0.018, 0.017, 0.012, 0.011, 0.007, 0.006, 0.006, 0.005]"
"['iphone', 'bug', 'phone', 'break', 'restore', 'min', 'set', 'msg', 'expire', 'distortion']","[0.205, 0.159, 0.144, 0.053, 0.045, 0.03, 0.03, 0.023, 0.015, 0.015]","['day', 'happen', 'connect', 'wife', 'internet', 'connection', 'account', 'today', 'mobile', 'hour']","[0.087, 0.08, 0.066, 0.06, 0.056, 0.05, 0.046, 0.043, 0.041, 0.039]"
"['update', 'video', 'code', 'reply', 'picture', 'start', 'poor', 'hack', 'install', 'leave']","[0.175, 0.063, 0.063, 0.049, 0.042, 0.042, 0.028, 0.028, 0.028, 0.021]","['fix', 'bug', 'friend', 'soon_possible', 'crash', 'story', 'everytime', 'lag', 'yesterday', 'galaxy']","[0.33, 0.106, 0.101, 0.078, 0.052, 0.038, 0.027, 0.023, 0.015, 0.014]"
"['error', 'notification', 'download', 'dear', 'android', 'message', 'access', 'person', 'find', 'option']","[0.098, 0.083, 0.053, 0.045, 0.045, 0.045, 0.045, 0.038, 0.03, 0.03]","['chat', 'back', 'datum', 'medium', 'install', 'backup', 'restore', 'lose', 'forward', 'access']","[0.12, 0.084, 0.073, 0.038, 0.033, 0.029, 0.029, 0.027, 0.022, 0.022]"
"['account', 'ban', 'issue', 'resolve', 'solve', 'email', 'immediately', 'steal', 'suspendida', 'tidak']","[0.192, 0.126, 0.126, 0.093, 0.06, 0.04, 0.033, 0.02, 0.013, 0.013]","['good', 'group', 'application', 'share', 'feature', 'add', 'lot', 'find', 'respond', 'doe']","[0.118, 0.062, 0.059, 0.051, 0.049, 0.049, 0.04, 0.028, 0.024, 0.02]"
"['whatsap', 'group', 'delete', 'reinstall', 'connect', 'big', 'write', 'understand', 'hour', 'touch']","[0.239, 0.071, 0.052, 0.032, 0.032, 0.032, 0.026, 0.026, 0.019, 0.019]","['contact', 'delete', 'option', 'people', 'save', 'remove', 'annoying', 'sticker', 'list', 'multiple']","[0.198, 0.1, 0.077, 0.058, 0.033, 0.029, 0.028, 0.026, 0.022, 0.02]"
"['crash', 'version', 'response', 'check', 'listen', 'store', 'lose', 'today', 'beta', 'reason']","[0.114, 0.101, 0.054, 0.04, 0.034, 0.034, 0.034, 0.034, 0.027, 0.02]","['status', 'unload', 'load', 'view', 'post', 'mute', 'trouble', 'fast', 'vedic', 'song']","[0.45, 0.076, 0.048, 0.039, 0.03, 0.028, 0.026, 0.022, 0.015, 0.012]"
"['problem', 'number', 'support', 'block', 'friend', 'cok', 'voice', 'change', 'annoy', 'fail']","[0.231, 0.154, 0.11, 0.044, 0.033, 0.016, 0.016, 0.016, 0.011, 0.011]","['phone', 'number', 'instal', 'wrong', 'support', 'aps', 'code', 'deinstal', 'reply', 'reason']","[0.232, 0.124, 0.064, 0.041, 0.032, 0.029, 0.029, 0.027, 0.027, 0.026]"
"['back', 'service', 'make', 'verification', 'report', 'user', 'mac', 'people', 'quickly', 'grin']","[0.128, 0.074, 0.054, 0.047, 0.04, 0.04, 0.034, 0.034, 0.027, 0.02]","['update', 'version', 'suck', 'unable', 'emosi', 'force', 'software', 'play_store', 'send', 'review']","[0.521, 0.143, 0.039, 0.034, 0.031, 0.014, 0.013, 0.01, 0.007, 0.007]"
"['contact', 'time', 'doe', 'backup', 'happen', 'chat', 'icloud', 'photo', 'lock', 'text']","[0.114, 0.101, 0.07, 0.07, 0.057, 0.044, 0.038, 0.032, 0.025, 0.025]","['work', 'doe', 'properly', 'stop', 'slow', 'suddenly', 'fine', 'speed', 'week', 'delay']","[0.412, 0.143, 0.083, 0.075, 0.058, 0.035, 0.015, 0.014, 0.013, 0.011]"
"['problem', 'error', 'call', 'day', 'history', 'technical', 'save', 'storage', 'activate', 'create']","[0.392, 0.102, 0.06, 0.036, 0.024, 0.018, 0.018, 0.012, 0.012, 0.012]","['update', 'late', 'service', 'camera', 'android', 'start', 'hate', 'massage', 'log', 'guy']","[0.276, 0.053, 0.036, 0.034, 0.032, 0.029, 0.026, 0.026, 0.024, 0.024]"
"['send', 'message', 'receive', 'kindly', 'lagi', 'unable', 'quality', 'month', 'feauture', 'sticker']","[0.255, 0.216, 0.078, 0.039, 0.039, 0.026, 0.02, 0.013, 0.013, 0.007]","['call', 'video', 'voice', 'make', 'hang', 'poor', 'minute', 'end', 'button', 'record']","[0.323, 0.136, 0.134, 0.049, 0.034, 0.032, 0.029, 0.021, 0.021, 0.016]"
"['work', 'issue', 'audio', 'give', 'connection', 'screen', 'late', 'internet', 'file', 'mess']","[0.232, 0.077, 0.071, 0.052, 0.032, 0.032, 0.026, 0.026, 0.026, 0.019]","['show', 'photo', 'person', 'error', 'online', 'latest_version', 'clear', 'user', 'deliver', 'fail']","[0.203, 0.091, 0.07, 0.062, 0.04, 0.032, 0.03, 0.027, 0.025, 0.021]"
"['fix', 'status', 'auto', 'email', 'launch', 'affect', 'wifi', 'friend', 'impossible', 'massage']","[0.413, 0.067, 0.027, 0.02, 0.02, 0.02, 0.013, 0.013, 0.013, 0.013]","['problem', 'solve', 'fix', 'big', 'device', 'good', 'type', 'irritate', 'solution', 'full']","[0.462, 0.081, 0.062, 0.023, 0.022, 0.022, 0.017, 0.015, 0.013, 0.013]"
"['application', 'issue', 'open', 'face', 'desktop', 'team', 'faq', 'mobile', 'tech', 'disturb']","[0.231, 0.119, 0.077, 0.063, 0.028, 0.021, 0.014, 0.014, 0.014, 0.014]","['download', 'change', 'give', 'text', 'file', 'unable', 'make', 'thing', 'watson', 'turn']","[0.188, 0.065, 0.061, 0.055, 0.054, 0.052, 0.05, 0.049, 0.025, 0.025]"
,,"['issue', 'quality', 'send', 'picture', 'face', 'image', 'note', 'pic', 'star', 'kindly']","[0.19, 0.08, 0.073, 0.069, 0.048, 0.047, 0.035, 0.034, 0.028, 0.025]"
,,"['bad', 'time', 'send', 'long', 'experience', 'waste', 'upgrade', 'wait', 'terrible', 'important']","[0.3, 0.27, 0.083, 0.043, 0.031, 0.02, 0.015, 0.015, 0.013, 0.011]"
,,"['video', 'sound', 'status', 'play', 'audio', 'hear', 'watch', 'volume', 'put', 'listen']","[0.301, 0.122, 0.12, 0.093, 0.077, 0.049, 0.023, 0.017, 0.016, 0.011]"
,,"['message', 'send', 'receive', 'frustrate', 'instantly', 'light', 'pm', 'match', 'lava', 'thr']","[0.419, 0.321, 0.163, 0.005, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002]"
,,"['open', 'message', 'notification', 'check', 'screen', 'read', 'close', 'unle', 'set', 'samsung']","[0.181, 0.168, 0.168, 0.052, 0.045, 0.026, 0.025, 0.019, 0.019, 0.017]"
