index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
17601,9,1,Amazon,,"['application', 'be', 'complete_garbage', 'not', 'click', 'thing', 'image', 'size', 'color', 'option', 'have', 'keep', 'go', 'back', 'click', 'product', 'hop', 'time', 'application', 'actually', 'work', 'do', 'not', 'use', 'application', 'anymore', 'application', 'be', 'absolutely', 'break']",2019-03-23,518298,"This app is complete garbage now. You can't click on things like images, sizes, or color options, so you have to keep going back and clicking the product again hoping one of these times this trash app will actually work. DO NOT USE THIS APP ANYMORE, IT IS ABSOLUTELY BROKEN",1,this application is complete garbage now you can not click on thing like image size or color option so you have to keep going back and clicking the product again hoping one of these time this application will actually work do not use this application anymore this application is absolutely broken,M E,,
17611,19,1,Amazon,,"['log', 'keep', 'get', 'screen', 'show', 'dog', 'weird', 'message', 'say', 'uh_oh', 'something_went', 'wrong', 'end', 'tried_uninstaling', 'installing', 'still', 'not', 'work', 'get', 'log', 'chrome', 'frustrating', 'big', 'company', 'amazon', 'not', 'debut', 'big', 'company', 'amazon', 'aps']",2019-03-20,518310,"Logged in and I keep getting a screen showing a dog (weird) and a message that says ""Uh-oh. Something went wrong on our end."" Tried uninstalling and reinstalling, still won't work. I can get by with logging in on Chrome, but just frustrating that a big company like Amazon can't debug their apps?",3,logged in and i keep getting a screen showing a dog weird and a message that say uh-oh something went wrong on our end tried uninstaling and installing still will not work i can get by with logging in on chrome but just frustrating that a big company like amazon can not debut a big company like amazon aps,Mitch Yurkovich,,
17618,26,1,Amazon,,"['application', 'however', 'have', 'be', 'get', 'random', 'switching', 'part', 'screen', 'keep', 'flash', 'black', 'doe', 'application', 'concern', 'virus', 'something', 'order', 'computer', 'have', 'uninstale', 'instal', 'multiple', 'time', 'have', 'even', 'check', 'phone', 'virus', 'not', 'find', 'anything', 's', 'cause', 'see', 'bug', 'computer', 'application', 'phone', 'glitch', 'not', 'use', 'computer', 'anytime', 'soon']",2019-03-21,518317,"iIlike the app. However, ive been getting random glitching where part of my screen keep flashing black. Only does this in the app . Im concern for a virus or something so i only order on my computer. Ive uninstalled and reinstalled multiple time. Ive even chevk my phone for viruses. i cannot find anything thats causing it . Please see if there any bugs. Its the only app in my phone that glitches. I wont be using it anytime soon.",1,like the application however i have been getting random switching where part of my screen keep flashing black only doe this in the application i concern for a virus or something so i only order on my computer i have uninstaled and installed multiple time i have even check my phone for virus i can not find anything thats causing it please see if there any bug my computer the only application in my phone that glitch i will not be using my computer anytime soon,Ashley Hernandez,,
17620,28,1,Amazon,,"['have', 'goole', 'pixel', 'keep', 'have', 'toggle', 'wife', 'view', 'anything', 'know', 'be', 'not', 'internet_connection', 'have', 'trouble', 'tired', 'seeing', 'dang', 'uh_oh', 'dog', 'page', 'frustrating']",2019-03-20,518319,"I have a Google Pixel 3. I keep having to toggle my wifi on and off to view anything. I know it's not my internet connection bc i have no trouble with my other apps. I'm so tired of seeing that dang ""uh-oh"" dog page... So frustrating!",3,i have a goole pixel i keep having to toggle my wife on and off to view anything i know it is not my internet connection bc i have no trouble with my other aps i am so tired of seeing that dang uh-oh dog page so frustrating,Megan Ledoux,,
17650,58,1,Amazon,,"['log', 'in', 'keep', 'ask', 'expiration', 'date', 'card', 'do', 'not', 'have', 'anymore', 'be', 'dumb', 'af']",2019-03-19,518356,to log in it keeps asking me for expiration date of a card I dont have anymore. this is dumb af.,1,to log in it keep asking me for expiration date of a card i do not have anymore this is dumb af,Seth Johnston,,
17660,68,1,Amazon,,"['star', 'be', 'log', 'button', 'be', 'hard', 'find', 'ever', 'design', 'stupid', 'application', 'have', 'instal', 'deinstall', 'log', 'shake', 'head']",2019-03-10,518419,"1 star because there is no log out button, or if there is... its hard to find who ever designed this stupid app. have to uninstall and reinstall for logging out.. smh",1,star because there is no log out button or if there is its hard to find who ever designed this stupid application have to instal and deinstall for logging out shaking my head,Diamond Gaming,,
17688,96,1,Amazon,,"['many', 'gd', 'bug', 'doe', 'application', 'suck', 'bad', 'shameful']",2019-03-10,518489,So many GD bugs. Why does this app suck so bad? Shameful.,1,so many gd bug why doe this application suck so bad shameful,A Google User,,
17716,124,1,Amazon,,"['constantly', 'crash', 'week']",2019-03-20,518522,Constantly Crashing for weeks now..!,1,constantly crashing for week now,Mxx Kxx,,
17749,157,1,Amazon,,"['new', 'version', 'int', 'work']",2019-03-20,518603,new version isnt working,1,new version int working,A Google User,,
17754,162,1,Amazon,,"['search', 'feature', 'be', 'not', 'work']",2019-03-20,518610,search feature isn't working.,1,search feature is not working,Ally M,,
