index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
58540,40948,1,Messenger,,"['application', 'doe', 'not', 'show', 'else', 'online', 'show', 'day']",2019-03-23,420738,this app does not show who else are online..it only shows day...,1,this application doe not show who else are online only show day,A Google User,,
58550,40958,1,Messenger,,"['disappointed', 'get', 'friend', 'change', 'set', 'ever', 'have', 'do', 'ruin', 'experience']",2019-03-23,420749,disappointed how you got friends that can change your settings and emojis..what ever you've done to this has ruined my experience on this..,1,disappointed how you got friend that can change your setting and emojiswhat ever you have done to this has ruined my experience on this,Greg Brown,,
58560,40968,1,Messenger,,"['garbage', 'have', 'have', 'application', 'receive', 'message', 'mobile']",2019-03-23,420769,garbage that you have to have this app to receive messages on mobile,1,garbage that you have to have this application to receive message on mobile,Jeremy Bergener,,
58562,40970,1,Messenger,,"['day', 'doe', 'work', 'messenger', 'fix', 'day']",2019-03-23,420772,My Day doesnt work in my messenger please fix it,1,my day doe work in my messenger please fix my day,A Google User,,
58564,40972,1,Messenger,,"['bad', 'update', 'lose', 'old', 'grp', 'conversation', 'could', 'not', 'find', 'old', 'grp', 'conversation']",2019-03-23,420774,worst update .... i lost my old grp conversation ... i could not find it,1,worst update i lost my old grp conversation i could not find my old grp conversation,Maqsood Hussain,,
58569,40977,1,Messenger,,"['whenever', 'amazing', 'someone', 'end', 'due', 'bad', 'connection', 'have', 'stable', 'internet']",2019-03-23,420779,"whenever im calling with someone, it ends by itself due to ""bad connection"" but we both have stable internet",2,whenever i amazing with someone it end by it due to bad connection but we both have stable internet,John Lam,,
58589,40997,1,Messenger,,"['try', 'install', 'be', 'show', 'data', 'restriction', 'have', 'unlimited', 'datum', 'be', 'annoy', 'seriously', 'be', 'never', 'be', 'happen', 'almost', 'lose', 'mind']",2019-03-23,420803,"I'm trying to install it but it's showing data restrictions. But i have unlimited data, it's annoying seriously it's never been hapoend before. I'm almost losing my mind.",1,i am trying to install it but it is showing data restriction but i have unlimited data it is annoying seriously it is never been happened before i am almost losing my mind,Pradeep Tomar,,
58594,41002,1,Messenger,,"['tech', 'team', 'application', 'not', 'work', 'well', 'month', 'longer', 'not', 'connect', 'network', 'always', 'show', 'wait', 'network', 'several', 'time', 'download', 'something', 'messenger', 'feature', 'have', 'not', 'see', 'feature', 'download', 'matter', 'account', 'have', 'full', 'datum', 'application', 'not', 'work', 'correctly', 'have', 'instal', 'install', 'several', 'time', 'not', 'resolve', 'finally', 'use', 'lite', 'application', 'do', 'not', 'like', 'finally', 'use', 'lite', 'application', 'help', 'immediately', 'wait', 'feedback', 'tax', 'dara']",2019-03-23,420809,"Hi tech team, This app not working well withing 2mnths. Longer not connect with network. Always showing waiting for network and several times downloding something as messenger feature. I have not seen that feature downloding before this matter. My account have full with data. But, only this app not working correctly. I have uninstall and install several times. But, not resolve. Finally I had use lite app. But, I don't like it. So, plz help me immediately. I'm waiting for feedback. Tnx. - Udara",1,hi tech team this application not working well within month longer not connect with network always showing waiting for network and several time downloading something a messenger feature i have not seen that feature downloading before this matter my account have full with data but only this application not working correctly i have instal and install several time but not resolve finally i had use lite application but i do not like finally i had use lite application so please help me immediately i am waiting for feedback tax dara,Udara Hewage,,
58605,41013,1,Messenger,,"['messenger', 'be', 'good', 'forever', 'voice', 'call', 'video', 'call', 'bad', 'give', 'guy', 'fix', 'issue', 'soon_possible']",2019-03-23,420820,Messenger is good for me like forever. but voice calls and video calls are too bad. I'll give 5★ if u guys fix this issue as soon as possible.,2,messenger is good for me like forever but voice call and video call are too bad i will give if you guy fix this issue a soon a possible,Adolf Gourab,,
58620,41028,1,Messenger,,"['slow', 'buggy', 'stupid', 'have', 'report', 'many', 'bug', 'multiple', 'time', 'month_ago', 'everything', 'be', 'still', 'be', 'bunch', 'fresh', 'graduate', 'experimenting']",2019-03-23,420836,"slow, buggy and stupid. I've reported many bugs multiple times 6+ months ago and everything's still the same. it's like a bunch of fresh graduates are experimenting with it",1,slow buggy and stupid i have reported many bug multiple time month ago and everything is still the same it is like a bunch of fresh graduate are experimenting with it,Fadi Sakkal,,
