index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
173721,156129,1,WeChat,,"['bad', 'application', 'doe', 'not', 'log', 'bad', 'application', 'signing']",2019-04-30,564047,worst app doesn't logged it after signing up,1,worst application doe not logged worst application after signing up,Sanjay Naik,,
173722,156130,1,WeChat,,"['make', 'china', 'not', 'reliable']",2019-04-30,564048,made in China.. not reliable at all..,2,made in china not reliable at all,Norbu Tseringg,,
173723,156131,1,WeChat,,"['bottle', 'not', 'use', 'not', 'receive', 'throw', 'chat']",2019-04-30,564050,why my wechat bottle cannot be used.. i cnnot received any chat and throw any chat,1,why my what bottle can not be used i not received any chat and throw any chat,Faz Hafiz,,
173732,156140,1,WeChat,,"['unusable', 'registration', 'presume', 'security', 'breach', 'lock', 'account', 'recovery', 'doe', 'not', 'work', 'look', 'sham', 'application', 'instal']",2019-04-30,564070,unusable. Registration presumes 'security breach' and locks out. Account recovery doesn't work. Looks like a sham app. UNINSTALL,1,unusable registration presumes security breach and lock out account recovery doe not work look like a sham application instal,"chris .,",,
173735,156143,1,WeChat,,"['always', 'not', 'log']",2019-04-30,564074,always cant log in,1,always can not log in,Jack Uup,,
173736,156144,1,WeChat,,"['already', 'month', 'keep', 'install', 'still', 'face', 'problem', 'see', 'people_nearby', 'people_nearby', 'not', 'see', 'greet', 'help', 'fix', 'people']",2019-04-30,564077,"Already two mnths i keep re install this wechat. i still facing same problem. i can see peole nearby , but the people nearby cannot see me or greet me. please help me to fix it.",1,already two month i keep re install this what i still facing same problem i can see people nearby but the people nearby can not see me or greet me please help me to fix people,A Google User,,
173737,156145,1,WeChat,,"['bad', 'application', 'would', 'ever', 'haveplease', 'do', 'not', 'download', 'tit', 'be', 'waste', 'mobile', 'datum', 'time']",2019-04-30,564079,The worst app I'd ever have.Pls do not download it.It is just a waste of your mobile data and time.,1,the worst application i would ever haveplease do not download tit is just a waste of your mobile data and time,A Google User,,
173738,156146,1,WeChat,,"['update', 'already', 'lag', 'serious']",2019-04-30,564080,"Update alrdy, lag serious",1,update already lag serious,zi yee,,
173740,156148,1,WeChat,,"['unrealistic', 'security', 'check', 'criterion']",2019-04-30,564083,Unrealistic security check criteria.,1,unrealistic security check criterion,Marek Kosmala,,
173741,156149,1,WeChat,,"['application', 'doe', 'not', 'work']",2019-04-30,564089,this app doesn't work at all,1,this application doe not work at all,Thobekile Gwala Thobekile,,
173743,156151,1,WeChat,,"['not', 'see', 'notification', 'call', 'ims']",2019-04-30,564093,can't see notifications for calla and IMs,1,can not see notification for call and ims,Lasitha Prabhash,,
173746,156154,1,WeChat,,"['do', 'not', 'make', 'complicated', 'fool', 'keep', 'confirmation', 'idiot', 'thought', 'remember', 'friend', 'daft', 'application']",2019-04-29,564102,Don't make it complicated u fooollll... Keep on confirmations like a idiot.. U thought we remember who our friend... Dafuq application,1,do not make it complicated you fool keep on confirmation like a idiot you thought we remember who we friend daft application,Bobby Cua,,
173747,156155,1,WeChat,,"['application', 'suckcanot', 'not', 'sign']",2019-04-29,564103,This app suck...can't not sign up...,1,this application suckcanot not sign up,Lung Vikernes,,
173749,156157,1,WeChat,,"['get', 'back', 'use', 'not', 'anymore', 'not', 'register', 'help', 'friend', 'not', 'work', 'bad']",2019-04-29,564105,I just got back from using wechat but its not the same anymore u cant register without a help of a friend but it wont work . so bad,1,i just got back from using what but its not the same anymore you can not register without a help of a friend but its will not work so bad,James Parco,,
173754,156162,1,WeChat,,"['application', 'suck', 'not', 'even', 'make', 'new', 'account', 'lose', 'account', 'not', 'make']",2019-04-29,564119,this app suck you cant even make a new account once you lost your account you cant make another,1,this application suck you can not even make a new account once you lost your account you can not make another,Rij Standoff2,,
173757,156165,1,WeChat,,"['application', 'be', 'complete', 'mess', 'ask', 'someone', 'else', 'location', 'verify', 'new', 'location', 'think', 'difficult', 'imagine', 'not', 'verify', 'account', 'mean', 'use', 'not', 'client', 'be', 'china', 'request', 'would', 'have', 'uninstale', 'not', 'client', 'be', 'china', 'request', 'fast']",2019-04-29,564126,"This App is a Complete Mess. How can you ask someone else in my location to verify me. What if I'm new in my location, who thought of this, difficult to imagine. Why can't I verify my account through other means we're used to... If not that my client who's in china requested for this. Would have Uninstalled it fast..",1,this application is a complete mess how can you ask someone else in my location to verify me what if i am new in my location who thought of this difficult to imagine why can not i verify my account through other mean we are used to if not that my client who is in china requested for this would have uninstaled not that my client who is in china requested for this fast,Joseph Joseph,,
173761,156169,1,WeChat,,"['photo', 'other', 'document', 'not', 'find', 'day']",2019-04-29,564132,Photos & others documents are not found after few days.,3,photo and others document are not found after few day,Mokammel Hossain,,
173762,156170,1,WeChat,,"['application', 'be', 'not', 'get', 'download', 'be', 'issue', 'doe', 'not', 'show', 'error', 'something', 'installation', 'stop', 'time']",2019-04-29,564135,"App is not getting downloaded, what's the issue?? Doesn't show any error or something, but installation stops every time.",1,application is not getting downloaded what is the issue doe not show any error or something but installation stop every time,Mishal Khalid,,
173765,156173,1,WeChat,,"['not', 'worth', 'trouble', 'not', 'get', 'help']",2019-04-29,564145,Not at all worth the trouble can't get any help,1,not at all worth the trouble can not get any help,bill schulze,,
173767,156175,1,WeChat,,"['bad', 'application', 'life']",2019-04-29,564149,the worst app in my life,1,the worst application in my life,Mohd Tahir,,
173772,156180,1,WeChat,,"['bad', 'messaging', 'application', 'ever', 'create', 'minute', 'set', 'dint', 'work', 'apparently', 'amazed', 'use', 'bad', 'messaging', 'application', 'garbage', 'full', 'everything', 'useless', 'nothing', 'useful']",2019-04-30,564160,"worst messaging app ever created. 15 minutes to set up, didnt work, apparently im banned. used the app before, garbage. . full of everything useless and nothing usefull.",1,worst messaging application ever created minute to set up dint work apparently i amazed used worst messaging application before garbage full of everything useless and nothing useful,Aaryn Taylor,,
173773,156181,1,WeChat,,"['get', 'new', 'phone', 'old', 'phone', 'break', 'not', 'login', 'account', 'new', 'phone', 'boz', 'security', 'kind', 'look', 'stupid', 'need', 'verification', 'friend', 'do', 'not', 'even', 'understand', 'still', 'not', 'login', 'new', 'phone', 'way', 'goodbye', 'bitch']",2019-04-30,564162,F offf I got a new phone and my old phone has broke! I can't login my account on my new phone bcoz of security that kinda look so stupid and i need verification from my friend and I dont even understand that Until now i still cannot login on my new phone btw goodbye wechat and hi to whatsapp btch!,1,f off i got a new phone and my old phone has broke i can not login my account on my new phone boz of security that kind of look so stupid and i need verification from my friend and i do not even understand that until now i still can not login on my new phone by the way goodbye what and hi to whatsit bitch,Danish Syahmi,,
173774,156182,1,WeChat,,"['unable', 'send', 'photo', 'even', 'good', 'network', 'fix', 'even', 'good', 'network', 'quickly', 'wise', 'company', 'impose', 'penalty']",2019-04-30,564165,WHY UNABLE TO SENT PHOTOS EVEN IN GOOD NETWORK... FIX IT QUICKLY... OTHER WISE MY COMPANY WILL IMPOSE PENALTY ON ME...,1,why unable to sent photo even in good network fix even in good network quickly other wise my company will impose penalty on me,Saroj Ray,,
173779,156187,1,WeChat,,"['say', 'report', 'suspicious_activity', 'see', 'arnot', 'anyone', 'issue', 'deal', 'people', 'china']",2019-04-30,564178,says it reports suspicious activity and I see im not only.one with this issue. easiest way to deal with people in China!!!!!,1,say it report suspicious activity and i see i arnot anyone with this issue easiest way to deal with people in china,Claire and Matt Johnson,,
173780,156188,1,WeChat,,"['sign', 'today', 'get', 'block', 'instantly', 'even', 'log', 'never', 'use', 'application']",2019-04-30,564180,I just signed up today and got blocked instantly without even logging in. Never gonna use this app again.,1,i just signed up today and got blocked instantly without even logging in never gon na use this application again,paras nayal,,
173782,156190,1,WeChat,,"['call', 'friend', 'not', 'meanwhile', 'play', 'other', 'game']",2019-04-30,564187,when i call with friend why i cant Meanwhile play others games,2,when i call with friend why i can not meanwhile play others game,Ku Jennifer,,
173785,156193,1,WeChat,,"['doe', 'not', 'send', 'verification_code', 'take', 'long', 'send', 'verification_code', 'keep', 'say', 'friend']",2019-04-30,564195,it doesn't send the verification code or it takes so long to send a verification code and it keeps saying about a friend,1,it doe not send the verification code or it take so long to send a verification code and it keep saying about a friend,Marco Jallorina,,
173787,156195,1,WeChat,,"['call', 'friend', 'be', 'bad', 'experience', 'sound', 'robot', 'bad', 'application']",2019-04-30,564203,calling between friends is bad experience it sounds like robots very bad app,1,calling between friend is bad experience it sound like robot very bad application,Yug Dharma Kirtaniyas,,
173790,156198,1,WeChat,,"['profile', 'invisible', 'nearby', 'do', 'not', 'know', 'nearby', 'hour', 'message', 'receive', 'message', 'receive', 'invisible', 'other', 'even', 'shake', 'message', 'receive', 'response', 'receive', 'be', 'something', 'wrong', 'account', 'twice', 'instal', 'message', 'receive', 'even', 'change', 'password', 'still', 'profile', 'be', 'invisible']",2019-04-28,564210,my profile are invisible if i on my nearby. i dont know why? i on my nearby 24 hours but no message i recieve. and its invisible to others. even shaking it no response i recieve. is theres something wrong about my account? i twice to uninstall it and even change my password. but still my profile is invisible.,2,my profile are invisible if i on my nearby i do not know why i on my nearby hour but no message i receive and no message i receive invisible to others even shaking no message i receive no response i receive is there something wrong about my account i twice to instal no message i receive and even change my password but still my profile is invisible,Arlene Besa,,
173791,156199,1,WeChat,,"['send', 'picture', 'friend', 'not', 'send', 'message', 'anymore', 'log', 'account', 'not', 'login', 'anymore']",2019-04-28,564212,I just send a picture to a friend after that i can't send messages anymore. I logged out my account. Now I can't login anymore,2,i just send a picture to a friend after that i can not send message anymore i logged out my account now i can not login anymore,Jean Irish Cosip,,
173792,156200,1,WeChat,,"['recently', 'be', 'block', 'use', 'application', 'reason', 'blocking', 'be', 'unknown', 'procedure', 'get', 'unblocked', 'be', 'not', 'practical', 'account', 'be', 'block', 'month', 'have', 'complain', 'authority', 'action', 'have', 'not', 'get', 'positive', 'reply', 'be', 'work', 'bad', 'past', 'year', 'do', 'not', 'install', 'application']",2019-04-28,564211,recently been blocked of using the app. The reason for blocking is unknown and the procedure to get unblocked is not practical. My account has been blocked for over 6 months and have complained wechat authorities for action but haven't got any positive replies. wechat has been working worst for the past 1 year. Don't install this app.,1,recently been blocked of using the application the reason for blocking is unknown and the procedure to get unblocked is not practical my account has been blocked for over month and have complained what authority for action but have not got any positive reply what has been working worst for the past year do not install the application,Nikhil Gupta,,
173795,156203,1,WeChat,,"['take', 'min', 'several', 'finally', 'able', 'sign', 'ask', 'create', 'password', 'do', 'not', 'ask', 'input', 'second', 'time', 'probability', 'create', 'wrong', 'password', 'be', 'high', 'try', 'sign', 'code', 'show', 'screen', 'type', 'code', 'have', 'not', 'receive', 'yet', 'have', 'figure', 'green', 'send', 'button', 'front', 'space', 'input', 'code', 'be', 'not', 'ment', 'send', 'code', 'code', 'be', 'mean', 'send', 'code']",2019-04-28,564225,"Took me over 10 min and several SMS confirmation codes to finally be able to sign in. When asking to create a password they don't ask to input a second time so probability of creating the wrong password is high. When trying to sign in through a SMS code, they show you a screen to type in the code you haven't received yet, and you have to figure out the green ""send"" button in front of the space to input the code is not ment for you to send the code, it's meant for them to send you the SMS with it",1,took me over min and several sm confirmation code to finally be able to sign in when asking to create a password they do not ask to input a second time so probability of creating the wrong password is high when trying to sign in through a sm code they show you a screen to type in the code you have not received yet and you have to figure out the green send button in front of the space to input a sm code is not ment for you to send the code a sm code is meant for they to send you the sm with a sm code,Daniel Santos,,
173796,156204,1,WeChat,,"['application', 'update', 'not', 'see', 'text', 'box', 'cent', 'type', 'hebrew']",2019-04-28,564226,After app update to v 7 Cant see text box and cent type (lg g6 hebrew),1,after application update to v can not see text box and cent type lg grin hebrew,גיא אברהם,,
173798,156206,1,WeChat,,"['not', 'able', 'send', 'message', 'new', 'update', 'be', 'bad', 'feeling', 'use', 'application']",2019-04-28,564229,i am not able to send messages after new update it's worst feeling to use this app now,1,i am not able to send message after new update it is worst feeling to use this application now,Piyush Sevak,,
173801,156209,1,WeChat,,"['instal', 'application', 'talk', 'someone', 'china', 'job', 'block', 'hour', 'sign', 'do', 'not', 'use', 'illegal', 'software', 'android', 'emulator', 'fake', 'gps', 'nothing', 'kind']",2019-04-28,564234,"I installed the app just to talk to someone in China for a job and I was blocked 48 hours after I signed in. I don't use any illegal software nor android emulators nor fake GPS, nothing of that kind!!",1,i installed the application just to talk to someone in china for a job and i was blocked hour after i signed in i do not use any illegal software nor android emulator nor fake gps nothing of that kind,Marisol Santibañez Espinoza,,
173802,156210,1,WeChat,,"['do', 'mean', 'would', 'password', 'wrong', 'not', 'religion', 'acc', 'bring_back', 'do', 'not', 'send', 'email']",2019-04-28,564235,What do you mean my id and password are wrong? I can't relogin my acc ! Bring back my acc and you didn't send the email at all !,1,what do you mean my id and password are wrong i can not religion my acc bring back my acc and you did not send the email at all,adda mafty,,
173811,156219,1,WeChat,,"['well', 'want', 'use', 'application', 'not', 'log', 'back', 'in', 'account', 'suspicious_activity', 'account', 'see', 'old', 'review', 'be', 'old', 'review', 'be', 'year', 'old', 'not', 'log', 'account', 'suspicious', 'try', 'log', 'back', 'in', 'account', 'doe', 'not', 'make', 'sense']",2019-04-28,564254,"Well.. I wanted to use this app again but can't log back in into my account that has ""a suspicious activity"" on my account. I saw that my old review is from 2014 so it's few years old since then I was not log in into my account but why WeChat itself suspicious to me that I try to log back in into my account? It doesn't make any sense..",1,well i wanted to use this application again but can not log back in into my account that has a suspicious activity on my account i saw that my old review is from so my old review is few year old since then i was not log in into my account but why what itself suspicious to me that i try to log back in into my account it doe not make any sense,Farhan Iqbal,,
173812,156220,1,WeChat,,"['update', 'keep', 'loop', 'back', 'be', 'something', 'wrong', 'application', 'download', 'be', 'finish', 'update', 'go', 'back', 'start', 'download']",2019-04-28,564255,"the update keeps looping back, is there something wrong with this app? after download is finished it goes back and starts downloading again and again...",1,the update keep looping back is there something wrong with this application after download is finished the update go back and start downloading again and again,A Google User,,
173814,156222,1,WeChat,,"['application', 'work', 'well', 'android', 'phone', 'application', 'selfdelete', 'phone', 'crash', 'try', 'deinstall']",2019-04-28,564260,This app was working very well on my Android 6.0 phone. But then it self-deleted and the phone crashes if I try to reinstall.,1,this application was working very well on my android phone but then this application selfdeleted and the phone crash if i try to deinstall,Ray Elms,,
173815,156223,1,WeChat,,"['much', 'bad', 'application']",2019-04-28,564261,very much worst 👎👎👎👎👎👎app,1,very much worst application,Ice〤Mohit YT,,
173817,156225,1,WeChat,,"['first', 'nice', 'recently', 'become', 'bad', 'application', 'account', 'suddenly', 'block', 'suspicious', 'login', 'be', 'mean', 'make', 'account', 'not', 'retrieve', 'old', 'account', 'account', 'do', 'not', 'last', 'week', 'account', 'block', 'account', 'decide', 'instal', 'account', 'problem', 'be', 'account', 'make', 'work', 'really', 'hard', 'relay', 'application', 'work', 'purpose']",2019-04-28,564265,"At first its nice , but recently it became a worst app. My account were suddenly blocked due to suspicious login. What is the meaning of that? I made another account because I cannot retrieved my old account. The new account did not last for 1 week and again it was blocked, same with my 3 other account after the two. So I decided to uninstall it, but the problem is it makes my work really hard because we relay on this app for work purposes",1,at first its nice but recently its became a worst application my account were suddenly blocked due to suspicious login what is the meaning of that i made another account because i can not retrieved my old account another account did not last for week and again another account was blocked same with my other account after the two so i decided to instal another account but the problem is another account make my work really hard because we relay on this application for work purpose,Regie Torrino,,
173820,156228,1,WeChat,,"['have', 'be', 'use', 'application', 'year', 'problem', 'block', 'reason', 'change', 'team', 'bring', 'old', 'team', 'back']",2019-04-28,564275,"I've been using thia app for years with no problems at all, but now I'm blocked for no reason!! If you changed WeChat team, bring the old team back!",1,i have been using this application for year with no problem at all but now i am blocked for no reason if you changed what team bring the old team back,Bs8jdn,,
173821,156229,1,WeChat,,"['way', 'change', 'notification', 'sound', 'last', 'update']",2019-04-28,564276,No way to change my notification sounds since last update!,3,no way to change my notification sound since last update,Victor Lee,,
173826,156234,1,WeChat,,"['sign', 'pub', 'time', 'application', 'ia', 'difficult', 'sign', 'need', 'code', 'friend', 'succesful', 'sign', 'make', 'application', 'easy', 'sign']",2019-04-29,564286,"If you are here to Sign Up because of PUBG Timi, This App ia difficult to Sign up because you need to SCAN YOUR QR CODE to your Friend to Succesfully Signed Up ""WE CHAT MAKE YOUR APP EASY TO SIGN UP""",1,if you are here to sign up because of pub time this application ia difficult to sign up because you need to scan your qr code to your friend to succesful signed up we chat make your application easy to sign up,JINX TV,,
173827,156235,1,WeChat,,"['not', 'restore', 'backup', 'file', 'pc', 'version', 'transfer', 'be', 'complete', 'pc', 'phone', 'force', 'close', 'not', 'restore', 'single', 'message', 'fix']",2019-04-29,564288,"I can't restore my backup file via pc version of wechat. Once the transfer has been completed in my pc, my phone wechat will be forced close and cant restore a single message! Please fix this. tq",1,i can not restore my backup file via pc version of what once the transfer has been completed in my pc my phone what will be forced close and can not restore a single message please fix this to,yoong chee,,
