index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
95627,78035,1,Whatsapp,,"['be', 'nd', 'mobile', 'not', 'connect', 'call', 'video', 'call', 'say', 'connect', 'doe', 'connect', 'try', 'delete', 'apa', 'case', 'conflict', 'bit', 'do', 'not', 'seem', 'find', 'could', 'help']",2019-03-08,66310,this is the 2nd mobile who just can't connect while calling or video calling. it says connecting and it doesnt connect. i tried to delete some other Appa incase of a conflict bit don't seem to find out why. could u help?,3,this is the nd mobile who just can not connect while calling or video calling this say connecting and this doe connect i tried to delete some other apa in case of a conflict bit do not seem to find out why could you help,,,
95628,78036,1,Whatsapp,,"['be', 'fine', 'application', 'stop', 'sometimes', 'create', 'difficulty']",2019-03-02,66311,"it is a fine app.. but it stop sometimes, it create some difficulties.",3,it is a fine application but it stop sometimes it create some difficulty,,,
95631,78039,1,Whatsapp,,"['compare', 'android', 'be', 'device', 'not', 'share', 'file', 'android', 'email', 'not', 'forward', 'medium', 'contact', 'do', 'not', 'make', 'secure', 'application', 'transfer', 'chat', 'back', 'io', 'android', 'be', 'reverse']",2019-03-01,66314,no compare between WhatsApp of ios and WhatsApp of android's devices 1- i can't share two files from my WhatsApp to email only one . 2- i can't forward a WhatsApp media to more than five contacts. 3- they did not make any secure app to transfer chat back up from ios to android's and reverse,2,no compare between whatsit of io and whatsit of android is device i can not share two file from whatsit of android to email only one i can not forward a whatsit medium to more than five contact they did not make any secure application to transfer chat back up from io to android is and reverse,Basheer Coo,,
95632,78040,1,Whatsapp,,"['message', 'ianthe', 'message', 'share', 'contact', 'fix', 'problem']",2019-03-04,66315,"The message can,t be shared up to five contacts. Please fix this problem.",1,the message ianthe message be shared up to five contact please fix this problem,,,
95633,78041,1,Whatsapp,,"['update', 'be', 'totally', 'waste', 'message', 'send', 'delay', 'min', 'really', 'irritate', 'do', 'something']",2019-03-04,66316,update is totally waste ... now my messages are sending with a delay of. 5 min. really irritating... pls do something with this.,1,update is totally waste now my message are sending with a delay of min really irritating please do something with this,bala selvam,,
95637,78045,1,Whatsapp,,"['blue_tick', 'not', 'appear', 'device', 'application', 'last', 'update', 'see', 'device', 'application']",2019-03-08,66320,the blue ticks are not appearing in my device app in last update so please see over it..,5,the blue tick are not appearing in my device application in last update so please see over my device application,Deepak Devikar,,
95638,78046,1,Whatsapp,,"['phone', 'suddenly', 'not', 'download', 'voice', 'record', 'picture', 'video', 'everytime', 'download', 'everything', 'say', 'download', 'unable', 'complete', 'try', 'later', 'keep', 'click', 'retry', 'still', 'need', 'help']",2019-03-09,66321,"my phone suddenly cant download voice records pitcure and video . everytime i download everything above , it will says ""the download was unable to complete . please try again later"" i kept on clicking ""retry"" but still the same . i need help .",2,my phone suddenly can not download voice record picture and video everytime i download everything above it will say the download was unable to complete please try again later i kept on clicking retry but still the same i need help,Nurul Amira,,
95640,78048,1,Whatsapp,,"['not', 'see', 'profile', 'photo', 'last', 'see', 'specific', 'people', 'specially', 'frequently', 'contact', 'almost', 'argue', 'maybe', 'block', 'application', 'be', 'problemplease', 'fix']",2019-03-06,66324,I cannot see profile photo and last seen of specific people specially the most frequently contacted.. i almost argued maybe i was blocked but its this App's problem...PLEASE FIX THIS,1,i can not see profile photo and last seen of specific people specially the most frequently contacted i almost argued maybe i was blocked but its this application is problemplease fix this,,,
95641,78049,1,Whatsapp,,"['auto', 'delete', 'be', 'possible', 'mobile', 'mobile', 'use', 'month', 'application', 'auto', 'delete', 'not', 'give', 'star']",2019-03-04,66325,auto deleted how it is posible on my mobile we use this 6 or 7month after the app auto deleted so I will not give it star,1,auto deleted how it is possible on my mobile my mobile use this or month after the application auto deleted so i will not give it star,,,
95642,78050,1,Whatsapp,,"['unload', 'picture', 'status', 'be', 'application', 'be', 'randomly', 'fault', 'browse', 'recent', 'image', 'actually', 'feature', 'big', 'application', 'unload', 'picture', 'status', 'gallery', 'file_manager', 'least', 'be', 'application', 'status', 'tab', 'take', 'gallery', 'select', 'image', 'unload', 'status']",2019-03-06,66326,in uploading a picture as status what's app is randomly faulting to browse recent images ... actually there should be a feature in such a biggest app to upload a picture as status from gallery and file manager itself ... Or at least through what's app status tab it should take us to gallery to select images to upload as status ...,2,in unloading a picture a status what is application is randomly faulting to browse recent image actually there should be a feature in such a biggest application to unload a picture a status from gallery and file manager itself or at least through what is application status tab it should take u to gallery to select image to unload a status,,,
95644,78052,1,Whatsapp,,"['freeze', 'restart', 'phone', 'time', 'day', 'be', 'application', 'doe', 'not', 'send', 'message', 'know', 'use', 'work', 'purpose', 'look', 'much', 'well', 'weak', 'disaster']",2019-03-06,66328,it freezes I restart my phone 17 to 18 times a day as what's app Does not send messages I know we are using it for work purpose but please look into ... It was much better before since a weak disaster,1,it freeze i restart my phone to time a day a what is application doe not send message i know we are using it for work purpose but please look into it was much better before since a weak disaster,Liesha motwani,,
95645,78053,1,Whatsapp,,"['use', 'nokia', 'mobile', 'suck', 'have', 'be', 'complain', 'issue', 'status', 'recording', 'unload', 'low', 'light', 'last', 'month', 'support', 'go', 'vain']",2019-03-08,66330,using whatsapp on nokia mobiles just sucks. i have been comolaining the issue of my status recording and uploading in low light from last 3 months to whatsapp support. but all went in vain.,1,using whatsit on nokia mobile just suck i have been complaining the issue of my status recording and unloading in low light from last month to whatsit support but all went in vain,Short_But_Meaningful,,
95646,78054,1,Whatsapp,,"['horrible', 'recipe', 'ni', 'sue', 'bandar', 'message', 'estate', 'nada', 'tango', 'wife', 'casa']",2019-03-01,66331,"horrible no recibo ni puedo mandar mensajes, estados nada y tengo wifi en casa",1,horrible no recipe ni sued bandar message estate nada why tango wife en casa,Jair Anel :V,,
95650,78058,1,Whatsapp,,"['try', 'add', 'back', 'delete', 'everyone', 'instead', 'delete']",2019-03-02,66336,please try and add back delete for everyone instead of delete for me,2,please try and add back delete for everyone instead of delete for me,,,
95652,78060,1,Whatsapp,,"['not', 'remove', 'limit', 'message']",2019-03-02,66338,why are you not removing limit message till 5.,1,why are you not removing limit message till,Madhukar Choudhary,,
95658,78066,1,Whatsapp,,"['not', 'verify', 'say', 'not', 'update', 'version', 'say', 'not', 'update', 'version', 'update']",2019-03-09,66344,not verifying my no. by saying not updated version. but its updated,1,not verifying my no by saying not updated version but saying not updated version updated,Sonia Butola,,
95665,78073,1,Whatsapp,,"['not', 'login', 'account', 'help']",2019-03-07,66351,I cannot login in my account please help,3,i can not login in my account please help,,,
95668,78076,1,Whatsapp,,"['unable', 'send', 'message']",2019-03-08,66354,unable to send messages.,1,unable to send message,Surya Chandrasekar,,
95674,78082,1,Whatsapp,,"['recent', 'update', 'video', 'not', 'send', 'other', 'solve', 'problem']",2019-03-03,66362,after recent update my videos are not being sent to others.. please solve this problem,5,after recent update my video are not being sent to others please solve this problem,Jawad Butt,,
95676,78084,1,Whatsapp,,"['not', 'send', 'massage', 'time']",2019-03-03,66364,I can not send ten massaged at the same time.,5,i can not send ten massaged at the same time,,,
95677,78085,1,Whatsapp,,"['sometimes', 'be', 'not', 'good']",2019-03-02,66366,sometimes it's not good,1,sometimes it is not good,tijo mathew,,
95693,78101,1,Whatsapp,,"['dp', 'not', 'crop', 'system']",2019-03-06,66383,dp should not be crop system,3,dp should not be crop system,sara Ali,,
95697,78105,1,Whatsapp,,"['vedic', 'call', 'sound', 'be', 'not', 'clear']",2019-03-05,66389,vedio call and sound is not clear,4,vedic call and sound is not clear,,,
