index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
1,1,1,Facebook,,"['news_feed', 'time', 'do', 'refreshing', 'switch', 'ap', 'do', 'something', 'else', 'back', 'face', 'application', 'news_feed', 'refresh', 'return', 'begin', 'look', 'half', 'application', 'return', 'begin', 'need', 'scroll', 'look', 'stop', 'also', 'news_feed', 'see', 'everything', 'friend', 'post', 'constantly', 'repeat', 'show', 'past', 'post', 'already', 'see', 'like', 'be', 'point']",2019-02-18,600006,"news feed all time do refreshing when switch to other apps for doing sometihng else, and when back to facebook application, news feed refreshed, return me to beggining. i look at half, then application return me on the begining, and i need to scroll down to look where i stoped. also, in news feed i see everything exept my friends posts, or constantly repeat to show me past posts i already saw or liked. what is the point?",1,news feed all time do refreshing when switch to other aps for doing something else and when back to face-on application news feed refreshed return me to beginning i look at half then application return me on the beginning and i need to scroll down to look where i stopped also in news feed i see everything except my friend post or constantly repeat to show me past post i already saw or liked what is the point,Ivan Ivanović,,
2,2,1,Facebook,,"['face', 'be', 'give', 'problem', 'face', 'keep', 'say', 'not', 'connect', 'internet', 'check', 'connection', 'have', 'good', 'wife', 'not', 'problem', 'side', 'aps', 'couture', 'work', 'fine', 'please_fix']",2019-02-15,600007,"facebook is giving me problems ( facebook keeps saying cannot connect to internet, please check your connection. i have very good wifi so this cannot be a problem on my side since my other apps like youtube work fine. please fix this.",1,face-on is giving me problem face-on keep saying can not connect to internet please check your connection i have very good wife so this can not be a problem on my side since my other aps like couture work fine please fix this,Sherry Hassanali,,
4,4,1,Facebook,,"['face', 'general', 'not', 'allow', 'change', 'primary', 'email', 'instagram', 'twitter', 'load', 'easily', 'face', 'usually', 'act', 'internet', 'be', 'not', 'available', 'be', 'way', 'delete', 'empty', 'photo', 'album', 'be', 'way', 'move', 'photo', 'album', 'doe', 'not', 'show', 'recent', 'post', 'show', 'story', 'not', 'use', 'view', 'profile', 'anymore', 'not', 'see', 'boyfriend', 'see']",2019-02-15,600010,"facebook in general will not allow you to change your primary email. while instagram and twitter are loading easily, facebook usually acts like internet is not available. there is no way to delete empty photo albums. and there is no way to move photos from one album to another. it does not show the most recent posts, it shows stories from like  or  days ago. you cannot use the ""view as"" on your profile anymore, so i cannot see what non-friends see.",1,face-on in general will not allow you to change your primary email while instagram and twitter are loading easily face-on usually act like internet is not available there is no way to delete empty photo album and there is no way to move photo from one album to another it doe not show the most recent post it show story from like or day ago you can not use the view a on your profile anymore so i can not see what boyfriend see,Ciara Skye,,
5,5,1,Facebook,,"['would', 'wonderful', 'able', 'make', 'invisible', 'not', 'hit', 'leave', 'right', 'make', 'almost', 'impossible', 'keep', 'would', 'absolutely', 'wonderful', 'set', 'least', 'visible', 'not', 'unavailable', 'people', 'message', 'keep', 'issue', 'be', 'spam', 'advertisement', 'have', 'not', 'sign', 'have', 'wonderful', 'site', 'sign', 'last', 'thing', 'be', 'people', 'not', 'real', 'background', 'surface']",2019-02-14,600009,"it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with. it would be absolutely wonderful to set yourself at least to visibe, if not unavailable so people can message one another and keep up with. another issue is spam, and advertisements i have not signed up for, whereas you have some wonderful sites you can sign up for. the very last thing is people who are not real. there are bots with # on background surfaces",3,it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with it would be absolutely wonderful to set yourself at least to visible if not unavailable so people can message one another and keep up with another issue is spam and advertisement i have not signed up for whereas you have some wonderful site you can sign up for the very last thing is people who are not real there are both with on background surface,Paul B,,
8,8,1,Facebook,,"['unable', 'receive', 'notification', 'face', 'try', 'go', 'notification', 'bell', 'icon', 'notification', 'bell', 'icon', 'say', 'not', 'connect', 'retry', 'have', 'try', 'grin', 'wife', 'make', 'sure', 'permission', 'application', 'be', 'have', 'look', 'video', 'regard', 'issue', 'nothing', 'work']",2019-02-15,600013,"i am unable to receive any notifications on facebook. when i try to go to my notifications (the bell icon) my notifications (the bell icon) says cannot connect, retry. i have tried on grin and on wi-fi. i made sure all the permissions on the application is on and i have looked at videos regarding this issue and nothing has worked. please fix!",1,i am unable to receive any notification on face-on when i try to go to my notification the bell icon my notification the bell icon say can not connect retry i have tried on grin and on wife i made sure all the permission on the application is on and i have looked at video regarding this issue and nothing has worked please fix,Kazair Keaton,,
9,9,1,Facebook,,"['recent', 'feed', 'doe', 'not', 'actually', 'show', 'recent', 'post', 'recent', 'post', 'jump', 'post', 'minute', 'ago', 'next', 'post', 'also', 'recent', 'feed', 'not', 'load', 'properly', 'post', 'show', 'recent', 'feed', 'stop', 'loading', 'have', 'report', 'application', 'least', 'fe', 'time', 'moron', 'send', 'automate', 'response', 'tell', 'report', 'issue', 'listen', 'user', 'actually', 'fe', 'want', 'stop', 'stupid']",2019-02-16,600016,"most recent feed does not actually show most recent posts. most recent posts jump around from posts from a few minutes ago and the next post will be from days ago. also most recent feed will not load properly, a few posts will show and then most recent feed will stop loading. i have reported this through the application at least  f***ing times and these morons just send a bs automated response telling me to report any issues. listen to what users actually f***ing want and stop being stupid",1,most recent feed doe not actually show most recent post most recent post jump around from post from a few minute ago and the next post will be from day ago also most recent feed will not load properly a few post will show and then most recent feed will stop loading i have reported this through the application at least fing time and these moron just send a b automated response telling me to report any issue listen to what user actually fing want and stop being stupid,Dawn Keiser,,
10,10,1,Facebook,,"['feb', 'update', 'face', 'doe', 'not', 'work', 'properly', 'not', 'comment', 'post', 'not', 'allow', 'accord', 'face', 'woke', 'morning', 'last', 'do', 'last', 'time', 'face', 'mess', 'clean', 'update', 'nothing', 'seem', 'work', 'uninstale', 'instal']",2019-02-16,600014,"feb  - since update facebook does not work properly. cannot like or comment on posts, not allowed according to facebook. i woke up and it was like it this morning! last had to do this in  the last time facebook messed up! cleaned, updated but nothing seems to work so uninstalled and reinstalling!",2,feb since update face-on doe not work properly can not like or comment on post not allowed according to face-on i woke up and it was like it this morning last had to do this in the last time face-on messed up cleaned updated but nothing seems to work so uninstaled and installing,Geraldine Anthony,,
13,13,1,Facebook,,"['update', 'hour', 'ability', 'unload', 'photograph', 'directly', 'exist', 'album', 'disappear', 'be', 'massive', 'inconvenience', 'run', 'business', 'page', 'use', 'mobile', 'device', 'also', 'not', 'tag', 'business', 'use', 'service', 'mobile', 'device', 'rather', 'need', 'use', 'actual', 'laptop', 'desktop', 'doe', 'not', 'work', 'browser', 'mobile', 'even', 'use', 'desktop_version', 'browser']",2019-02-15,600018,"since the update a few hours ago, the ability to upload photographs directly to an existing album has disappeared. this is a massive inconvenience when running a business page but using a mobile device. also, why cannot i tag businesses who use my services from a mobile device, rather than needing to use an actual laptop or desktop (it does not work either through a browser on the mobile even using the ""desktop version"" of the browser).",3,since the update a few hour ago the ability to unload photograph directly to an existing album has disappeared this is a massive inconvenience when running a business page but using a mobile device also why can not i tag business who use my service from a mobile device rather than needing to use an actual laptop or desktop it doe not work either through a browser on the mobile even using the desktop version of the browser,Vincent Cobb,,
14,14,1,Facebook,,"['keep', 'delete', 'instal', 'last', 'update', 'week_ago', 'make', 'application', 'crush', 'time', 'not', 'see', 'news', 'message', 'picture', 'problem', 'resolve', 'friend', 'phone', 'doe', 'not', 'have', 'issue', 'be', 'normal']",2019-02-12,600020,"i keep deleting and installing again and again! the last update few weeks ago made the application crushed every time. cannot see any news, any message, pictures post etc. when this problem will be resolved? my friends on iphone does not have any issues is it normal?",1,i keep deleting and installing again and again the last update few week ago made the application crushed every time can not see any news any message picture post etc when this problem will be resolved my friend on phone doe not have any issue is it normal,PAK-HIN NAM,,
15,15,1,Facebook,,"['play', 'video', 'play', 'video', 'keep', 'switch', 'try', 'switch', 'small', 'screen', 'be', 'play', 'video', 'hurt', 'eye', 'much', 'also', 'not', 'switch', 'not', 'switch', 'suddenly', 'zoom', 'video', 'upper', 'left', 'part', 'video', 'make', 'keep', 'switch', 'full', 'screen', 'normal', 'news_feed', 'view', 'watch_video', 'properly', 'kindly', 'fix']",2019-02-16,600021,"if i play a video, i play a video keeps on glitching and tries to switch into a smaller screen that is why i play a video hurts the eyes so much. also if not glitching, not glitching suddenly zooms the video to the upper left part of the video making me keep on switching from full screen and the normal news feed view just to watch the video properly. kindly fix this please",2,if i play a video i play a video keep on switching and try to switch into a smaller screen that is why i play a video hurt the eye so much also if not switching not switching suddenly zoom the video to the upper left part of the video making me keep on switching from full screen and the normal news feed view just to watch the video properly kindly fix this please,Shania Marie,,
