index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
4120,4120,1,Google,,"['goole', 'feed', 'be', 'blank', 'nothing', 'be', 'go']",2019-02-25,626607,my google feed is blank and has nothing. what is going on?,1,my goole feed is blank and has nothing what is going on,Matthew Tsang,,
4131,4131,1,Google,,"['application', 'be', 'freeze', 'shutting', 'update']",2019-02-19,626636,application has been freezing up and shutting down since update,1,application has been freezing up and shutting down since update,Matt Carlson,,
4134,4134,1,Google,,"['be', 'phone', 'have', 'update', 'press', 'goole', 'still', 'update', 'allow', 'matter', 'futher']",2019-02-25,626644,why is it on my phone i have no updates pressed on. yet google still updates i amlooking into this matter futher,1,why is it on my phone i have no update pressed on yet goole still update i allowing into this matter futher,,,
4136,4136,1,Google,,"['deuce', 'happen', 'image', 'tab', 'deuce', 'freeze', 'lock', 'entire', 'application']",2019-02-25,626645,"what the deuce has happened to the ""images"" tab?! the deuce just freezes and then locks up the entire application!",2,what the deuce has happened to the image tab the deuce just freeze and then lock up the entire application,Jessica Stig,,
4137,4137,1,Google,,"['keep_crashe', 'last', 'update', 'unusable', 'phone', 'want', 'go', 'bac', 'previous_version']",2019-02-24,626646,"keeps crashing after last update, unuseable on my phone . i want to go bac to previous version .",1,keep crashing after last update unusable on my phone i want to go bac to previous version,,,
4140,4140,1,Google,,"['image', 'not', 'open', 'waste', 'application', 'goole', 'bad', 'change', 'make', 'goole', 'stop', 'use', 'goole', 'delete', 'waste', 'application', 'be', 'hard', 'go', 'copy', 'image', 'goole', 'be', 'waste']",2019-02-25,626649,images not opening waste application by google worst changes made by google i stopped using google i deleted such a waste application it is hard to go and copy the images google is waste,1,image not opening waste application by goole worst change made by goole i stopped using goole i deleted such a waste application it is hard to go and copy the image goole is waste,Anuraag Banala,,
4141,4141,1,Google,,"['normally', 'would', 'give', 'time', 'try', 'use', 'goole', 'freeze', 'have', 'close', 'be', 'be', 'happen', 'week', 'application', 'say', 'date']",2019-02-23,626651,normally i would give it a  but every time i try to use google it freezes on me and i have to close it out it is been happening for about  weeks now but the application says i am up to date,3,normally i would give it a but every time i try to use goole it freeze on me and i have to close it out it is been happening for about week now but the application say i am up to date,Renee Smith,,
4142,4142,1,Google,,"['star', 'fix', 'hiding', 'story', 'language', 'kiss', 'work', 'fine', 'update', 'ago', 'matter', 'many', 'time', 'tell', 'discover', 'ignore', 'language', 'keep', 'show', 'extremely', 'annoying']",2019-02-21,626653," star until they fix hiding stories in language kiss. was working fine until a few updates ago, now no matter how many times i tell discover to ignore the other language it keeps showing it, extremely annoying.",1,star until they fix hiding story in language kiss was working fine until a few update ago now no matter how many time i tell discover to ignore the other language it keep showing it extremely annoying,Matthew Sullivan,,
4143,4143,1,Google,,"['late', 'update', 'extremely', 'glitch', 'freeze', 'view', 'image', 'galaxy']",2019-02-22,626654,latest update extremely glitchy. freezes when viewing images on galaxy s,1,latest update extremely glitch freeze when viewing image on galaxy s,Johan Pretorius,,
4144,4144,1,Google,,"['last', 'update', 'lose', 'gogleweather', 'application', 'icon', 'try', 'search', 'goole', 'tap', 'weather', 'goole', 'stop', 'respond']",2019-02-22,626657,"after last update i lost my googleweather application icon, and when try to search in google and tap on weather, google stop responding",4,after last update i lost my gogleweather application icon and when try to search in goole and tap on weather goole stop responding,Алевтина,,
4145,4145,1,Google,,"['application', 'not', 'optimise', 'novo', 'tab']",2019-02-19,626659,application not optimised for lenovo tab  plus.,2,application not optimised for novo tab plus,Vatsal Desai,,
4146,4146,1,Google,,"['time', 'try', 'search', 'image', 'crash', 'goole', 'chrome', 'doe', 'not', 'please_fix']",2019-02-21,626658,"every time i try to search on images it crashes, but on google chrome it does not. please fix this",2,every time i try to search on image it crash but on goole chrome it doe not please fix this,morgan santerre,,
4150,4150,1,Google,,"['feed', 'be', 'not', 'work', 'anymore']",2019-02-25,626664,feed is not working anymore,4,feed is not working anymore,Mohit Patiyal,,
4153,4153,1,Google,,"['download', 'permission', 'doe', 'errant', 'thing', 'piss']",2019-02-23,626667,downloads w\out permission. does errant things to piss me off,1,download out permission doe errant thing to piss me off,J A,,
4156,4156,1,Google,,"['not', 'able', 'update', 'onerous', 'error', 'check', 'everything', 'be', 'good', 'help']",2019-02-27,626670,not able to update on my oneplus  error . checked evrything is good please help,4,not able to update on my onerous error checked everything is good please help,Dinesh kumar,,
4157,4157,1,Google,,"['goole', 'application', 'not', 'open', 'lock', 'screen', 'open', 'voice_command', 'goole', 'say', 'voice_command', 'be', 'not', 'match', 'rai', 'be', 'lot', 'time', 'match', 'voice', 'also', 'be', 'not']",2019-02-24,626672,my google application was not opening with my lock screen when i was open my with my voice command the google was saying the voice command is not match at rai is lots of time any match my voice with them also but is not,4,my goole application was not opening with my lock screen when i was open my with my voice command the goole was saying the voice command is not match at rai is lot of time any match my voice with them also but is not,Saurav Banerjee,,
4160,4160,1,Google,,"['help', 'android', 'mobile', 'day', 'goole', 'be', 'not', 'open', 'can', 'not', 'open', 'goole', 'quick', 'search', 'stop', 'appear', 'time', 'message', 'time', 'feed', 'back', 'open', 'goole', 'quick', 'search', 'not', 'help', 'help', 'meow', 'use', 'goole']",2019-02-20,626675,"please help =in my android mobile from  days google is not opening. i can,t open google .quick search has stoped appear all the time.i message  time to feed back. but t open google .quick search are not helpning me. please you help me.how can i use google again.",1,please help in my android mobile from day goole is not opening i cant open goole quick search has stopped appear all the time message time to feed back but t open goole quick search are not helping me please you help meow can i use goole again,,,
4161,4161,1,Google,,"['not', 'search', 'image', 'search', 'load', 'image', 'know', 'be', 'image', 'cause', 'work', 'tablet', 'search', 'something', 'else', 'doe', 'not', 'even', 'load', 'anything']",2019-02-20,626676,i cannot search for images when i search once it only loads  images i know there is more images cause it works on my tablet and when i search for something else it does not even load anything at all,1,i can not search for image when i search once it only load image i know there is more image cause it work on my tablet and when i search for something else it doe not even load anything at all,Pancake327,,
4162,4162,1,Google,,"['bad', 'last', 'updated', 'version', 'be', 'good', 'new', 'new', 'update', 'be', 'lag', 'load']",2019-02-20,626677,toooo bad after last update.old version is good than new. this new update is too lagging to load,1,too bad after last updated version is good than new this new update is too lagging to load,,,
4165,4165,1,Google,,"['last', 'update', 'search', 'image', 'doe', 'not', 'load', 'way', 'freeze', 'quite', 'bit', 'image', 'search', 'fine', 'update']",2019-02-20,626680,"since last update, when i search for an image, it does not load all the way, and freezes quite a bit. (only on image searches) it was fine before update",4,since last update when i search for an image it doe not load all the way and freeze quite a bit only on image search it was fine before update,Kris VN,,
4169,4169,1,Google,,"['last', 'update', 'goole', 'search', 'freeze', 'try', 'look', 'image', 'please_fix']",2019-02-19,626684,"after last update my google search freezes when i try to look at images, please fix.",2,after last update my goole search freeze when i try to look at image please fix,,,
4170,4170,1,Google,,"['doe', 'application', 'freeze', 'search', 'image', 'do', 'not', 'happen', 'new', 'update']",2019-02-23,626685,why does the application freeze when i search for images? it did not happen before the newest update.,2,why doe the application freeze when i search for image it did not happen before the newest update,,,
