index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
67459,49867,1,Outlook,,"['completely', 'unreliable', 'mail', 'notification', 'do', 'not', 'worth', 'spam', 'filter', 'ineffective', 'calendar', 'bad', 'have', 'see', 'poorly_designe']",2019-03-27,461332,Completely unreliable. mail notifications don't work.The spam filters are ineffective. The calendar has to be one or the worst I've seen. very poorly designed.,1,completely unreliable mail notification do not worth spam filter are ineffective the calendar has to be one or the worst i have seen very poorly designed,Paul Carter,,
67479,49887,1,Outlook,,"['good', 'work', 'couple', 'month', 'doe', 'work', 'have', 'install']",2019-03-28,461377,"good when it works, but every couple of months it does work and i have to re install it",3,good when it work but every couple of month it doe work and i have to re install it,A Google User,,
67482,49890,1,Outlook,,"['terrible', 'application', 'terrible', 'application', 'act', 'week', 'send', 'box', 'option', 'disappear', 'application', 'not', 'start', 'have', 'instal', 'deinstall', 'umpteen', 'time']",2019-03-28,461382,terrible app. It acts up every other week! either the Sent box and all other options disappear... or the app can't start at all! have uninstall and reinstall umpteen times!!!,2,terrible application terrible application act up every other week either the sent box and all other option disappear or the application can not start at all have instal and deinstall umpteen time,Bearie Tan,,
67483,49891,1,Outlook,,"['application', 'good', 'recent', 'update', 'march', 'be', 'not', 'let', 'application', 'open', 'application', 'show', 'white_screen', 'endlessly']",2019-03-26,461385,"App was good till the recent update in March 2019, which is not letting the app to open, it just shows white screen endlessly.",1,application was good till the recent update in march which is not letting the application to open the application just show white screen endlessly,Pradeep neelam,,
67486,49894,1,Outlook,,"['get', 'error', 'open', 'outlook', 'get', 'white_screen', 'outlook', 'application', 'be', 'hang', 'resolve', 'issue', 'soon_possible', 'current', 'android', 'version', 'mobile']",2019-03-26,461389,I getting error. while opening Outlook i am getting white screen only and the outlook app is hanging. please resolve this issue as soon as possible. current android version in my mobile - 7.0,1,i getting error while opening outlook i am getting white screen only and the outlook application is hanging please resolve this issue a soon a possible current android version in my mobile,rahul kaushal,,
67487,49895,1,Outlook,,"['suck', 'have', 'be', 'see', 'issue', 'time', 'recent', 'update', 'get', 'hang', 'blank_screen', 'doe', 'not', 'open', 'tried', 'everything', 'issue', 'past', 'configure', 'office', 'email', 'outlook', 'day', 'office', 'email', 'go', 'show', 'message', 'say', 'wrong', 'password', 'enter', 'many', 'time', 'delete', 'account', 'deinstall', 'company_portal', 'outlook', 'account', 'work', 'find', 'account', 'would', 'work', 'day', 'account', 'come', 'bac']",2019-03-26,461390,"it sucks have been seeing issues time and again. after the recent update, it gets hung up with a blank screen, does not open at all, tried everything. had issues in the past too when I was configuring my office email on outlook and every few days it just went on showing message saying wrong password entered too many times and deleted the account and I had to reinstall company portal and outlook all over again for it to work only to find that it would work only another few days before it came bac",1,it suck have been seeing issue time and again after the recent update it get hung up with a blank screen doe not open at all tried everything had issue in the past too when i was configuring my office email on outlook and every few day my office email just went on showing message saying wrong password entered too many time and deleted the account and i had to deinstall company portal and outlook all over again for the account to work only to find that the account would work only another few day before the account came bac,A Google User,,
67488,49896,1,Outlook,,"['keep', 'crash', 'phone', 'need', 'instal', 'deinstall', 'day']",2019-03-26,461391,keeps crashing on my phone. need to uninstall and reinstall every few days,1,keep crashing on my phone need to instal and deinstall every few day,A Google User,,
67489,49897,1,Outlook,,"['doe', 'not', 'update', 'new', 'phone']",2019-03-26,461394,doesn't updated with my new phone,1,doe not updated with my new phone,KingGoldChainz 101,,
67494,49902,1,Outlook,,"['not', 'work', 'fatal', 'recent', 'update']",2019-03-26,461403,not working atall after recent update,1,not working fatal after recent update,Abul Hasanat Sekh,,
67495,49903,1,Outlook,,"['bad', 'ap', 'have', 'work', 'be', 'slow', 'unreliable', 'make', 'even', 'simple', 'task', 'copying', 'text', 'hard', 'be', 'stopped_worke', 'altogether', 'not', 'even', 'get', 'phone', 'click', 'deactivate', 'button', 'aps', 'store', 'inform', 'have', 'deactivate', 'instal', 'be', 'exactly', 'try', 'do', 'thank', 'deactivate', 'button', 'aps', 'store', 'be', 'grey', 'awful']",2019-03-26,461404,"One of the worst apps I've worked with... it's slow and unreliable... makes even simple tasks like copying text hard... now it's stopped working altogether but i cant even get it off my phone... clicking on the Deactivate button in the apps store informs me that you have to Deactivate before you can Uninstall... which is exactly what I am trying to do! and thanks to that, the Uninstall button is greyed out... just awful",1,one of the worst aps i have worked with it is slow and unreliable make even simple task like copying text hard now it is stopped working altogether but i can not even get it off my phone clicking on the deactivate button in the aps store informs me that you have to deactivate before you can instal which is exactly what i am trying to do and thanks to that the deactivate button in the aps store is greyed out just awful,Raj Jathar,,
