index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName
76319,58727,1,Snapchat,,"['hate', 'new', 'update', 'do', 'not', 'wish', 'swipe', 'have', 'comment', 'change', 'new', 'update', 'back']",2019-03-08,147382,I hate the new update. I do not wish to swipe up when I have to comment now. change it back!,1,i hate the new update i do not wish to swipe up when i have to comment now change the new update back,Christina Wood
76320,58728,1,Snapchat,,"['new', 'update', 'ruin', 'bitmoji', 'side', 'application', 'not', 'use', 'friendmoji', 'be', 'snap', 'available', 'chat']",2019-03-08,147384,New update ruined the bitmoji side of the app. Cannot use Friendmoji's in snaps only available in chats now.,2,new update ruined the bitmoji side of the application can not use friendmoji is in snap only available in chat now,Connor Thornhill
76321,58729,1,Snapchat,,"['new', 'update', 'be', 'confuse', 'change', 'new', 'update', 'back', 'not', 'use', 'snapshot', 'anymore']",2019-03-08,147383,The new update is so confusing. Change it back please or I won't be using snapchat anymore.,3,the new update is so confusing change the new update back please or i will not be using snapshot anymore,Laura Stokaluk
76323,58731,1,Snapchat,,"['new', 'update', 'be', 'not', 'good', 'new', 'update', 'say', 'someone', 'open', 'snap', 'reality', 'yet', 'open', 'certain', 'conversation', 'people', 'take', 'min', 'message', 'pop', 'send', 'fix', 'soon']",2019-03-06,147387,The new update is not good! It will say someone opened my snap when in reality no one has yet. Along with when I open certain conversations with people it takes 2 min until the messages pop up and send! please fix soon😒,3,the new update is not good the new update will say someone opened my snap when in reality no one has yet along with when i open certain conversation with people it take min until the message pop up and send please fix soon,Tays Channel
76328,58736,1,Snapchat,,"['memory', 'would', 'not', 'load', 'completely', 'back', 'be', 'really', 'annoying', 'guess', 'not', 'get', 'back', 'person', 'memory', 'die', 'really', 'wish', 'could', 'see']",2019-03-07,147392,A Few Of My Memories Would Just Not Load And They Were Completely Backed Up. It's Really Annoying But I Guess I Won't Get Them Back🤷🏾‍♀️ The Person In Those Memories Died And I Really Wish That I Could See Them.,1,a few of my memory would just not load and they were completely backed up it is really annoying but i guess i will not get they back the person in my memory died and i really wish that i could see they,Kenya
76330,58738,1,Snapchat,,"['new', 'update', 'be', 'not', 'really', 'compatible', 'android', 'version', 'new', 'update', 'awesome', 'could', 'not', 'even', 'want', 'open', 'snapshot', 'look', 'different', 'weird', 'overall', 'not', 'want', 'go', 'back', 'previous_version']",2019-03-07,147393,The new update isn't really compatible with Android. The version before the update was awesome. Now i wouldnt even want to open my snapchat as it looks so different and weird. Overall its not what we want. Go back to previous version.,1,the new update is not really compatible with android the version before the new update was awesome now i couldnt even want to open my snapshot a it look so different and weird overall it not what we want go back to previous version,aesthetic world
76333,58741,1,Snapchat,,"['urgent', 'need', 'update', 'galaxy', 'camera', 'super', 'zoomed', 'aspect_ratio', 'allow', 'change', 'aspect_ratio', 'image', 'take', 'set', 'default', 'right', 'application', 'be', 'essentially', 'unusable', 'fix', 'snapshot']",2019-03-08,147397,"URGENT needs updating for the GalaxyS10 and S10+ the cameras are super zoomed in due to the aspects ratio, please allow us to change what aspect ratio our images are taken in or just set it to the default 16:9 because as of right now the app is essentially unusable. please please fix this snapchat",2,urgent need updating for the galaxy and s the camera are super zoomed in due to the aspect ratio please allow u to change what aspect ratio our image are taken in or just set it to the default because a of right now the application is essentially unusable please please fix this snapshot,steffan
76338,58746,1,Snapchat,,"['update', 'snapshot', 'streak', 'go', 'have', 'friend', 'usually', 'get', 'view', 'say', 'everyone', 'be', 'unaide', 'show', 'everyone', 'name', 'everyone', 'username', 'fix']",2019-03-08,147403,I just updated my Snapchat and now all of my streaks are gone and i have no friends on there when I usually get about 800 views. it says everyone is unadded when it shows up it just has their name as their username. please fix !!!!,2,i just updated my snapshot and now all of my streak are gone and i have no friend on there when i usually get about view it say everyone is unaided when it show up it just has everyone name a everyone username please fix,
76339,58747,1,Snapchat,,"['new', 'update', 'mess', 'everything', 'not', 'send', 'picture', 'video', 'even', 'sticker', 'chat', 'also', 'not', 'see', 'type', 'dark_theme', 'be', 'cute', 'hopefully', 'dark_theme', 'get', 'well', 'not', 'even', 'answer', 'call', 'try', 'instal', 'dark_theme', 'wa', 'thing']",2019-03-07,147404,"the new update mess everything up! i cant send pictures or videos, or even stickers in a chat, also i cant see what im typing, the dark theme is cute, but hopefully it can get BETTER. i can't even answer calls, i tried to uninstall but it wa sthe same thing.!",2,the new update mess everything up i can not send picture or video or even sticker in a chat also i can not see what i typing the dark theme is cute but hopefully the dark theme can get better i can not even answer call i tried to instal but the dark theme wa the same thing,
76343,58751,1,Snapchat,,"['do', 'not', 'understand', 'update', 'new', 'version', 'sudden', 'location', 'not', 'work', 'have', 'location', 'turn', 'would', 'love', 'know', 'fix', 'location']",2019-03-05,147408,I dont understand why after I updated to the newer version that now all of a sudden my location wont work when I have it turned on.. would love to know why and how to fix it,3,i do not understand why after i updated to the newer version that now all of a sudden my location will not work when i have my location turned on would love to know why and how to fix my location,
76344,58752,1,Snapchat,,"['recent', 'update', 'change', 'way', 'friend', 'display', 'took_away', 'half', 'contact', 'replace', 'half', 'contact', 'find', 'friend', 'apparently', 'snap', 'chat', 'developer', 'have', 'absolutely', 'run', 'innovative', 'helpful', 'update', 'decide', 'make', 'life', 'difficult', 'not', 'visit', 'spencer', 'link', 'matter', 'hard', 'try', 'cram', 'throat']",2019-03-07,147409,"Recent update changed the way ""Friends"" are displayed.... Took away Half my contacts and replaced it with ""Find a Friend"". Apparently Snap Chat Developers have absolutely run out of innovative and helpful updates, and decided to make life difficult. And No I will not visit Any of your sponcers links no matter how hard you try and cram them down my throat ....",1,recent update changed the way friend are displayed took away half my contact and replaced half my contact with find a friend apparently snap chat developer have absolutely run out of innovative and helpful update and decided to make life difficult and no i will not visit any of your spencer link no matter how hard you try and cram them down my throat,Richard Taft
76350,58758,1,Snapchat,,"['snapshot', 'new', 'update', 'be', 'ridiculously', 'slow', 'not', 'type', 'word', 'send', 'picture', 'picture', 'kick', 'fix', 'soon_possible']",2019-03-07,147415,Snapchat... New Update is ridiculously slow. I can't type two words or send a picture because it kicks me off. Fix this ASAP.,5,snapshot new update is ridiculously slow i can not type two word or send a picture because a picture kick me off fix this a soon a possible,Avery Haase
76351,58759,1,Snapchat,,"['crash', 'lot', 'application', 'application', 'sometimes', 'not', 'let', 'send', 'message', 'crash', 'way', 'much', 'not', 'even', 'let', 'log', 'back', 'time']",2019-03-08,147416,It crashes alot I like the app but it sometimes won't let me send messages crashes way too much and won't even let me log back in at times,5,it crash a lot i like the application but the application sometimes will not let me send message crash way too much and will not even let me log back in at time,Navdhit Bedi
