,tweet-id,timestamp,likes,replies,retweets,Bug_report,text
0,1.10593668411638e+18,2019-03-13 21:00:27,0,0,0,1,abuser error code are we hacked facebokdown facebokisdead
1,1.12401192071199e+18,2019-05-02 18:04:59,0,0,0,0,abuser would love to invite you abuser to attend their cup final this weekend they will present plenty of opportunities for photos with all playing staff drakecurse ps advise avoiding any games on the english south coast this weekend the bank holiday weather outlook is bad usl
2,1.10893965565368e+18,2019-03-22 03:53:11,27,0,2,0,bill bayne on his outlook for the second we got ta stay solid in what we do we just got to keep fighting the fight and hang in there pacersurl
3,1.11782604160557e+18,2019-04-15 16:24:31,0,0,0,1,it is funny how m outlook would not show you the number of tasks on the bottom bar i mean seriously that is why it gets this bad i ended up selecting all pasting in vi am to find out the number
4,1.09306004454188e+18,2019-02-06 08:13:17,0,0,0,0,usl the price of us crude continues to rise and the outlook is still constructive on tight supplies and concerns about venezuelan output how is this affecting the markets find out usl ot usl
5,1.1101979550034e+18,2019-03-25 15:13:13,0,0,0,1,abuser keeps making my phone crash does anyone know how to fix it
6,1.10589261117527e+18,2019-03-13 18:05:19,0,0,0,1,abuser just tried using the wouldentify page to get a code to reset my password got the code entered it got you do not have any valid codes right now tried again got sorry theres a problem whats going on
7,1.10593633286452e+18,2019-03-13 20:59:03,0,0,0,1,fix it been down all day i can not post
8,1.10933702165323e+18,2019-03-23 06:12:11,4,0,0,1,some guy on snapshot said he surpassed multitasking and moved on to tripletaskingand i just can not fix that level of stupid ya
9,1.09849450376847e+18,2019-02-21 08:07:53,0,0,0,1,also these photo show the error in my locationploted in red that i tried to correct like hundreds of ti amend still the same sogeti ames the blue dot even moves further usl
10,1.13090909527858e+18,2019-05-21 18:51:54,0,0,0,1,breaking real news anonymous sources close to mcgann are quoted as giving the former wh attorneys outlook on the entire witchhunt obstruction issue unidentifiable sources said mcgann defies subpoena for test among faces contempt vote usl
12,1.13136315417962e+18,2019-05-23 00:56:10,11,0,1,0,i am still frustrated he seemingly got away score from this did not he even say he would be taking a break but he is back up on twitter and snapshot something happened to prompt everything and now it is back under the bed
14,1.120951222071e+18,2019-04-24 07:22:52,0,1,0,1,i have access to my email and i have proof that i had disabled this dumb method so i really do not see a problem from my side definitely a dysfunction of your system
15,1.12730874298958e+18,2019-05-11 20:25:23,2,2,0,1,these new snapshot filters are going to get someone catfish so bad
16,1.10590478862823e+18,2019-03-13 18:53:42,0,0,0,1,abuser please fix instagram
18,1.10910388363538e+18,2019-03-22 14:45:46,1,1,0,1,abuser is it possible that their is a bug in the business manager to forecast a campaign when you enter specific audience help
19,1.12140537203043e+18,2019-04-25 13:27:30,1,1,0,1,abuser having issue w my association is face-on business page locked out due to factor authentication set up by former employee phone used is no longer in service reached out to multiple face-on support forms no response now rd day of not being able to use our page please help
21,1.11016085995388e+18,2019-03-25 12:45:49,0,1,0,0,hi madeleine what seems to be the trouble
23,1.09176431187622e+18,2019-02-02 18:24:30,0,0,0,0,snapshot memories never fail to show me how hit i really was two years ago thankfulfortheglo
25,1.1218035746553e+18,2019-04-26 15:49:48,1,0,0,0,just a quick little reminder if youse ever known or want to know the power of prayer theres an application called usl and it has truly made a difference in my outlook on my good and bad days the community here helps provide all the hope
26,1.10600503794222e+18,2019-03-14 01:32:04,0,1,0,1,i am still having trouble
27,1.11794410892707e+18,2019-04-16 00:13:40,1,0,0,0,saw someone snapshot story of a pizza and now i want one so bad i will not be able to sleep di
29,1.13012587127523e+18,2019-05-19 14:59:39,1,1,0,1,abuser abuser ya need to fix these fun servers i got shit to do and people to contact thank you
30,1.12010109504756e+18,2019-04-21 23:04:46,2,1,0,0,i do not blame doctors for withdrawing into rent seeking life sucks and is hard i do think poorly of those that pretend a huge of the profession is not like that though since that outlook int going to fix anything the quoted tweet makes me eyebrow pretty hard
