tweets,tweets_distribution,reviews,reviews_dist,gsd_score
me and my fellow admins on the killing eve group are having a lot of trouble we think it has been hacked we have suspicion on the culprit but do not know how to fix it please help,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03737839221710189, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.06784434203789044, 0.023041474654377885, 0.04096262160778291, 0.0373783922171019, 0.024833589349718382, 0.02662570404505889, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04633896569380442, 0.02662570404505889, 0.023041474654377885, 0.0373783922171019, 0.023041474654377885, 0.023041474654377885, 0.024833589349718382, 0.024833589349718382, 0.023041474654377885, 0.028417818740399392, 0.026625704045058887, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.024833589349718382]",show or open my face-on,"[0.029609279609279622, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.06379731379731385, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.0741946781667923
me and my fellow admins on the killing eve group are having a lot of trouble we think it has been hacked we have suspicion on the culprit but do not know how to fix it please help,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03737839221710189, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.06784434203789044, 0.023041474654377885, 0.04096262160778291, 0.0373783922171019, 0.024833589349718382, 0.02662570404505889, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04633896569380442, 0.02662570404505889, 0.023041474654377885, 0.0373783922171019, 0.023041474654377885, 0.023041474654377885, 0.024833589349718382, 0.024833589349718382, 0.023041474654377885, 0.028417818740399392, 0.026625704045058887, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.024833589349718382]",face-on open face-on open,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.057387057387057426, 0.027472527472527482, 0.029609279609279622, 0.031746031746031765, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",0.074924342300555
me and my fellow admins on the killing eve group are having a lot of trouble we think it has been hacked we have suspicion on the culprit but do not know how to fix it please help,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03737839221710189, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.06784434203789044, 0.023041474654377885, 0.04096262160778291, 0.0373783922171019, 0.024833589349718382, 0.02662570404505889, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04633896569380442, 0.02662570404505889, 0.023041474654377885, 0.0373783922171019, 0.023041474654377885, 0.023041474654377885, 0.024833589349718382, 0.024833589349718382, 0.023041474654377885, 0.028417818740399392, 0.026625704045058887, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.024833589349718382]",application show notification to remind me about other notification while notification is turned off,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.029050613956274333, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.0604971548367775, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.031147050014974545, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04372566636717579, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]",0.07505635590176493
me and my fellow admins on the killing eve group are having a lot of trouble we think it has been hacked we have suspicion on the culprit but do not know how to fix it please help,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03737839221710189, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.06784434203789044, 0.023041474654377885, 0.04096262160778291, 0.0373783922171019, 0.024833589349718382, 0.02662570404505889, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04633896569380442, 0.02662570404505889, 0.023041474654377885, 0.0373783922171019, 0.023041474654377885, 0.023041474654377885, 0.024833589349718382, 0.024833589349718382, 0.023041474654377885, 0.028417818740399392, 0.026625704045058887, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.024833589349718382]",why my manager friend can not to open i can open only in manager application,"[0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.051146384479717796, 0.026455026455026443, 0.06143445032333921, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.02851263962375072, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443]",0.07751215539686146
me and my fellow admins on the killing eve group are having a lot of trouble we think it has been hacked we have suspicion on the culprit but do not know how to fix it please help,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03737839221710189, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.06784434203789044, 0.023041474654377885, 0.04096262160778291, 0.0373783922171019, 0.024833589349718382, 0.02662570404505889, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04633896569380442, 0.02662570404505889, 0.023041474654377885, 0.0373783922171019, 0.023041474654377885, 0.023041474654377885, 0.024833589349718382, 0.024833589349718382, 0.023041474654377885, 0.028417818740399392, 0.026625704045058887, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.024833589349718382]",i tried to open application time and application doe not open,"[0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750724, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.051146384479717796, 0.026455026455026443, 0.026455026455026443, 0.028512639623750724, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.044973544973544964, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750724, 0.026455026455026443, 0.026455026455026443, 0.030570252792474998, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.044973544973544964, 0.026455026455026443]",0.07863535004808049
i have an error code fix facebok already,"[0.026954177897574122, 0.06469002695417791, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",can not unload photo,"[0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.019205680213513113
i have an error code fix facebok already,"[0.026954177897574122, 0.06469002695417791, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",can not unload photo too this application this has only recently happened,"[0.026455026455026447, 0.051146384479717796, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.030570252792475005, 0.026455026455026447, 0.04291593180482069, 0.038800705467372125, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447]",0.02836011543730171
i have an error code fix facebok already,"[0.026954177897574122, 0.06469002695417791, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",can not unload photo so it is pointless,"[0.026954177897574125, 0.05630428271937708, 0.029050613956274333, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.029050613956274333, 0.026954177897574125, 0.043725666367175814, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.033243486073674756, 0.026954177897574125, 0.026954177897574125]",0.02836011543730171
i have an error code fix facebok already,"[0.026954177897574122, 0.06469002695417791, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",can not unload photo,"[0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.03667651956667424
i have an error code fix facebok already,"[0.026954177897574122, 0.06469002695417791, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",why i can not unload a photo please fix that,"[0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.029050613956274337, 0.058400718778077294, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.031147050014974545, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]",0.038121740805069394
