tweets,tweets_distribution,reviews,reviews_dist,gsd_score
i havent been posting story on snapchat n stuff because my front camera has been broken since decadence but i amgoing to get that shit fixed before rez,"[0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.06486042692939252, 0.0246305418719212, 0.0246305418719212, 0.03804050355774497, 0.02846195949644228, 0.0246305418719212, 0.03804050355774497, 0.04187192118226604, 0.039956212370005496, 0.034209085933223894, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.028461959496442278, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.032293377120963355, 0.0246305418719212, 0.02654625068418174, 0.02846195949644228, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.026546250684181743]",ok but stop and freeze sometimes,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.07277506544219098
i havent been posting story on snapchat n stuff because my front camera has been broken since decadence but i amgoing to get that shit fixed before rez,"[0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.06486042692939252, 0.0246305418719212, 0.0246305418719212, 0.03804050355774497, 0.02846195949644228, 0.0246305418719212, 0.03804050355774497, 0.04187192118226604, 0.039956212370005496, 0.034209085933223894, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.028461959496442278, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.032293377120963355, 0.0246305418719212, 0.02654625068418174, 0.02846195949644228, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.026546250684181743]",it keep freezing n messing up n the application just close or freeze up,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]",0.07359136944838356
i havent been posting story on snapchat n stuff because my front camera has been broken since decadence but i amgoing to get that shit fixed before rez,"[0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.06486042692939252, 0.0246305418719212, 0.0246305418719212, 0.03804050355774497, 0.02846195949644228, 0.0246305418719212, 0.03804050355774497, 0.04187192118226604, 0.039956212370005496, 0.034209085933223894, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.028461959496442278, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.032293377120963355, 0.0246305418719212, 0.02654625068418174, 0.02846195949644228, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.026546250684181743]",it keep crashing every now and then it is been irritating because of this,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.03174603174603176, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.031746031746031765, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.03815628815628817, 0.027472527472527482]",0.07426781230852629
i havent been posting story on snapchat n stuff because my front camera has been broken since decadence but i amgoing to get that shit fixed before rez,"[0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.06486042692939252, 0.0246305418719212, 0.0246305418719212, 0.03804050355774497, 0.02846195949644228, 0.0246305418719212, 0.03804050355774497, 0.04187192118226604, 0.039956212370005496, 0.034209085933223894, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.028461959496442278, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.032293377120963355, 0.0246305418719212, 0.02654625068418174, 0.02846195949644228, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.026546250684181743]",it freeze my whole phone everytime i try to edit a picture from camera roll,"[0.025510204081632626, 0.02947845804988659, 0.03741496598639453, 0.043367346938775475, 0.025510204081632626, 0.025510204081632626, 0.043367346938775475, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.039399092970521514, 0.02749433106575961, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.043367346938775475, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.027494331065759613, 0.029478458049886594, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.027494331065759613, 0.02749433106575961, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.03741496598639453, 0.025510204081632626]",0.07546301540916031
i havent been posting story on snapchat n stuff because my front camera has been broken since decadence but i amgoing to get that shit fixed before rez,"[0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.06486042692939252, 0.0246305418719212, 0.0246305418719212, 0.03804050355774497, 0.02846195949644228, 0.0246305418719212, 0.03804050355774497, 0.04187192118226604, 0.039956212370005496, 0.034209085933223894, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.02654625068418174, 0.0246305418719212, 0.0246305418719212, 0.028461959496442278, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.032293377120963355, 0.0246305418719212, 0.02654625068418174, 0.02846195949644228, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.0246305418719212, 0.026546250684181743]",i dint even get the update,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",0.0756269537874303
so i text something sweet back real fast then go to open my snapchat try to view the snap and they glitch out then i see after they disappear that he blocked me,"[0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.026625704045058898, 0.023041474654377888, 0.03737839221710191, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.053507424475166446, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.03558627752176141, 0.026625704045058898, 0.030209933435739904, 0.023041474654377888, 0.03558627752176141, 0.04275473630312342, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.032002048131080395, 0.023041474654377888]",quality is so bad,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04456654456654459, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.07343962051591572
so i text something sweet back real fast then go to open my snapchat try to view the snap and they glitch out then i see after they disappear that he blocked me,"[0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.026625704045058898, 0.023041474654377888, 0.03737839221710191, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.053507424475166446, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.03558627752176141, 0.026625704045058898, 0.030209933435739904, 0.023041474654377888, 0.03558627752176141, 0.04275473630312342, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.032002048131080395, 0.023041474654377888]",it has very bad quality for picture and video,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.07736603317589297
so i text something sweet back real fast then go to open my snapchat try to view the snap and they glitch out then i see after they disappear that he blocked me,"[0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.026625704045058898, 0.023041474654377888, 0.03737839221710191, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.053507424475166446, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.03558627752176141, 0.026625704045058898, 0.030209933435739904, 0.023041474654377888, 0.03558627752176141, 0.04275473630312342, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.032002048131080395, 0.023041474654377888]",no great my picture quality is very bad,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.043725666367175814, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.029050613956274337, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]",0.0795906709661506
so i text something sweet back real fast then go to open my snapchat try to view the snap and they glitch out then i see after they disappear that he blocked me,"[0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.026625704045058898, 0.023041474654377888, 0.03737839221710191, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.053507424475166446, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.03558627752176141, 0.026625704045058898, 0.030209933435739904, 0.023041474654377888, 0.03558627752176141, 0.04275473630312342, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.032002048131080395, 0.023041474654377888]",the video quality is very bad,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.0806916368224515
so i text something sweet back real fast then go to open my snapchat try to view the snap and they glitch out then i see after they disappear that he blocked me,"[0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.026625704045058898, 0.023041474654377888, 0.03737839221710191, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.053507424475166446, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.03558627752176141, 0.026625704045058898, 0.030209933435739904, 0.023041474654377888, 0.03558627752176141, 0.04275473630312342, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.02483358934971839, 0.023041474654377888, 0.032002048131080395, 0.023041474654377888]",worst thing to remember,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.0806916368224515
