tweets,tweets_distribution,reviews,reviews_dist,gsd_score
would be pretty fucking nice if your application didnt close when i amtryna send picture of my dog to people causing me to lose the picture bc of it randomly closing fix it,"[0.02164502164502164, 0.02501202501202501, 0.02164502164502164, 0.02669552669552669, 0.05194805194805195, 0.02164502164502164, 0.03679653679653679, 0.023328523328523323, 0.02164502164502164, 0.02164502164502164, 0.0351130351130351, 0.03848003848003847, 0.02501202501202501, 0.02164502164502164, 0.02332852332852332, 0.03848003848003847, 0.02332852332852332, 0.02332852332852332, 0.03174603174603174, 0.02164502164502164, 0.035113035113035096, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.03511303511303511, 0.023328523328523323, 0.02164502164502164, 0.025012025012025006, 0.046897546897546896, 0.04016354016354016, 0.053631553631553634, 0.02164502164502164, 0.03342953342953343, 0.02164502164502164]",it is slow and crash my s apparently work better on apple device,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.044973544973544964, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.04291593180482069, 0.030570252792475005, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.028512639623750724, 0.03674309229864785, 0.03880070546737213, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447]",0.08405716092354008
would be pretty fucking nice if your application didnt close when i amtryna send picture of my dog to people causing me to lose the picture bc of it randomly closing fix it,"[0.02164502164502164, 0.02501202501202501, 0.02164502164502164, 0.02669552669552669, 0.05194805194805195, 0.02164502164502164, 0.03679653679653679, 0.023328523328523323, 0.02164502164502164, 0.02164502164502164, 0.0351130351130351, 0.03848003848003847, 0.02501202501202501, 0.02164502164502164, 0.02332852332852332, 0.03848003848003847, 0.02332852332852332, 0.02332852332852332, 0.03174603174603174, 0.02164502164502164, 0.035113035113035096, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.03511303511303511, 0.023328523328523323, 0.02164502164502164, 0.025012025012025006, 0.046897546897546896, 0.04016354016354016, 0.053631553631553634, 0.02164502164502164, 0.03342953342953343, 0.02164502164502164]",bad because some effect lost after updating still same problem,"[0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03001443001443003, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.0461760461760462, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03405483405483407, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.0461760461760462, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983]",0.08642182456687982
would be pretty fucking nice if your application didnt close when i amtryna send picture of my dog to people causing me to lose the picture bc of it randomly closing fix it,"[0.02164502164502164, 0.02501202501202501, 0.02164502164502164, 0.02669552669552669, 0.05194805194805195, 0.02164502164502164, 0.03679653679653679, 0.023328523328523323, 0.02164502164502164, 0.02164502164502164, 0.0351130351130351, 0.03848003848003847, 0.02501202501202501, 0.02164502164502164, 0.02332852332852332, 0.03848003848003847, 0.02332852332852332, 0.02332852332852332, 0.03174603174603174, 0.02164502164502164, 0.035113035113035096, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.03511303511303511, 0.023328523328523323, 0.02164502164502164, 0.025012025012025006, 0.046897546897546896, 0.04016354016354016, 0.053631553631553634, 0.02164502164502164, 0.03342953342953343, 0.02164502164502164]",b application can not get face swap on my s,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.044973544973544964, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03674309229864784, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03262786596119929, 0.04703115814226924, 0.03674309229864785, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447]",0.0868234240708116
would be pretty fucking nice if your application didnt close when i amtryna send picture of my dog to people causing me to lose the picture bc of it randomly closing fix it,"[0.02164502164502164, 0.02501202501202501, 0.02164502164502164, 0.02669552669552669, 0.05194805194805195, 0.02164502164502164, 0.03679653679653679, 0.023328523328523323, 0.02164502164502164, 0.02164502164502164, 0.0351130351130351, 0.03848003848003847, 0.02501202501202501, 0.02164502164502164, 0.02332852332852332, 0.03848003848003847, 0.02332852332852332, 0.02332852332852332, 0.03174603174603174, 0.02164502164502164, 0.035113035113035096, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.03511303511303511, 0.023328523328523323, 0.02164502164502164, 0.025012025012025006, 0.046897546897546896, 0.04016354016354016, 0.053631553631553634, 0.02164502164502164, 0.03342953342953343, 0.02164502164502164]",i absolutely do not recommend this application,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.03743635819107517, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717581, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03533992213237496, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122]",0.08796877291460797
would be pretty fucking nice if your application didnt close when i amtryna send picture of my dog to people causing me to lose the picture bc of it randomly closing fix it,"[0.02164502164502164, 0.02501202501202501, 0.02164502164502164, 0.02669552669552669, 0.05194805194805195, 0.02164502164502164, 0.03679653679653679, 0.023328523328523323, 0.02164502164502164, 0.02164502164502164, 0.0351130351130351, 0.03848003848003847, 0.02501202501202501, 0.02164502164502164, 0.02332852332852332, 0.03848003848003847, 0.02332852332852332, 0.02332852332852332, 0.03174603174603174, 0.02164502164502164, 0.035113035113035096, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.03511303511303511, 0.023328523328523323, 0.02164502164502164, 0.025012025012025006, 0.046897546897546896, 0.04016354016354016, 0.053631553631553634, 0.02164502164502164, 0.03342953342953343, 0.02164502164502164]",the new set up is not the best but overall the glitch are fixed,"[0.027994227994228002, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.04011544011544012, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.02597402597402598, 0.027994227994228002, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.03607503607503608, 0.02597402597402598, 0.02597402597402598, 0.03405483405483406, 0.02597402597402598, 0.04415584415584417, 0.027994227994228, 0.02597402597402598, 0.027994227994228002, 0.02597402597402598, 0.036075036075036086, 0.042135642135642144, 0.02597402597402598, 0.02597402597402598, 0.027994227994228002]",0.08831439994864014
hey so i am having this problem where i went to go snap someone i have been talking to for a little bit and i could no longer see their snapscore and it said we had a streak of which isnt possible because the lowest streak you could have is,"[0.023041474654377885, 0.05709165386584744, 0.051715309779825934, 0.02483358934971839, 0.035586277521761404, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.051715309779825934, 0.04275473630312341, 0.0373783922171019, 0.024833589349718386, 0.023041474654377885, 0.03200204813108039, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885]",for several week now i have not been able to record post or save video i record work for everyone else but me have tried installing updating and clearing cache nothing work,"[0.03458895996209429, 0.05448945747453211, 0.0445392087183132, 0.036247334754797446, 0.02132196162046908, 0.02132196162046908, 0.036247334754797446, 0.022980336413172237, 0.03127221037668799, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908, 0.036247334754797446, 0.04288083392561005, 0.0445392087183132, 0.02132196162046908, 0.022980336413172233, 0.02463871120587538, 0.036247334754797446, 0.02132196162046908, 0.022980336413172237, 0.029613835583984838, 0.022980336413172233, 0.036247334754797446, 0.03458895996209429, 0.03293058516939114, 0.022980336413172233, 0.03127221037668799, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908, 0.02132196162046908]",0.07387753451158031
hey so i am having this problem where i went to go snap someone i have been talking to for a little bit and i could no longer see their snapscore and it said we had a streak of which isnt possible because the lowest streak you could have is,"[0.023041474654377885, 0.05709165386584744, 0.051715309779825934, 0.02483358934971839, 0.035586277521761404, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.051715309779825934, 0.04275473630312341, 0.0373783922171019, 0.024833589349718386, 0.023041474654377885, 0.03200204813108039, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885]",not allowed to see story setting if i try it freeze please fix it,"[0.025062656641604016, 0.05430242272347537, 0.028961292119186865, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.02701197438039544, 0.027011974380395442, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.0406571985519354, 0.025062656641604016, 0.04260651629072683, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.02701197438039544, 0.025062656641604016, 0.03480924533556114, 0.03480924533556113, 0.025062656641604016, 0.025062656641604016, 0.04260651629072683, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.03870788081314398, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016]",0.0886922610695522
hey so i am having this problem where i went to go snap someone i have been talking to for a little bit and i could no longer see their snapscore and it said we had a streak of which isnt possible because the lowest streak you could have is,"[0.023041474654377885, 0.05709165386584744, 0.051715309779825934, 0.02483358934971839, 0.035586277521761404, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.051715309779825934, 0.04275473630312341, 0.0373783922171019, 0.024833589349718386, 0.023041474654377885, 0.03200204813108039, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885]",can not save the saved chat to gallery now disappointing,"[0.026954177897574125, 0.03743635819107518, 0.04791853848457622, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.033243486073674756, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]",0.08978097621966162
hey so i am having this problem where i went to go snap someone i have been talking to for a little bit and i could no longer see their snapscore and it said we had a streak of which isnt possible because the lowest streak you could have is,"[0.023041474654377885, 0.05709165386584744, 0.051715309779825934, 0.02483358934971839, 0.035586277521761404, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.051715309779825934, 0.04275473630312341, 0.0373783922171019, 0.024833589349718386, 0.023041474654377885, 0.03200204813108039, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885]",not good to me at all because i can not save my pic in gallery,"[0.027472527472527482, 0.029609279609279622, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.04029304029304031, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",0.09022582120144065
hey so i am having this problem where i went to go snap someone i have been talking to for a little bit and i could no longer see their snapscore and it said we had a streak of which isnt possible because the lowest streak you could have is,"[0.023041474654377885, 0.05709165386584744, 0.051715309779825934, 0.02483358934971839, 0.035586277521761404, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.051715309779825934, 0.04275473630312341, 0.0373783922171019, 0.024833589349718386, 0.023041474654377885, 0.03200204813108039, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.02483358934971839, 0.03917050691244241, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.03917050691244241, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885]",i will not allow access to my personal photo,"[0.028512639623750724, 0.04291593180482068, 0.04497354497354496, 0.02645502645502644, 0.04291593180482068, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04085831863609638, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.030570252792474994, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750717, 0.02645502645502644]",0.09157795408052907
