tweets,tweets_distribution,reviews,reviews_dist,gsd_score
hey there are a few reason your account could be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing an generic login error message check out this link,"[0.042075163398692814, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.03686683006535948, 0.02297794117647059, 0.024714052287581702, 0.026450163398692814, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.024714052287581702, 0.026450163398692814, 0.024714052287581702, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.03860294117647059, 0.05943627450980391, 0.054227941176470576, 0.02297794117647059, 0.02297794117647059, 0.035130718954248366, 0.02297794117647059, 0.06464460784313725, 0.02297794117647059, 0.042075163398692814, 0.024714052287581702, 0.033394607843137254, 0.02297794117647059, 0.024714052287581702]",the update made the chat size a lot bigger and that is annoying also its crashed around time when i tried to unload a video that was snap long,"[0.036263967952772494, 0.025511279780729493, 0.0398481973434535, 0.02371916508538899, 0.038056082648113, 0.0398481973434535, 0.025511279780729493, 0.02371916508538899, 0.02371916508538899, 0.036263967952772494, 0.025511279780729493, 0.02371916508538899, 0.02371916508538899, 0.025511279780729493, 0.02371916508538899, 0.02371916508538899, 0.0326797385620915, 0.025511279780729493, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.048808770820156014, 0.027303394476069994, 0.02371916508538899, 0.02371916508538899, 0.029095509171410492, 0.02371916508538899, 0.048808770820156014, 0.02371916508538899, 0.034471853257431996, 0.02371916508538899, 0.043432426734134506, 0.02371916508538899, 0.038056082648113]",0.07882479297235162
hey there are a few reason your account could be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing an generic login error message check out this link,"[0.042075163398692814, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.03686683006535948, 0.02297794117647059, 0.024714052287581702, 0.026450163398692814, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.024714052287581702, 0.026450163398692814, 0.024714052287581702, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.03860294117647059, 0.05943627450980391, 0.054227941176470576, 0.02297794117647059, 0.02297794117647059, 0.035130718954248366, 0.02297794117647059, 0.06464460784313725, 0.02297794117647059, 0.042075163398692814, 0.024714052287581702, 0.033394607843137254, 0.02297794117647059, 0.024714052287581702]",the quality of my video always go down after i post my video i have an android but i have noticed this happens with phone too,"[0.03447185325743201, 0.023719165085389, 0.023719165085389, 0.023719165085389, 0.0255112797807295, 0.03447185325743201, 0.0255112797807295, 0.023719165085389, 0.023719165085389, 0.023719165085389, 0.0255112797807295, 0.023719165085389, 0.023719165085389, 0.027303394476069998, 0.0255112797807295, 0.023719165085389, 0.038056082648113006, 0.027303394476069998, 0.023719165085389, 0.027303394476069998, 0.023719165085389, 0.0362639679527725, 0.0362639679527725, 0.023719165085389, 0.023719165085389, 0.027303394476069998, 0.023719165085389, 0.05239300021083701, 0.023719165085389, 0.06314568838288001, 0.027303394476069998, 0.039848197343453504, 0.0290955091714105, 0.04164031203879401]",0.0900934651813989
hey there are a few reason your account could be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing an generic login error message check out this link,"[0.042075163398692814, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.03686683006535948, 0.02297794117647059, 0.024714052287581702, 0.026450163398692814, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.024714052287581702, 0.026450163398692814, 0.024714052287581702, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.03860294117647059, 0.05943627450980391, 0.054227941176470576, 0.02297794117647059, 0.02297794117647059, 0.035130718954248366, 0.02297794117647059, 0.06464460784313725, 0.02297794117647059, 0.042075163398692814, 0.024714052287581702, 0.033394607843137254, 0.02297794117647059, 0.024714052287581702]",none of my snap are sending,"[0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.02984338389443829, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.0319398199531385, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.02984338389443829, 0.04032556418793934, 0.027746947835738077, 0.027746947835738077, 0.027746947835738077, 0.036132692070538916, 0.027746947835738077, 0.044518436305339755, 0.027746947835738077, 0.036132692070538916, 0.027746947835738077, 0.027746947835738077, 0.02984338389443829, 0.027746947835738077]",0.09230444606974758
hey there are a few reason your account could be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing an generic login error message check out this link,"[0.042075163398692814, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.03686683006535948, 0.02297794117647059, 0.024714052287581702, 0.026450163398692814, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.024714052287581702, 0.026450163398692814, 0.024714052287581702, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.03860294117647059, 0.05943627450980391, 0.054227941176470576, 0.02297794117647059, 0.02297794117647059, 0.035130718954248366, 0.02297794117647059, 0.06464460784313725, 0.02297794117647059, 0.042075163398692814, 0.024714052287581702, 0.033394607843137254, 0.02297794117647059, 0.024714052287581702]",since updating none of my message have sent through,"[0.03134834180585816, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.035463568143306715, 0.029290728637133882, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.029290728637133882, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.029290728637133882, 0.029290728637133882, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.04575163398692812, 0.029290728637133882, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.049866860324376684, 0.027233115468409598, 0.037521181312031, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598, 0.027233115468409598]",0.09394893316399523
hey there are a few reason your account could be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing an generic login error message check out this link,"[0.042075163398692814, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.03686683006535948, 0.02297794117647059, 0.024714052287581702, 0.026450163398692814, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.024714052287581702, 0.024714052287581702, 0.026450163398692814, 0.024714052287581702, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.02297794117647059, 0.03860294117647059, 0.05943627450980391, 0.054227941176470576, 0.02297794117647059, 0.02297794117647059, 0.035130718954248366, 0.02297794117647059, 0.06464460784313725, 0.02297794117647059, 0.042075163398692814, 0.024714052287581702, 0.033394607843137254, 0.02297794117647059, 0.024714052287581702]",the snap do not tell me when they where opened just when they where sent,"[0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.03957879448075527, 0.02929072863713388, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.045751633986928116, 0.027233115468409595, 0.02929072863713388, 0.027233115468409595, 0.035463568143306715, 0.03134834180585815, 0.04369402081820384, 0.02929072863713388, 0.035463568143306715, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595, 0.027233115468409595]",0.09555220666637432
day time to fix some gear follow me on snapchat hockeyrepair for behind the scene padgic echl growler railershockey nh hockey eqms bayareahockeyrepair bahr,"[0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03165849673202614, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.0247140522875817, 0.03860294117647058, 0.0247140522875817, 0.03686683006535948, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03686683006535948, 0.10457516339869279, 0.022977941176470586, 0.05422794117647057, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586]",whenever i post bigger video to my story several of the snap will just be repeat of the first instead of what bigger video should be please fix,"[0.023719165085389, 0.023719165085389, 0.023719165085389, 0.050600885515496505, 0.023719165085389, 0.023719165085389, 0.023719165085389, 0.023719165085389, 0.023719165085389, 0.0255112797807295, 0.023719165085389, 0.023719165085389, 0.0362639679527725, 0.023719165085389, 0.023719165085389, 0.0255112797807295, 0.04343242673413451, 0.0255112797807295, 0.0255112797807295, 0.04343242673413451, 0.0362639679527725, 0.0362639679527725, 0.023719165085389, 0.0290955091714105, 0.023719165085389, 0.0255112797807295, 0.0255112797807295, 0.08285895003162554, 0.023719165085389, 0.03447185325743201, 0.023719165085389, 0.027303394476069998, 0.023719165085389, 0.023719165085389]",0.10212157827299433
day time to fix some gear follow me on snapchat hockeyrepair for behind the scene padgic echl growler railershockey nh hockey eqms bayareahockeyrepair bahr,"[0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03165849673202614, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.0247140522875817, 0.03860294117647058, 0.0247140522875817, 0.03686683006535948, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03686683006535948, 0.10457516339869279, 0.022977941176470586, 0.05422794117647057, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586]",terrible application when i send message or photo or video it take forever to send and at the end it is doe not send,"[0.02450980392156863, 0.02450980392156863, 0.02450980392156863, 0.02450980392156863, 0.04302832244008714, 0.02450980392156863, 0.02450980392156863, 0.02450980392156863, 0.02636165577342048, 0.02450980392156863, 0.02450980392156863, 0.02636165577342048, 0.02450980392156863, 0.03747276688453159, 0.02450980392156863, 0.028213507625272333, 0.02450980392156863, 0.02636165577342048, 0.02450980392156863, 0.02450980392156863, 0.02450980392156863, 0.02636165577342048, 0.02450980392156863, 0.03376906318082789, 0.02450980392156863, 0.04117647058823529, 0.02450980392156863, 0.10228758169934639, 0.028213507625272333, 0.02636165577342048, 0.02450980392156863, 0.030065359477124177, 0.02636165577342048, 0.031917211328976035]",0.10466131890255034
day time to fix some gear follow me on snapchat hockeyrepair for behind the scene padgic echl growler railershockey nh hockey eqms bayareahockeyrepair bahr,"[0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03165849673202614, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.0247140522875817, 0.03860294117647058, 0.0247140522875817, 0.03686683006535948, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03686683006535948, 0.10457516339869279, 0.022977941176470586, 0.05422794117647057, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586]",front camera resolution is messed up on galaxy se front camera resolution is way too zoomed in i have to extend my hand really far and even then it look too close,"[0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.05249183006535947, 0.0247140522875817, 0.02818627450980392, 0.033394607843137254, 0.033394607843137254, 0.0247140522875817, 0.02645016339869281, 0.035130718954248366, 0.022977941176470586, 0.022977941176470586, 0.02645016339869281, 0.022977941176470586, 0.02818627450980392, 0.022977941176470586, 0.035130718954248366, 0.033394607843137254, 0.02992238562091503, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.06464460784313725, 0.022977941176470586, 0.04207516339869281, 0.03165849673202614, 0.03165849673202614, 0.022977941176470586, 0.03686683006535948]",0.10585336896895964
day time to fix some gear follow me on snapchat hockeyrepair for behind the scene padgic echl growler railershockey nh hockey eqms bayareahockeyrepair bahr,"[0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03165849673202614, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.0247140522875817, 0.03860294117647058, 0.0247140522875817, 0.03686683006535948, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03686683006535948, 0.10457516339869279, 0.022977941176470586, 0.05422794117647057, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586]",snap is not sending to anyonewhen ever i try ro send again it show can not send your snap,"[0.024108003857280628, 0.024108003857280628, 0.04050144648023145, 0.0350369656059145, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.02592949748205294, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.056894889103182265, 0.03685845923068682, 0.024108003857280628, 0.024108003857280628, 0.02592949748205294, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.02592949748205294, 0.024108003857280628, 0.02592949748205294, 0.027750991106825253, 0.027750991106825253, 0.07328833172613308, 0.02592949748205294, 0.06418086360227152, 0.024108003857280628, 0.024108003857280628, 0.02592949748205294, 0.024108003857280628]",0.1059492941292487
day time to fix some gear follow me on snapchat hockeyrepair for behind the scene padgic echl growler railershockey nh hockey eqms bayareahockeyrepair bahr,"[0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03165849673202614, 0.0247140522875817, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.0247140522875817, 0.022977941176470586, 0.03860294117647058, 0.022977941176470586, 0.022977941176470586, 0.035130718954248366, 0.0247140522875817, 0.03860294117647058, 0.0247140522875817, 0.03686683006535948, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03686683006535948, 0.10457516339869279, 0.022977941176470586, 0.05422794117647057, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586]",my snapstreaks are not showing up even after we both have sent snap,"[0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.03749570003439973, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.03749570003439973, 0.043343653250774, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.05503955968352253, 0.03164774681802546, 0.04724228872835685, 0.043343653250774, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196]",0.1086035012464133
