tweets,tweets_distribution,reviews,reviews_dist,gsd_score
hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]",application crash after an update while trying to unload story,"[0.025510204081632626, 0.043367346938775475, 0.025510204081632626, 0.025510204081632626, 0.033446712018140555, 0.04138321995464849, 0.025510204081632626, 0.025510204081632626, 0.039399092970521514, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.04931972789115642, 0.025510204081632626, 0.027494331065759613, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626, 0.02749433106575961, 0.025510204081632626, 0.025510204081632626, 0.047335600907029436, 0.02749433106575961, 0.025510204081632626, 0.025510204081632626, 0.025510204081632626]",0.07520034792698856
hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]",bad application every time update issue,"[0.025974025974025983, 0.03203463203463204, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03001443001443002, 0.04617604617604618, 0.025974025974025983, 0.025974025974025983, 0.03203463203463205, 0.048196248196248216, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.027994227994228002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04819624819624821, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.027994227994228005]",0.07589559539631968
hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]",it suck such a worst bad whatsit messenger,"[0.026455026455026447, 0.03880070546737213, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.047031158142269235, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.0408583186360964, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.0408583186360964, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447]",0.07625445563508115
hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]",from the time my phone mi a has got updated with android p whatsit is just crashing whats the problem,"[0.03037766830870277, 0.047619047619047596, 0.024630541871921166, 0.024630541871921166, 0.03229337712096331, 0.034209085933223846, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.026546250684181705, 0.0265462506841817, 0.024630541871921166, 0.024630541871921166, 0.041871921182265986, 0.02846195949644224, 0.024630541871921166, 0.026546250684181705, 0.051450465243568666, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.026546250684181705, 0.024630541871921166, 0.034209085933223846, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166, 0.043787629994526525, 0.03229337712096331, 0.024630541871921166, 0.024630541871921166, 0.024630541871921166]",0.08248339714507055
hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]",update is worst and very very bad while watching status,"[0.04011544011544012, 0.04415584415584418, 0.025974025974025983, 0.03203463203463205, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03607503607503609, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03405483405483407, 0.025974025974025983, 0.03001443001443002, 0.025974025974025983, 0.03405483405483407, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.027994227994228002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04213564213564215, 0.025974025974025983, 0.025974025974025983, 0.027994227994228002, 0.025974025974025983]",0.0849174273486925
web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]",this version suck this version is not singing with photo in my contact,"[0.025510204081632633, 0.025510204081632633, 0.05328798185941041, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03344671201814057, 0.027494331065759617, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.05527210884353739, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03344671201814056, 0.025510204081632633, 0.03543083900226755, 0.039399092970521514]",0.05959650236441442
web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]",since the update the altar of my contact disappeared,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.041629230308475595, 0.026954177897574122, 0.026954177897574122, 0.04582210242587601, 0.03324348607367475, 0.026954177897574122, 0.039532794249775384, 0.026954177897574122]",0.06554211194059381
web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]",i got locked our of my what is application,"[0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.031147050014974545, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03533992213237496, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.029050613956274333, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.041629230308475595, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04372566636717579, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.06986049181360512
web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]",no dp plod status download no send photo what is the problem sir,"[0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750714, 0.02851263962375072, 0.02645502645502644, 0.04291593180482067, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.03262786596119927, 0.02645502645502644, 0.04085831863609639, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354495, 0.02645502645502644, 0.02645502645502644, 0.04085831863609639, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.07166376572276958
web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]",it bugged and forced me to instal it and now it will not let me log in,"[0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.028512639623750727, 0.02645502645502645, 0.028512639623750734, 0.02645502645502645, 0.02645502645502645, 0.028512639623750727, 0.03262786596119929, 0.02645502645502645, 0.028512639623750727, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.028512639623750734, 0.02645502645502645, 0.028512639623750727, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.028512639623750727, 0.04085831863609641, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.047031158142269255, 0.02645502645502645, 0.03262786596119929, 0.03880070546737213]",0.07231689840040333
