tweets,tweets_distribution,reviews,reviews_dist,gsd_score
it is one thing not being able to send picture but not being able to send sticker mark zuckerberg fix it,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.02483358934971839, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.04813108038914492, 0.039170506912442414, 0.023041474654377885, 0.05709165386584744, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.033794162826420907, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.032002048131080395, 0.024833589349718386, 0.024833589349718386, 0.039170506912442414, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.07680491551459297, 0.023041474654377885]",is there any problem because i can not send picture through whatsit hope this problem can be fixed a soon a possible,"[0.025062656641604012, 0.02701197438039544, 0.027011974380395435, 0.025062656641604012, 0.025062656641604012, 0.03675856307435256, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.02896129211918686, 0.025062656641604012, 0.025062656641604012, 0.02896129211918686, 0.02701197438039544, 0.025062656641604012, 0.052353104984683936, 0.025062656641604012, 0.025062656641604012, 0.02896129211918686, 0.036758563074352546, 0.025062656641604012, 0.03480924533556114, 0.025062656641604012, 0.028961292119186858, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.040657198551935406, 0.025062656641604012, 0.025062656641604012, 0.027011974380395435, 0.04845446950710109, 0.025062656641604012]",0.06510430544953863
it is one thing not being able to send picture but not being able to send sticker mark zuckerberg fix it,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.02483358934971839, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.04813108038914492, 0.039170506912442414, 0.023041474654377885, 0.05709165386584744, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.033794162826420907, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.032002048131080395, 0.024833589349718386, 0.024833589349718386, 0.039170506912442414, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.07680491551459297, 0.023041474654377885]",can not see friend active minute or hour,"[0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.059240362811791354, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.04138321995464849, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633]",0.06932907277455874
it is one thing not being able to send picture but not being able to send sticker mark zuckerberg fix it,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.02483358934971839, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.04813108038914492, 0.039170506912442414, 0.023041474654377885, 0.05709165386584744, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.033794162826420907, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.032002048131080395, 0.024833589349718386, 0.024833589349718386, 0.039170506912442414, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.07680491551459297, 0.023041474654377885]",i can not download some picture from people send to me please fix some picture from people send to me,"[0.025510204081632633, 0.025510204081632633, 0.029478458049886597, 0.025510204081632633, 0.025510204081632633, 0.03741496598639452, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.061224489795918345, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613, 0.061224489795918345, 0.025510204081632633]",0.07396225106478434
it is one thing not being able to send picture but not being able to send sticker mark zuckerberg fix it,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.02483358934971839, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.04813108038914492, 0.039170506912442414, 0.023041474654377885, 0.05709165386584744, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.033794162826420907, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.032002048131080395, 0.024833589349718386, 0.024833589349718386, 0.039170506912442414, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.07680491551459297, 0.023041474654377885]",i am unable to download and send any picture please solve my problem and would you tell me please why this type of problem is happening with me,"[0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.026546250684181715, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.030377668308702786, 0.03420908593322386, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.03420908593322386, 0.04187192118226601, 0.024630541871921176, 0.04953475643130815, 0.024630541871921176, 0.02654625068418171, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.02654625068418171, 0.0361247947454844, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.02654625068418171, 0.024630541871921176, 0.024630541871921176, 0.02654625068418171, 0.07060755336617405, 0.02846195949644225]",0.0770131365256402
it is one thing not being able to send picture but not being able to send sticker mark zuckerberg fix it,"[0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.02483358934971839, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.04813108038914492, 0.039170506912442414, 0.023041474654377885, 0.05709165386584744, 0.02483358934971839, 0.023041474654377885, 0.023041474654377885, 0.033794162826420907, 0.023041474654377885, 0.023041474654377885, 0.024833589349718386, 0.023041474654377885, 0.032002048131080395, 0.024833589349718386, 0.024833589349718386, 0.039170506912442414, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.07680491551459297, 0.023041474654377885]",photo copy sending problem download problem pl do something,"[0.027994227994228005, 0.025974025974025986, 0.025974025974025986, 0.02799422799422801, 0.025974025974025986, 0.025974025974025986, 0.030014430014430032, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.03809523809523812, 0.025974025974025986, 0.025974025974025986, 0.05223665223665226, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.06839826839826844, 0.025974025974025986]",0.08242126184976155
me and my friend have this problem where it will not let u send eachother picture and video and also on our status we are worried on what is going on and we would like to see if you knew anything about it,"[0.023687423687423687, 0.02881562881562882, 0.025396825396825397, 0.021978021978021976, 0.04078144078144078, 0.028815628815628814, 0.023687423687423683, 0.027106227106227107, 0.021978021978021976, 0.03565323565323565, 0.023687423687423683, 0.03565323565323565, 0.03736263736263735, 0.025396825396825397, 0.02881562881562882, 0.04590964590964591, 0.028815628815628814, 0.03223443223443224, 0.023687423687423683, 0.023687423687423687, 0.027106227106227107, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.047619047619047616, 0.021978021978021976, 0.021978021978021976, 0.025396825396825397, 0.021978021978021976, 0.021978021978021976, 0.03394383394383394, 0.023687423687423687, 0.047619047619047616, 0.033943833943833934]",the voice calling and video calling feature is very bad it lag much,"[0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314398, 0.032859927596769714, 0.02506265664160402, 0.042606516290726835, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.05820105820105824, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.048454469507101104, 0.02506265664160402, 0.042606516290726835, 0.027011974380395445]",0.07043785199655203
me and my friend have this problem where it will not let u send eachother picture and video and also on our status we are worried on what is going on and we would like to see if you knew anything about it,"[0.023687423687423687, 0.02881562881562882, 0.025396825396825397, 0.021978021978021976, 0.04078144078144078, 0.028815628815628814, 0.023687423687423683, 0.027106227106227107, 0.021978021978021976, 0.03565323565323565, 0.023687423687423683, 0.03565323565323565, 0.03736263736263735, 0.025396825396825397, 0.02881562881562882, 0.04590964590964591, 0.028815628815628814, 0.03223443223443224, 0.023687423687423683, 0.023687423687423687, 0.027106227106227107, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.047619047619047616, 0.021978021978021976, 0.021978021978021976, 0.025396825396825397, 0.021978021978021976, 0.021978021978021976, 0.03394383394383394, 0.023687423687423687, 0.047619047619047616, 0.033943833943833934]",screen remains off at incoming voice call on galaxy s android version,"[0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04415584415584417, 0.02799422799422801, 0.027994227994228005, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.030014430014430032, 0.025974025974025986, 0.025974025974025986, 0.030014430014430032, 0.025974025974025986, 0.04213564213564216, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04415584415584418, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04819624819624822, 0.025974025974025986, 0.02799422799422801, 0.025974025974025986]",0.07232083475925548
me and my friend have this problem where it will not let u send eachother picture and video and also on our status we are worried on what is going on and we would like to see if you knew anything about it,"[0.023687423687423687, 0.02881562881562882, 0.025396825396825397, 0.021978021978021976, 0.04078144078144078, 0.028815628815628814, 0.023687423687423683, 0.027106227106227107, 0.021978021978021976, 0.03565323565323565, 0.023687423687423683, 0.03565323565323565, 0.03736263736263735, 0.025396825396825397, 0.02881562881562882, 0.04590964590964591, 0.028815628815628814, 0.03223443223443224, 0.023687423687423683, 0.023687423687423687, 0.027106227106227107, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.047619047619047616, 0.021978021978021976, 0.021978021978021976, 0.025396825396825397, 0.021978021978021976, 0.021978021978021976, 0.03394383394383394, 0.023687423687423687, 0.047619047619047616, 0.033943833943833934]",bad version hanging problem,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125]",0.07373161622912609
me and my friend have this problem where it will not let u send eachother picture and video and also on our status we are worried on what is going on and we would like to see if you knew anything about it,"[0.023687423687423687, 0.02881562881562882, 0.025396825396825397, 0.021978021978021976, 0.04078144078144078, 0.028815628815628814, 0.023687423687423683, 0.027106227106227107, 0.021978021978021976, 0.03565323565323565, 0.023687423687423683, 0.03565323565323565, 0.03736263736263735, 0.025396825396825397, 0.02881562881562882, 0.04590964590964591, 0.028815628815628814, 0.03223443223443224, 0.023687423687423683, 0.023687423687423687, 0.027106227106227107, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.047619047619047616, 0.021978021978021976, 0.021978021978021976, 0.025396825396825397, 0.021978021978021976, 0.021978021978021976, 0.03394383394383394, 0.023687423687423687, 0.047619047619047616, 0.033943833943833934]",problem when i back vedic call camera is off,"[0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.028512639623750727, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.04291593180482068, 0.02645502645502645, 0.03468547912992356, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.03880070546737213, 0.02645502645502645, 0.02645502645502645, 0.0408583186360964, 0.028512639623750734, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.02645502645502645, 0.028512639623750727, 0.0408583186360964, 0.028512639623750727]",0.07375382856951186
me and my friend have this problem where it will not let u send eachother picture and video and also on our status we are worried on what is going on and we would like to see if you knew anything about it,"[0.023687423687423687, 0.02881562881562882, 0.025396825396825397, 0.021978021978021976, 0.04078144078144078, 0.028815628815628814, 0.023687423687423683, 0.027106227106227107, 0.021978021978021976, 0.03565323565323565, 0.023687423687423683, 0.03565323565323565, 0.03736263736263735, 0.025396825396825397, 0.02881562881562882, 0.04590964590964591, 0.028815628815628814, 0.03223443223443224, 0.023687423687423683, 0.023687423687423687, 0.027106227106227107, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.047619047619047616, 0.021978021978021976, 0.021978021978021976, 0.025396825396825397, 0.021978021978021976, 0.021978021978021976, 0.03394383394383394, 0.023687423687423687, 0.047619047619047616, 0.033943833943833934]",there is a problem in video call,"[0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.045822102425876025, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.031147050014974552, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.045822102425876025, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.04162923030847561, 0.02695417789757413]",0.07568390843448251
