tweets,tweets_distribution,reviews,reviews_dist,gsd_score
i have an issue in my account and i followed the step to help center followed by sending an email but till now i have no response so it would be nice if some one from help center contact me thank you,"[0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.1254480286738351, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.03763440860215053, 0.030465949820788523, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.032258064516129024, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.026881720430107513, 0.07168458781362005, 0.04659498207885305, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513]",after last update this ap is not share status properly i post a video song on my status story last update this ap is posted succesful but missing voice of a video song,"[0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.10928961748633881, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.03825136612021859, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.03278688524590165, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.06557377049180331, 0.0382513661202186, 0.027322404371584702, 0.027322404371584702, 0.02914389799635702, 0.05828779599271405, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702]",0.06170093349252962
i have an issue in my account and i followed the step to help center followed by sending an email but till now i have no response so it would be nice if some one from help center contact me thank you,"[0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.1254480286738351, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.03763440860215053, 0.030465949820788523, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.032258064516129024, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.026881720430107513, 0.07168458781362005, 0.04659498207885305, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513]",i am trying to download whatsit on my phone whatsit doe not my number doe not work in eye,"[0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.04483430799220276, 0.02923976608187135, 0.02923976608187135, 0.06627680311890842, 0.02923976608187135, 0.0331384015594542, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662777, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.03118908382066278, 0.02923976608187135, 0.064327485380117, 0.04093567251461991, 0.02923976608187135, 0.02923976608187135, 0.031189083820662777, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.04288499025341133]",0.07569108461366199
i have an issue in my account and i followed the step to help center followed by sending an email but till now i have no response so it would be nice if some one from help center contact me thank you,"[0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.1254480286738351, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.03763440860215053, 0.030465949820788523, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.032258064516129024, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.026881720430107513, 0.07168458781362005, 0.04659498207885305, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513]",not ok with video call feature,"[0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.06918238993710693, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]",0.08618026238803717
i have an issue in my account and i followed the step to help center followed by sending an email but till now i have no response so it would be nice if some one from help center contact me thank you,"[0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.1254480286738351, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.03763440860215053, 0.030465949820788523, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.032258064516129024, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.026881720430107513, 0.07168458781362005, 0.04659498207885305, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513]",hi sir first i can not call i can not message then i instal whatsit and i deinstall now i can not open now sir first telling check status,"[0.03472222222222223, 0.02777777777777777, 0.026041666666666657, 0.026041666666666657, 0.02951388888888888, 0.02777777777777777, 0.07465277777777776, 0.05208333333333334, 0.026041666666666657, 0.03125, 0.026041666666666657, 0.032986111111111105, 0.03298611111111111, 0.02777777777777777, 0.026041666666666657, 0.02777777777777777, 0.026041666666666657, 0.026041666666666657, 0.03298611111111111, 0.04340277777777778, 0.02777777777777777, 0.07986111111111109, 0.036458333333333336, 0.026041666666666657, 0.026041666666666657, 0.026041666666666657, 0.02777777777777777, 0.02777777777777777, 0.02777777777777777, 0.03645833333333332]",0.08887724851859294
i have an issue in my account and i followed the step to help center followed by sending an email but till now i have no response so it would be nice if some one from help center contact me thank you,"[0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.1254480286738351, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.03763440860215053, 0.030465949820788523, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.032258064516129024, 0.026881720430107513, 0.026881720430107513, 0.032258064516129024, 0.026881720430107513, 0.07168458781362005, 0.04659498207885305, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513, 0.026881720430107513]",with number the first carrier doe not work in iran and doe not know,"[0.028735632183908035, 0.03256704980842911, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.08237547892720304, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.040229885057471264, 0.03256704980842911, 0.03065134099616857, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.03065134099616857, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.06321839080459771, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.03065134099616857, 0.028735632183908035, 0.04022988505747127, 0.0421455938697318, 0.028735632183908035]",0.08901014666709106
shaving trouble in pending or receiving message no tick while sending and checking for new message while receiving net working fine tried reinstalling too work for mind then back to freeze mode kindly help,"[0.030595813204508847, 0.03703703703703704, 0.02415458937198067, 0.025764895330112714, 0.04186795491143317, 0.03542673107890498, 0.0322061191626409, 0.025764895330112714, 0.02415458937198067, 0.02415458937198067, 0.04186795491143317, 0.02415458937198067, 0.06763285024154587, 0.02415458937198067, 0.033816425120772944, 0.027375201288244756, 0.02415458937198067, 0.040257648953301126, 0.02415458937198067, 0.07246376811594202, 0.033816425120772944, 0.03864734299516909, 0.02415458937198067, 0.03864734299516909, 0.02415458937198067, 0.02415458937198067, 0.05797101449275362, 0.025764895330112714, 0.025764895330112714, 0.025764895330112714]",great application after the recent update great application has just stopped working the message will not be delivered and i can not even backup my chat when confirmed with my friend then great application is working perfectly fine with my friend please fix this issue,"[0.02604166666666666, 0.04340277777777779, 0.02604166666666666, 0.02604166666666666, 0.0607638888888889, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.027777777777777773, 0.02604166666666666, 0.03645833333333334, 0.04861111111111112, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.032986111111111105, 0.027777777777777773, 0.05729166666666667, 0.02604166666666666, 0.05902777777777778, 0.02604166666666666, 0.045138888888888895, 0.02604166666666666, 0.03819444444444445, 0.05034722222222223, 0.029513888888888885, 0.02604166666666666, 0.02604166666666666]",0.0750217701023292
shaving trouble in pending or receiving message no tick while sending and checking for new message while receiving net working fine tried reinstalling too work for mind then back to freeze mode kindly help,"[0.030595813204508847, 0.03703703703703704, 0.02415458937198067, 0.025764895330112714, 0.04186795491143317, 0.03542673107890498, 0.0322061191626409, 0.025764895330112714, 0.02415458937198067, 0.02415458937198067, 0.04186795491143317, 0.02415458937198067, 0.06763285024154587, 0.02415458937198067, 0.033816425120772944, 0.027375201288244756, 0.02415458937198067, 0.040257648953301126, 0.02415458937198067, 0.07246376811594202, 0.033816425120772944, 0.03864734299516909, 0.02415458937198067, 0.03864734299516909, 0.02415458937198067, 0.02415458937198067, 0.05797101449275362, 0.025764895330112714, 0.025764895330112714, 0.025764895330112714]",what is application status is not working properly my friend also same issue please solve my friend also same issue,"[0.02976190476190475, 0.0496031746031746, 0.02976190476190475, 0.02976190476190475, 0.037698412698412696, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.041666666666666664, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.05158730158730158, 0.02976190476190475, 0.047619047619047616, 0.02976190476190475, 0.035714285714285705, 0.02976190476190475, 0.02976190476190475, 0.047619047619047616, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475]",0.07800330806135387
shaving trouble in pending or receiving message no tick while sending and checking for new message while receiving net working fine tried reinstalling too work for mind then back to freeze mode kindly help,"[0.030595813204508847, 0.03703703703703704, 0.02415458937198067, 0.025764895330112714, 0.04186795491143317, 0.03542673107890498, 0.0322061191626409, 0.025764895330112714, 0.02415458937198067, 0.02415458937198067, 0.04186795491143317, 0.02415458937198067, 0.06763285024154587, 0.02415458937198067, 0.033816425120772944, 0.027375201288244756, 0.02415458937198067, 0.040257648953301126, 0.02415458937198067, 0.07246376811594202, 0.033816425120772944, 0.03864734299516909, 0.02415458937198067, 0.03864734299516909, 0.02415458937198067, 0.02415458937198067, 0.05797101449275362, 0.025764895330112714, 0.025764895330112714, 0.025764895330112714]",voice message playing audio after some delay,"[0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.04848484848484851, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03232323232323234, 0.03030303030303031, 0.03030303030303031, 0.03232323232323233, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.06464646464646469, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.06262626262626265, 0.03232323232323233, 0.03030303030303031, 0.03030303030303031]",0.080269013248578
shaving trouble in pending or receiving message no tick while sending and checking for new message while receiving net working fine tried reinstalling too work for mind then back to freeze mode kindly help,"[0.030595813204508847, 0.03703703703703704, 0.02415458937198067, 0.025764895330112714, 0.04186795491143317, 0.03542673107890498, 0.0322061191626409, 0.025764895330112714, 0.02415458937198067, 0.02415458937198067, 0.04186795491143317, 0.02415458937198067, 0.06763285024154587, 0.02415458937198067, 0.033816425120772944, 0.027375201288244756, 0.02415458937198067, 0.040257648953301126, 0.02415458937198067, 0.07246376811594202, 0.033816425120772944, 0.03864734299516909, 0.02415458937198067, 0.03864734299516909, 0.02415458937198067, 0.02415458937198067, 0.05797101449275362, 0.025764895330112714, 0.025764895330112714, 0.025764895330112714]",inability to send message to more than five contact message use to be up to twenty contact at a time but only five now,"[0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662773, 0.02923976608187135, 0.02923976608187135, 0.042884990253411324, 0.02923976608187135, 0.0662768031189084, 0.02923976608187135, 0.042884990253411324, 0.031189083820662773, 0.02923976608187135, 0.03898635477582848, 0.02923976608187135, 0.0662768031189084, 0.031189083820662773, 0.031189083820662773, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662773, 0.02923976608187135, 0.031189083820662777, 0.02923976608187135]",0.08673410695852417
shaving trouble in pending or receiving message no tick while sending and checking for new message while receiving net working fine tried reinstalling too work for mind then back to freeze mode kindly help,"[0.030595813204508847, 0.03703703703703704, 0.02415458937198067, 0.025764895330112714, 0.04186795491143317, 0.03542673107890498, 0.0322061191626409, 0.025764895330112714, 0.02415458937198067, 0.02415458937198067, 0.04186795491143317, 0.02415458937198067, 0.06763285024154587, 0.02415458937198067, 0.033816425120772944, 0.027375201288244756, 0.02415458937198067, 0.040257648953301126, 0.02415458937198067, 0.07246376811594202, 0.033816425120772944, 0.03864734299516909, 0.02415458937198067, 0.03864734299516909, 0.02415458937198067, 0.02415458937198067, 0.05797101449275362, 0.025764895330112714, 0.025764895330112714, 0.025764895330112714]",there is always problem in playing daily status update of my contact even after updating need to fix that,"[0.04678362573099418, 0.04483430799220276, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.03118908382066278, 0.05068226120857703, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662777, 0.06042884990253415, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.03118908382066278, 0.02923976608187135, 0.02923976608187135, 0.06042884990253415, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135]",0.08696420262313284
