quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('get', 'help', 'account', 'problem')",8,"('faceon', 'doe', 'not', 'work')",6.0
"('help', 'account', 'problem', 'tried')",8,"('choice', 'delete', 'this', 'application')",6.0
"('account', 'problem', 'tried', 'contact')",8,"('delete', 'this', 'application', 'phone')",6.0
"('problem', 'tried', 'contact', 'facebok')",8,"('this', 'application', 'doe', 'not')",5.0
"('tried', 'contact', 'facebok', 'many')",8,"('please', 'fix', 'soon', 'possible')",5.0
"('contact', 'facebok', 'many', 'time')",8,,
"('facebok', 'many', 'time', 'many')",8,,
"('many', 'time', 'many', 'way')",8,,
"('time', 'many', 'way', 'never')",8,,
"('many', 'way', 'never', 'never')",8,,
"('way', 'never', 'never', 'got')",8,,
"('never', 'never', 'got', 'answer')",8,,
"('way', 'get', 'help', 'account')",6,,
"('bot', 'problem', 'banning', 'people')",5,,
"('problem', 'banning', 'people', 'reason')",5,,
"('banning', 'people', 'reason', 'sent')",5,,
"('show', 'recent', 'in', 'facebok')",5,,
"('recent', 'in', 'facebok', 'mobile')",5,,
"('in', 'facebok', 'mobile', 'broken')",5,,
"('facebok', 'mobile', 'broken', 'unles')",5,,
"('mobile', 'broken', 'unles', 'feel')",5,,
"('broken', 'unles', 'feel', 'yesterday')",5,,
"('unles', 'feel', 'yesterday', 'hour')",5,,
"('feel', 'yesterday', 'hour', 'ago')",5,,
"('yesterday', 'hour', 'ago', 'recent')",5,,
"('hour', 'ago', 'recent', 'minute')",5,,
"('ago', 'recent', 'minute', 'ago')",5,,
