trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('please', 'fix', 'this')",17.0,"('please', 'fix', 'this')",49
"('doe', 'not', 'work')",10.0,"('doe', 'not', 'work')",34
"('need', 'fix', 'this')",9.0,"('this', 'application', 'not')",29
"('fix', 'this', 'problem')",8.0,"('this', 'new', 'update')",25
"('please', 'solve', 'problem')",7.0,"('new', 'update', 'suck')",24
"('facebok', 'account', 'disabled')",7.0,"('new', 'update', 'not')",21
"('demand', 'speak', 'someone')",7.0,"('since', 'last', 'update')",20
"('speak', 'someone', 'help')",7.0,"('doe', 'not', 'show')",19
"('someone', 'help', 'problem')",7.0,"('not', 'log', 'in')",18
"('help', 'problem', 'patient')",7.0,"('doe', 'not', 'load')",17
"('problem', 'patient', 'patient')",7.0,"('application', 'this', 'application')",15
"('patient', 'patient', 'account')",7.0,"('every', 'time', 'try')",15
"('patient', 'account', 'blocked')",7.0,"('this', 'last', 'update')",15
"('account', 'blocked', 'sometime')",7.0,"('not', 'working', 'properly')",14
"('blocked', 'sometime', 'blocked')",7.0,"('application', 'doe', 'not')",14
"('sometime', 'blocked', 'time')",7.0,"('update', 'this', 'application')",13
"('blocked', 'time', 'increased')",7.0,"('this', 'application', 'this')",12
"('time', 'increased', 'post')",7.0,"('application', 'not', 'working')",12
"('increased', 'post', 'everyday')",7.0,"('fix', 'this', 'issue')",12
"('post', 'everyday', 'get')",7.0,"('application', 'keep', 'crashing')",11
"('everyday', 'get', 'help')",7.0,"('update', 'doe', 'not')",11
"('please', 'look', 'into')",7.0,"('last', 'update', 'not')",11
"('fix', 'this', 'issue')",6.0,"('not', 'see', 'post')",11
"('look', 'into', 'this')",6.0,"('not', 'work', 'properly')",10
"('getting', 'this', 'error')",6.0,"('in', 'news', 'feed')",10
"('personal', 'account', 'disabled')",5.0,"('not', 'watch', 'video')",10
"('get', 'error', 'message')",5.0,"('faceon', 'application', 'not')",10
"('fix', 'this', 'soon')",5.0,"('did', 'not', 'work')",10
"('fix', 'this', 'not')",5.0,"('bring', 'back', 'old')",10
,,"('faceon', 'doe', 'not')",9
,,"('faceon', 'application', 'faceon')",9
,,"('fix', 'this', 'application')",9
,,"('new', 'update', 'faceon')",9
,,"('news', 'feed', 'not')",9
,,"('this', 'application', 'suck')",9
,,"('fix', 'this', 'bug')",9
,,"('not', 'like', 'new')",9
,,"('people', 'may', 'know')",9
,,"('application', 'faceon', 'application')",8
,,"('since', 'latest', 'update')",8
,,"('this', 'faceon', 'application')",8
,,"('this', 'update', 'not')",8
,,"('faceon', 'not', 'working')",8
,,"('not', 'even', 'get')",8
,,"('application', 'keep', 'getting')",8
,,"('new', 'update', 'bad')",7
,,"('this', 'application', 'doe')",7
,,"('this', 'application', 'keep')",7
,,"('not', 'get', 'notification')",7
,,"('worst', 'application', 'ever')",7
,,"('video', 'not', 'play')",7
,,"('not', 'want', 'see')",7
,,"('get', 'back', 'in')",7
,,"('like', 'new', 'update')",7
,,"('not', 'get', 'back')",7
,,"('use', 'this', 'application')",6
,,"('application', 'keep', 'closing')",6
,,"('video', 'doe', 'not')",6
,,"('application', 'not', 'work')",6
,,"('update', 'suck', 'not')",6
,,"('suck', 'new', 'update')",6
,,"('latest', 'update', 'not')",6
,,"('faceon', 'not', 'responding')",6
,,"('comment', 'not', 'load')",6
,,"('update', 'every', 'day')",6
,,"('not', 'let', 'log')",6
,,"('something', 'went', 'wrong')",6
,,"('doe', 'not', 'let')",6
,,"('marketplace', 'doe', 'not')",6
,,"('fix', 'this', 'problem')",6
,,"('worse', 'every', 'update')",6
,,"('want', 'see', 'this')",6
,,"('not', 'play', 'video')",6
,,"('since', 'new', 'update')",6
,,"('not', 'go', 'away')",6
,,"('update', 'application', 'crash')",6
,,"('updated', 'latest', 'version')",6
,,"('every', 'video', 'watch')",6
,,"('update', 'not', 'see')",5
,,"('not', 'see', 'friend')",5
,,"('using', 'this', 'application')",5
,,"('not', 'use', 'this')",5
,,"('keep', 'getting', 'worse')",5
,,"('still', 'not', 'get')",5
,,"('application', 'not', 'know')",5
,,"('take', 'long', 'time')",5
,,"('not', 'good', 'faceon')",5
,,"('not', 'even', 'use')",5
,,"('not', 'share', 'post')",5
,,"('application', 'not', 'let')",5
,,"('update', 'not', 'let')",5
,,"('not', 'working', 'well')",5
,,"('every', 'single', 'time')",5
,,"('log', 'back', 'in')",5
,,"('new', 'update', 'doe')",5
,,"('update', 'latest', 'update')",5
,,"('try', 'log', 'in')",5
,,"('updated', 'this', 'application')",5
,,"('application', 'not', 'like')",5
,,"('please', 'try', 'later')",5
,,"('update', 'not', 'working')",5
,,"('not', 'read', 'comment')",5
,,"('new', 'version', 'not')",5
,,"('recent', 'update', 'not')",5
,,"('still', 'not', 'fixed')",5
,,"('video', 'not', 'playing')",5
,,"('please', 'fix', 'not')",5
,,"('problem', 'this', 'application')",5
,,"('video', 'not', 'load')",5
,,"('open', 'this', 'application')",5
,,"('hate', 'new', 'update')",5
,,"('not', 'load', 'post')",5
,,"('last', 'update', 'application')",5
,,"('update', 'application', 'not')",5
,,"('may', 'know', 'notification')",5
