index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
1,1,1,Facebook,,"['news_feed', 'time', 'do', 'refreshing', 'switch', 'ap', 'do', 'something', 'else', 'back', 'face', 'application', 'news_feed', 'refresh', 'return', 'begin', 'look', 'half', 'application', 'return', 'begin', 'need', 'scroll', 'look', 'stop', 'also', 'news_feed', 'see', 'everything', 'friend', 'post', 'constantly', 'repeat', 'show', 'past', 'post', 'already', 'see', 'like', 'be', 'point']",2019-02-18,600006,"news feed all time do refreshing when switch to other apps for doing sometihng else, and when back to facebook application, news feed refreshed, return me to beggining. i look at half, then application return me on the begining, and i need to scroll down to look where i stoped. also, in news feed i see everything exept my friends posts, or constantly repeat to show me past posts i already saw or liked. what is the point?",1,news feed all time do refreshing when switch to other aps for doing something else and when back to face-on application news feed refreshed return me to beginning i look at half then application return me on the beginning and i need to scroll down to look where i stopped also in news feed i see everything except my friend post or constantly repeat to show me past post i already saw or liked what is the point,Ivan Ivanović,,,"[0.03035714285714286, 0.033134920634920635, 0.019246031746031747, 0.022023809523809525, 0.017857142857142856, 0.0400793650793651, 0.023412698412698413, 0.020634920634920634, 0.020634920634920634, 0.03869047619047619, 0.017857142857142856, 0.06924603174603176, 0.020634920634920634, 0.026190476190476184, 0.017857142857142856, 0.026190476190476195, 0.026190476190476195, 0.03035714285714286, 0.019246031746031747, 0.04702380952380954, 0.038690476190476206, 0.052579365079365094, 0.0373015873015873, 0.026190476190476195, 0.019246031746031747, 0.017857142857142856, 0.034523809523809526, 0.017857142857142856, 0.062301587301587316, 0.02757936507936507, 0.017857142857142856, 0.017857142857142856, 0.022023809523809525, 0.019246031746031747, 0.022023809523809525]"
2,2,1,Facebook,,"['face', 'be', 'give', 'problem', 'face', 'keep', 'say', 'not', 'connect', 'internet', 'check', 'connection', 'have', 'good', 'wife', 'not', 'problem', 'side', 'aps', 'couture', 'work', 'fine', 'please_fix']",2019-02-15,600007,"facebook is giving me problems ( facebook keeps saying cannot connect to internet, please check your connection. i have very good wifi so this cannot be a problem on my side since my other apps like youtube work fine. please fix this.",1,face-on is giving me problem face-on keep saying can not connect to internet please check your connection i have very good wife so this can not be a problem on my side since my other aps like couture work fine please fix this,Sherry Hassanali,,,"[0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.05274725274725276, 0.03736263736263736, 0.021978021978021976, 0.03736263736263736, 0.04590964590964591, 0.021978021978021976, 0.05274725274725276, 0.025396825396825393, 0.025396825396825397, 0.03907203907203907, 0.03736263736263736, 0.021978021978021976, 0.021978021978021976, 0.02881562881562882, 0.021978021978021976, 0.03565323565323565, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.027106227106227107, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.02881562881562882, 0.03394383394383394, 0.021978021978021976, 0.023687423687423687, 0.021978021978021976]"
4,4,1,Facebook,,"['face', 'general', 'not', 'allow', 'change', 'primary', 'email', 'instagram', 'twitter', 'load', 'easily', 'face', 'usually', 'act', 'internet', 'be', 'not', 'available', 'be', 'way', 'delete', 'empty', 'photo', 'album', 'be', 'way', 'move', 'photo', 'album', 'doe', 'not', 'show', 'recent', 'post', 'show', 'story', 'not', 'use', 'view', 'profile', 'anymore', 'not', 'see', 'boyfriend', 'see']",2019-02-15,600010,"facebook in general will not allow you to change your primary email. while instagram and twitter are loading easily, facebook usually acts like internet is not available. there is no way to delete empty photo albums. and there is no way to move photos from one album to another. it does not show the most recent posts, it shows stories from like  or  days ago. you cannot use the ""view as"" on your profile anymore, so i cannot see what non-friends see.",1,face-on in general will not allow you to change your primary email while instagram and twitter are loading easily face-on usually act like internet is not available there is no way to delete empty photo album and there is no way to move photo from one album to another it doe not show the most recent post it show story from like or day ago you can not use the view a on your profile anymore so i can not see what boyfriend see,Ciara Skye,,,"[0.03546933176562806, 0.020380168528316676, 0.02586713697824809, 0.028610621203213796, 0.017636684303350966, 0.017636684303350966, 0.027238879090730944, 0.020380168528316672, 0.01900842641583382, 0.06290417401528513, 0.03546933176562806, 0.04507152655300804, 0.04095630021555948, 0.019008426415833817, 0.01900842641583382, 0.0340975896531452, 0.017636684303350966, 0.020380168528316676, 0.017636684303350966, 0.01900842641583382, 0.02998236331569665, 0.05330197922790516, 0.017636684303350966, 0.02998236331569665, 0.017636684303350966, 0.0313541054281795, 0.04232804232804234, 0.019008426415833817, 0.06290417401528513, 0.017636684303350966, 0.0313541054281795, 0.027238879090730944, 0.0313541054281795, 0.02449539486576523, 0.020380168528316676]"
5,5,1,Facebook,,"['would', 'wonderful', 'able', 'make', 'invisible', 'not', 'hit', 'leave', 'right', 'make', 'almost', 'impossible', 'keep', 'would', 'absolutely', 'wonderful', 'set', 'least', 'visible', 'not', 'unavailable', 'people', 'message', 'keep', 'issue', 'be', 'spam', 'advertisement', 'have', 'not', 'sign', 'have', 'wonderful', 'site', 'sign', 'last', 'thing', 'be', 'people', 'not', 'real', 'background', 'surface']",2019-02-14,600009,"it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with. it would be absolutely wonderful to set yourself at least to visibe, if not unavailable so people can message one another and keep up with. another issue is spam, and advertisements i have not signed up for, whereas you have some wonderful sites you can sign up for. the very last thing is people who are not real. there are bots with # on background surfaces",3,it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with it would be absolutely wonderful to set yourself at least to visible if not unavailable so people can message one another and keep up with another issue is spam and advertisement i have not signed up for whereas you have some wonderful site you can sign up for the very last thing is people who are not real there are both with on background surface,Paul B,,,"[0.06620209059233449, 0.01742160278745644, 0.03232675183894696, 0.020131629887727442, 0.01742160278745644, 0.030971738288811456, 0.040456833139759965, 0.02961672473867595, 0.01742160278745644, 0.01742160278745644, 0.09872241579558651, 0.02690669763840495, 0.024196670538133944, 0.030971738288811456, 0.018776616337591943, 0.01742160278745644, 0.01742160278745644, 0.028261711188540442, 0.03232675183894696, 0.01742160278745644, 0.03910181958962446, 0.030971738288811456, 0.021486643437862944, 0.01742160278745644, 0.01742160278745644, 0.02961672473867594, 0.01742160278745644, 0.02961672473867595, 0.03232675183894696, 0.025551684088269452, 0.01742160278745644, 0.055361982191250485, 0.020131629887727442, 0.025551684088269445, 0.018776616337591943]"
8,8,1,Facebook,,"['unable', 'receive', 'notification', 'face', 'try', 'go', 'notification', 'bell', 'icon', 'notification', 'bell', 'icon', 'say', 'not', 'connect', 'retry', 'have', 'try', 'grin', 'wife', 'make', 'sure', 'permission', 'application', 'be', 'have', 'look', 'video', 'regard', 'issue', 'nothing', 'work']",2019-02-15,600013,"i am unable to receive any notifications on facebook. when i try to go to my notifications (the bell icon) my notifications (the bell icon) says cannot connect, retry. i have tried on grin and on wi-fi. i made sure all the permissions on the application is on and i have looked at videos regarding this issue and nothing has worked. please fix!",1,i am unable to receive any notification on face-on when i try to go to my notification the bell icon my notification the bell icon say can not connect retry i have tried on grin and on wife i made sure all the permission on the application is on and i have looked at video regarding this issue and nothing has worked please fix,Kazair Keaton,,,"[0.041043083900226776, 0.023582766439909305, 0.020408163265306128, 0.020408163265306128, 0.021995464852607716, 0.052154195011337896, 0.021995464852607713, 0.020408163265306128, 0.041043083900226776, 0.0235827664399093, 0.021995464852607713, 0.044217687074829946, 0.025170068027210894, 0.020408163265306128, 0.0378684807256236, 0.0378684807256236, 0.021995464852607713, 0.02834467120181407, 0.0235827664399093, 0.034693877551020415, 0.041043083900226776, 0.028344671201814067, 0.029931972789115656, 0.025170068027210894, 0.03310657596371882, 0.04263038548752836, 0.020408163265306128, 0.020408163265306128, 0.020408163265306128, 0.020408163265306128, 0.020408163265306128, 0.03628117913832201, 0.028344671201814067, 0.029931972789115656, 0.020408163265306128]"
9,9,1,Facebook,,"['recent', 'feed', 'doe', 'not', 'actually', 'show', 'recent', 'post', 'recent', 'post', 'jump', 'post', 'minute', 'ago', 'next', 'post', 'also', 'recent', 'feed', 'not', 'load', 'properly', 'post', 'show', 'recent', 'feed', 'stop', 'loading', 'have', 'report', 'application', 'least', 'fe', 'time', 'moron', 'send', 'automate', 'response', 'tell', 'report', 'issue', 'listen', 'user', 'actually', 'fe', 'want', 'stop', 'stupid']",2019-02-16,600016,"most recent feed does not actually show most recent posts. most recent posts jump around from posts from a few minutes ago and the next post will be from days ago. also most recent feed will not load properly, a few posts will show and then most recent feed will stop loading. i have reported this through the application at least  f***ing times and these morons just send a bs automated response telling me to report any issues. listen to what users actually f***ing want and stop being stupid",1,most recent feed doe not actually show most recent post most recent post jump around from post from a few minute ago and the next post will be from day ago also most recent feed will not load properly a few post will show and then most recent feed will stop loading i have reported this through the application at least fing time and these moron just send a b automated response telling me to report any issue listen to what user actually fing want and stop being stupid,Dawn Keiser,,,"[0.08315295815295815, 0.0174963924963925, 0.0275974025974026, 0.016233766233766236, 0.016233766233766236, 0.016233766233766236, 0.020021645021645027, 0.016233766233766236, 0.017496392496392496, 0.06295093795093797, 0.18163780663780663, 0.03896103896103897, 0.016233766233766236, 0.016233766233766236, 0.02507215007215007, 0.0275974025974026, 0.016233766233766236, 0.016233766233766236, 0.0174963924963925, 0.02507215007215008, 0.041486291486291495, 0.016233766233766236, 0.02507215007215008, 0.017496392496392496, 0.016233766233766236, 0.021284271284271284, 0.016233766233766236, 0.01875901875901876, 0.020021645021645027, 0.016233766233766236, 0.016233766233766236, 0.0174963924963925, 0.01875901875901876, 0.04779942279942281, 0.016233766233766236]"
10,10,1,Facebook,,"['feb', 'update', 'face', 'doe', 'not', 'work', 'properly', 'not', 'comment', 'post', 'not', 'allow', 'accord', 'face', 'woke', 'morning', 'last', 'do', 'last', 'time', 'face', 'mess', 'clean', 'update', 'nothing', 'seem', 'work', 'uninstale', 'instal']",2019-02-16,600014,"feb  - since update facebook does not work properly. cannot like or comment on posts, not allowed according to facebook. i woke up and it was like it this morning! last had to do this in  the last time facebook messed up! cleaned, updated but nothing seems to work so uninstalled and reinstalling!",2,feb since update face-on doe not work properly can not like or comment on post not allowed according to face-on i woke up and it was like it this morning last had to do this in the last time face-on messed up cleaned updated but nothing seems to work so uninstaled and installing,Geraldine Anthony,,,"[0.03151927437641724, 0.03628117913832202, 0.03469387755102043, 0.02040816326530613, 0.02199546485260772, 0.02040816326530613, 0.02040816326530613, 0.02040816326530613, 0.029931972789115656, 0.02040816326530613, 0.03469387755102043, 0.07278911564625855, 0.025170068027210894, 0.02040816326530613, 0.02040816326530613, 0.021995464852607716, 0.021995464852607716, 0.050566893424036315, 0.02040816326530613, 0.02040816326530613, 0.036281179138322, 0.05532879818594108, 0.026757369614512482, 0.02040816326530613, 0.02040816326530613, 0.021995464852607716, 0.03628117913832202, 0.02040816326530613, 0.02040816326530613, 0.04421768707482995, 0.02040816326530613, 0.03469387755102043, 0.025170068027210894, 0.03151927437641725, 0.02040816326530613]"
13,13,1,Facebook,,"['update', 'hour', 'ability', 'unload', 'photograph', 'directly', 'exist', 'album', 'disappear', 'be', 'massive', 'inconvenience', 'run', 'business', 'page', 'use', 'mobile', 'device', 'also', 'not', 'tag', 'business', 'use', 'service', 'mobile', 'device', 'rather', 'need', 'use', 'actual', 'laptop', 'desktop', 'doe', 'not', 'work', 'browser', 'mobile', 'even', 'use', 'desktop_version', 'browser']",2019-02-15,600018,"since the update a few hours ago, the ability to upload photographs directly to an existing album has disappeared. this is a massive inconvenience when running a business page but using a mobile device. also, why cannot i tag businesses who use my services from a mobile device, rather than needing to use an actual laptop or desktop (it does not work either through a browser on the mobile even using the ""desktop version"" of the browser).",3,since the update a few hour ago the ability to unload photograph directly to an existing album has disappeared this is a massive inconvenience when running a business page but using a mobile device also why can not i tag business who use my service from a mobile device rather than needing to use an actual laptop or desktop it doe not work either through a browser on the mobile even using the desktop version of the browser,Vincent Cobb,,,"[0.03232675183894697, 0.041811846689895474, 0.05536198219125049, 0.017421602787456445, 0.017421602787456445, 0.017421602787456445, 0.03232675183894697, 0.017421602787456445, 0.017421602787456445, 0.018776616337591943, 0.018776616337591943, 0.017421602787456445, 0.044521873790166484, 0.017421602787456445, 0.017421602787456445, 0.02284165698799845, 0.022841656987998452, 0.044521873790166484, 0.017421602787456445, 0.03639179248935347, 0.03232675183894696, 0.017421602787456445, 0.018776616337591943, 0.03368176538908246, 0.018776616337591943, 0.017421602787456445, 0.06484707704219901, 0.03232675183894697, 0.017421602787456445, 0.05400696864111499, 0.017421602787456445, 0.030971738288811463, 0.025551684088269456, 0.05265195509097949, 0.03910181958962447]"
14,14,1,Facebook,,"['keep', 'delete', 'instal', 'last', 'update', 'week_ago', 'make', 'application', 'crush', 'time', 'not', 'see', 'news', 'message', 'picture', 'problem', 'resolve', 'friend', 'phone', 'doe', 'not', 'have', 'issue', 'be', 'normal']",2019-02-12,600020,"i keep deleting and installing again and again! the last update few weeks ago made the application crushed every time. cannot see any news, any message, pictures post etc. when this problem will be resolved? my friends on iphone does not have any issues is it normal?",1,i keep deleting and installing again and again the last update few week ago made the application crushed every time can not see any news any message picture post etc when this problem will be resolved my friend on phone doe not have any issue is it normal,PAK-HIN NAM,,,"[0.02427637721755369, 0.03734827264239029, 0.053688141923436045, 0.021008403361344536, 0.022642390289449112, 0.021008403361344536, 0.03734827264239029, 0.021008403361344536, 0.03244631185807656, 0.03244631185807656, 0.021008403361344536, 0.03734827264239029, 0.025910364145658265, 0.021008403361344536, 0.02264239028944911, 0.03734827264239029, 0.021008403361344536, 0.027544351073762834, 0.025910364145658265, 0.03571428571428571, 0.02591036414565826, 0.03244631185807657, 0.030812324929971987, 0.022642390289449112, 0.02427637721755369, 0.04551820728291318, 0.021008403361344536, 0.03571428571428571, 0.034080298786181136, 0.03244631185807656, 0.021008403361344536, 0.02264239028944911, 0.021008403361344536, 0.030812324929971987, 0.021008403361344536]"
15,15,1,Facebook,,"['play', 'video', 'play', 'video', 'keep', 'switch', 'try', 'switch', 'small', 'screen', 'be', 'play', 'video', 'hurt', 'eye', 'much', 'also', 'not', 'switch', 'not', 'switch', 'suddenly', 'zoom', 'video', 'upper', 'left', 'part', 'video', 'make', 'keep', 'switch', 'full', 'screen', 'normal', 'news_feed', 'view', 'watch_video', 'properly', 'kindly', 'fix']",2019-02-16,600021,"if i play a video, i play a video keeps on glitching and tries to switch into a smaller screen that is why i play a video hurts the eyes so much. also if not glitching, not glitching suddenly zooms the video to the upper left part of the video making me keep on switching from full screen and the normal news feed view just to watch the video properly. kindly fix this please",2,if i play a video i play a video keep on switching and try to switch into a smaller screen that is why i play a video hurt the eye so much also if not switching not switching suddenly zoom the video to the upper left part of the video making me keep on switching from full screen and the normal news feed view just to watch the video properly kindly fix this please,Shania Marie,,,"[0.044806108097247346, 0.018083182640144666, 0.018083182640144666, 0.018083182640144666, 0.018083182640144666, 0.03074141048824593, 0.043399638336347204, 0.018083182640144666, 0.018083182640144666, 0.018083182640144666, 0.03074141048824593, 0.018083182640144666, 0.018083182640144666, 0.018083182640144666, 0.09543901948965239, 0.03214788024914607, 0.020896122161944943, 0.023709061683745224, 0.019489652401044805, 0.019489652401044808, 0.023709061683745224, 0.050431987140847914, 0.09262607996785212, 0.026522001205545508, 0.018083182640144666, 0.03074141048824593, 0.018083182640144666, 0.03918022905364678, 0.019489652401044805, 0.03496081977094635, 0.018083182640144666, 0.018083182640144666, 0.020896122161944947, 0.018083182640144666, 0.02933494072734578]"
