Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['application', 'bug', 'facebok', 'update', 'stop', 'fuck', 'iphone', 'event', 'android', 'browser']","[0.147, 0.132, 0.103, 0.088, 0.044, 0.041, 0.025, 0.022, 0.019, 0.019]","['application', 'open', 'update', 'rate', 'spy', 'sell', 'pie', 'format', 'design', 'default']","[0.621, 0.121, 0.011, 0.009, 0.008, 0.008, 0.008, 0.006, 0.006, 0.006]"
"['report', 'issue', 'system', 'real', 'face', 'address', 'instagram', 'person', 'provide', 'broken']","[0.182, 0.12, 0.044, 0.04, 0.033, 0.033, 0.029, 0.029, 0.029, 0.026]","['page', 'recent', 'news_feed', 'refresh', 'group', 'anymore', 'show', 'order', 'miss', 'home']","[0.222, 0.079, 0.071, 0.053, 0.037, 0.032, 0.032, 0.026, 0.023, 0.023]"
"['fix', 'make', 'feed', 'news', 'horrible', 'version', 'problem', 'datum', 'multiple', 'pretty']","[0.119, 0.084, 0.052, 0.049, 0.035, 0.031, 0.024, 0.021, 0.021, 0.021]","['notification', 'show', 'bug', 'annoying', 'turn', 'check', 'random', 'set', 'unread', 'happy']","[0.353, 0.156, 0.063, 0.05, 0.041, 0.026, 0.024, 0.021, 0.02, 0.014]"
"['show', 'break', 'month', 'recent', 'ago', 'mobile', 'yesterday', 'hour', 'feel', 'explain']","[0.121, 0.107, 0.057, 0.057, 0.05, 0.05, 0.043, 0.039, 0.032, 0.028]","['faceon', 'day', 'issue', 'reply', 'messenger', 'social', 'today', 'birthday', 'suddenly', 'longer']","[0.135, 0.11, 0.109, 0.044, 0.026, 0.026, 0.026, 0.024, 0.023, 0.021]"
"['day', 'photo', 'block', 'messenger', 'album', 'community', 'manager', 'amhave', 'facebok', 'review']","[0.142, 0.063, 0.053, 0.053, 0.03, 0.03, 0.023, 0.023, 0.02, 0.02]","['crash', 'please_fix', 'photo', 'open', 'everytime', 'unload', 'minute', 'restart', 'soon_possible', 'doe']","[0.189, 0.095, 0.08, 0.067, 0.05, 0.047, 0.035, 0.03, 0.028, 0.027]"
"['code', 'number', 'login', 'receive', 'log', 'password', 'change', 'phone', 'step', 'process']","[0.116, 0.07, 0.07, 0.07, 0.067, 0.067, 0.061, 0.052, 0.035, 0.035]","['bad', 'make', 'thing', 'update', 'stupid', 'pop', 'connect', 'disable', 'live', 'leave']","[0.18, 0.12, 0.077, 0.063, 0.032, 0.03, 0.024, 0.019, 0.019, 0.016]"
"['account', 'hack', 'access', 'lock', 'disable', 'verification', 'choose', 'identity', 'continue', 'couple']","[0.416, 0.083, 0.067, 0.051, 0.025, 0.016, 0.016, 0.013, 0.01, 0.01]","['back', 'log', 'account', 'change', 'send', 'number', 'code', 'password', 'email', 'frustrating']","[0.138, 0.118, 0.106, 0.067, 0.066, 0.055, 0.034, 0.034, 0.029, 0.023]"
"['issue', 'facebok', 'today', 'reach', 'kindly', 'suddenly', 'hope', 'log', 'annoying', 'lose']","[0.309, 0.153, 0.032, 0.032, 0.029, 0.013, 0.013, 0.013, 0.013, 0.013]","['application', 'phone', 'delete', 'add', 'space', 'story', 'hour', 'respond', 'ago', 'sound']","[0.247, 0.191, 0.086, 0.038, 0.038, 0.036, 0.036, 0.035, 0.029, 0.023]"
"['fix', 'delete', 'notification', 'option', 'happen', 'remove', 'thing', 'share', 'owner', 'deactivate']","[0.253, 0.071, 0.051, 0.047, 0.041, 0.041, 0.02, 0.017, 0.017, 0.017]","['friend', 'good', 'view', 'slow', 'week', 'search', 'unable', 'profile', 'lose', 'year']","[0.151, 0.063, 0.056, 0.053, 0.053, 0.049, 0.044, 0.039, 0.032, 0.031]"
"['facebok', 'friend', 'group', 'open', 'add', 'set', 'ignore', 'platform', 'sort', 'content']","[0.221, 0.124, 0.067, 0.047, 0.044, 0.023, 0.023, 0.017, 0.017, 0.017]","['work', 'doe', 'properly', 'instal', 'month', 'uninstale', 'wife', 'fine', 'great', 'run']","[0.322, 0.223, 0.052, 0.04, 0.034, 0.026, 0.023, 0.02, 0.017, 0.015]"
"['work', 'people', 'resolve', 'reason', 'ban', 'send', 'attempt', 'bot', 'order', 'realize']","[0.142, 0.142, 0.082, 0.063, 0.057, 0.047, 0.035, 0.028, 0.025, 0.022]","['video', 'play', 'watch', 'auto', 'switch', 'icon', 'tab', 'game', 'tap', 'full']","[0.334, 0.105, 0.066, 0.031, 0.029, 0.028, 0.028, 0.025, 0.022, 0.018]"
"['guy', 'fix', 'shit', 'send', 'call', 'give', 'yal', 'hate', 'start', 'human']","[0.075, 0.072, 0.065, 0.062, 0.052, 0.049, 0.033, 0.029, 0.029, 0.029]","['post', 'comment', 'share', 'block', 'react', 'write', 'temporarily', 'previous', 'point', 'type']","[0.424, 0.168, 0.042, 0.037, 0.019, 0.016, 0.013, 0.013, 0.013, 0.012]"
"['error', 'ad', 'message', 'back', 'week', 'bad', 'respond', 'speak', 'mail', 'policy']","[0.131, 0.116, 0.103, 0.073, 0.043, 0.036, 0.021, 0.018, 0.015, 0.015]","['faceon', 'give', 'download', 'option', 'star', 'market', 'family', 'uninstale', 'store', 'multiple']","[0.556, 0.048, 0.045, 0.043, 0.025, 0.021, 0.018, 0.012, 0.012, 0.012]"
"['problem', 'answer', 'solve', 'many_time', 'unable', 'year', 'document', 'contact', 'talk', 'half']","[0.267, 0.069, 0.059, 0.056, 0.033, 0.033, 0.02, 0.02, 0.02, 0.017]","['load', 'stop', 'feed', 'constantly', 'instal', 'scroll', 'recent', 'start', 'half', 'fail']","[0.194, 0.117, 0.065, 0.048, 0.047, 0.047, 0.038, 0.021, 0.021, 0.021]"
"['post', 'video', 'comment', 'click', 'security', 'pic', 'run', 'disappear', 'big', 'white']","[0.258, 0.065, 0.054, 0.032, 0.029, 0.025, 0.022, 0.022, 0.022, 0.018]","['time', 'picture', 'lot', 'find', 'report', 'hate', 'wrong', 'love', 'give', 'emosi']","[0.243, 0.071, 0.059, 0.056, 0.051, 0.049, 0.038, 0.028, 0.024, 0.021]"
"['time', 'fix', 'minute', 'check', 'feature', 'good', 'frustrating', 'send', 'work', 'couple']","[0.173, 0.106, 0.047, 0.047, 0.04, 0.033, 0.033, 0.027, 0.027, 0.02]","['fix', 'problem', 'update', 'long', 'click', 'pic', 'unle', 'hack', 'automatically', 'hang']","[0.238, 0.207, 0.04, 0.037, 0.026, 0.024, 0.021, 0.018, 0.018, 0.018]"
"['facebok', 'email', 'account', 'contact', 'disabled', 'reply', 'center', 'enter', 'care', 'copyright']","[0.274, 0.139, 0.087, 0.075, 0.036, 0.033, 0.018, 0.015, 0.015, 0.012]","['application', 'close', 'version', 'read', 'force', 'reason', 'annoy', 'completely', 'randomly', 'link']","[0.243, 0.118, 0.086, 0.069, 0.042, 0.042, 0.034, 0.027, 0.027, 0.022]"
"['problem', 'service', 'find', 'user', 'customer', 'bad', 'site', 'load', 'pay', 'fail']","[0.195, 0.061, 0.051, 0.051, 0.051, 0.051, 0.044, 0.03, 0.027, 0.017]","['marketplace', 'click', 'market_place', 'freeze', 'button', 'screen', 'ad', 'access', 'android', 'samsung']","[0.142, 0.072, 0.072, 0.067, 0.054, 0.054, 0.049, 0.041, 0.039, 0.036]"
"['support', 'link', 'doe', 'profile', 'picture', 'website', 'put', 'protect', 'money', 'information']","[0.13, 0.095, 0.081, 0.063, 0.06, 0.032, 0.032, 0.025, 0.025, 0.018]","['people', 'suck', 'message', 'mobile', 'feature', 'disappear', 'ap', 'guy', 'site', 'browser']","[0.093, 0.09, 0.075, 0.041, 0.033, 0.033, 0.025, 0.025, 0.021, 0.02]"
"['page', 'business', 'trouble', 'create', 'response', 'team', 'admin', 'fan', 'username', 'appeal']","[0.282, 0.107, 0.058, 0.055, 0.049, 0.045, 0.029, 0.023, 0.023, 0.016]","['update', 'late', 'happen', 'deinstal', 'useless', 'mb', 'money', 'ton', 'storage', 'hacker']","[0.619, 0.079, 0.063, 0.016, 0.011, 0.011, 0.009, 0.009, 0.009, 0.006]"
