Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['fix', 'problem', 'month', 'respond', 'site', 'feed', 'today', 'leave', 'suck', 'damn']","[0.159, 0.126, 0.075, 0.056, 0.056, 0.035, 0.033, 0.03, 0.024, 0.023]","['comment', 'photo', 'view', 'add', 'option', 'album', 'reply', 'anymore', 'annoy', 'tag']","[0.213, 0.13, 0.083, 0.048, 0.047, 0.04, 0.028, 0.026, 0.022, 0.018]"
"['issue', 'report', 'response', 'resolve', 'week', 'anymore', 'affect', 'connection', 'mess', 'assistance']","[0.321, 0.186, 0.064, 0.041, 0.04, 0.026, 0.021, 0.017, 0.015, 0.012]","['make', 'change', 'thing', 'version', 'android', 'mobile', 'edit', 'white', 'glitch', 'tired']","[0.129, 0.091, 0.088, 0.077, 0.055, 0.026, 0.024, 0.024, 0.021, 0.021]"
"['facebok', 'link', 'team', 'website', 'share', 'instagram', 'trouble', 'dear', 'content', 'care']","[0.305, 0.066, 0.051, 0.05, 0.031, 0.031, 0.03, 0.03, 0.023, 0.021]","['friend', 'people', 'good', 'hate', 'messenger', 'story', 'give', 'remove', 'sound', 'review']","[0.122, 0.064, 0.06, 0.058, 0.052, 0.039, 0.029, 0.027, 0.027, 0.024]"
"['fix', 'day', 'stop', 'fuck', 'shit', 'stupid', 'start', 'mom', 'problem', 'newsfe']","[0.237, 0.204, 0.06, 0.055, 0.041, 0.022, 0.022, 0.014, 0.013, 0.011]","['load', 'slow', 'constantly', 'stupid', 'refresh', 'freeze', 'wife', 'garbage', 'internet', 'connection']","[0.224, 0.076, 0.05, 0.043, 0.036, 0.035, 0.027, 0.025, 0.025, 0.024]"
"['facebok', 'work', 'change', 'notification', 'load', 'memory', 'properly', 'week', 'yesterday', 'turn']","[0.197, 0.133, 0.07, 0.051, 0.051, 0.024, 0.022, 0.019, 0.015, 0.014]","['fix', 'day', 'issue', 'post', 'report', 'year', 'month', 'break', 'great', 'hard']","[0.209, 0.112, 0.11, 0.082, 0.033, 0.03, 0.027, 0.026, 0.018, 0.017]"
"['account', 'send', 'disable', 'disabled', 'request', 'notice', 'ignore', 'appeal', 'mistake', 'advertising']","[0.333, 0.112, 0.053, 0.05, 0.05, 0.036, 0.026, 0.024, 0.021, 0.016]","['application', 'crash', 'download', 'restart', 'force', 'opening', 'force_close', 'samsung_galaxy', 'literally', 'working_properly']","[0.533, 0.171, 0.033, 0.021, 0.014, 0.012, 0.012, 0.011, 0.01, 0.009]"
"['error', 'message', 'access', 'profile', 'reason', 'good', 'option', 'private', 'talk', 'system']","[0.122, 0.119, 0.084, 0.065, 0.047, 0.028, 0.027, 0.02, 0.018, 0.018]","['update', 'late', 'keep_crashing', 'shut', 'april', 'current', 'constant', 'previous', 'screw', 'unusable']","[0.665, 0.07, 0.039, 0.027, 0.016, 0.016, 0.015, 0.012, 0.009, 0.008]"
"['ad', 'support', 'make', 'doe', 'happen', 'manager', 'thing', 'technical', 'answer', 'run']","[0.117, 0.105, 0.093, 0.077, 0.046, 0.028, 0.026, 0.026, 0.026, 0.021]","['notification', 'click', 'message', 'show', 'read', 'check', 'error', 'pop', 'clear', 'tap']","[0.291, 0.088, 0.07, 0.066, 0.049, 0.046, 0.037, 0.03, 0.025, 0.018]"
"['block', 'time', 'bad', 'comment', 'fail', 'real', 'security', 'word', 'provide', 'speak']","[0.109, 0.082, 0.071, 0.047, 0.038, 0.034, 0.027, 0.027, 0.027, 0.022]","['picture', 'update', 'please_fix', 'suck', 'profile', 'unload', 'pic', 'market_place', 'soon_possible', 'device']","[0.106, 0.099, 0.092, 0.09, 0.072, 0.054, 0.039, 0.029, 0.026, 0.024]"
"['post', 'issue', 'group', 'delete', 'check', 'face', 'facebok', 'personal', 'restore', 'normal']","[0.169, 0.094, 0.077, 0.055, 0.053, 0.041, 0.034, 0.034, 0.029, 0.029]","['time', 'bug', 'give', 'terrible', 'star', 'week', 'big', 'space', 'long', 'minute']","[0.278, 0.068, 0.037, 0.036, 0.032, 0.029, 0.027, 0.027, 0.026, 0.025]"
"['problem', 'contact', 'solve', 'code', 'password', 'unable', 'login', 'sir', 'suggest', 'function']","[0.225, 0.101, 0.092, 0.046, 0.046, 0.036, 0.032, 0.02, 0.019, 0.017]","['video', 'phone', 'play', 'stop', 'start', 'automatically', 'disappear', 'samsung', 'watch', 'run']","[0.229, 0.164, 0.075, 0.05, 0.041, 0.034, 0.026, 0.024, 0.022, 0.019]"
"['facebok', 'problem', 'reply', 'time', 'approve', 'system', 'wait', 'ist', 'button', 'file']","[0.23, 0.216, 0.08, 0.065, 0.012, 0.012, 0.011, 0.009, 0.009, 0.007]","['post', 'recent', 'show', 'feed', 'news_feed', 'stuff', 'nest', 'connect', 'order', 'sort']","[0.32, 0.149, 0.112, 0.064, 0.046, 0.026, 0.024, 0.022, 0.019, 0.017]"
"['account', 'email', 'back', 'log', 'hack', 'phone', 'number', 'receive', 'friend', 'address']","[0.126, 0.096, 0.094, 0.092, 0.067, 0.049, 0.045, 0.044, 0.044, 0.039]","['work', 'doe', 'stop', 'update', 'properly', 'fine', 'aps', 'mess', 'information', 'rubbish']","[0.294, 0.222, 0.097, 0.068, 0.037, 0.031, 0.031, 0.026, 0.016, 0.014]"
"['post', 'break', 'show', 'recent', 'add', 'newsfed', 'ago', 'top', 'view', 'review']","[0.162, 0.103, 0.089, 0.067, 0.059, 0.047, 0.031, 0.019, 0.017, 0.017]","['faceon', 'delete', 'recently', 'ridiculous', 'anymore', 'instagram', 'issue', 'dint', 'lite', 'waste']","[0.641, 0.062, 0.018, 0.014, 0.014, 0.011, 0.011, 0.009, 0.007, 0.007]"
"['application', 'brokeface', 'update', 'open', 'crash', 'iphone', 'mobile', 'late', 'sign', 'break']","[0.189, 0.157, 0.064, 0.045, 0.033, 0.032, 0.028, 0.025, 0.023, 0.022]","['application', 'instal', 'ad', 'datum', 'ap', 'uninstale', 'user', 'internet_connection', 'install', 'deinstal']","[0.389, 0.091, 0.051, 0.036, 0.035, 0.029, 0.026, 0.021, 0.02, 0.019]"
"['people', 'ban', 'call', 'read', 'lot', 'white', 'free', 'horrible', 'violate', 'community_standard']","[0.112, 0.043, 0.037, 0.029, 0.029, 0.029, 0.027, 0.027, 0.026, 0.024]","['open', 'application', 'close', 'share', 'everytime', 'wrong', 'today', 'keep_crashe', 'stay', 'yesterday']","[0.265, 0.169, 0.107, 0.076, 0.058, 0.045, 0.042, 0.024, 0.02, 0.019]"
"['give', 'guy', 'year', 'wrong', 'frustrating', 'fake', 'person', 'speech', 'platform', 'customer']","[0.079, 0.067, 0.058, 0.041, 0.038, 0.033, 0.029, 0.026, 0.026, 0.026]","['page', 'back', 'marketplace', 'find', 'group', 'scroll', 'feature', 'lose', 'search', 'link']","[0.177, 0.12, 0.062, 0.048, 0.043, 0.043, 0.032, 0.029, 0.028, 0.026]"
