Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['issue', 'update', 'user', 'resolve', 'platform', 'answer', 'solution', 'close', 'address', 'section']","[0.219, 0.097, 0.076, 0.052, 0.05, 0.032, 0.03, 0.028, 0.024, 0.02]","['time', 'problem', 'please_fix', 'marketplace', 'screen', 'samsung', 'galaxy', 'multiple', 'item', 'blank']","[0.237, 0.151, 0.085, 0.068, 0.067, 0.024, 0.022, 0.021, 0.018, 0.016]"
"['issue', 'people', 'hack', 'solve', 'system', 'face', 'story', 'regard', 'algorithm', 'gon']","[0.179, 0.13, 0.072, 0.043, 0.037, 0.035, 0.029, 0.027, 0.019, 0.012]","['video', 'stop', 'play', 'watch', 'sound', 'suddenly', 'background', 'shut', 'live', 'end']","[0.335, 0.124, 0.117, 0.078, 0.04, 0.02, 0.017, 0.016, 0.014, 0.01]"
"['problem', 'real', 'load', 'submit', 'kind', 'democracy', 'top', 'read', 'amhave', 'place']","[0.306, 0.046, 0.027, 0.023, 0.019, 0.019, 0.019, 0.017, 0.015, 0.015]","['faceon', 'wrong', 'remove', 'fast', 'upgrade', 'rid', 'lite', 'team', 'act', 'reload']","[0.604, 0.048, 0.04, 0.022, 0.015, 0.014, 0.011, 0.011, 0.009, 0.007]"
"['bad', 'fix', 'guy', 'friend', 'respond', 'hour', 'good', 'customer_service', 'person', 'couple']","[0.103, 0.099, 0.066, 0.06, 0.041, 0.033, 0.027, 0.025, 0.023, 0.016]","['photo', 'find', 'scroll', 'option', 'unload', 'mobile', 'stupid', 'tideline', 'album', 'anymore']","[0.129, 0.069, 0.061, 0.054, 0.052, 0.044, 0.041, 0.037, 0.034, 0.03]"
"['break', 'ad', 'check', 'pay', 'lot', 'datum', 'long', 'picture', 'content', 'word']","[0.158, 0.092, 0.048, 0.029, 0.027, 0.027, 0.027, 0.023, 0.023, 0.021]","['load', 'fix', 'picture', 'bug', 'profile', 'glitch', 'icon', 'face', 'pic', 'soon_possible']","[0.185, 0.148, 0.103, 0.079, 0.073, 0.031, 0.025, 0.024, 0.023, 0.02]"
"['video', 'ban', 'fake', 'remove', 'part', 'speech', 'fail', 'news', 'pelosi', 'social']","[0.112, 0.067, 0.059, 0.057, 0.057, 0.042, 0.032, 0.029, 0.025, 0.023]","['friend', 'version', 'post', 'people', 'share', 'story', 'ad', 'block', 'check', 'previous']","[0.133, 0.124, 0.107, 0.081, 0.063, 0.052, 0.032, 0.031, 0.027, 0.026]"
"['facebok', 'give', 'year', 'option', 'live', 'follow', 'call', 'form', 'sir', 'horrible']","[0.295, 0.06, 0.046, 0.038, 0.028, 0.024, 0.024, 0.022, 0.016, 0.014]","['account', 'log', 'password', 'code', 'number', 'unable', 'send', 'login', 'hack', 'contact']","[0.139, 0.104, 0.043, 0.04, 0.04, 0.039, 0.039, 0.036, 0.026, 0.023]"
"['bug', 'facebok', 'back', 'frustrating', 'lock', 'add', 'kindly', 'button', 'screen', 'attach']","[0.098, 0.074, 0.074, 0.048, 0.037, 0.033, 0.031, 0.024, 0.024, 0.017]","['bad', 'application', 'crash', 'lot', 'experience', 'put', 'year', 'reply', 'big', 'person']","[0.209, 0.187, 0.096, 0.057, 0.032, 0.029, 0.029, 0.027, 0.025, 0.013]"
"['work', 'group', 'doe', 'stop', 'account', 'community', 'big', 'fix', 'verification', 'find']","[0.105, 0.075, 0.069, 0.049, 0.034, 0.034, 0.032, 0.032, 0.03, 0.03]","['update', 'back', 'change', 'hate', 'give', 'star', 'news_feed', 'refresh', 'minute', 'user']","[0.142, 0.125, 0.101, 0.091, 0.065, 0.05, 0.049, 0.035, 0.029, 0.022]"
"['fix', 'application', 'shit', 'yal', 'phone', 'iphone', 'android', 'change', 'standard', 'crash']","[0.194, 0.186, 0.056, 0.049, 0.043, 0.033, 0.029, 0.023, 0.019, 0.019]","['update', 'recent', 'set', 'show', 'link', 'search', 'break', 'game', 'tab', 'stuff']","[0.22, 0.109, 0.042, 0.034, 0.03, 0.029, 0.024, 0.022, 0.022, 0.021]"
"['error', 'message', 'marketplace', 'happen', 'error_message', 'horrible', 'click', 'open', 'dear', 'ipad']","[0.124, 0.078, 0.049, 0.041, 0.039, 0.037, 0.035, 0.029, 0.025, 0.021]","['post', 'page', 'comment', 'view', 'disappear', 'gole', 'fail', 'business', 'reaction', 'react']","[0.269, 0.167, 0.14, 0.053, 0.022, 0.017, 0.017, 0.017, 0.015, 0.014]"
"['time', 'block', 'reason', 'service', 'patient', 'start', 'speak', 'rule', 'wait', 'everyday']","[0.154, 0.091, 0.067, 0.028, 0.028, 0.026, 0.026, 0.026, 0.026, 0.024]","['work', 'doe', 'thing', 'properly', 'respond', 'fine', 'device', 'show', 'ad', 'market_place']","[0.277, 0.23, 0.08, 0.044, 0.03, 0.024, 0.015, 0.015, 0.013, 0.013]"
"['account', 'disable', 'disabled', 'reply', 'soon_possible', 'personal', 'upload', 'mistake', 'document', 'identity']","[0.366, 0.059, 0.055, 0.052, 0.046, 0.028, 0.018, 0.018, 0.017, 0.015]","['application', 'issue', 'terrible', 'button', 'week', 'force', 'time', 'month', 'request', 'show']","[0.186, 0.093, 0.047, 0.045, 0.045, 0.042, 0.039, 0.038, 0.031, 0.026]"
