quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
,,"('this', 'application', 'this', 'application')",19
,,"('this', 'application', 'doe', 'not')",17
,,"('not', 'use', 'this', 'application')",12
,,"('song', 'play', 'second', 'application')",11
,,"('gole', 'play', 'music', 'not')",10
,,"('application', 'doe', 'not', 'work')",10
,,"('last', 'update', 'last', 'update')",9
,,"('gole', 'play', 'music', 'application')",9
,,"('play', 'second', 'application', 'crash')",9
,,"('worst', 'music', 'application', 'ever')",8
,,"('application', 'doe', 'not', 'show')",8
,,"('in', 'gole', 'play', 'music')",8
,,"('please', 'fix', 'soon', 'possible')",8
,,"('doe', 'not', 'play', 'song')",8
,,"('service', 'integration', 'gole', 'assistant')",8
,,"('music', 'gole', 'play', 'music')",7
,,"('use', 'specify', 'use', 'specify')",7
,,"('please', 'fix', 'this', 'application')",6
,,"('song', 'order', 'in', 'playlist')",6
,,"('this', 'application', 'not', 'working')",6
,,"('used', 'love', 'this', 'application')",6
,,"('application', 'keep', 'crashing', 'second')",6
,,"('last', 'update', 'not', 'play')",6
,,"('specify', 'use', 'specify', 'use')",6
,,"('ever', 'since', 'last', 'update')",6
,,"('play', 'song', 'second', 'stop')",6
,,"('this', 'music', 'application', 'doe')",6
,,"('music', 'application', 'doe', 'read')",6
,,"('not', 'like', 'this', 'application')",6
,,"('music', 'please', 'fix', 'this')",5
,,"('not', 'working', 'please', 'fix')",5
,,"('please', 'fix', 'this', 'problem')",5
,,"('this', 'application', 'not', 'play')",5
,,"('application', 'not', 'play', 'music')",5
,,"('doe', 'not', 'show', 'music')",5
,,"('play', 'second', 'song', 'this')",5
,,"('second', 'song', 'this', 'application')",5
,,"('not', 'get', 'this', 'application')",5
,,"('update', 'application', 'keep', 'crashing')",5
,,"('application', 'not', 'play', 'song')",5
,,"('play', 'music', 'gole', 'play')",5
,,"('song', 'doe', 'not', 'play')",5
,,"('since', 'last', 'update', 'song')",5
,,"('since', 'last', 'update', 'last')",5
,,"('update', 'application', 'doe', 'not')",5
,,"('application', 'play', 'second', 'song')",5
,,"('since', 'last', 'update', 'application')",5
,,"('since', 'last', 'update', 'not')",5
,,"('play', 'song', 'this', 'application')",5
,,"('play', 'second', 'application', 'close')",5
