trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('google', 'play', 'music')",9.0,"('gole', 'play', 'music')",108
"('not', 'play', 'music')",3.0,"('please', 'fix', 'this')",55
"('guy', 'fix', 'duplicate')",2.0,"('doe', 'not', 'work')",52
"('issue', 'resolved', 'thank')",2.0,"('not', 'play', 'music')",43
"('keep', 'getting', 'this')",2.0,"('application', 'doe', 'not')",40
,,"('this', 'application', 'not')",35
,,"('not', 'play', 'song')",31
,,"('use', 'this', 'application')",30
,,"('play', 'music', 'application')",27
,,"('this', 'application', 'this')",26
,,"('this', 'application', 'doe')",25
,,"('doe', 'not', 'show')",24
,,"('application', 'this', 'application')",23
,,"('since', 'last', 'update')",21
,,"('this', 'application', 'keep')",19
,,"('not', 'use', 'this')",19
,,"('worst', 'application', 'ever')",19
,,"('application', 'keep', 'crashing')",18
,,"('using', 'this', 'application')",18
,,"('hate', 'this', 'application')",18
,,"('doe', 'not', 'play')",18
,,"('music', 'this', 'application')",16
,,"('not', 'download', 'music')",15
,,"('play', 'music', 'not')",15
,,"('not', 'download', 'song')",15
,,"('not', 'work', 'properly')",14
,,"('love', 'this', 'application')",14
,,"('every', 'single', 'time')",13
,,"('worst', 'music', 'player')",13
,,"('song', 'doe', 'not')",13
,,"('like', 'this', 'application')",13
,,"('in', 'this', 'application')",13
,,"('song', 'not', 'play')",12
,,"('application', 'not', 'play')",12
,,"('make', 'this', 'application')",12
,,"('used', 'this', 'application')",11
,,"('play', 'song', 'not')",11
,,"('song', 'this', 'application')",11
,,"('music', 'application', 'ever')",11
,,"('application', 'not', 'even')",11
,,"('not', 'listen', 'music')",11
,,"('application', 'crash', 'second')",10
,,"('fix', 'this', 'issue')",10
,,"('this', 'worst', 'application')",10
,,"('doe', 'not', 'allow')",10
,,"('music', 'gole', 'play')",10
,,"('phone', 'this', 'application')",10
,,"('update', 'this', 'application')",10
,,"('music', 'application', 'not')",10
,,"('music', 'doe', 'not')",10
,,"('in', 'gole', 'play')",10
,,"('second', 'playing', 'music')",9
,,"('not', 'even', 'play')",9
,,"('song', 'not', 'even')",9
,,"('second', 'into', 'song')",9
,,"('not', 'let', 'play')",9
,,"('this', 'music', 'application')",9
,,"('application', 'keep', 'freezing')",9
,,"('this', 'application', 'year')",9
,,"('this', 'application', 'suck')",9
,,"('worst', 'music', 'application')",9
,,"('worst', 'application', 'not')",9
,,"('stop', 'playing', 'second')",9
,,"('instal', 'this', 'application')",9
,,"('play', 'song', 'want')",9
,,"('could', 'not', 'play')",9
,,"('music', 'sd', 'card')",9
,,"('play', 'music', 'in')",8
,,"('doe', 'not', 'even')",8
,,"('play', 'second', 'stop')",8
,,"('crash', 'every', 'single')",8
,,"('sd', 'card', 'not')",8
,,"('keep', 'crashing', 'second')",8
,,"('this', 'application', 'worst')",8
,,"('fix', 'this', 'application')",8
,,"('music', 'player', 'not')",8
,,"('this', 'application', 'music')",8
,,"('not', 'want', 'this')",8
,,"('want', 'this', 'application')",8
,,"('crash', 'second', 'playing')",7
,,"('downloaded', 'gole', 'play')",7
,,"('not', 'available', 'in')",7
,,"('song', 'please', 'fix')",7
,,"('this', 'application', 'never')",7
,,"('play', 'second', 'song')",7
,,"('doe', 'this', 'application')",7
,,"('this', 'application', 'because')",7
,,"('because', 'this', 'application')",7
