trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('google', 'play', 'music')",9.0,"('gole', 'play', 'music')",94
"('not', 'play', 'music')",3.0,"('doe', 'not', 'work')",68
"('guy', 'fix', 'duplicate')",2.0,"('please', 'fix', 'this')",61
"('issue', 'resolved', 'thank')",2.0,"('this', 'application', 'not')",54
"('keep', 'getting', 'this')",2.0,"('application', 'doe', 'not')",49
,,"('since', 'last', 'update')",42
,,"('not', 'play', 'music')",40
,,"('not', 'play', 'song')",31
,,"('use', 'this', 'application')",31
,,"('doe', 'not', 'show')",27
,,"('application', 'keep', 'crashing')",27
,,"('this', 'application', 'this')",25
,,"('song', 'this', 'application')",24
,,"('play', 'music', 'not')",24
,,"('using', 'this', 'application')",23
,,"('doe', 'not', 'play')",23
,,"('application', 'this', 'application')",23
,,"('love', 'this', 'application')",23
,,"('this', 'application', 'doe')",21
,,"('play', 'second', 'song')",21
,,"('play', 'music', 'application')",21
,,"('application', 'not', 'play')",19
,,"('not', 'use', 'this')",18
,,"('song', 'play', 'second')",18
,,"('music', 'sd', 'card')",17
,,"('music', 'this', 'application')",17
,,"('not', 'download', 'music')",17
,,"('play', 'second', 'application')",17
,,"('song', 'doe', 'not')",16
,,"('worst', 'application', 'ever')",16
,,"('music', 'doe', 'not')",15
,,"('second', 'application', 'crash')",15
,,"('this', 'application', 'play')",14
,,"('keep', 'crashing', 'second')",14
,,"('in', 'this', 'application')",14
,,"('play', 'song', 'second')",14
,,"('worst', 'music', 'application')",13
,,"('this', 'application', 'stop')",13
,,"('update', 'this', 'application')",13
,,"('application', 'not', 'working')",13
,,"('song', 'not', 'play')",13
,,"('last', 'update', 'application')",13
,,"('in', 'gole', 'play')",12
,,"('hate', 'this', 'application')",12
,,"('fix', 'this', 'problem')",12
,,"('not', 'listen', 'music')",12
,,"('second', 'into', 'song')",12
,,"('music', 'play', 'second')",12
,,"('fix', 'soon', 'possible')",12
,,"('song', 'in', 'playlist')",12
,,"('used', 'this', 'application')",11
,,"('not', 'even', 'play')",11
,,"('fix', 'this', 'application')",11
,,"('in', 'sd', 'card')",11
,,"('music', 'not', 'play')",11
,,"('music', 'gole', 'play')",11
,,"('application', 'play', 'second')",11
,,"('please', 'fix', 'not')",11
,,"('this', 'application', 'need')",11
,,"('this', 'music', 'application')",11
,,"('music', 'application', 'ever')",10
,,"('doe', 'not', 'let')",10
,,"('doe', 'not', 'even')",10
,,"('play', 'music', 'second')",10
,,"('update', 'not', 'play')",10
,,"('play', 'second', 'stop')",10
,,"('last', 'update', 'not')",10
,,"('application', 'play', 'music')",10
,,"('not', 'find', 'music')",9
,,"('this', 'music', 'player')",9
,,"('not', 'working', 'properly')",9
,,"('not', 'delete', 'song')",9
,,"('fix', 'this', 'issue')",9
,,"('update', 'application', 'keep')",9
,,"('not', 'show', 'song')",9
,,"('not', 'play', 'online')",9
,,"('application', 'crash', 'second')",9
,,"('problem', 'this', 'application')",9
,,"('stop', 'playing', 'second')",9
,,"('last', 'update', 'last')",9
,,"('update', 'last', 'update')",9
,,"('not', 'like', 'this')",9
,,"('this', 'application', 'keep')",9
,,"('please', 'fix', 'soon')",9
,,"('like', 'this', 'application')",9
,,"('get', 'this', 'application')",8
,,"('application', 'play', 'song')",8
,,"('play', 'music', 'phone')",8
,,"('music', 'please', 'fix')",8
,,"('start', 'playing', 'music')",8
,,"('application', 'stop', 'playing')",8
,,"('application', 'keep', 'stopping')",8
,,"('not', 'able', 'play')",8
,,"('play', 'music', 'in')",8
,,"('instal', 'this', 'application')",8
,,"('application', 'please', 'fix')",8
,,"('application', 'keep', 'shutting')",8
,,"('this', 'application', 'work')",8
,,"('song', 'stop', 'playing')",8
,,"('fix', 'this', 'please')",8
,,"('gole', 'doe', 'not')",8
,,"('delete', 'this', 'application')",8
,,"('because', 'this', 'application')",8
,,"('song', 'not', 'even')",8
,,"('ever', 'since', 'last')",8
,,"('application', 'keep', 'closing')",8
,,"('in', 'middle', 'song')",8
,,"('not', 'even', 'listen')",8
,,"('service', 'integration', 'gole')",8
,,"('integration', 'gole', 'assistant')",8
,,"('this', 'application', 'used')",7
,,"('this', 'application', 'every')",7
,,"('please', 'fix', 'bug')",7
,,"('not', 'know', 'this')",7
