Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['youtube', 'account', 'give', 'code', 'artist', 'release', 'back', 'fail', 'genre', 'refuse']","[0.113, 0.085, 0.056, 0.042, 0.042, 0.042, 0.042, 0.042, 0.028, 0.028]","['song', 'skip', 'hear', 'end', 'radio_station', 'suggestion', 'hour', 'page', 'read', 'connection']","[0.614, 0.075, 0.018, 0.017, 0.014, 0.011, 0.011, 0.01, 0.01, 0.01]"
"['service', 'podcast', 'update', 'subscription', 'shuffle', 'report', 'force', 'recommendation', 'datum', 'freeze']","[0.107, 0.093, 0.08, 0.04, 0.04, 0.027, 0.027, 0.027, 0.027, 0.027]","['listen', 'pay', 'subscription', 'service', 'podcast', 'month', 'subscribe', 'load', 'terrible', 'free']","[0.108, 0.09, 0.081, 0.063, 0.044, 0.038, 0.038, 0.037, 0.034, 0.028]"
"['music', 'exist', 'mobile', 'follow', 'manager', 'ton', 'rom', 'morning', 'treatment', 'thing']","[0.463, 0.037, 0.037, 0.025, 0.025, 0.013, 0.013, 0.013, 0.013, 0.013]","['application', 'time', 'crash', 'frustrating', 'every_single', 'fact', 'daily', 'enjoy', 'continuously', 'dint']","[0.4, 0.208, 0.139, 0.025, 0.016, 0.011, 0.009, 0.009, 0.009, 0.008]"
"['fix', 'year', 'guy', 'cache', 'clean', 'page', 'dupe', 'playback', 'picture', 'people']","[0.29, 0.072, 0.029, 0.029, 0.029, 0.029, 0.029, 0.014, 0.014, 0.014]","['issue', 'application', 'make', 'option', 'unload', 'scroll', 'suck', 'home', 'horrible', 'cast']","[0.126, 0.121, 0.115, 0.047, 0.046, 0.029, 0.028, 0.027, 0.027, 0.022]"
"['play', 'stop', 'phone', 'browser', 'time', 'problem', 'reboot', 'doe', 'restart', 'add']","[0.379, 0.069, 0.069, 0.057, 0.034, 0.034, 0.034, 0.034, 0.023, 0.011]","['download', 'device', 'instal', 'hate', 'useless', 'support', 'store', 'access', 'suck', 'mobile']","[0.363, 0.084, 0.057, 0.055, 0.044, 0.025, 0.022, 0.021, 0.018, 0.017]"
"['issue', 'red', 'bug', 'select', 'family', 'wifi', 'compromise', 'today', 'multiple', 'break']","[0.304, 0.051, 0.051, 0.038, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]","['show', 'library', 'doe', 'add', 'list', 'interface', 'save', 'reason', 'song', 'great']","[0.164, 0.095, 0.084, 0.076, 0.074, 0.034, 0.026, 0.025, 0.022, 0.022]"
"['song', 'show', 'gpm', 'playlist', 'make', 'version', 'skip', 'samsung', 'glitch', 'web']","[0.195, 0.073, 0.073, 0.073, 0.037, 0.037, 0.024, 0.024, 0.024, 0.024]","['application', 'day', 'close', 'automatically', 'ap', 'randomly', 'bluetoth', 'review', 'car', 'connect']","[0.546, 0.053, 0.051, 0.034, 0.027, 0.021, 0.021, 0.021, 0.017, 0.016]"
"['download', 'device', 'file', 'crash', 'music', 'refresh', 'frustrated', 'software', 'job', 'regional']","[0.194, 0.129, 0.097, 0.081, 0.032, 0.016, 0.016, 0.016, 0.016, 0.016]","['stop', 'search', 'start', 'find', 'track', 'recently', 'button', 'user', 'video', 'application']","[0.142, 0.106, 0.099, 0.086, 0.054, 0.036, 0.029, 0.025, 0.025, 0.024]"
"['work', 'album', 'explicit', 'find', 'guy', 'roll', 'great', 'break', 'upgrade', 'fade']","[0.214, 0.157, 0.043, 0.043, 0.029, 0.029, 0.029, 0.029, 0.029, 0.014]","['play', 'music', 'online', 'stream', 'error', 'ad', 'wife', 'message', 'mode', 'radio']","[0.251, 0.242, 0.076, 0.051, 0.031, 0.025, 0.023, 0.023, 0.022, 0.019]"
"['problem', 'application', 'error', 'resolve', 'cancel', 'episode', 'prompt', 'refresh', 'local', 'stream']","[0.171, 0.158, 0.079, 0.053, 0.039, 0.026, 0.026, 0.026, 0.026, 0.026]","['gole', 'play', 'lot', 'turn', 'battery', 'call', 'product', 'internet', 'fail', 'contact']","[0.391, 0.244, 0.039, 0.038, 0.019, 0.016, 0.012, 0.011, 0.01, 0.008]"
,,"['album', 'back', 'give', 'star', 'buy', 'remove', 'artist', 'aps', 'playing', 'control']","[0.11, 0.085, 0.063, 0.053, 0.039, 0.033, 0.033, 0.023, 0.021, 0.019]"
,,"['application', 'delete', 'open', 'thing', 'stupid', 'menu', 'everytime', 'break', 'awful', 'system']","[0.235, 0.119, 0.066, 0.045, 0.043, 0.035, 0.031, 0.024, 0.022, 0.021]"
,,"['music', 'play', 'longer', 'apple', 'install', 'tune', 'game', 'single', 'pop', 'stuff']","[0.357, 0.335, 0.025, 0.016, 0.014, 0.013, 0.012, 0.012, 0.011, 0.01]"
,,"['fix', 'problem', 'bug', 'please_fix', 'love', 'long', 'keep_crashe', 'soon_possible', 'cut', 'big']","[0.204, 0.111, 0.094, 0.078, 0.05, 0.03, 0.025, 0.021, 0.02, 0.018]"
,,"['bad', 'good', 'change', 'set', 'constantly', 'couture', 'equalizer', 'experience', 'sound', 'bar']","[0.213, 0.094, 0.066, 0.045, 0.036, 0.036, 0.032, 0.028, 0.028, 0.027]"
,,"['work', 'doe', 'year', 'force', 'fine', 'click', 'datum', 'properly', 'anymore', 'android_auto']","[0.27, 0.202, 0.046, 0.039, 0.039, 0.03, 0.028, 0.028, 0.027, 0.026]"
,,"['phone', 'music', 'file', 'freeze', 'screen', 'samsung', 'restart', 'pause', 'slow', 'lock']","[0.255, 0.093, 0.073, 0.045, 0.045, 0.04, 0.036, 0.023, 0.022, 0.018]"
,,"['song', 'playlist', 'select', 'shuffle', 'random', 'order', 'disappear', 'sort', 'create', 'case']","[0.322, 0.19, 0.046, 0.043, 0.027, 0.026, 0.023, 0.021, 0.016, 0.013]"
,,"['update', 'android', 'happen', 'shut', 'version', 'late', 'lose', 'recent', 'keep_crashing', 'instal']","[0.44, 0.047, 0.044, 0.041, 0.035, 0.031, 0.031, 0.03, 0.02, 0.019]"
,,"['music', 'player', 'annoying', 'folder', 'feature', 'storage', 'annoy', 'move', 'great', 'run']","[0.339, 0.088, 0.033, 0.033, 0.03, 0.025, 0.024, 0.023, 0.021, 0.021]"
