Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['time', 'problem', 'question', 'long', 'tv', 'reach', 'listing', 'songsis', 'leftmost', 'completely']","[0.169, 0.136, 0.068, 0.051, 0.034, 0.034, 0.017, 0.017, 0.017, 0.017]","['issue', 'stop', 'stream', 'device', 'force', 'randomly', 'close', 'guy', 'latest_update', 'ap']","[0.146, 0.1, 0.058, 0.057, 0.039, 0.038, 0.033, 0.032, 0.026, 0.024]"
"['fix', 'year', 'service', 'pay', 'lot', 'report', 'back', 'good', 'kick', 'youtube']","[0.237, 0.075, 0.075, 0.075, 0.037, 0.025, 0.025, 0.025, 0.013, 0.013]","['music', 'show', 'search', 'player', 'file', 'great', 'stupid', 'folder', 'feature', 'hate']","[0.219, 0.115, 0.074, 0.074, 0.061, 0.046, 0.027, 0.027, 0.025, 0.024]"
"['android', 'frustrating', 'bad', 'application', 'library', 'work', 'server', 'datum', 'huy', 'care']","[0.151, 0.094, 0.075, 0.075, 0.057, 0.038, 0.038, 0.019, 0.019, 0.019]","['play', 'stop', 'shuffle', 'turn', 'automatically', 'reason', 'random', 'hate', 'long', 'bluetoth']","[0.376, 0.115, 0.052, 0.041, 0.038, 0.038, 0.029, 0.024, 0.023, 0.021]"
"['play', 'error', 'add', 'cache', 'chrome', 'download', 'podcast', 'cancel', 'gpm', 'nexus']","[0.278, 0.203, 0.038, 0.038, 0.025, 0.025, 0.025, 0.013, 0.013, 0.013]","['music', 'listen', 'run', 'access', 'memory', 'sudden', 'refresh', 'drop', 'collection', 'yo']","[0.562, 0.129, 0.018, 0.018, 0.015, 0.015, 0.013, 0.011, 0.008, 0.008]"
"['music', 'people', 'list', 'dropdown', 'thing', 'run', 'shield', 'information', 'unorganize', 'resolve']","[0.316, 0.053, 0.039, 0.026, 0.026, 0.013, 0.013, 0.013, 0.013, 0.013]","['gole', 'music', 'play', 'service', 'couture', 'assistant', 'card', 'watch', 'care', 'mess']","[0.329, 0.238, 0.112, 0.027, 0.024, 0.014, 0.013, 0.011, 0.01, 0.01]"
"['issue', 'browser', 'contact', 'stop', 'message', 'part', 'book', 'ton', 'end', 'feature']","[0.196, 0.065, 0.065, 0.065, 0.043, 0.043, 0.022, 0.022, 0.022, 0.022]","['playlist', 'song', 'add', 'option', 'select', 'annoying', 'remove', 'list', 'set', 'order']","[0.206, 0.09, 0.062, 0.052, 0.034, 0.034, 0.031, 0.029, 0.028, 0.027]"
"['album', 'store', 'artist', 'bug', 'share', 'listen', 'buy', 'give', 'mistake', 'press']","[0.143, 0.079, 0.048, 0.048, 0.032, 0.032, 0.032, 0.032, 0.032, 0.016]","['application', 'time', 'close', 'open', 'happen', 'artist', 'track', 'podcast', 'couple', 'recently']","[0.209, 0.198, 0.069, 0.066, 0.061, 0.035, 0.03, 0.024, 0.022, 0.021]"
"['device', 'message', 'load', 'make', 'phone', 'card', 'amon', 'run', 'position', 'loyalist']","[0.102, 0.085, 0.051, 0.034, 0.034, 0.034, 0.017, 0.017, 0.017, 0.017]","['song', 'play', 'save', 'specific', 'matter', 'hear', 'type', 'thumb', 'fail', 'recommend']","[0.442, 0.348, 0.019, 0.013, 0.013, 0.012, 0.01, 0.009, 0.008, 0.006]"
"['application', 'google', 'guy', 'response', 'update', 'eventually', 'queue', 'refresh', 'great', 'alphabetical']","[0.13, 0.065, 0.043, 0.043, 0.043, 0.022, 0.022, 0.022, 0.022, 0.022]","['download', 'online', 'purchase', 'everytime', 'datum', 'disappear', 'horrible', 'function', 'connect', 'program']","[0.365, 0.069, 0.042, 0.038, 0.036, 0.026, 0.024, 0.023, 0.019, 0.019]"
"['song', 'clear', 'customer', 'start', 'playlist', 'happen', 'talk', 'horrible', 'stuff', 'cover']","[0.288, 0.055, 0.041, 0.041, 0.041, 0.027, 0.027, 0.027, 0.014, 0.014]","['make', 'good', 'screen', 'lot', 'button', 'switch', 'lose', 'freeze', 'user', 'equalizer']","[0.105, 0.081, 0.047, 0.044, 0.035, 0.035, 0.033, 0.032, 0.024, 0.023]"
