trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('in', 'hungaryou', 'buy')",3.0,"('doe', 'not', 'work')",38
"('hungaryou', 'buy', 'via')",3.0,"('gole', 'assistant', 'not')",21
"('buy', 'via', 'mobile')",3.0,"('please', 'fix', 'this')",20
"('via', 'mobile', 'service')",3.0,"('assistant', 'not', 'working')",13
"('mobile', 'service', 'game')",3.0,"('update', 'this', 'application')",12
"('service', 'game', 'aps')",3.0,"('this', 'application', 'not')",11
"('game', 'aps', 'system')",3.0,"('gole', 'play', 'store')",10
"('aps', 'system', 'accept')",3.0,"('doe', 'not', 'show')",10
"('system', 'accept', 'hungarian')",3.0,"('gole', 'stopped', 'working')",9
"('accept', 'hungarian', 'forintshowever')",3.0,"('gole', 'not', 'working')",9
"('hungarian', 'forintshowever', 'last')",3.0,"('voice', 'search', 'gole')",7
"('forintshowever', 'last', 'time')",3.0,"('this', 'new', 'update')",7
"('last', 'time', 'updated')",3.0,"('something', 'went', 'wrong')",7
"('time', 'updated', 'usd')",3.0,"('not', 'working', 'in')",7
"('updated', 'usd', 'not')",3.0,"('fix', 'voice', 'activation')",7
"('usd', 'not', 'change')",3.0,"('voice', 'activation', 'while')",7
"('not', 'change', 'sono')",3.0,"('activation', 'while', 'driving')",7
"('change', 'sono', 'one')",3.0,"('assistant', 'doe', 'not')",7
"('sono', 'one', 'buy')",3.0,"('home', 'screen', 'not')",6
"('one', 'buy', 'in')",3.0,"('gole', 'assistant', 'keep')",6
"('buy', 'in', 'fix')",3.0,"('gole', 'not', 'responding')",6
"('in', 'fix', 'because')",3.0,"('access', 'voice', 'match')",6
"('fix', 'because', 'not')",3.0,"('ok', 'gole', 'not')",6
"('because', 'not', 'buy')",3.0,"('fix', 'soon', 'possible')",6
"('not', 'buy', 'aplicationhelp')",3.0,"('last', 'known', 'pw')",6
,,"('new', 'update', 'suck')",5
,,"('since', 'last', 'update')",5
,,"('not', 'even', 'use')",5
,,"('gole', 'assistant', 'doe')",5
,,"('update', 'gole', 'assistant')",5
,,"('not', 'work', 'in')",5
,,"('fix', 'this', 'soon')",5
,,"('application', 'not', 'working')",5
,,"('not', 'working', 'properly')",5
,,"('ok', 'gole', 'command')",5
,,"('gole', 'application', 'not')",5
,,"('home', 'screen', 'button')",5
,,"('screen', 'button', 'shortcut')",5
,,"('button', 'shortcut', 'gole')",5
,,"('shortcut', 'gole', 'search')",5
,,"('say', 'ok', 'gole')",5
,,"('fix', 'this', 'problem')",5
,,"('not', 'reach', 'gole')",5
,,"('this', 'application', 'this')",5
,,"('application', 'this', 'application')",5
