Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['application', 'play', 'podcast', 'store', 'error', 'ap', 'executive', 'remove', 'family', 'hope']","[0.185, 0.074, 0.056, 0.056, 0.056, 0.037, 0.019, 0.019, 0.019, 0.019]","['application', 'bad', 'open', 'year', 'force', 'everytime', 'android_auto', 'experience', 'system', 'absolutely']","[0.304, 0.208, 0.055, 0.049, 0.037, 0.027, 0.025, 0.023, 0.018, 0.016]"
"['application', 'youtube', 'problem', 'dark', 'thread', 'continue', 'tablet', 'service', 'mail', 'deletechangefix']","[0.255, 0.078, 0.078, 0.059, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","['delete', 'work', 'thing', 'stupid', 'terrible', 'automatically', 'feature', 'artist', 'reason', 'ap']","[0.116, 0.05, 0.043, 0.041, 0.038, 0.034, 0.032, 0.032, 0.027, 0.026]"
"['fix', 'gmail', 'connection', 'set', 'icon', 'pixel', 'enable', 'modify', 'browse', 'insist']","[0.25, 0.045, 0.045, 0.023, 0.023, 0.023, 0.023, 0.023, 0.023, 0.023]","['play', 'stop', 'problem', 'turn', 'recently', 'press', 'bluetoth', 'soon_possible', 'car', 'connect']","[0.365, 0.124, 0.099, 0.04, 0.032, 0.023, 0.021, 0.019, 0.018, 0.017]"
"['android', 'chrome', 'doe', 'photo', 'change', 'community', 'album', 'response', 'queue', 'avail']","[0.191, 0.085, 0.064, 0.064, 0.064, 0.043, 0.043, 0.043, 0.021, 0.021]","['application', 'hate', 'close', 'useless', 'interface', 'longer', 'user', 'design', 'disappointing', 'choose']","[0.518, 0.06, 0.054, 0.043, 0.035, 0.026, 0.025, 0.012, 0.01, 0.009]"
"['issue', 'kid', 'gmail', 'android', 'remain', 'pixel', 'fail', 'blind', 'corner', 'god']","[0.175, 0.05, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]","['application', 'fix', 'bug', 'love', 'keep_crashe', 'playing', 'hope', 'couple', 'dint', 'suppose']","[0.416, 0.184, 0.085, 0.045, 0.022, 0.021, 0.019, 0.019, 0.009, 0.009]"
"['google', 'auto', 'mode', 'time', 'gogleplayfail', 'apple', 'video', 'people', 'lot', 'article']","[0.122, 0.098, 0.073, 0.049, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024]","['music', 'play', 'player', 'samsung', 'buy', 'folder', 'store', 'support', 'notification', 'customer']","[0.385, 0.113, 0.084, 0.04, 0.037, 0.03, 0.026, 0.02, 0.018, 0.015]"
"['application', 'open', 'multiple', 'color', 'library', 'user', 'give', 'trash', 'trouble', 'voice']","[0.359, 0.047, 0.047, 0.031, 0.031, 0.031, 0.031, 0.031, 0.016, 0.016]","['song', 'playlist', 'select', 'shuffle', 'randomly', 'constantly', 'order', 'change', 'disappear', 'switch']","[0.235, 0.2, 0.047, 0.045, 0.036, 0.034, 0.029, 0.026, 0.019, 0.017]"
"['white', 'assistant', 'messaging', 'bad', 'end', 'call', 'affect', 'unle', 'huge', 'ap']","[0.116, 0.093, 0.047, 0.023, 0.023, 0.023, 0.023, 0.023, 0.023, 0.023]","['download', 'device', 'music', 'stream', 'unload', 'home', 'datum', 'cast', 'mobile', 'access']","[0.366, 0.087, 0.061, 0.049, 0.037, 0.028, 0.024, 0.022, 0.019, 0.019]"
"['phone', 'switch', 'flexibility', 'remove', 'assist', 'provide', 'gaming', 'crashingdelete', 'share', 'technology']","[0.132, 0.079, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026]","['doe', 'listen', 'couture', 'properly', 'back', 'anymore', 'ad', 'battery', 'reason', 'entire']","[0.323, 0.104, 0.037, 0.03, 0.03, 0.03, 0.027, 0.021, 0.021, 0.018]"
"['fix', 'update', 'back', 'cast', 'wakeup', 'developer', 'wecalb', 'award', 'trouble', 'option']","[0.163, 0.122, 0.082, 0.041, 0.041, 0.041, 0.02, 0.02, 0.02, 0.02]","['song', 'start', 'play', 'skip', 'stop', 'video', 'pause', 'result', 'begin', 'hear']","[0.478, 0.097, 0.092, 0.071, 0.025, 0.024, 0.014, 0.012, 0.011, 0.011]"
,,"['gole', 'play', 'music', 'pop', 'tune', 'product', 'internet', 'continuously', 'ridiculous', 'beg']","[0.368, 0.24, 0.159, 0.013, 0.012, 0.011, 0.01, 0.009, 0.008, 0.006]"
,,"['search', 'make', 'find', 'option', 'menu', 'click', 'scroll', 'recent', 'awful', 'bar']","[0.109, 0.104, 0.089, 0.062, 0.036, 0.032, 0.032, 0.028, 0.028, 0.027]"
,,"['pay', 'good', 'please_fix', 'application', 'service', 'listen', 'month', 'lot', 'money', 'waste']","[0.107, 0.091, 0.071, 0.07, 0.061, 0.057, 0.044, 0.044, 0.031, 0.029]"
,,"['music', 'online', 'file', 'track', 'equalizer', 'mode', 'audio', 'equaliser', 'mp', 'refresh']","[0.395, 0.078, 0.076, 0.056, 0.029, 0.021, 0.021, 0.018, 0.014, 0.011]"
,,"['issue', 'give', 'star', 'suck', 'change', 'cut', 'error', 'long', 'completely', 'aps']","[0.132, 0.072, 0.056, 0.047, 0.04, 0.037, 0.036, 0.032, 0.029, 0.027]"
,,"['update', 'instal', 'work', 'android', 'shut', 'version', 'lose', 'late', 'review', 'storage']","[0.41, 0.073, 0.056, 0.044, 0.039, 0.034, 0.031, 0.029, 0.023, 0.023]"
,,"['song', 'show', 'library', 'add', 'list', 'great', 'edit', 'thumb', 'pc', 'include']","[0.277, 0.164, 0.085, 0.078, 0.076, 0.041, 0.015, 0.012, 0.012, 0.012]"
,,"['album', 'subscription', 'remove', 'set', 'random', 'purchase', 'free', 'fine', 'put', 'control']","[0.113, 0.091, 0.05, 0.044, 0.03, 0.029, 0.028, 0.022, 0.021, 0.019]"
,,"['time', 'crash', 'back', 'day', 'happen', 'frustrating', 'annoying', 'message', 'move', 'end']","[0.204, 0.13, 0.056, 0.052, 0.043, 0.033, 0.033, 0.022, 0.021, 0.018]"
,,"['phone', 'work', 'screen', 'podcast', 'freeze', 'load', 'subscribe', 'restart', 'precast', 'week']","[0.251, 0.164, 0.048, 0.047, 0.044, 0.043, 0.04, 0.033, 0.023, 0.018]"
