Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['update', 'youtube', 'gpay', 'check', 'damn', 'lead', 'oreo', 'touch', 'podcast', 'confuse']","[0.217, 0.065, 0.043, 0.043, 0.043, 0.022, 0.022, 0.022, 0.022, 0.022]","['application', 'bad', 'open', 'year', 'force', 'everytime', 'android_auto', 'experience', 'system', 'absolutely']","[0.304, 0.208, 0.055, 0.049, 0.037, 0.027, 0.025, 0.023, 0.018, 0.016]"
"['application', 'account', 'battery', 'android', 'content', 'stop', 'heading', 'date', 'resolve', 'oneplus']","[0.237, 0.211, 0.105, 0.105, 0.053, 0.026, 0.026, 0.026, 0.026, 0.026]","['delete', 'work', 'thing', 'stupid', 'terrible', 'automatically', 'feature', 'artist', 'reason', 'ap']","[0.116, 0.05, 0.043, 0.041, 0.038, 0.034, 0.032, 0.032, 0.027, 0.026]"
"['application', 'business', 'back', 'desktop', 'bill', 'fi', 'feature', 'put', 'money', 'policy']","[0.333, 0.048, 0.048, 0.048, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024]","['play', 'stop', 'problem', 'turn', 'recently', 'press', 'bluetoth', 'soon_possible', 'car', 'connect']","[0.365, 0.124, 0.099, 0.04, 0.032, 0.023, 0.021, 0.019, 0.018, 0.017]"
"['inbox', 'gmail', 'send', 'shit', 'grid', 'highlight', 'clean', 'correctly', 'crappy', 'assist']","[0.104, 0.104, 0.062, 0.042, 0.042, 0.042, 0.021, 0.021, 0.021, 0.021]","['application', 'hate', 'close', 'useless', 'interface', 'longer', 'user', 'design', 'disappointing', 'choose']","[0.518, 0.06, 0.054, 0.043, 0.035, 0.026, 0.025, 0.012, 0.01, 0.009]"
"['phone', 'search', 'terrible', 'voice', 'day', 'pop', 'wifi', 'horrible', 'martyr', 'anywherecloud']","[0.146, 0.062, 0.062, 0.062, 0.062, 0.062, 0.042, 0.042, 0.042, 0.021]","['application', 'fix', 'bug', 'love', 'keep_crashe', 'playing', 'hope', 'couple', 'dint', 'suppose']","[0.416, 0.184, 0.085, 0.045, 0.022, 0.021, 0.019, 0.019, 0.009, 0.009]"
"['change', 'fix', 'email', 'video', 'work', 'purchase', 'aplicationhelp', 'impossible', 'spelling', 'end']","[0.094, 0.075, 0.075, 0.057, 0.057, 0.038, 0.038, 0.019, 0.019, 0.019]","['music', 'play', 'player', 'samsung', 'buy', 'folder', 'store', 'support', 'notification', 'customer']","[0.385, 0.113, 0.084, 0.04, 0.037, 0.03, 0.026, 0.02, 0.018, 0.015]"
"['show', 'photo', 'leave', 'report', 'head', 'remind', 'play', 'music', 'location', 'backup']","[0.156, 0.089, 0.044, 0.044, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022]","['song', 'playlist', 'select', 'shuffle', 'randomly', 'constantly', 'order', 'change', 'disappear', 'switch']","[0.235, 0.2, 0.047, 0.045, 0.036, 0.034, 0.029, 0.026, 0.019, 0.017]"
"['buy', 'mobile', 'face', 'game', 'hungarian', 'forintshowever', 'sono', 'system', 'accept', 'usd']","[0.117, 0.1, 0.067, 0.067, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","['download', 'device', 'music', 'stream', 'unload', 'home', 'datum', 'cast', 'mobile', 'access']","[0.366, 0.087, 0.061, 0.049, 0.037, 0.028, 0.024, 0.022, 0.019, 0.019]"
"['bug', 'hungaryou', 'chromecast', 'change', 'buy', 'nee', 'apple', 'restart', 'verification', 'address']","[0.085, 0.064, 0.043, 0.043, 0.043, 0.021, 0.021, 0.021, 0.021, 0.021]","['doe', 'listen', 'couture', 'properly', 'back', 'anymore', 'ad', 'battery', 'reason', 'entire']","[0.323, 0.104, 0.037, 0.03, 0.03, 0.03, 0.027, 0.021, 0.021, 0.018]"
"['issue', 'india', 'home', 'assistance', 'google', 'lot', 'woman', 'make', 'ago', 'browser']","[0.205, 0.077, 0.077, 0.051, 0.051, 0.051, 0.051, 0.051, 0.026, 0.026]","['song', 'start', 'play', 'skip', 'stop', 'video', 'pause', 'result', 'begin', 'hear']","[0.478, 0.097, 0.092, 0.071, 0.025, 0.024, 0.014, 0.012, 0.011, 0.011]"
