Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['work', 'open', 'home', 'application', 'pixel', 'music', 'nest', 'history', 'message', 'enter']","[0.143, 0.086, 0.086, 0.071, 0.057, 0.043, 0.043, 0.029, 0.029, 0.014]","['update', 'day', 'great', 'put', 'today', 'garbage', 'tablet', 'ago', 'datum', 'tired']","[0.461, 0.097, 0.054, 0.026, 0.024, 0.023, 0.019, 0.014, 0.012, 0.012]"
"['problem', 'doe', 'mobile', 'device', 'wellbeing', 'day', 'gboard', 'video', 'security', 'painful']","[0.116, 0.072, 0.043, 0.043, 0.029, 0.029, 0.029, 0.029, 0.014, 0.014]","['update', 'late', 'search_bar', 'internet', 'matter', 'pie', 'trouble', 'point', 'mode', 'bar']","[0.52, 0.095, 0.023, 0.02, 0.018, 0.018, 0.015, 0.014, 0.014, 0.012]"
"['google', 'podcast', 'gmail', 'start', 'play', 'grin', 'month', 'pm', 'login', 'crash']","[0.075, 0.075, 0.06, 0.045, 0.045, 0.03, 0.03, 0.03, 0.03, 0.03]","['crash', 'slow', 'freeze', 'load', 'hang', 'constantly', 'device', 'tab', 'restart', 'download']","[0.147, 0.125, 0.084, 0.063, 0.061, 0.048, 0.048, 0.034, 0.023, 0.014]"
"['fix', 'time', 'inbox', 'update', 'support', 'purchase', 'idea', 'digital', 'pixel', 'withdraw']","[0.139, 0.069, 0.056, 0.056, 0.042, 0.028, 0.028, 0.028, 0.028, 0.014]","['back', 'make', 'thing', 'change', 'star', 'image', 'note', 'system', 'experience', 'function']","[0.117, 0.115, 0.07, 0.063, 0.058, 0.052, 0.032, 0.022, 0.022, 0.02]"
"['application', 'phone', 'cooky', 'message', 'side', 'note', 'frustrating', 'connect', 'service', 'ring']","[0.097, 0.065, 0.048, 0.048, 0.032, 0.032, 0.032, 0.032, 0.032, 0.016]","['gole', 'assistant', 'hate', 'battery', 'poor', 'disabled', 'useless', 'disable', 'datum', 'car']","[0.432, 0.213, 0.025, 0.025, 0.016, 0.016, 0.015, 0.015, 0.013, 0.012]"
"['issue', 'error', 'link', 'fix', 'send', 'run', 'tv', 'iphone', 'backspace', 'awesome']","[0.209, 0.104, 0.06, 0.06, 0.045, 0.03, 0.03, 0.03, 0.015, 0.015]","['give', 'suck', 'notification', 'feed', 'story', 'feature', 'delete', 'information', 'interested', 'people']","[0.094, 0.068, 0.062, 0.057, 0.045, 0.043, 0.038, 0.027, 0.024, 0.022]"
"['application', 'download', 'account', 'turn', 'anymore', 'discovery', 'article', 'copy', 'reason', 'check']","[0.402, 0.041, 0.031, 0.031, 0.021, 0.021, 0.021, 0.021, 0.01, 0.01]","['application', 'uninstale', 'answer', 'glitch', 'start', 'suddenly', 'topic', 'worthless', 'remain', 'safe']","[0.77, 0.018, 0.013, 0.011, 0.011, 0.01, 0.008, 0.008, 0.006, 0.006]"
,,"['voice', 'message', 'add', 'send', 'text', 'command', 'stopped_working', 'fine', 'call', 'mic']","[0.228, 0.074, 0.043, 0.04, 0.035, 0.033, 0.033, 0.033, 0.031, 0.028]"
,,"['show', 'issue', 'version', 'option', 'webster', 'wrong', 'previous', 'completely', 'solve', 'hope']","[0.142, 0.103, 0.098, 0.045, 0.034, 0.033, 0.029, 0.029, 0.019, 0.017]"
,,"['search', 'screen', 'remove', 'type', 'result', 'love', 'word', 'annoy', 'wife', 'activity']","[0.348, 0.106, 0.056, 0.051, 0.037, 0.035, 0.027, 0.022, 0.015, 0.013]"
,,"['recent', 'happen', 'start', 'news', 'long', 'doe', 'read', 'language', 'force', 'listen']","[0.075, 0.07, 0.057, 0.053, 0.053, 0.047, 0.047, 0.032, 0.032, 0.025]"
,,"['phone', 'android', 'aps', 'samsung', 'run', 'reason', 'lock', 'model', 'damn', 'control']","[0.338, 0.082, 0.052, 0.047, 0.038, 0.027, 0.024, 0.017, 0.014, 0.014]"
,,"['problem', 'good', 'instal', 'ap', 'find', 'close', 'service', 'mail', 'face', 'reset']","[0.214, 0.092, 0.09, 0.061, 0.052, 0.041, 0.038, 0.029, 0.02, 0.02]"
,,"['stop', 'turn', 'pop', 'please_fix', 'annoying', 'lot', 'ad', 'horrible', 'video', 'watch']","[0.164, 0.088, 0.088, 0.079, 0.05, 0.041, 0.036, 0.031, 0.029, 0.029]"
,,"['work', 'doe', 'properly', 'review', 'section', 'stop', 'blank', 'immediately', 'wait', 'close']","[0.435, 0.268, 0.069, 0.026, 0.018, 0.011, 0.009, 0.009, 0.008, 0.006]"
,,"['time', 'bad', 'play', 'anymore', 'game', 'stupid', 'install', 'store', 'credit', 'connect']","[0.335, 0.141, 0.091, 0.041, 0.038, 0.034, 0.031, 0.027, 0.026, 0.019]"
,,"['open', 'page', 'set', 'unable', 'button', 'home', 'click', 'browser', 'hate', 'chrome']","[0.207, 0.081, 0.055, 0.048, 0.043, 0.041, 0.04, 0.028, 0.028, 0.026]"
,,"['fix', 'download', 'bug', 'error', 'discover', 'break', 'terrible', 'card', 'leave', 'icon']","[0.182, 0.082, 0.047, 0.047, 0.042, 0.04, 0.038, 0.031, 0.028, 0.023]"
,,"['gole', 'respond', 'everytime', 'report', 'talk', 'automatically', 'piss', 'world', 'huge', 'mobile']","[0.709, 0.107, 0.026, 0.017, 0.009, 0.008, 0.006, 0.005, 0.005, 0.003]"
,,"['work', 'news_feed', 'widget', 'pixel', 'enable', 'galaxy', 'weather', 'home', 'mobile', 'disappear']","[0.125, 0.045, 0.037, 0.034, 0.034, 0.032, 0.032, 0.029, 0.029, 0.029]"
