Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['google', 'problem', 'screen', 'map', 'episode', 'show', 'hour', 'build', 'user', 'password']","[0.136, 0.102, 0.085, 0.068, 0.034, 0.034, 0.034, 0.017, 0.017, 0.017]","['change', 'fix', 'give', 'bug', 'star', 'review', 'remove', 'freeze', 'break', 'add']","[0.116, 0.112, 0.086, 0.049, 0.045, 0.045, 0.037, 0.037, 0.034, 0.03]"
"['application', 'android', 'beta', 'monopoly', 'log', 'waze', 'force', 'possibly', 'forever', 'friend']","[0.274, 0.082, 0.041, 0.027, 0.027, 0.027, 0.027, 0.027, 0.027, 0.014]","['application', 'device', 'disable', 'system', 'permission', 'language', 'doe', 'store', 'site', 'note']","[0.564, 0.045, 0.038, 0.03, 0.026, 0.019, 0.015, 0.015, 0.011, 0.011]"
"['application', 'fix', 'crash', 'attachment', 'default', 'annoying', 'load', 'risk', 'scrub', 'gfl']","[0.381, 0.286, 0.036, 0.024, 0.024, 0.012, 0.012, 0.012, 0.012, 0.012]","['gole', 'tab', 'text', 'auto', 'consume', 'correctly', 'email', 'gif', 'sony', 'hope']","[0.697, 0.048, 0.028, 0.02, 0.012, 0.008, 0.008, 0.008, 0.008, 0.008]"
"['phone', 'work', 'authenticator', 'check', 'reason', 'journal', 'chrome', 'real', 'workout', 'attach']","[0.149, 0.119, 0.09, 0.045, 0.045, 0.03, 0.03, 0.03, 0.03, 0.03]","['doe', 'make', 'find', 'good', 'thing', 'stupid', 'horrible', 'dumb', 'difficult', 'picture']","[0.126, 0.121, 0.087, 0.082, 0.074, 0.03, 0.03, 0.026, 0.022, 0.022]"
"['youtube', 'day', 'notification', 'bug', 'option', 'device', 'change', 'story', 'store', 'tv']","[0.091, 0.073, 0.073, 0.055, 0.055, 0.036, 0.036, 0.036, 0.036, 0.036]","['bad', 'back', 'issue', 'version', 'lot', 'error', 'battery', 'wrong', 'people', 'list']","[0.197, 0.115, 0.082, 0.07, 0.061, 0.061, 0.029, 0.029, 0.029, 0.016]"
"['application', 'iphone', 'people', 'ap', 'grey', 'image', 'suite', 'assistant', 'fluff', 'purity']","[0.209, 0.06, 0.06, 0.045, 0.045, 0.03, 0.03, 0.03, 0.015, 0.015]","['stop', 'gole', 'news', 'feed', 'service', 'send', 'read', 'article', 'annoy', 'poor']","[0.169, 0.165, 0.076, 0.044, 0.04, 0.04, 0.032, 0.024, 0.024, 0.024]"
"['issue', 'break', 'guy', 'game', 'unle', 'sudden', 'interrupt', 'keyboard', 'horrible', 'opinion']","[0.16, 0.14, 0.08, 0.08, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","['problem', 'doe', 'show', 'check', 'number', 'solve', 'waste', 'blank', 'enter', 'massive']","[0.229, 0.13, 0.126, 0.032, 0.032, 0.02, 0.02, 0.016, 0.016, 0.016]"
"['datum', 'doe', 'bad', 'make', 'fit', 'download', 'thing', 'access', 'superior', 'policy']","[0.095, 0.095, 0.079, 0.063, 0.048, 0.048, 0.048, 0.032, 0.032, 0.016]","['gole', 'time', 'suck', 'message', 'hour', 'anymore', 'mobile', 'hope', 'constantly', 'grin']","[0.264, 0.087, 0.074, 0.052, 0.043, 0.03, 0.026, 0.022, 0.022, 0.022]"
"['update', 'gmail', 'reset', 'issue', 'reopen', 'browser', 'web', 'verification', 'racist', 'pre']","[0.185, 0.056, 0.056, 0.037, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019]","['play', 'download', 'feature', 'connect', 'command', 'music', 'pixel', 'car', 'randomly', 'unlock']","[0.087, 0.066, 0.054, 0.054, 0.046, 0.041, 0.037, 0.029, 0.029, 0.025]"
"['search', 'play', 'remove', 'connection', 'page', 'mark', 'clear', 'start', 'trouble', 'show']","[0.111, 0.089, 0.067, 0.044, 0.044, 0.044, 0.044, 0.044, 0.022, 0.022]","['update', 'instal', 'application', 'install', 'ap', 'please_fix', 'useless', 'longer', 'compatible', 'leave']","[0.226, 0.073, 0.069, 0.066, 0.066, 0.058, 0.04, 0.018, 0.018, 0.018]"
