quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('team', 'aware', 'issue', 'working')",28,"('map', 'not', 'working', 'properly')",19.0
"('thanks', 'reporting', 'this', 'team')",27,"('application', 'doe', 'not', 'work')",14.0
"('reporting', 'this', 'team', 'aware')",27,"('this', 'application', 'this', 'application')",11.0
"('this', 'team', 'aware', 'issue')",27,"('doe', 'not', 'work', 'properly')",8.0
"('aware', 'issue', 'working', 'fixing')",27,"('this', 'application', 'doe', 'not')",8.0
"('issue', 'working', 'fixing', 'hi')",22,"('not', 'working', 'properly', 'not')",7.0
"('hi', 'thanks', 'reporting', 'this')",10,"('navigation', 'not', 'working', 'properly')",6.0
"('working', 'fixing', 'hi', 'thanks')",8,"('trouble', 'connecting', 'please', 'try')",6.0
"('fixing', 'hi', 'thanks', 'reporting')",8,"('connecting', 'please', 'try', 'later')",6.0
"('this', 'issue', 'fixed', 'feel')",6,"('say', 'gps', 'signal', 'lost')",6.0
"('issue', 'fixed', 'feel', 'free')",6,"('map', 'doe', 'not', 'show')",5.0
"('fixed', 'feel', 'free', 'reach')",6,"('not', 'working', 'properly', 'in')",5.0
"('feel', 'free', 'reach', 'question')",6,"('still', 'doe', 'not', 'work')",5.0
"('free', 'reach', 'question', 'hi')",5,"('something', 'went', 'wrong', 'not')",5.0
"('google', 'map', 'let', 'know')",3,"('went', 'wrong', 'not', 'get')",5.0
"('one', 'want', 'fix', 'this')",3,"('wrong', 'not', 'get', 'direction')",5.0
"('want', 'fix', 'this', 'google')",3,"('application', 'doe', 'not', 'show')",5.0
"('fix', 'this', 'google', 'missing')",3,"('not', 'delete', 'map', 'history')",5.0
"('this', 'google', 'missing', 'street')",3,"('doe', 'not', 'work', 'this')",5.0
"('google', 'missing', 'street', 'affecting')",3,"('please', 'fix', 'this', 'problem')",5.0
"('missing', 'street', 'affecting', 'use')",3,,
"('street', 'affecting', 'use', 'gps')",3,,
"('affecting', 'use', 'gps', 'drive')",3,,
"('use', 'gps', 'drive', 'not')",3,,
"('gps', 'drive', 'not', 'add')",3,,
"('drive', 'not', 'add', 'place')",3,,
"('not', 'add', 'place', 'add')",3,,
"('add', 'place', 'add', 'place')",3,,
"('place', 'add', 'place', 'road')",3,,
"('add', 'place', 'road', 'not')",3,,
"('place', 'road', 'not', 'exist')",3,,
"('road', 'not', 'exist', 'in')",3,,
"('not', 'exist', 'in', 'system')",3,,
"('exist', 'in', 'system', 'in')",3,,
"('in', 'system', 'in', 'apple')",3,,
"('system', 'in', 'apple', 'map')",3,,
"('repair', 'reputation', 'top', 'tip')",3,,
"('reputation', 'top', 'tip', 'trick')",3,,
"('top', 'tip', 'trick', 'triumph')",3,,
"('tip', 'trick', 'triumph', 'goglemaps')",3,,
"('trick', 'triumph', 'goglemaps', 'seoexpert')",3,,
"('triumph', 'goglemaps', 'seoexpert', 'reputation')",3,,
"('goglemaps', 'seoexpert', 'reputation', 'orm')",3,,
"('seoexpert', 'reputation', 'orm', 'career')",3,,
"('reputation', 'orm', 'career', 'sale')",3,,
"('see', 'later', 'de', 'sac')",3,,
