trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('lost', 'soul', 'day')",6.0,"('doe', 'not', 'work')",63
"('biking', 'work', 'around')",6.0,"('not', 'working', 'properly')",43
"('showed', 'biking', 'work')",5.0,"('please', 'fix', 'this')",37
"('please', 'fix', 'this')",5.0,"('this', 'application', 'not')",37
"('glad', 'hear', 'issue')",4.0,"('application', 'doe', 'not')",36
"('hear', 'issue', 'resolved')",4.0,"('since', 'last', 'update')",32
"('issue', 'resolved', 'feel')",4.0,"('doe', 'not', 'show')",31
"('resolved', 'feel', 'free')",4.0,"('map', 'not', 'working')",29
"('feel', 'free', 'reach')",4.0,"('gole', 'map', 'not')",24
"('free', 'reach', 'question')",4.0,"('use', 'this', 'application')",24
"('first', 'lost', 'soul')",3.0,"('navigation', 'not', 'working')",23
"('google', 'map', 'keep')",3.0,"('map', 'doe', 'not')",23
"('in', 'google', 'map')",3.0,"('application', 'not', 'working')",20
"('something', 'went', 'wrong')",3.0,"('gps', 'signal', 'lost')",19
"('using', 'google', 'map')",3.0,"('not', 'work', 'properly')",16
,,"('this', 'application', 'this')",15
,,"('application', 'this', 'application')",15
,,"('this', 'application', 'doe')",14
,,"('fix', 'this', 'issue')",14
,,"('not', 'find', 'way')",13
,,"('update', 'doe', 'not')",12
,,"('update', 'this', 'application')",11
,,"('navigation', 'doe', 'not')",11
,,"('using', 'this', 'application')",11
,,"('gole', 'map', 'doe')",11
,,"('doe', 'not', 'even')",11
,,"('map', 'not', 'responding')",10
,,"('not', 'working', 'not')",10
,,"('gps', 'not', 'working')",10
,,"('did', 'not', 'work')",10
,,"('doe', 'not', 'allow')",9
,,"('show', 'wrong', 'location')",9
,,"('application', 'keep', 'crashing')",9
,,"('showing', 'wrong', 'location')",8
,,"('used', 'gole', 'map')",8
,,"('love', 'this', 'application')",8
,,"('say', 'searching', 'gps')",8
,,"('application', 'not', 'work')",8
,,"('this', 'application', 'become')",8
,,"('this', 'doe', 'not')",8
,,"('in', 'gole', 'map')",8
,,"('give', 'wrong', 'direction')",7
,,"('map', 'application', 'keep')",7
,,"('fix', 'soon', 'possible')",7
