Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['route', 'error', 'give', 'station', 'big', 'point', 'transit', 'direction', 'understand', 'fail']","[0.074, 0.06, 0.043, 0.035, 0.025, 0.021, 0.021, 0.021, 0.021, 0.018]","['place', 'star', 'review', 'save', 'miss', 'photo', 'point', 'annoying', 'icon', 'delete']","[0.115, 0.059, 0.042, 0.034, 0.026, 0.026, 0.024, 0.021, 0.021, 0.021]"
"['doe', 'people', 'address', 'edit', 'feature', 'display', 'exist', 'start', 'break', 'year']","[0.067, 0.052, 0.033, 0.033, 0.026, 0.026, 0.022, 0.022, 0.022, 0.022]","['work', 'doe', 'properly', 'frustrating', 'connection', 'link', 'high', 'hawes', 'tab', 'factory']","[0.432, 0.194, 0.04, 0.023, 0.017, 0.013, 0.012, 0.012, 0.011, 0.01]"
"['goglemap', 'frustrating', 'place', 'trouble', 'review', 'provide', 'hour', 'plan', 'guy', 'live']","[0.057, 0.053, 0.041, 0.037, 0.033, 0.029, 0.025, 0.025, 0.025, 0.025]","['issue', 'fix', 'please_fix', 'load', 'day', 'working_properly', 'report', 'lag', 'solve', 'soon_possible']","[0.179, 0.073, 0.072, 0.067, 0.064, 0.04, 0.04, 0.031, 0.03, 0.026]"
"['fix', 'send', 'change', 'service', 'view', 'transport', 'mobile', 'suggest', 'put', 'city']","[0.15, 0.037, 0.026, 0.026, 0.022, 0.022, 0.022, 0.019, 0.019, 0.019]","['problem', 'respond', 'hang', 'fix', 'professional', 'android', 'mobile', 'month', 'lot', 'error']","[0.13, 0.086, 0.081, 0.072, 0.058, 0.049, 0.043, 0.043, 0.041, 0.041]"
"['issue', 'report', 'work', 'team', 'aware', 'stay_tune', 'good', 'link', 'walk', 'bike']","[0.221, 0.125, 0.125, 0.083, 0.066, 0.059, 0.02, 0.02, 0.01, 0.01]","['start', 'phone', 'bug', 'click', 'thing', 'aps', 'restart', 'press', 'freeze', 'please_help']","[0.183, 0.166, 0.055, 0.04, 0.035, 0.029, 0.027, 0.026, 0.024, 0.017]"
"['fix', 'time', 'show', 'add', 'stop', 'bus', 'leave', 'android', 'contact', 'access']","[0.087, 0.08, 0.08, 0.07, 0.033, 0.027, 0.023, 0.017, 0.017, 0.017]","['screen', 'phone', 'set', 'button', 'drive', 'samsung', 'happen', 'galaxy', 'close', 'car']","[0.088, 0.068, 0.068, 0.051, 0.049, 0.038, 0.038, 0.036, 0.034, 0.027]"
"['map', 'application', 'update', 'bug', 'week', 'make', 'phone', 'travel', 'zoom', 'end']","[0.196, 0.094, 0.066, 0.035, 0.028, 0.024, 0.017, 0.017, 0.014, 0.014]","['application', 'every_time', 'love', 'shut', 'disappoint', 'arrive', 'reliable', 'top', 'good', 'trouble']","[0.677, 0.047, 0.028, 0.025, 0.014, 0.012, 0.011, 0.009, 0.009, 0.009]"
"['google_map', 'location', 'navigation', 'real', 'customer', 'reach', 'step', 'error', 'happen', 'late']","[0.137, 0.053, 0.03, 0.027, 0.027, 0.023, 0.019, 0.019, 0.015, 0.015]","['map', 'online', 'doe', 'download', 'accurate', 'datum', 'area', 'device', 'voice', 'suck']","[0.293, 0.044, 0.042, 0.038, 0.033, 0.031, 0.031, 0.028, 0.027, 0.026]"
"['problem', 'street', 'search', 'solve', 'drive', 'respond', 'goglemaps', 'custom', 'message', 'je']","[0.246, 0.051, 0.034, 0.034, 0.024, 0.02, 0.017, 0.017, 0.017, 0.017]","['lose', 'navigate', 'address', 'change', 'wave', 'hate', 'put', 'type', 'today', 'box']","[0.099, 0.069, 0.068, 0.068, 0.037, 0.031, 0.028, 0.027, 0.023, 0.023]"
"['road', 'bad', 'direction', 'option', 'user', 'business', 'find', 'experience', 'miss', 'place']","[0.067, 0.063, 0.063, 0.053, 0.042, 0.042, 0.039, 0.028, 0.028, 0.028]","['map', 'gole', 'big', 'support', 'function', 'year', 'recommend', 'huge', 'normal', 'drive']","[0.422, 0.335, 0.018, 0.017, 0.013, 0.013, 0.011, 0.008, 0.007, 0.005]"
,,"['navigation', 'option', 'move', 'compass', 'north', 'view', 'arrow', 'mode', 'remove', 'face']","[0.213, 0.066, 0.055, 0.051, 0.045, 0.041, 0.038, 0.037, 0.035, 0.028]"
,,"['direction', 'wrong', 'give', 'street', 'useless', 'send', 'end', 'walk', 'feedback', 'edit']","[0.234, 0.137, 0.1, 0.053, 0.048, 0.038, 0.029, 0.025, 0.016, 0.011]"
,,"['time', 'stop', 'add', 'bus', 'anymore', 'multiple', 'horrible', 'make', 'garbage', 'direct']","[0.158, 0.146, 0.077, 0.045, 0.041, 0.041, 0.031, 0.023, 0.019, 0.018]"
