Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['bad', 'phone', 'turn', 'drive', 'walk', 'back', 'key', 'detail', 'spend', 'version']","[0.102, 0.07, 0.057, 0.051, 0.051, 0.045, 0.032, 0.025, 0.025, 0.025]","['application', 'slow', 'crash', 'open', 'close', 'load', 'completely', 'force', 'freeze', 'galaxy']","[0.301, 0.112, 0.102, 0.075, 0.072, 0.041, 0.03, 0.025, 0.021, 0.015]"
"['bug', 'google_map', 'place', 'find', 'service', 'area', 'station', 'star', 'toll', 'full']","[0.108, 0.099, 0.059, 0.044, 0.034, 0.025, 0.025, 0.025, 0.025, 0.02]","['route', 'road', 'change', 'option', 'traffic', 'accurate', 'suck', 'user', 'hour', 'people']","[0.248, 0.073, 0.066, 0.06, 0.046, 0.029, 0.025, 0.023, 0.022, 0.02]"
"['resolve', 'good', 'free', 'feel', 'problem', 'view', 'question', 'hear', 'message', 'goglemap']","[0.062, 0.05, 0.05, 0.044, 0.044, 0.044, 0.037, 0.037, 0.025, 0.025]","['navigation', 'stop', 'back', 'compass', 'useless', 'mode', 'set', 'north', 'start', 'pop']","[0.167, 0.137, 0.066, 0.054, 0.052, 0.043, 0.038, 0.034, 0.027, 0.023]"
"['day', 'time', 'break', 'road', 'level', 'business', 'thing', 'google', 'screen', 'receive']","[0.089, 0.079, 0.074, 0.069, 0.049, 0.034, 0.03, 0.025, 0.025, 0.02]","['work', 'start', 'navigation', 'freeze', 'properly', 'fine', 'mobile', 'press', 'begin', 'suggestion']","[0.477, 0.055, 0.052, 0.044, 0.036, 0.035, 0.023, 0.019, 0.015, 0.012]"
"['goglemap', 'unable', 'reputation', 'late', 'sign', 'morning', 'repair', 'horrible', 'triumph', 'top']","[0.079, 0.043, 0.037, 0.024, 0.024, 0.024, 0.024, 0.018, 0.018, 0.018]","['show', 'search', 'map', 'view', 'voice', 'travel', 'anymore', 'leave', 'current_location', 'suddenly']","[0.154, 0.129, 0.068, 0.045, 0.043, 0.039, 0.034, 0.034, 0.023, 0.023]"
"['street', 'solve', 'include', 'product', 'photo', 'open', 'direction', 'month', 'hard', 'contact']","[0.066, 0.061, 0.05, 0.039, 0.033, 0.033, 0.033, 0.033, 0.028, 0.028]","['make', 'long', 'great', 'thing', 'area', 'bus', 'trip', 'speed', 'horrible', 'journey']","[0.109, 0.065, 0.046, 0.044, 0.038, 0.037, 0.026, 0.025, 0.025, 0.019]"
"['error', 'google_map', 'check', 'correct', 'face', 'datum', 'respond', 'answer', 'point', 'report']","[0.121, 0.097, 0.067, 0.061, 0.03, 0.03, 0.03, 0.018, 0.018, 0.018]","['time', 'lot', 'happen', 'frustrating', 'week', 'automatically', 'recently', 'waste', 'real', 'job']","[0.39, 0.06, 0.044, 0.025, 0.025, 0.022, 0.021, 0.02, 0.02, 0.018]"
"['work', 'fix', 'team', 'report', 'aware', 'frustrating', 'return', 'transit', 'friend', 'cellular']","[0.167, 0.151, 0.131, 0.131, 0.076, 0.02, 0.012, 0.012, 0.012, 0.008]","['map', 'screen', 'run', 'android', 'lock', 'shut', 'blank', 'display', 'link', 'battery']","[0.338, 0.12, 0.037, 0.032, 0.031, 0.03, 0.016, 0.016, 0.016, 0.015]"
"['application', 'crash', 'reinstall', 'happen', 'solution', 'review', 'traffic', 'car', 'publish', 'close']","[0.247, 0.046, 0.036, 0.026, 0.026, 0.026, 0.021, 0.015, 0.015, 0.015]","['update', 'fix', 'issue', 'recent', 'bug', 'break', 'hang', 'developer', 'professional', 'team']","[0.257, 0.159, 0.1, 0.047, 0.032, 0.025, 0.024, 0.016, 0.015, 0.014]"
"['fix', 'show', 'update', 'email', 'doe', 'give', 'run', 'provide', 'location', 'field']","[0.152, 0.122, 0.096, 0.036, 0.03, 0.03, 0.02, 0.02, 0.015, 0.015]","['location', 'bad', 'show', 'arrow', 'correct', 'experience', 'share', 'exact', 'sharing', 'navigator']","[0.313, 0.184, 0.145, 0.037, 0.034, 0.021, 0.017, 0.016, 0.015, 0.014]"
"['problem', 'account', 'list', 'leave', 'back', 'guide', 'feedback', 'local', 'post', 'year']","[0.154, 0.077, 0.048, 0.043, 0.043, 0.034, 0.034, 0.034, 0.029, 0.024]","['map', 'place', 'save', 'online', 'delete', 'find', 'suggest', 'photo', 'history', 'datum']","[0.245, 0.152, 0.047, 0.037, 0.031, 0.029, 0.022, 0.021, 0.021, 0.019]"
"['fix', 'fail', 'make', 'avoid', 'route', 'people', 'iphone', 'save', 'stop', 'change']","[0.101, 0.067, 0.056, 0.045, 0.039, 0.034, 0.034, 0.034, 0.034, 0.028]","['phone', 'gps', 'lose', 'day', 'find', 'year', 'working_properly', 'unable', 'suck', 'samsung_galaxy']","[0.211, 0.173, 0.085, 0.064, 0.056, 0.037, 0.036, 0.029, 0.025, 0.019]"
"['location', 'goglemap', 'wrong', 'address', 'pin', 'send', 'issue', 'gps', 'hope', 'watch']","[0.105, 0.087, 0.076, 0.07, 0.058, 0.047, 0.047, 0.029, 0.023, 0.017]","['turn', 'drive', 'map', 'minute', 'miss', 'terrible', 'mile', 'past', 'find', 'stay']","[0.16, 0.081, 0.08, 0.069, 0.034, 0.034, 0.033, 0.026, 0.026, 0.021]"
"['map', 'search', 'place', 'house', 'add', 'click', 'home', 'image', 'recently', 'destination']","[0.247, 0.077, 0.066, 0.044, 0.038, 0.033, 0.027, 0.022, 0.022, 0.016]","['doe', 'respond', 'download', 'error', 'work', 'message', 'access', 'car', 'note', 'connect']","[0.314, 0.047, 0.047, 0.045, 0.041, 0.036, 0.025, 0.025, 0.022, 0.022]"
"['issue', 'call', 'experience', 'zoom', 'microphone', 'device', 'lyft', 'remote', 'feature', 'notice']","[0.416, 0.028, 0.028, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017]","['good', 'address', 'star', 'put', 'send', 'button', 'home', 'report', 'remove', 'edit']","[0.11, 0.101, 0.056, 0.051, 0.045, 0.043, 0.042, 0.034, 0.031, 0.028]"
,,"['update', 'version', 'late', 'instal', 'back', 'uninstale', 'cache', 'clear', 'device', 'reset']","[0.398, 0.092, 0.086, 0.06, 0.044, 0.032, 0.026, 0.022, 0.02, 0.016]"
,,"['gole', 'add', 'constantly', 'feature', 'point', 'wave', 'play', 'game', 'garbage', 'info']","[0.335, 0.052, 0.051, 0.049, 0.04, 0.035, 0.021, 0.015, 0.015, 0.012]"
,,"['application', 'love', 'hate', 'glitch', 'ruin', 'disappoint', 'properly', 'awesome', 'rate', 'shortlist']","[0.696, 0.031, 0.022, 0.012, 0.012, 0.012, 0.011, 0.01, 0.009, 0.007]"
,,"['problem', 'navigate', 'destination', 'please_fix', 'start', 'move', 'review', 'soon_possible', 'longer', 'lag']","[0.145, 0.078, 0.066, 0.052, 0.043, 0.043, 0.036, 0.024, 0.022, 0.021]"
,,"['direction', 'wrong', 'give', 'street', 'switch', 'proper', 'samsung', 'week', 'show', 'something_went']","[0.248, 0.182, 0.121, 0.038, 0.021, 0.02, 0.02, 0.017, 0.017, 0.015]"
