Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['error', 'time', 'fianc', 'image', 'messenger', 'fbapierordomain', 'give', 'white', 'min', 'round']","[0.154, 0.115, 0.077, 0.077, 0.077, 0.077, 0.077, 0.038, 0.038, 0.038]","['messenger', 'network', 'wait', 'glitch', 'experience', 'number', 'stopped_working', 'random', 'every_single', 'junk']","[0.685, 0.027, 0.024, 0.022, 0.021, 0.012, 0.009, 0.008, 0.008, 0.008]"
"['nan', 'application', 'wrong', 'facebok', 'device', 'restart', 'phone', 'conditional', 'unable', 'access']","[0.312, 0.219, 0.062, 0.062, 0.062, 0.031, 0.031, 0.031, 0.031, 0.031]","['application', 'great', 'mess', 'big', 'support', 'developer', 'grin', 'happy', 'order', 'totally']","[0.723, 0.046, 0.022, 0.018, 0.012, 0.011, 0.007, 0.006, 0.006, 0.005]"
"['send', 'picture', 'happen', 'instal', 'fel', 'kind', 'receive', 'message', 'sender', 'gif']","[0.31, 0.207, 0.069, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034]","['notification', 'turn', 'receive', 'set', 'stop', 'chat_head', 'annoy', 'android', 'quality', 'sound']","[0.188, 0.053, 0.045, 0.045, 0.044, 0.043, 0.039, 0.032, 0.029, 0.026]"
"['fix', 'issue', 'black', 'blued', 'selector', 'frustrating', 'remove', 'iphone', 'nee', 'doe']","[0.469, 0.188, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031]","['show', 'friend', 'story', 'text', 'find', 'conversation', 'online', 'post', 'active', 'even_though']","[0.143, 0.138, 0.065, 0.051, 0.041, 0.04, 0.038, 0.032, 0.027, 0.025]"
"['friend', 'dark', 'specific', 'light', 'properly', 'cover', 'chance', 'shit', 'android', 'feature']","[0.25, 0.125, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042]","['log', 'account', 'back', 'everytime', 'switch', 'sign', 'error', 'login', 'service', 'wrong']","[0.203, 0.142, 0.082, 0.044, 0.039, 0.039, 0.037, 0.029, 0.027, 0.026]"
"['messenger', 'good', 'error', 'open', 'log', 'chat', 'side', 'relate', 'convo', 'feature']","[0.207, 0.103, 0.069, 0.069, 0.069, 0.069, 0.034, 0.034, 0.034, 0.034]","['send', 'picture', 'pic', 'anymore', 'fail', 'today', 'image', 'deliver', 'longer', 'blur']","[0.424, 0.192, 0.053, 0.051, 0.042, 0.027, 0.025, 0.012, 0.012, 0.009]"
"['work', 'bug', 'update', 'text', 'start', 'mode', 'trouble', 'center', 'circle', 'attention']","[0.176, 0.118, 0.118, 0.088, 0.059, 0.059, 0.029, 0.029, 0.029, 0.029]","['open', 'people', 'chat', 'annoying', 'close', 'reason', 'fine', 'ap', 'pop', 'face']","[0.183, 0.107, 0.081, 0.067, 0.046, 0.033, 0.031, 0.026, 0.025, 0.02]"
"['send', 'pic', 'problem', 'ago', 'hitl', 'bug', 'clear', 'everytime', 'afternoon', 'change']","[0.25, 0.125, 0.083, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042]","['phone', 'slow', 'crash', 'lot', 'screen', 'restart', 'freeze', 'lag', 'hang', 'bad']","[0.256, 0.074, 0.071, 0.062, 0.049, 0.042, 0.034, 0.033, 0.022, 0.019]"
"['problem', 'messenger', 'login', 'hitler', 'lot', 'unreadable', 'gifs', 'wash', 'ril', 'boolean']","[0.261, 0.174, 0.043, 0.043, 0.043, 0.043, 0.043, 0.043, 0.043, 0.043]","['photo', 'send', 'fix', 'voice', 'play', 'error', 'game', 'keep_saying', 'internet', 'hope']","[0.117, 0.101, 0.089, 0.075, 0.049, 0.046, 0.037, 0.031, 0.03, 0.029]"
"['message', 'photo', 'sign', 'solve', 'multiple', 'question', 'people', 'tete', 'background', 'website']","[0.267, 0.2, 0.067, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033]","['update', 'suck', 'dark_mode', 'black', 'load', 'terrible', 'dark', 'mode', 'hard', 'background']","[0.524, 0.07, 0.052, 0.027, 0.026, 0.016, 0.016, 0.016, 0.013, 0.012]"
,,"['problem', 'emosi', 'change', 'thing', 'back', 'password', 'year', 'put', 'previous', 'edit']","[0.212, 0.092, 0.082, 0.078, 0.05, 0.026, 0.022, 0.019, 0.018, 0.015]"
,,"['update', 'bad', 'version', 'late', 'good', 'recent', 'horrible', 'file', 'dark_mode', 'ever_since']","[0.372, 0.142, 0.09, 0.048, 0.042, 0.029, 0.025, 0.018, 0.014, 0.012]"
,,"['call', 'video', 'make', 'good', 'hear', 'audio', 'longer', 'break', 'hell', 'end']","[0.17, 0.163, 0.119, 0.044, 0.026, 0.019, 0.018, 0.017, 0.015, 0.014]"
,,"['message', 'read', 'unread', 'request', 'reply', 'icon', 'constantly', 'find', 'important', 'ignore']","[0.662, 0.031, 0.03, 0.029, 0.025, 0.02, 0.019, 0.014, 0.011, 0.007]"
,,"['nan', 'instal', 'uninstale', 'check', 'install', 'datum', 'deinstal', 'wife', 'unable', 'connection']","[0.223, 0.169, 0.065, 0.046, 0.042, 0.041, 0.036, 0.033, 0.028, 0.028]"
,,"['fix', 'issue', 'bug', 'happen', 'review', 'soon_possible', 'disappear', 'suddenly', 'type', 'report']","[0.308, 0.126, 0.079, 0.066, 0.031, 0.029, 0.025, 0.017, 0.017, 0.017]"
,,"['application', 'faceon', 'force', 'stop', 'access', 'respond', 'user', 'permission', 'messaging', 'trash']","[0.316, 0.26, 0.05, 0.037, 0.023, 0.02, 0.018, 0.017, 0.014, 0.012]"
,,"['hate', 'give', 'star', 'option', 'remove', 'stupid', 'feature', 'add', 'guy', 'camera']","[0.089, 0.087, 0.069, 0.056, 0.054, 0.048, 0.048, 0.046, 0.033, 0.029]"
,,"['time', 'download', 'day', 'connect', 'long', 'week', 'start', 'device', 'love', 'lite']","[0.25, 0.112, 0.099, 0.046, 0.041, 0.035, 0.035, 0.029, 0.028, 0.022]"
,,"['work', 'doe', 'delete', 'contact', 'properly', 'wrong', 'aps', 'multiple', 'select', 'communication']","[0.319, 0.223, 0.11, 0.054, 0.032, 0.031, 0.025, 0.014, 0.006, 0.006]"
