Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['change', 'nickname', 'make', 'letter', 'introduce', 'crashing', 'brazil', 'crash', 'restart', 'update']","[0.138, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034]","['update', 'suck', 'late', 'recent', 'mess', 'auto', 'ever_since', 'updating', 'yesterday', 'require']","[0.642, 0.075, 0.057, 0.042, 0.024, 0.014, 0.012, 0.008, 0.006, 0.005]"
"['application', 'color', 'fix', 'position', 'reset', 'happen', 'time', 'note', 'show', 'impossible']","[0.156, 0.094, 0.094, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031]","['phone', 'download', 'time', 'share', 'uninstale', 'freeze', 'access', 'week', 'work', 'space']","[0.239, 0.062, 0.057, 0.038, 0.034, 0.034, 0.028, 0.025, 0.024, 0.021]"
"['fix', 'color', 'respond', 'functionality', 'miss', 'big', 'instagram', 'real', 'ap', 'stay']","[0.324, 0.059, 0.059, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029]","['application', 'issue', 'start', 'lot', 'recently', 'note', 'main', 'frustrating', 'act', 'permission']","[0.487, 0.11, 0.045, 0.036, 0.023, 0.019, 0.014, 0.013, 0.013, 0.012]"
"['problem', 'work', 'issue', 'text', 'anymore', 'cache', 'android', 'email', 'closing', 'message']","[0.212, 0.091, 0.061, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","['video', 'play', 'black', 'screen', 'watch', 'end', 'freeze', 'exit', 'hang', 'playing']","[0.387, 0.117, 0.11, 0.095, 0.064, 0.034, 0.03, 0.026, 0.016, 0.015]"
"['messenger', 'bug', 'send', 'assume', 'emoji', 'io', 'type', 'lose', 'give', 'click']","[0.278, 0.083, 0.083, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028]","['photo', 'conversation', 'picture', 'view', 'datum', 'load', 'show', 'story', 'send', 'click']","[0.086, 0.069, 0.067, 0.067, 0.064, 0.06, 0.059, 0.051, 0.044, 0.034]"
,,"['back', 'screen', 'video', 'black', 'turn', 'button', 'close', 'watch', 'full', 'press']","[0.2, 0.148, 0.106, 0.097, 0.065, 0.045, 0.039, 0.038, 0.028, 0.024]"
,,"['instal', 'log', 'account', 'time', 'wrong', 'stupid', 'deinstal', 'lose', 'switch', 'internet_connection']","[0.106, 0.094, 0.093, 0.07, 0.05, 0.038, 0.031, 0.027, 0.026, 0.023]"
,,"['message', 'send', 'receive', 'show', 'read', 'check', 'page', 'request', 'unread', 'deliver']","[0.491, 0.22, 0.052, 0.035, 0.027, 0.02, 0.019, 0.016, 0.015, 0.007]"
,,"['make', 'good', 'doe', 'annoying', 'slow', 'voice', 'person', 'text', 'love', 'run']","[0.128, 0.082, 0.077, 0.066, 0.057, 0.048, 0.039, 0.038, 0.027, 0.024]"
,,"['messenger', 'keep_stopping', 'today', 'solve', 'happy', 'load', 'updated', 'suddenly', 'fail', 'tablet']","[0.758, 0.026, 0.024, 0.023, 0.017, 0.008, 0.006, 0.005, 0.005, 0.004]"
,,"['call', 'bad', 'happen', 'install', 'aps', 'unable', 'horrible', 'experience', 'audio', 'poor']","[0.169, 0.148, 0.097, 0.049, 0.031, 0.031, 0.023, 0.022, 0.021, 0.019]"
,,"['faceon', 'friend', 'hate', 'people', 'version', 'contact', 'thing', 'online', 'hour', 'active']","[0.179, 0.121, 0.076, 0.073, 0.07, 0.053, 0.028, 0.024, 0.023, 0.022]"
,,"['application', 'stop', 'crash', 'close', 'pop', 'force', 'restart', 'constantly', 'everytime', 'every_second']","[0.211, 0.13, 0.112, 0.093, 0.061, 0.057, 0.048, 0.048, 0.033, 0.029]"
,,"['notification', 'day', 'find', 'update', 'annoy', 'set', 'long', 'sound', 'ago', 'hear']","[0.14, 0.09, 0.053, 0.047, 0.036, 0.036, 0.031, 0.031, 0.025, 0.022]"
,,"['work', 'doe', 'delete', 'connect', 'properly', 'fine', 'wife', 'internet', 'even_though', 'connection']","[0.277, 0.123, 0.077, 0.076, 0.042, 0.042, 0.037, 0.037, 0.031, 0.029]"
,,"['application', 'open', 'time', 'glitch', 'multiple', 'every_single', 'uninstaling', 'garbage', 'stuff', 'disable']","[0.392, 0.232, 0.122, 0.032, 0.015, 0.011, 0.009, 0.008, 0.007, 0.006]"
,,"['update', 'feature', 'remove', 'anymore', 'chat_head', 'lag', 'add', 'android', 'reason', 'option']","[0.125, 0.073, 0.064, 0.048, 0.043, 0.035, 0.033, 0.031, 0.031, 0.027]"
,,"['fix', 'bug', 'error', 'show', 'soon_possible', 'camera', 'filter', 'crash', 'everytime', 'break']","[0.283, 0.105, 0.061, 0.045, 0.035, 0.029, 0.027, 0.025, 0.022, 0.022]"
,,"['problem', 'fix', 'give', 'star', 'thing', 'game', 'ap', 'hope', 'great', 'function']","[0.224, 0.159, 0.068, 0.055, 0.032, 0.03, 0.028, 0.027, 0.023, 0.021]"
,,"['change', 'color', 'chat', 'nickname', 'emosi', 'option', 'colour', 'disappear', 'blue', 'set']","[0.175, 0.129, 0.127, 0.124, 0.108, 0.043, 0.033, 0.022, 0.016, 0.016]"
