Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['change', 'nickname', 'make', 'letter', 'introduce', 'crashing', 'brazil', 'crash', 'restart', 'update']","[0.138, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034]","['update', 'suck', 'time', 'break', 'make', 'response', 'link', 'bad', 'simple', 'lie']","[0.488, 0.091, 0.051, 0.032, 0.029, 0.017, 0.012, 0.011, 0.011, 0.01]"
"['application', 'color', 'fix', 'position', 'reset', 'happen', 'time', 'note', 'show', 'impossible']","[0.156, 0.094, 0.094, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031]","['video', 'back', 'screen', 'bug', 'chat', 'turn', 'start', 'black', 'button', 'watch']","[0.258, 0.082, 0.072, 0.055, 0.053, 0.046, 0.037, 0.036, 0.033, 0.028]"
"['fix', 'color', 'respond', 'functionality', 'miss', 'big', 'instagram', 'real', 'ap', 'stay']","[0.324, 0.059, 0.059, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029]","['application', 'crash', 'stop', 'happen', 'freeze', 'constantly', 'lot', 'longer', 'group', 'matter']","[0.229, 0.115, 0.1, 0.086, 0.042, 0.036, 0.032, 0.024, 0.02, 0.019]"
"['problem', 'work', 'issue', 'text', 'anymore', 'cache', 'android', 'email', 'closing', 'message']","[0.212, 0.091, 0.061, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","['account', 'give', 'log', 'star', 'thing', 'back', 'wrong', 'lag', 'switch', 'feature']","[0.105, 0.08, 0.078, 0.06, 0.058, 0.058, 0.054, 0.046, 0.046, 0.028]"
"['messenger', 'bug', 'send', 'assume', 'emoji', 'io', 'type', 'lose', 'give', 'click']","[0.278, 0.083, 0.083, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028]","['messenger', 'stopped_working', 'report', 'int', 'feedback', 'exit', 'wth', 'close', 'kick', 'mark']","[0.784, 0.023, 0.022, 0.019, 0.013, 0.007, 0.006, 0.005, 0.005, 0.005]"
,,"['call', 'friend', 'good', 'people', 'view', 'horrible', 'year', 'person', 'miss', 'terrible']","[0.148, 0.132, 0.089, 0.068, 0.04, 0.032, 0.032, 0.03, 0.018, 0.018]"
,,"['time', 'change', 'pop', 'late', 'sound', 'chat_head', 'notification_sound', 'completely', 'minute', 'half']","[0.243, 0.087, 0.054, 0.051, 0.047, 0.039, 0.035, 0.028, 0.021, 0.019]"
,,"['message', 'notification', 'receive', 'read', 'text', 'check', 'reply', 'unread', 'request', 'unle']","[0.546, 0.1, 0.059, 0.044, 0.038, 0.023, 0.021, 0.016, 0.015, 0.013]"
,,"['open', 'application', 'close', 'error', 'keep_crashing', 'conversation', 'force_close', 'immediately', 'night', 'block']","[0.316, 0.272, 0.07, 0.061, 0.038, 0.018, 0.015, 0.014, 0.013, 0.009]"
,,"['phone', 'make', 'version', 'space', 'lite', 'end', 'reset', 'even_though', 'ap', 'trouble']","[0.319, 0.093, 0.091, 0.036, 0.027, 0.026, 0.024, 0.023, 0.023, 0.021]"
,,"['application', 'messaging', 'leave', 'waste', 'wait', 'separate', 'recently', 'file', 'recommend', 'manager']","[0.725, 0.02, 0.018, 0.014, 0.014, 0.013, 0.013, 0.011, 0.008, 0.008]"
,,"['fix', 'problem', 'please_fix', 'soon_possible', 'experience', 'hope', 'lose', 'big', 'hang', 'solve']","[0.22, 0.213, 0.112, 0.034, 0.029, 0.028, 0.021, 0.018, 0.018, 0.016]"
,,"['faceon', 'hate', 'slow', 'force', 'stupid', 'access', 'service', 'month', 'permission', 'rating']","[0.298, 0.078, 0.068, 0.045, 0.043, 0.033, 0.021, 0.015, 0.012, 0.011]"
,,"['download', 'bad', 'load', 'anymore', 'respond', 'reason', 'internet', 'poor', 'connection', 'aps']","[0.208, 0.121, 0.072, 0.048, 0.035, 0.034, 0.032, 0.03, 0.03, 0.03]"
,,"['show', 'issue', 'delete', 'contact', 'annoying', 'remove', 'online', 'active', 'click', 'set']","[0.115, 0.103, 0.096, 0.068, 0.061, 0.054, 0.046, 0.026, 0.022, 0.022]"
,,"['install', 'instal', 'deinstal', 'uninstale', 'android', 'unable', 'fail', 'add', 'unload', 'disappear']","[0.216, 0.186, 0.058, 0.055, 0.042, 0.036, 0.023, 0.022, 0.02, 0.02]"
,,"['send', 'photo', 'picture', 'long', 'option', 'find', 'recent', 'search', 'gallery', 'choose']","[0.266, 0.075, 0.051, 0.044, 0.043, 0.034, 0.031, 0.021, 0.019, 0.018]"
,,"['work', 'doe', 'story', 'properly', 'fine', 'annoy', 'single', 'icon', 'ill', 'piss']","[0.426, 0.23, 0.06, 0.042, 0.038, 0.019, 0.015, 0.01, 0.008, 0.007]"
,,"['play', 'game', 'voice', 'restart', 'datum', 'connect', 'device', 'clear', 'hour', 'mobile']","[0.152, 0.118, 0.078, 0.043, 0.04, 0.033, 0.032, 0.031, 0.03, 0.03]"
,,"['update', 'day', 'yesterday', 'ever_since', 'week', 'today', 'past', 'everyday', 'auto', 'act']","[0.579, 0.093, 0.026, 0.026, 0.025, 0.023, 0.014, 0.01, 0.008, 0.008]"
