quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('demand', 'speak', 'someone', 'help')",7,"('this', 'application', 'this', 'application')",10.0
"('speak', 'someone', 'help', 'problem')",7,"('please', 'fix', 'this', 'issue')",8.0
"('someone', 'help', 'problem', 'patient')",7,"('faceon', 'application', 'faceon', 'application')",7.0
"('help', 'problem', 'patient', 'patient')",7,"('doe', 'not', 'work', 'properly')",6.0
"('problem', 'patient', 'patient', 'account')",7,"('application', 'doe', 'not', 'work')",6.0
"('patient', 'patient', 'account', 'blocked')",7,"('not', 'want', 'see', 'this')",6.0
"('patient', 'account', 'blocked', 'sometime')",7,"('not', 'like', 'new', 'update')",6.0
"('account', 'blocked', 'sometime', 'blocked')",7,"('this', 'application', 'doe', 'not')",5.0
"('blocked', 'sometime', 'blocked', 'time')",7,"('please', 'fix', 'this', 'application')",5.0
"('sometime', 'blocked', 'time', 'increased')",7,"('since', 'last', 'update', 'not')",5.0
"('blocked', 'time', 'increased', 'post')",7,"('please', 'fix', 'this', 'bug')",5.0
"('time', 'increased', 'post', 'everyday')",7,"('not', 'get', 'back', 'in')",5.0
"('increased', 'post', 'everyday', 'get')",7,"('people', 'may', 'know', 'notification')",5.0
"('post', 'everyday', 'get', 'help')",7,,
"('please', 'look', 'into', 'this')",5,,
