trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('please', 'fix', 'this')",71.0,"('please', 'fix', 'this')",155
"('not', 'log', 'in')",60.0,"('doe', 'not', 'work')",105
"('fix', 'this', 'problem')",32.0,"('not', 'log', 'in')",92
"('fix', 'soon', 'possible')",32.0,"('this', 'application', 'not')",75
"('fix', 'this', 'shit')",29.0,"('since', 'last', 'update')",49
"('please', 'fix', 'soon')",28.0,"('new', 'update', 'not')",44
"('issue', 'soon', 'possible')",27.0,"('log', 'back', 'in')",44
"('fix', 'this', 'soon')",27.0,"('not', 'working', 'properly')",43
"('fix', 'this', 'issue')",26.0,"('not', 'post', 'anything')",42
"('not', 'log', 'into')",26.0,"('not', 'unload', 'photo')",39
"('not', 'post', 'anything')",24.0,"('application', 'doe', 'not')",38
"('gon', 'na', 'fix')",23.0,"('this', 'new', 'update')",38
"('this', 'soon', 'possible')",23.0,"('not', 'post', 'comment')",37
"('keep', 'getting', 'error')",21.0,"('not', 'let', 'post')",36
"('resolve', 'this', 'issue')",20.0,"('not', 'even', 'log')",36
"('still', 'not', 'log')",19.0,"('fix', 'this', 'problem')",33
"('fix', 'fix', 'fix')",19.0,"('this', 'application', 'this')",32
"('log', 'into', 'account')",17.0,"('faceon', 'not', 'working')",31
"('need', 'fix', 'this')",17.0,"('application', 'not', 'let')",30
"('soon', 'possible', 'not')",17.0,"('application', 'not', 'working')",30
"('please', 'fix', 'facebok')",16.0,"('update', 'this', 'application')",29
"('please', 'fix', 'issue')",16.0,"('application', 'this', 'application')",28
"('anyone', 'else', 'having')",16.0,"('faceon', 'application', 'not')",27
"('still', 'not', 'working')",16.0,"('application', 'keep', 'crashing')",27
"('still', 'not', 'post')",16.0,"('doe', 'not', 'show')",27
"('keep', 'saying', 'error')",15.0,"('not', 'let', 'log')",26
"('log', 'in', 'facebok')",15.0,"('fix', 'this', 'issue')",25
"('resolve', 'issue', 'soon')",15.0,"('fix', 'soon', 'possible')",25
"('something', 'went', 'wrong')",15.0,"('update', 'doe', 'not')",25
"('working', 'resolve', 'issue')",15.0,"('market', 'place', 'not')",25
"('log', 'into', 'facebok')",14.0,"('in', 'this', 'application')",24
"('not', 'related', 'attack')",14.0,"('not', 'comment', 'post')",23
"('not', 'get', 'into')",13.0,"('fix', 'this', 'application')",23
"('getting', 'this', 'error')",13.0,"('update', 'not', 'post')",23
"('fix', 'this', 'please')",13.0,"('please', 'fix', 'faceon')",23
"('getting', 'error', 'message')",13.0,"('even', 'log', 'in')",23
"('having', 'this', 'issue')",12.0,"('news', 'feed', 'not')",23
"('else', 'having', 'this')",12.0,"('not', 'get', 'into')",23
"('having', 'trouble', 'accessing')",12.0,"('please', 'fix', 'soon')",22
"('not', 'post', 'comment')",12.0,"('let', 'log', 'in')",22
"('log', 'back', 'in')",12.0,"('this', 'application', 'suck')",21
"('doe', 'not', 'work')",11.0,"('something', 'went', 'wrong')",21
"('in', 'facebok', 'account')",11.0,"('not', 'work', 'not')",21
"('issue', 'please', 'fix')",11.0,"('log', 'in', 'account')",21
"('solve', 'this', 'problem')",11.0,"('back', 'in', 'hour')",21
"('still', 'not', 'get')",11.0,"('fix', 'this', 'not')",21
"('not', 'fix', 'problem')",11.0,"('in', 'faceon', 'application')",21
"('fix', 'yo', 'shit')",11.0,"('change', 'cover', 'photo')",21
"('having', 'this', 'problem')",11.0,"('last', 'update', 'not')",20
"('please', 'fix', 'problem')",11.0,"('this', 'application', 'keep')",20
"('get', 'shit', 'together')",11.0,"('new', 'update', 'suck')",20
"('getting', 'error', 'code')",11.0,"('worst', 'application', 'ever')",20
"('hurry', 'fix', 'this')",11.0,"('log', 'in', 'faceon')",19
"('not', 'even', 'log')",11.0,"('faceon', 'not', 'let')",19
"('having', 'trouble', 'logging')",10.0,"('not', 'let', 'comment')",19
"('this', 'issue', 'soon')",10.0,"('fix', 'this', 'soon')",19
"('please', 'resolve', 'this')",10.0,"('this', 'soon', 'possible')",19
"('facebok', 'fix', 'this')",10.0,"('this', 'last', 'update')",19
"('still', 'having', 'trouble')",10.0,"('doe', 'not', 'load')",19
"('hope', 'fix', 'soon')",10.0,"('since', 'update', 'not')",19
"('not', 'comment', 'post')",10.0,"('use', 'this', 'application')",19
"('facebok', 'please', 'fix')",10.0,"('since', 'new', 'update')",18
"('even', 'log', 'in')",10.0,"('application', 'not', 'open')",18
"('not', 'send', 'photo')",10.0,"('every', 'time', 'try')",18
"('still', 'not', 'login')",9.0,"('not', 'working', 'not')",18
"('facebok', 'account', 'not')",9.0,"('not', 'see', 'comment')",17
"('yal', 'need', 'fix')",9.0,"('log', 'into', 'account')",17
"('fix', 'this', 'not')",9.0,"('update', 'not', 'let')",17
"('unable', 'log', 'in')",9.0,"('in', 'news', 'feed')",17
"('fix', 'please', 'fix')",9.0,"('faceon', 'doe', 'not')",17
"('problem', 'soon', 'possible')",9.0,"('not', 'change', 'cover')",17
"('fix', 'issue', 'not')",9.0,"('not', 'open', 'faceon')",17
"('not', 'able', 'post')",9.0,"('doe', 'not', 'let')",17
"('hour', 'still', 'not')",9.0,"('please', 'fix', 'application')",16
"('this', 'issue', 'fixed')",9.0,"('not', 'let', 'like')",16
"('focused', 'working', 'resolve')",9.0,"('update', 'faceon', 'application')",16
"('issue', 'not', 'related')",9.0,"('not', 'even', 'post')",16
"('not', 'fix', 'this')",9.0,"('post', 'anything', 'not')",16
"('not', 'post', 'not')",9.0,"('not', 'large', 'enough')",15
"('this', 'error', 'message')",8.0,"('this', 'application', 'still')",15
"('keep', 'getting', 'this')",8.0,"('not', 'able', 'post')",15
"('not', 'access', 'account')",8.0,"('faceon', 'please', 'fix')",15
"('na', 'fix', 'this')",8.0,"('not', 'comment', 'like')",15
"('please', 'look', 'into')",8.0,"('not', 'unload', 'picture')",15
"('still', 'having', 'issue')",8.0,"('not', 'get', 'back')",15
"('not', 'access', 'facebok')",8.0,"('keep', 'getting', 'worse')",15
"('not', 'login', 'facebok')",8.0,"('faceon', 'not', 'responding')",15
"('not', 'log', 'back')",8.0,"('not', 'log', 'into')",15
"('not', 'even', 'login')",8.0,"('photo', 'in', 'group')",15
"('please', 'please', 'fix')",8.0,"('instal', 'this', 'application')",14
"('confirm', 'issue', 'not')",8.0,"('please', 'fix', 'not')",14
"('trouble', 'accessing', 'facebok')",8.0,"('hate', 'this', 'application')",14
"('soon', 'possible', 'please')",8.0,"('log', 'in', 'not')",14
"('this', 'problem', 'please')",7.0,"('this', 'faceon', 'application')",14
"('please', 'not', 'fix')",7.0,"('not', 'even', 'get')",14
"('still', 'not', 'access')",7.0,"('marketplace', 'doe', 'not')",14
"('not', 'able', 'access')",7.0,"('not', 'able', 'log')",13
"('guy', 'please', 'fix')",7.0,"('post', 'comment', 'like')",13
"('able', 'log', 'in')",7.0,"('not', 'log', 'back')",13
"('log', 'in', 'not')",7.0,"('not', 'work', 'properly')",13
"('ops', 'something', 'went')",7.0,"('latest', 'update', 'not')",13
"('log', 'in', 'account')",7.0,"('not', 'like', 'post')",13
"('code', 'please', 'fix')",7.0,"('application', 'not', 'even')",13
"('still', 'having', 'problem')",7.0,"('let', 'post', 'anything')",13
"('going', 'fix', 'this')",7.0,"('update', 'application', 'not')",13
"('this', 'issue', 'resolved')",7.0,"('doe', 'not', 'allow')",13
"('hour', 'later', 'still')",7.0,"('delete', 'this', 'application')",13
"('doe', 'take', 'fix')",7.0,"('problem', 'this', 'application')",13
"('problem', 'please', 'fix')",7.0,"('still', 'not', 'log')",13
"('error', 'code', 'not')",7.0,"('every', 'time', 'open')",13
"('not', 'upload', 'photo')",7.0,"('worst', 'update', 'ever')",13
"('issue', 'not', 'able')",7.0,"('application', 'please', 'fix')",13
"('not', 'post', 'facebok')",6.0,"('trying', 'log', 'in')",12
"('please', 'fix', 'account')",6.0,"('using', 'this', 'application')",12
"('resolve', 'this', 'problem')",6.0,"('post', 'please', 'fix')",12
"('this', 'issue', 'facebok')",6.0,"('update', 'not', 'see')",12
"('please', 'help', 'not')",6.0,"('this', 'application', 'doe')",12
"('fix', 'problem', 'facebok')",6.0,"('not', 'use', 'faceon')",12
"('able', 'get', 'back')",6.0,"('like', 'comment', 'post')",12
"('this', 'issue', 'not')",6.0,"('not', 'comment', 'not')",12
"('get', 'back', 'in')",6.0,"('keep', 'getting', 'error')",12
"('this', 'issue', 'please')",6.0,"('comment', 'post', 'not')",12
"('issue', 'logging', 'in')",6.0,"('this', 'application', 'get')",12
"('fix', 'log', 'in')",6.0,"('please', 'fix', 'problem')",12
"('soon', 'possible', 'fix')",6.0,"('tried', 'uninstaling', 'installing')",12
"('not', 'get', 'in')",6.0,"('faceon', 'new', 'update')",12
