trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('brokeface', 'brokeface', 'brokeface')",84.0,"('doe', 'not', 'work')",73
"('please', 'fix', 'this')",18.0,"('please', 'fix', 'this')",71
"('fix', 'this', 'problem')",11.0,"('application', 'keep', 'crashing')",57
"('not', 'log', 'in')",9.0,"('since', 'last', 'update')",43
"('fix', 'soon', 'possible')",8.0,"('this', 'application', 'not')",40
"('fix', 'this', 'please')",8.0,"('not', 'log', 'in')",38
"('doe', 'not', 'work')",8.0,"('application', 'doe', 'not')",35
"('anyone', 'else', 'having')",7.0,"('doe', 'not', 'load')",34
"('keep', 'getting', 'error')",7.0,"('every', 'time', 'open')",31
"('problem', 'soon', 'possible')",7.0,"('not', 'working', 'properly')",27
"('get', 'in', 'touch')",7.0,"('application', 'not', 'working')",26
"('news', 'feed', 'issue')",7.0,"('say', 'not', 'connect')",23
"('please', 'look', 'into')",6.0,"('update', 'this', 'application')",23
"('fix', 'this', 'issue')",6.0,"('application', 'this', 'application')",22
"('hundred', 'personal', 'post')",6.0,"('this', 'application', 'keep')",20
"('personal', 'post', 'facebok')",6.0,"('time', 'open', 'application')",19
"('post', 'facebok', 'page')",6.0,"('new', 'update', 'not')",19
"('facebok', 'page', 'group')",6.0,"('faceon', 'doe', 'not')",19
"('page', 'group', 'jai')",6.0,"('faceon', 'not', 'working')",18
"('group', 'jai', 'shri')",6.0,"('this', 'application', 'this')",18
"('jai', 'shri', 'baba')",6.0,"('this', 'application', 'suck')",18
"('shri', 'baba', 'gangaram')",6.0,"('last', 'update', 'not')",18
"('baba', 'gangaram', 'got')",6.0,"('application', 'keep', 'closing')",18
"('gangaram', 'got', 'deleted')",6.0,"('faceon', 'application', 'not')",17
"('got', 'deleted', 'since')",6.0,"('please', 'fix', 'not')",17
"('deleted', 'since', 'faced')",6.0,"('this', 'new', 'update')",17
"('since', 'faced', 'configuration')",6.0,"('bring', 'back', 'old')",17
"('faced', 'configuration', 'issue')",6.0,"('news', 'feed', 'not')",16
"('configuration', 'issue', 'please')",6.0,"('keep', 'crashing', 'not')",16
"('issue', 'please', 'check')",6.0,"('update', 'doe', 'not')",15
"('please', 'check', 'restore')",6.0,"('doe', 'not', 'show')",15
"('check', 'restore', 'this')",6.0,"('post', 'day', 'ago')",15
"('restore', 'this', 'regular')",6.0,"('update', 'application', 'keep')",15
"('this', 'regular', 'normal')",6.0,"('not', 'work', 'properly')",14
"('regular', 'normal', 'post')",6.0,"('please', 'fix', 'soon')",14
"('please', 'check', 'help')",6.0,"('application', 'please', 'fix')",14
"('get', 'shit', 'together')",6.0,"('in', 'this', 'application')",14
"('took', 'in', 'advertising')",6.0,"('everytime', 'open', 'application')",14
"('in', 'advertising', 'disabled')",6.0,"('feed', 'doe', 'not')",14
"('advertising', 'disabled', 'account')",6.0,"('not', 'get', 'notification')",14
"('disabled', 'account', 'due')",6.0,"('not', 'open', 'faceon')",14
"('account', 'due', 'mistaken')",6.0,"('this', 'application', 'doe')",14
"('due', 'mistaken', 'intellectual')",6.0,"('not', 'see', 'post')",14
"('mistaken', 'intellectual', 'right')",6.0,"('update', 'not', 'open')",14
"('intellectual', 'right', 'report')",6.0,"('not', 'work', 'not')",13
"('right', 'report', 'company')",6.0,"('fix', 'soon', 'possible')",13
"('report', 'company', 'even')",6.0,"('since', 'new', 'update')",13
"('company', 'even', 'told')",6.0,"('new', 'update', 'suck')",13
"('even', 'told', 'mistake')",6.0,"('application', 'not', 'open')",13
"('told', 'mistake', 'notice')",6.0,"('fix', 'this', 'application')",12
"('mistake', 'notice', 'havent')",6.0,"('not', 'load', 'comment')",12
