trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('please', 'fix', 'this')",3,"('doe', 'not', 'work')",18.0
"('far', 'superior', 'guy')",2,"('not', 'working', 'properly')",10.0
"('superior', 'guy', 'google')",2,"('please', 'fix', 'this')",9.0
"('guy', 'google', 'google')",2,"('gole', 'not', 'working')",7.0
"('google', 'google', 'map')",2,"('gole', 'search', 'bar')",7.0
"('google', 'map', 'possibly')",2,"('this', 'application', 'not')",6.0
"('map', 'possibly', 'this')",2,"('gole', 'search', 'application')",6.0
"('possibly', 'this', 'bad')",2,"('use', 'this', 'application')",6.0
"('this', 'bad', 'also')",2,"('not', 'use', 'this')",5.0
"('bad', 'also', 'monopoly')",2,"('gole', 'assistant', 'not')",5.0
"('also', 'monopoly', 'waze')",2,"('new', 'update', 'gole')",5.0
"('monopoly', 'waze', 'not')",2,"('gole', 'assistant', 'application')",4.0
"('waze', 'not', 'default')",2,"('since', 'last', 'update')",4.0
"('not', 'default', 'map')",2,"('update', 'completely', 'disabled')",4.0
"('default', 'map', 'application')",2,"('completely', 'disabled', 'assistant')",4.0
"('map', 'application', 'step')",2,"('this', 'application', 'this')",4.0
"('application', 'step', 'game')",2,"('using', 'this', 'application')",4.0
"('step', 'game', 'not')",2,"('this', 'application', 'cause')",4.0
"('game', 'not', 'able')",2,"('update', 'gole', 'search')",4.0
"('not', 'able', 'force')",2,"('bad', 'bad', 'bad')",4.0
"('able', 'force', 'people')",2,"('gole', 'stopped', 'working')",4.0
"('force', 'people', 'forever')",2,"('running', 'anything', 'related')",4.0
"('application', 'update', 'while')",2,"('anything', 'related', 'this')",4.0
"('update', 'while', 'in')",2,,
"('while', 'in', 'use')",2,,
"('please', 'fix', 'issue')",2,,
"('google', 'application', 'broken')",2,,
"('access', 'google', 'authenticator')",2,,
