quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('team', 'aware', 'issue', 'working')",18,"('this', 'application', 'this', 'application')",22.0
"('aware', 'issue', 'working', 'fixing')",18,"('application', 'doe', 'not', 'work')",15.0
"('thanks', 'reporting', 'this', 'team')",17,"('this', 'application', 'doe', 'not')",12.0
"('reporting', 'this', 'team', 'aware')",17,"('something', 'went', 'wrong', 'not')",10.0
"('this', 'team', 'aware', 'issue')",17,"('wrong', 'not', 'get', 'direction')",10.0
"('issue', 'working', 'fixing', 'hi')",13,"('not', 'get', 'direction', 'right')",10.0
"('glad', 'hear', 'issue', 'resolved')",4,"('map', 'doe', 'not', 'work')",9.0
"('hear', 'issue', 'resolved', 'feel')",4,"('went', 'wrong', 'not', 'get')",9.0
"('issue', 'resolved', 'feel', 'free')",4,"('used', 'love', 'this', 'application')",9.0
"('resolved', 'feel', 'free', 'reach')",4,"('doe', 'not', 'work', 'properly')",8.0
"('feel', 'free', 'reach', 'question')",4,"('fix', 'this', 'soon', 'possible')",7.0
"('working', 'fixing', 'hi', 'thanks')",4,"('application', 'doe', 'not', 'show')",7.0
"('fixing', 'hi', 'thanks', 'reporting')",4,"('not', 'working', 'properly', 'not')",6.0
"('hi', 'thanks', 'reporting', 'this')",4,"('map', 'not', 'working', 'properly')",6.0
"('repair', 'reputation', 'top', 'tip')",3,"('application', 'not', 'working', 'properly')",6.0
"('reputation', 'top', 'tip', 'trick')",3,"('gole', 'map', 'still', 'showing')",6.0
"('top', 'tip', 'trick', 'triumph')",3,"('map', 'doe', 'not', 'show')",6.0
"('tip', 'trick', 'triumph', 'goglemaps')",3,"('still', 'doe', 'not', 'work')",5.0
"('trick', 'triumph', 'goglemaps', 'seoexpert')",3,"('please', 'fix', 'this', 'soon')",5.0
"('triumph', 'goglemaps', 'seoexpert', 'reputation')",3,"('say', 'gps', 'signal', 'lost')",5.0
"('goglemaps', 'seoexpert', 'reputation', 'orm')",3,"('this', 'application', 'not', 'working')",5.0
"('seoexpert', 'reputation', 'orm', 'career')",3,"('last', 'update', 'doe', 'not')",5.0
"('reputation', 'orm', 'career', 'sale')",3,"('please', 'fix', 'this', 'issue')",5.0
"('reported', 'this', 'engineering', 'team')",3,,
"('this', 'engineering', 'team', 'working')",3,,
"('engineering', 'team', 'working', 'fixing')",3,,
"('team', 'working', 'fixing', 'appreciate')",3,,
"('working', 'fixing', 'appreciate', 'patience')",3,,
"('could', 'remote', 'island', 'goglemaps')",3,,
"('remote', 'island', 'goglemaps', 'key')",3,,
"('island', 'goglemaps', 'key', 'famous')",3,,
"('goglemaps', 'key', 'famous', 'mysterious')",3,,
"('key', 'famous', 'mysterious', 'plane')",3,,
"('famous', 'mysterious', 'plane', 'crash')",3,,
