trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('team', 'aware', 'issue')",28,"('team', 'aware', 'issue')",28.0
"('aware', 'issue', 'working')",28,"('aware', 'issue', 'working')",28.0
"('thanks', 'reporting', 'this')",27,"('thanks', 'reporting', 'this')",27.0
"('reporting', 'this', 'team')",27,"('reporting', 'this', 'team')",27.0
"('this', 'team', 'aware')",27,"('this', 'team', 'aware')",27.0
"('issue', 'working', 'fixing')",27,"('issue', 'working', 'fixing')",27.0
"('working', 'fixing', 'hi')",22,"('working', 'fixing', 'hi')",22.0
"('hi', 'thanks', 'reporting')",10,"('hi', 'thanks', 'reporting')",10.0
"('fixing', 'hi', 'thanks')",8,"('fixing', 'hi', 'thanks')",8.0
"('this', 'issue', 'fixed')",6,"('this', 'issue', 'fixed')",6.0
"('issue', 'fixed', 'feel')",6,"('issue', 'fixed', 'feel')",6.0
"('fixed', 'feel', 'free')",6,"('fixed', 'feel', 'free')",6.0
"('feel', 'free', 'reach')",6,"('feel', 'free', 'reach')",6.0
"('free', 'reach', 'question')",6,"('free', 'reach', 'question')",6.0
"('reach', 'question', 'hi')",5,"('reach', 'question', 'hi')",5.0
"('please', 'fix', 'this')",4,,
"('map', 'let', 'know')",4,,
"('not', 'add', 'place')",4,,
"('google', 'map', 'let')",3,,
"('one', 'want', 'fix')",3,,
"('want', 'fix', 'this')",3,,
"('fix', 'this', 'google')",3,,
"('this', 'google', 'missing')",3,,
"('google', 'missing', 'street')",3,,
"('missing', 'street', 'affecting')",3,,
"('street', 'affecting', 'use')",3,,
"('affecting', 'use', 'gps')",3,,
"('use', 'gps', 'drive')",3,,
"('gps', 'drive', 'not')",3,,
"('drive', 'not', 'add')",3,,
"('add', 'place', 'add')",3,,
"('place', 'add', 'place')",3,,
"('add', 'place', 'road')",3,,
"('place', 'road', 'not')",3,,
"('road', 'not', 'exist')",3,,
"('not', 'exist', 'in')",3,,
"('exist', 'in', 'system')",3,,
"('in', 'system', 'in')",3,,
"('system', 'in', 'apple')",3,,
"('in', 'apple', 'map')",3,,
"('repair', 'reputation', 'top')",3,,
"('reputation', 'top', 'tip')",3,,
"('top', 'tip', 'trick')",3,,
"('tip', 'trick', 'triumph')",3,,
"('trick', 'triumph', 'goglemaps')",3,,
"('triumph', 'goglemaps', 'seoexpert')",3,,
"('goglemaps', 'seoexpert', 'reputation')",3,,
"('seoexpert', 'reputation', 'orm')",3,,
"('reputation', 'orm', 'career')",3,,
"('orm', 'career', 'sale')",3,,
"('see', 'later', 'de')",3,,
"('later', 'de', 'sac')",3,,
