trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('snapchat', 'unable', 'unlock', 'account')",665,"('this', 'application', 'this', 'application')",35.0
"('unable', 'unlock', 'account', 'this')",665,"('not', 'let', 'log', 'in')",22.0
"('team', 'snapchat', 'unable', 'unlock')",664,"('new', 'update', 'doe', 'not')",18.0
"('unlock', 'account', 'this', 'time')",664,"('please', 'fix', 'soon', 'possible')",17.0
"('generic', 'login', 'error', 'message')",661,"('fix', 'this', 'soon', 'possible')",17.0
"('login', 'error', 'message', 'check')",661,"('please', 'fix', 'this', 'issue')",16.0
"('error', 'message', 'check', 'this')",661,"('front', 'facing', 'camera', 'zoomed')",14.0
"('message', 'check', 'this', 'link')",661,"('camera', 'zoomed', 'in', 'not')",14.0
"('learn', 'team', 'snapchat', 'unable')",660,"('please', 'fix', 'this', 'problem')",14.0
"('seeing', 'generic', 'login', 'error')",660,"('front', 'camera', 'zoomed', 'in')",13.0
"('account', 'this', 'time', 'seeing')",659,"('facing', 'camera', 'zoomed', 'in')",13.0
"('this', 'time', 'seeing', 'generic')",659,"('camera', 'way', 'zoomed', 'in')",13.0
"('time', 'seeing', 'generic', 'login')",659,"('this', 'application', 'doe', 'not')",12.0
"('locked', 'learn', 'team', 'snapchat')",657,"('please', 'fix', 'this', 'soon')",11.0
"('reason', 'account', 'could', 'locked')",656,"('ever', 'since', 'last', 'update')",11.0
"('account', 'could', 'locked', 'learn')",656,"('please', 'fix', 'this', 'not')",11.0
"('could', 'locked', 'learn', 'team')",656,"('ops', 'something', 'went', 'wrong')",10.0
"('hey', 'reason', 'account', 'could')",447,"('application', 'not', 'even', 'open')",10.0
"('check', 'this', 'link', 'hey')",184,"('please', 'fix', 'this', 'application')",10.0
"('login', 'see', 'error', 'message')",139,"('camera', 'super', 'zoomed', 'in')",10.0
"('account', 'login', 'see', 'error')",138,"('something', 'went', 'wrong', 'please')",9.0
"('see', 'error', 'message', 'log')",138,"('went', 'wrong', 'please', 'try')",9.0
"('error', 'message', 'log', 'in')",138,"('this', 'new', 'update', 'not')",9.0
"('select', 'account', 'login', 'see')",137,"('front', 'camera', 'super', 'zoomed')",9.0
"('reach', 'select', 'account', 'login')",132,"('camera', 'zoomed', 'in', 'way')",9.0
"('please', 'reach', 'select', 'account')",125,"('not', 'like', 'new', 'update')",9.0
"('message', 'log', 'in', 'select')",103,"('this', 'application', 'not', 'let')",9.0
"('log', 'in', 'select', 'yes')",103,"('not', 'let', 'post', 'story')",9.0
"('in', 'select', 'yes', 'submit')",103,"('new', 'filter', 'not', 'working')",9.0
"('this', 'link', 'hey', 'reason')",102,"('not', 'even', 'open', 'application')",8.0
"('link', 'hey', 'reason', 'account')",102,"('please', 'fix', 'this', 'snapshot')",8.0
"('select', 'yes', 'submit', 'support')",96,"('still', 'doe', 'not', 'work')",8.0
"('yes', 'submit', 'support', 'ticket')",96,"('since', 'last', 'update', 'not')",8.0
"('get', 'back', 'via', 'email')",64,"('zoomed', 'in', 'please', 'fix')",8.0
"('team', 'get', 'back', 'via')",63,"('doe', 'not', 'work', 'not')",8.0
"('via', 'email', 'soon', 'possible')",57,"('please', 'fix', 'this', 'this')",8.0
"('back', 'via', 'email', 'soon')",56,"('not', 'download', 'this', 'application')",8.0
"('member', 'team', 'get', 'back')",52,"('please', 'fix', 'this', 'bug')",8.0
"('ticket', 'member', 'team', 'get')",51,"('filter', 'doe', 'not', 'work')",8.0
"('check', 'this', 'link', 'snapchat')",48,"('camera', 'doe', 'not', 'work')",7.0
"('submit', 'support', 'ticket', 'member')",48,"('ever', 'since', 'new', 'update')",7.0
"('support', 'ticket', 'member', 'team')",48,"('say', 'something', 'went', 'wrong')",7.0
"('see', 'error', 'message', 'attempting')",42,"('application', 'not', 'working', 'properly')",6.0
"('error', 'message', 'attempting', 'login')",42,"('doe', 'not', 'work', 'this')",6.0
"('sorry', 'hear', 'having', 'trouble')",38,"('love', 'this', 'application', 'this')",6.0
"('login', 'please', 'reach', 'select')",36,"('hate', 'this', 'new', 'update')",6.0
"('message', 'attempting', 'login', 'please')",35,"('issue', 'front', 'facing', 'camera')",6.0
"('still', 'having', 'trouble', 'please')",34,"('doe', 'not', 'work', 'well')",6.0
"('attempting', 'login', 'please', 'reach')",34,"('not', 'select', 'multiple', 'snap')",6.0
"('having', 'trouble', 'please', 'reach')",32,"('application', 'this', 'new', 'update')",6.0
"('trouble', 'please', 'reach', 'select')",32,"('snapshot', 'camera', 'zoomed', 'in')",6.0
"('having', 'trouble', 'adding', 'friend')",27,"('not', 'let', 'sign', 'in')",6.0
"('snapchat', 'account', 'limited', 'having')",26,"('hate', 'new', 'update', 'not')",6.0
"('account', 'limited', 'having', 'friend')",26,"('new', 'update', 'new', 'update')",6.0
"('limited', 'having', 'friend', 'time')",26,"('not', 'letting', 'log', 'in')",6.0
"('limit', 'many', 'people', 'add')",26,"('update', 'doe', 'not', 'allow')",6.0
