trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('still', 'having', 'trouble')",28.0,"('please', 'fix', 'this')",235
"('having', 'trouble', 'please')",23.0,"('this', 'new', 'update')",225
"('trouble', 'please', 'reach')",23.0,"('new', 'update', 'not')",181
"('see', 'error', 'message')",19.0,"('new', 'update', 'suck')",115
"('take', 'hour', 'reactivated')",18.0,"('doe', 'not', 'work')",96
"('hour', 'reactivated', 'try')",18.0,"('update', 'new', 'update')",72
"('reactivated', 'try', 'waiting')",18.0,"('hate', 'new', 'update')",61
"('try', 'waiting', 'day')",18.0,"('since', 'new', 'update')",56
"('waiting', 'day', 'trying')",18.0,"('update', 'doe', 'not')",56
"('day', 'trying', 'still')",18.0,"('like', 'new', 'update')",53
"('trying', 'still', 'having')",18.0,"('love', 'this', 'application')",53
"('having', 'trouble', 'adding')",17.0,"('new', 'update', 'new')",53
"('select', 'account', 'login')",17.0,"('not', 'like', 'new')",49
"('sorry', 'hear', 'trouble')",17.0,"('this', 'application', 'not')",48
"('trouble', 'adding', 'friend')",16.0,"('update', 'not', 'let')",48
"('hope', 'this', 'help')",16.0,"('this', 'application', 'this')",45
"('account', 'sometimes', 'take')",16.0,"('doe', 'not', 'let')",44
"('reach', 'select', 'account')",16.0,"('new', 'update', 'doe')",43
"('adding', 'friend', 'make')",15.0,"('application', 'this', 'application')",42
"('friend', 'make', 'sure')",15.0,"('doe', 'not', 'show')",39
"('make', 'sure', 'strong')",15.0,"('new', 'update', 'horrible')",38
"('sure', 'strong', 'network')",15.0,"('application', 'doe', 'not')",38
"('please', 'note', 'snapchat')",15.0,"('fix', 'this', 'soon')",36
"('note', 'snapchat', 'account')",15.0,"('new', 'update', 'terrible')",35
"('snapchat', 'account', 'limited')",15.0,"('since', 'last', 'update')",35
"('account', 'limited', 'having')",15.0,"('fix', 'new', 'update')",33
"('limited', 'having', 'friend')",15.0,"('use', 'this', 'application')",33
"('having', 'friend', 'time')",15.0,"('update', 'suck', 'not')",32
"('friend', 'time', 'however')",15.0,"('picture', 'camera', 'roll')",30
"('time', 'however', 'limit')",15.0,"('application', 'keep', 'crashing')",29
"('however', 'limit', 'many')",15.0,"('every', 'time', 'try')",29
"('limit', 'many', 'people')",15.0,"('snapshot', 'new', 'update')",28
"('many', 'people', 'add')",15.0,"('application', 'new', 'update')",28
"('sometimes', 'take', 'hour')",15.0,"('camera', 'roll', 'eye')",27
"('please', 'fix', 'this')",15.0,"('new', 'update', 'trash')",27
"('strong', 'network', 'entering')",14.0,"('not', 'send', 'snap')",27
"('network', 'entering', 'username')",14.0,"('this', 'last', 'update')",26
"('entering', 'username', 'correctly')",14.0,"('fix', 'this', 'issue')",26
"('username', 'correctly', 'please')",14.0,"('take', 'forever', 'load')",26
"('correctly', 'please', 'note')",14.0,"('update', 'this', 'application')",25
"('people', 'add', 'hope')",14.0,"('snapshot', 'doe', 'not')",25
"('add', 'hope', 'this')",14.0,"('please', 'fix', 'new')",24
"('account', 'login', 'see')",14.0,"('new', 'update', 'snapshot')",24
"('login', 'see', 'error')",14.0,"('application', 'not', 'let')",24
"('deactivating', 'account', 'sometimes')",13.0,"('new', 'snapshot', 'update')",24
"('please', 'reach', 'select')",13.0,"('new', 'update', 'bad')",24
"('error', 'message', 'log')",13.0,"('fix', 'this', 'application')",24
"('message', 'log', 'in')",13.0,"('go', 'back', 'old')",24
"('snapchat', 'memory', 'never')",13.0,"('this', 'soon', 'possible')",23
"('memory', 'never', 'fail')",13.0,"('application', 'please', 'fix')",23
"('look', 'into', 'this')",12.0,"('not', 'save', 'story')",23
"('hey', 'sorry', 'hear')",10.0,"('not', 'let', 'log')",23
"('help', 'investigate', 'issue')",10.0,"('every', 'time', 'open')",23
"('hey', 'having', 'trouble')",8.0,"('new', 'update', 'make')",23
"('hear', 'trouble', 'dm')",8.0,"('last', 'update', 'not')",23
"('never', 'fail', 'remind')",8.0,"('fix', 'this', 'problem')",23
"('hey', 'seems', 'trouble')",7.0,"('update', 'please', 'fix')",23
"('prohibit', 'use', 'unauthorized')",7.0,"('doe', 'not', 'even')",23
"('use', 'unauthorized', 'thirdparty')",7.0,"('make', 'private', 'story')",23
"('unauthorized', 'thirdparty', 'aps')",7.0,"('ever', 'since', 'update')",22
"('thirdparty', 'aps', 'since')",7.0,"('not', 'even', 'open')",22
"('aps', 'since', 'compromise')",7.0,"('doe', 'not', 'allow')",22
"('since', 'compromise', 'account')",7.0,"('not', 'working', 'properly')",22
"('compromise', 'account', 'security')",7.0,"('update', 'not', 'even')",22
"('account', 'security', 'may')",7.0,"('new', 'update', 'say')",21
"('security', 'may', 'continue')",7.0,"('private', 'story', 'not')",21
"('may', 'continue', 'experience')",7.0,"('this', 'application', 'doe')",21
"('continue', 'experience', 'difficulty')",7.0,"('fix', 'this', 'new')",21
"('experience', 'difficulty', 'logging')",7.0,"('not', 'work', 'not')",21
"('difficulty', 'logging', 'in')",7.0,"('new', 'update', 'really')",21
"('logging', 'in', 'time')",7.0,"('this', 'recent', 'update')",21
"('in', 'time', 'until')",7.0,"('new', 'update', 'keep')",20
"('time', 'until', 'issue')",7.0,"('not', 'even', 'get')",20
"('until', 'issue', 'resolve')",7.0,"('worst', 'application', 'ever')",20
"('issue', 'resolve', 'team')",7.0,"('snap', 'not', 'send')",20
"('resolve', 'team', 'snapchat')",7.0,"('not', 'let', 'update')",20
"('team', 'snapchat', 'unable')",7.0,"('update', 'not', 'see')",20
"('snapchat', 'unable', 'unlock')",7.0,"('gole', 'pixel', 'xl')",20
"('unable', 'unlock', 'account')",7.0,"('filter', 'not', 'work')",20
"('unlock', 'account', 'this')",7.0,"('not', 'even', 'let')",19
"('account', 'this', 'time')",7.0,"('log', 'back', 'in')",19
"('fix', 'this', 'problem')",7.0,"('not', 'save', 'picture')",19
"('not', 'even', 'snapchat')",7.0,"('in', 'new', 'update')",19
"('snapchat', 'need', 'fix')",7.0,"('suck', 'new', 'update')",19
"('never', 'fail', 'make')",6.0,"('new', 'update', 'this')",19
"('in', 'real', 'life')",6.0,"('recent', 'update', 'not')",19
"('need', 'fix', 'this')",6.0,"('opened', 'minute', 'ago')",19
"('make', 'premium', 'snapchat')",6.0,"('problem', 'new', 'update')",19
"('trouble', 'dm', 'username')",6.0,"('update', 'not', 'good')",18
"('having', 'bad', 'day')",5.0,"('not', 'even', 'see')",18
"('need', 'look', 'into')",5.0,"('new', 'update', 'made')",18
"('yal', 'need', 'fix')",5.0,"('not', 'get', 'notification')",18
"('hey', 'prohibit', 'use')",5.0,"('new', 'update', 'please')",18
"('fix', 'this', 'issue')",5.0,"('ever', 'since', 'new')",17
"('snapchat', 'going', 'fix')",5.0,"('new', 'update', 'android')",17
"('via', 'twitter', 'stuff')",5.0,"('fix', 'soon', 'possible')",17
"('twitter', 'stuff', 'add')",5.0,"('photo', 'camera', 'roll')",17
"('stuff', 'add', 'snapchat')",5.0,"('not', 'let', 'save')",17
"('add', 'snapchat', 'instagram')",5.0,"('latest', 'update', 'not')",17
"('snapchat', 'instagram', 'akshay')",5.0,"('this', 'latest', 'update')",17
"('year', 'ago', 'today')",5.0,"('since', 'update', 'not')",17
"('fix', 'front', 'camera')",5.0,"('not', 'even', 'use')",16
"('submitting', 'ticket', 'give')",5.0,"('story', 'new', 'update')",16
"('ticket', 'give', 'info')",5.0,"('not', 'select', 'multiple')",16
"('give', 'info', 'case')",5.0,"('since', 'latest', 'update')",16
"('info', 'case', 'help')",5.0,"('back', 'old', 'one')",16
"('case', 'help', 'investigate')",5.0,"('please', 'fix', 'soon')",15
"('team', 'not', 'always')",5.0,"('not', 'even', 'send')",15
"('not', 'always', 'able')",5.0,"('let', 'log', 'in')",15
"('always', 'able', 'respond')",5.0,"('please', 'fix', 'not')",15
"('able', 'respond', 'every')",5.0,"('update', 'not', 'get')",15
"('respond', 'every', 'email')",5.0,"('not', 'let', 'open')",15
"('every', 'email', 'use')",5.0,"('got', 'new', 'phone')",15
"('email', 'use', 'information')",5.0,"('like', 'this', 'application')",15
"('use', 'information', 'provide')",5.0,"('new', 'update', 'back')",14
"('information', 'provide', 'help')",5.0,"('camera', 'zoomed', 'in')",14
"('provide', 'help', 'investigate')",5.0,"('snap', 'new', 'update')",14
"('investigate', 'issue', 'work')",5.0,"('update', 'horrible', 'not')",14
"('issue', 'work', 'fix')",5.0,"('update', 'not', 'work')",14
"('front', 'camera', 'iphone')",5.0,"('fix', 'this', 'not')",14
"('happy', 'valentine', 'day')",5.0,"('camera', 'doe', 'not')",14
"('log', 'in', 'select')",5.0,"('this', 'application', 'suck')",14
"('in', 'select', 'yes')",5.0,"('update', 'suck', 'new')",14
"('select', 'yes', 'submit')",5.0,"('please', 'fix', 'update')",14
"('way', 'fix', 'this')",5.0,"('every', 'single', 'time')",14
"('get', 'in', 'trouble')",5.0,"('not', 'able', 'use')",14
,,"('since', 'recent', 'update')",14
,,"('snap', 'please', 'fix')",14
,,"('please', 'fix', 'application')",14
,,"('not', 'let', 'send')",13
,,"('annoying', 'please', 'fix')",13
,,"('update', 'not', 'send')",13
,,"('not', 'work', 'well')",13
,,"('not', 'log', 'in')",13
,,"('update', 'not', 'able')",13
,,"('not', 'record', 'video')",13
,,"('message', 'say', 'opened')",13
,,"('camera', 'roll', 'not')",13
,,"('snapshot', 'please', 'fix')",13
,,"('snapshot', 'not', 'working')",13
,,"('this', 'application', 'because')",13
,,"('application', 'not', 'working')",13
,,"('not', 'even', 'take')",13
,,"('phone', 'please', 'fix')",13
,,"('get', 'new', 'update')",13
,,"('not', 'work', 'properly')",13
,,"('back', 'old', 'snapshot')",13
,,"('keep', 'crashing', 'not')",13
,,"('change', 'new', 'update')",12
,,"('back', 'new', 'update')",12
,,"('application', 'not', 'even')",12
,,"('please', 'go', 'back')",12
,,"('download', 'this', 'application')",12
,,"('snap', 'not', 'load')",12
,,"('not', 'save', 'photo')",12
,,"('update', 'not', 'save')",12
,,"('update', 'not', 'like')",12
,,"('update', 'took', 'away')",12
,,"('not', 'able', 'send')",12
,,"('old', 'version', 'back')",12
,,"('please', 'bring', 'back')",12
,,"('fix', 'this', 'please')",12
,,"('bring', 'back', 'old')",12
,,"('new', 'update', 'worst')",12
,,"('send', 'message', 'message')",12
,,"('using', 'this', 'application')",12
,,"('not', 'see', 'friend')",12
,,"('doe', 'not', 'load')",12
,,"('this', 'update', 'not')",12
,,"('this', 'application', 'still')",12
,,"('back', 'old', 'version')",12
,,"('save', 'whole', 'story')",12
,,"('application', 'not', 'open')",12
,,"('social', 'medium', 'application')",12
,,"('front', 'facing', 'camera')",12
,,"('please', 'fix', 'bug')",12
,,"('application', 'keep', 'saying')",11
,,"('new', 'update', 'longer')",11
,,"('worst', 'update', 'ever')",11
,,"('memory', 'camera', 'roll')",11
,,"('message', 'new', 'update')",11
,,"('fix', 'this', 'update')",11
,,"('not', 'like', 'update')",11
,,"('because', 'new', 'update')",11
,,"('updated', 'application', 'not')",11
,,"('picture', 'in', 'eye')",11
,,"('update', 'terrible', 'not')",11
,,"('video', 'camera', 'roll')",11
,,"('work', 'new', 'update')",11
,,"('this', 'application', 'update')",11
,,"('crash', 'every', 'time')",11
,,"('update', 'get', 'worse')",11
,,"('not', 'send', 'message')",11
,,"('not', 'send', 'video')",11
,,"('time', 'open', 'application')",11
,,"('not', 'make', 'private')",11
,,"('even', 'open', 'application')",11
,,"('update', 'not', 'find')",11
,,"('please', 'fix', 'problem')",11
,,"('memory', 'not', 'load')",11
,,"('new', 'update', 'ruined')",10
,,"('new', 'update', 'confusing')",10
,,"('soon', 'possible', 'not')",10
,,"('new', 'update', 'snap')",10
,,"('work', 'please', 'fix')",10
,,"('application', 'gole', 'pixel')",10
,,"('not', 'able', 'see')",10
,,"('opened', 'min', 'ago')",10
,,"('new', 'update', 'completely')",10
,,"('not', 'new', 'update')",10
,,"('new', 'update', 'take')",10
,,"('new', 'update', 'absolutely')",10
,,"('not', 'let', 'use')",10
,,"('save', 'camera', 'roll')",10
,,"('open', 'new', 'update')",10
,,"('phone', 'new', 'update')",10
,,"('still', 'doe', 'not')",10
,,"('new', 'update', 'slow')",10
,,"('application', 'keep', 'closing')",10
,,"('friend', 'private', 'story')",10
,,"('not', 'get', 'new')",10
,,"('in', 'chat', 'not')",10
,,"('use', 'new', 'update')",10
,,"('not', 'load', 'snap')",10
,,"('update', 'keep', 'crashing')",10
,,"('not', 'even', 'load')",10
,,"('new', 'update', 'awful')",10
,,"('would', 'not', 'let')",10
,,"('post', 'private', 'story')",10
,,"('fix', 'this', 'this')",10
,,"('say', 'opened', 'minute')",10
,,"('not', 'let', 'post')",10
,,"('update', 'this', 'new')",10
,,"('application', 'this', 'new')",10
,,"('save', 'entire', 'story')",10
,,"('time', 'new', 'update')",10
,,"('not', 'let', 'take')",10
,,"('in', 'this', 'application')",10
,,"('not', 'take', 'picture')",10
,,"('edit', 'private', 'story')",10
,,"('chat', 'new', 'update')",9
,,"('say', 'someone', 'opened')",9
,,"('not', 'see', 'typing')",9
,,"('help', 'new', 'update')",9
,,"('not', 'work', 'android')",9
,,"('save', 'story', 'anymore')",9
,,"('hate', 'this', 'new')",9
,,"('this', 'application', 'get')",9
,,"('not', 'let', 'download')",9
,,"('doe', 'not', 'save')",9
,,"('not', 'let', 'get')",9
,,"('doe', 'not', 'want')",9
,,"('not', 'like', 'this')",9
,,"('new', 'update', 'application')",9
,,"('not', 'let', 'see')",9
,,"('slow', 'new', 'update')",9
,,"('update', 'ever', 'since')",9
,,"('latest', 'update', 'made')",9
,,"('please', 'fix', 'issue')",9
,,"('this', 'new', 'version')",9
,,"('update', 'not', 'working')",9
