quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('please', 'fix', 'crash', 'iphone')",2.0,"('not', 'send', 'receive', 'message')",22
"('this', 'issue', 'soon', 'possible')",2.0,"('please', 'fix', 'this', 'issue')",18
"('number', 'banned', 'using', 'whatsap')",2.0,"('please', 'solve', 'this', 'problem')",17
"('audio', 'quality', 'bad', 'distortion')",2.0,"('this', 'application', 'this', 'application')",15
"('quality', 'bad', 'distortion', 'heard')",2.0,"('this', 'application', 'not', 'working')",15
"('bad', 'distortion', 'heard', 'bottom')",2.0,"('please', 'fix', 'soon', 'possible')",15
"('distortion', 'heard', 'bottom', 'audio')",2.0,"('fix', 'this', 'soon', 'possible')",13
"('heard', 'bottom', 'audio', 'listen')",2.0,"('application', 'not', 'working', 'properly')",13
"('bottom', 'audio', 'listen', 'headphone')",2.0,"('please', 'fix', 'this', 'bug')",9
"('become', 'biggest', 'problem', 'facebok')",2.0,"('this', 'issue', 'soon', 'possible')",9
"('biggest', 'problem', 'facebok', 'clear')",2.0,"('please', 'fix', 'this', 'problem')",9
"('problem', 'facebok', 'clear', 'mark')",2.0,"('this', 'application', 'doe', 'not')",8
"('facebok', 'clear', 'mark', 'zuckerberg')",2.0,"('update', 'not', 'send', 'message')",8
"('clear', 'mark', 'zuckerberg', 'tech')",2.0,"('whatsit', 'not', 'working', 'not')",8
"('mark', 'zuckerberg', 'tech', 'news')",2.0,"('please', 'fix', 'this', 'not')",8
"('zuckerberg', 'tech', 'news', 'in')",2.0,"('message', 'please', 'fix', 'this')",7
"('tech', 'news', 'in', 'hindi')",2.0,"('please', 'solve', 'this', 'issue')",7
"('able', 'send', 'receive', 'msg')",2.0,"('not', 'receive', 'send', 'message')",7
"('this', 'wonderful', 'communicate', 'everyone')",2.0,"('not', 'working', 'not', 'send')",7
"('wonderful', 'communicate', 'everyone', 'everywhere')",2.0,"('send', 'message', 'please', 'fix')",7
"('communicate', 'everyone', 'everywhere', 'could')",2.0,"('please', 'look', 'into', 'this')",7
"('everyone', 'everywhere', 'could', 'tell')",2.0,"('not', 'send', 'message', 'not')",7
"('everywhere', 'could', 'tell', 'whatsap')",2.0,"('whatsit', 'not', 'working', 'properly')",7
"('could', 'tell', 'whatsap', 'blocked')",2.0,"('doe', 'not', 'work', 'not')",6
"('tell', 'whatsap', 'blocked', 'impossible')",2.0,"('not', 'able', 'send', 'receive')",6
"('whatsap', 'blocked', 'impossible', 'reach')",2.0,"('not', 'able', 'see', 'status')",6
"('blocked', 'impossible', 'reach', 'someone')",2.0,"('fix', 'this', 'issue', 'soon')",6
"('impossible', 'reach', 'someone', 'assistance')",2.0,"('application', 'doe', 'not', 'work')",6
"('reach', 'someone', 'assistance', 'problem')",2.0,"('not', 'working', 'not', 'working')",6
"('someone', 'assistance', 'problem', 'not')",2.0,"('whatsit', 'not', 'send', 'message')",6
"('assistance', 'problem', 'not', 'written')",2.0,"('this', 'update', 'not', 'good')",6
"('problem', 'not', 'written', 'in')",2.0,"('please', 'fix', 'this', 'application')",6
"('not', 'written', 'in', 'assistance')",2.0,"('doe', 'not', 'work', 'properly')",5
"('this', 'problem', 'soon', 'possible')",2.0,"('not', 'work', 'not', 'send')",5
,,"('not', 'see', 'friend', 'status')",5
,,"('doe', 'not', 'send', 'message')",5
,,"('update', 'whatsit', 'not', 'working')",5
,,"('not', 'working', 'whatsit', 'not')",5
,,"('not', 'send', 'message', 'please')",5
,,"('whatsit', 'not', 'send', 'receive')",5
,,"('whatsit', 'not', 'working', 'whatsit')",5
,,"('fix', 'this', 'problem', 'please')",5
,,"('video', 'call', 'not', 'clear')",5
,,"('kindly', 'fix', 'this', 'issue')",5
,,"('not', 'able', 'send', 'message')",5
,,"('update', 'please', 'fix', 'this')",5
,,"('this', 'application', 'please', 'fix')",5
