trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('please', 'help', 'in')",3.0,"('please', 'fix', 'this')",46
"('two', 'step', 'verification')",3.0,"('not', 'working', 'properly')",24
"('please', 'fix', 'this')",3.0,"('this', 'new', 'update')",20
"('hi', 'send', 'message')",3.0,"('not', 'send', 'message')",19
"('send', 'message', 'five')",3.0,"('doe', 'not', 'show')",16
"('message', 'five', 'contact')",3.0,"('video', 'call', 'not')",16
"('five', 'contact', 'number')",3.0,"('this', 'application', 'not')",14
"('contact', 'number', 'think')",3.0,"('since', 'last', 'update')",14
"('number', 'think', 'this')",3.0,"('fix', 'this', 'problem')",13
"('think', 'this', 'strong')",3.0,"('not', 'able', 'see')",13
"('this', 'strong', 'disadvantage')",3.0,"('new', 'update', 'not')",12
"('strong', 'disadvantage', 'in')",3.0,"('doe', 'not', 'work')",12
"('disadvantage', 'in', 'addition')",3.0,"('fix', 'this', 'issue')",11
"('in', 'addition', 'suffering')",3.0,"('update', 'please', 'fix')",10
"('addition', 'suffering', 'this')",3.0,"('not', 'able', 'send')",9
"('suffering', 'this', 'issue')",3.0,"('update', 'new', 'update')",9
"('this', 'issue', 'please')",3.0,"('application', 'doe', 'not')",8
"('issue', 'please', 'try')",3.0,"('this', 'last', 'update')",8
"('please', 'try', 'make')",3.0,"('whatsit', 'not', 'working')",8
,,"('contact', 'profile', 'picture')",8
,,"('profile', 'picture', 'contact')",8
,,"('please', 'solve', 'this')",8
,,"('solve', 'this', 'problem')",8
,,"('last', 'update', 'not')",8
,,"('latest', 'update', 'not')",7
,,"('update', 'not', 'send')",7
,,"('fix', 'this', 'bug')",7
,,"('message', 'not', 'send')",7
,,"('update', 'not', 'good')",7
,,"('update', 'this', 'application')",7
,,"('update', 'doe', 'not')",7
,,"('not', 'see', 'status')",7
,,"('status', 'video', 'not')",7
,,"('update', 'not', 'working')",6
,,"('whatsit', 'doe', 'not')",6
,,"('video', 'not', 'playing')",6
,,"('fix', 'this', 'soon')",6
,,"('update', 'contact', 'profile')",6
,,"('contact', 'profile', 'pic')",6
,,"('application', 'not', 'working')",6
,,"('update', 'not', 'able')",6
,,"('people', 'in', 'contact')",6
,,"('not', 'forward', 'message')",6
,,"('not', 'like', 'new')",6
,,"('fix', 'soon', 'possible')",6
,,"('picture', 'not', 'showing')",6
,,"('make', 'video', 'call')",6
,,"('not', 'profile', 'photo')",5
,,"('whatsit', 'call', 'not')",5
,,"('doe', 'not', 'send')",5
,,"('call', 'not', 'good')",5
,,"('please', 'fix', 'status')",5
,,"('video', 'status', 'not')",5
,,"('this', 'soon', 'possible')",5
,,"('whatsit', 'please', 'fix')",5
,,"('not', 'send', 'receive')",5
,,"('video', 'voice', 'call')",5
,,"('see', 'profile', 'picture')",5
,,"('contact', 'picture', 'not')",5
,,"('voice', 'message', 'not')",5
,,"('in', 'latest', 'version')",5
,,"('download', 'unable', 'complete')",5
,,"('this', 'new', 'bug')",5
,,"('in', 'this', 'application')",5
,,"('issue', 'soon', 'possible')",5
,,"('not', 'able', 'download')",5
,,"('update', 'profile', 'picture')",5
,,"('application', 'new', 'update')",5
,,"('contact', 'did', 'not')",5
,,"('call', 'quality', 'not')",5
,,"('quality', 'not', 'good')",5
,,"('video', 'call', 'quality')",5
,,"('in', 'video', 'call')",5
,,"('new', 'update', 'new')",5
,,"('profile', 'picture', 'not')",5
,,"('call', 'video', 'call')",5
,,"('latest', 'update', 'this')",5
