index,Unnamed: 0,id,appTitle,userName,date,score,text,original_text,Bug_report,comment,margins
58711,59491,459431,Microsoft Outlook,A Google User,"March 31, 2019",4,the application is great the new icon is rubbish ugly a hell,the app is great. the new icon is rubbish! ugly as hell,0,"['application', 'be', 'great', 'new', 'icon', 'be', 'rubbish', 'ugly', 'hell']",1.17995274849236E-05
105070,106440,337858,Facebook,Iraad Jiirow,"April 21, 2019",3,ma wanagsana aps way markasta update bu donata,Ma wanaagsana Apps waayo. markasta update buu doonayaa,0,"['wanagsana', 'aps', 'way', 'markasta', 'update', 'donata']",4.95925872293634E-05
223942,226768,207345,Snapchat,Shao Ping,"May 13, 2019",5,can not login like literally can not login my phone is not rooted my account is not locked or hacked i have been trying my account for month now and i still can not login,"Can't login like literally can't login, my phone isn't rooted, my account 
isn't locked or hacked, I've been trying it for months now and I still 
can't login",1,"['not', 'login', 'literally', 'not', 'login', 'phone', 'be', 'not', 'root', 'account', 'be', 'not', 'lock', 'hack', 'have', 'be', 'try', 'account', 'month', 'still', 'not', 'login']",5.00058840348649E-05
150771,152607,90330,Snapchat,corey sanchez,"April 16, 2019",4,tap and hold not working phone is kind of newer,Tap and hold not working. Phone is kinda newer,1,"['tap', 'hold', 'not', 'work', 'phone', 'be', 'kind', 'new']",5.82028945334545E-05
106854,108253,342281,Facebook,Elizabeth Pentecost,"April 21, 2019",3,enjoy it from time to time,enjoy it from time to time,0,"['enjoy', 'time', 'time']",0.000114966316954
251845,254957,616,WhatsApp Messenger,,"February 13, 2019",4,vedic calling is not to proper,Vedio calling is not to proper,1,"['vedic_calling', 'be', 'not', 'proper']",0.000117398382509
150957,152794,90570,Snapchat,Yazmin Judal,"April 14, 2019",4,the view of my story has froze and the view of my story will not show the number of view,the views of my story has froze and it won't show the number of views,1,"['view', 'story', 'freeze', 'view', 'story', 'not', 'show', 'number', 'view']",0.00011998518918
175386,177706,127593,Amazon Shopping,Bizz 2Go,"May 8, 2019",3,we want soul uae back it is visuals was much better then plain ordinary amazona,"We want SOUQ UAE back, it's visuals was much better then plain ordinary Amazon.ae",1,"['want', 'soul', 'uae', 'back', 'be', 'visual', 'much', 'better', 'plain', 'ordinary', 'amazona']",0.000122477218029
59588,60381,460532,Microsoft Outlook,Dave Copeland,"March 26, 2019",3,it would be good to have option built for making an email high importance or requesting read receipt from someone who is on the go constantly but still need to get out high priority message to folk having option on a mobile application are important a stopping what i am doing to pull out my laptop to get the full version is highly inconvenient,"It would be good to have options built for making an email high importance or requesting ""read receipts"". From someone who is on the go constantly but still needs to get out high priority messages to folks, having options on a mobile app are important as stopping what I am doing to pull out my laptop to get the full version is highly inconvenient.",1,"['would', 'good', 'have', 'option', 'build', 'make', 'email', 'high', 'importance', 'request', 'read_receipt', 'someone', 'be', 'go', 'constantly', 'still', 'need', 'get', 'high_priority', 'message', 'folk', 'have', 'option', 'mobile', 'application', 'important', 'stopping', 'do', 'pull', 'laptop', 'get', 'full', 'version', 'be', 'highly', 'inconvenient']",0.00014725506362
247524,250573,513764,Snapchat,Desmond Syph,"February 27, 2019",3,its just alright allows people in relationship a secret way to cheat,Its just aight allows people in relationships a secret way to cheat,0,"['allow', 'people', 'relationship', 'secret', 'way', 'cheat']",0.000166705282484
