trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('still', 'having', 'trouble', 'please')",22.0,"('new', 'update', 'new', 'update')",48
"('having', 'trouble', 'please', 'reach')",22.0,"('not', 'like', 'new', 'update')",39
"('take', 'hour', 'reactivated', 'try')",18.0,"('this', 'application', 'this', 'application')",39
"('hour', 'reactivated', 'try', 'waiting')",18.0,"('new', 'update', 'doe', 'not')",28
"('reactivated', 'try', 'waiting', 'day')",18.0,"('new', 'update', 'not', 'let')",25
"('try', 'waiting', 'day', 'trying')",18.0,"('this', 'new', 'update', 'not')",25
"('waiting', 'day', 'trying', 'still')",18.0,"('fix', 'this', 'soon', 'possible')",23
"('day', 'trying', 'still', 'having')",18.0,"('please', 'fix', 'new', 'update')",22
"('trying', 'still', 'having', 'trouble')",18.0,"('new', 'update', 'suck', 'not')",22
"('having', 'trouble', 'adding', 'friend')",16.0,"('please', 'fix', 'this', 'issue')",18
"('reach', 'select', 'account', 'login')",16.0,"('fix', 'this', 'new', 'update')",18
"('trouble', 'adding', 'friend', 'make')",15.0,"('this', 'new', 'update', 'suck')",18
"('adding', 'friend', 'make', 'sure')",15.0,"('please', 'fix', 'this', 'soon')",18
"('friend', 'make', 'sure', 'strong')",15.0,"('ever', 'since', 'new', 'update')",15
"('make', 'sure', 'strong', 'network')",15.0,"('please', 'fix', 'this', 'new')",15
"('please', 'note', 'snapchat', 'account')",15.0,"('new', 'update', 'not', 'even')",14
"('note', 'snapchat', 'account', 'limited')",15.0,"('hate', 'new', 'update', 'not')",13
"('snapchat', 'account', 'limited', 'having')",15.0,"('new', 'update', 'suck', 'new')",13
"('account', 'limited', 'having', 'friend')",15.0,"('update', 'suck', 'new', 'update')",13
"('limited', 'having', 'friend', 'time')",15.0,"('since', 'new', 'update', 'not')",13
"('having', 'friend', 'time', 'however')",15.0,"('this', 'application', 'doe', 'not')",12
"('friend', 'time', 'however', 'limit')",15.0,"('not', 'let', 'log', 'in')",12
"('time', 'however', 'limit', 'many')",15.0,"('doe', 'not', 'work', 'well')",12
"('however', 'limit', 'many', 'people')",15.0,"('please', 'fix', 'this', 'not')",12
"('limit', 'many', 'people', 'add')",15.0,"('update', 'doe', 'not', 'allow')",12
"('account', 'sometimes', 'take', 'hour')",15.0,"('update', 'new', 'update', 'not')",12
"('sometimes', 'take', 'hour', 'reactivated')",15.0,"('application', 'doe', 'not', 'work')",12
"('sure', 'strong', 'network', 'entering')",14.0,"('please', 'fix', 'this', 'application')",12
"('strong', 'network', 'entering', 'username')",14.0,"('please', 'fix', 'this', 'problem')",11
"('network', 'entering', 'username', 'correctly')",14.0,"('not', 'make', 'private', 'story')",11
"('entering', 'username', 'correctly', 'please')",14.0,"('picture', 'camera', 'roll', 'eye')",10
"('username', 'correctly', 'please', 'note')",14.0,"('say', 'opened', 'minute', 'ago')",10
"('correctly', 'please', 'note', 'snapchat')",14.0,"('new', 'update', 'this', 'new')",10
"('many', 'people', 'add', 'hope')",14.0,"('update', 'this', 'new', 'update')",10
"('people', 'add', 'hope', 'this')",14.0,"('application', 'this', 'new', 'update')",10
"('add', 'hope', 'this', 'help')",14.0,"('please', 'fix', 'soon', 'possible')",10
"('select', 'account', 'login', 'see')",14.0,"('this', 'new', 'update', 'horrible')",9
"('account', 'login', 'see', 'error')",14.0,"('latest', 'update', 'doe', 'not')",9
"('login', 'see', 'error', 'message')",14.0,"('update', 'please', 'fix', 'this')",9
"('deactivating', 'account', 'sometimes', 'take')",13.0,"('every', 'time', 'open', 'application')",9
"('please', 'reach', 'select', 'account')",13.0,"('work', 'please', 'fix', 'this')",8
"('see', 'error', 'message', 'log')",13.0,"('new', 'update', 'horrible', 'not')",8
"('error', 'message', 'log', 'in')",13.0,"('this', 'application', 'not', 'let')",8
"('snapchat', 'memory', 'never', 'fail')",13.0,"('save', 'picture', 'camera', 'roll')",8
"('hey', 'sorry', 'hear', 'trouble')",9.0,"('like', 'this', 'new', 'update')",8
"('sorry', 'hear', 'trouble', 'dm')",8.0,"('snapshot', 'please', 'fix', 'this')",8
"('trouble', 'please', 'reach', 'select')",7.0,"('please', 'fix', 'this', 'this')",8
"('prohibit', 'use', 'unauthorized', 'thirdparty')",7.0,"('new', 'update', 'say', 'opened')",8
"('use', 'unauthorized', 'thirdparty', 'aps')",7.0,"('soon', 'possible', 'new', 'update')",8
"('unauthorized', 'thirdparty', 'aps', 'since')",7.0,"('new', 'update', 'terrible', 'not')",8
"('thirdparty', 'aps', 'since', 'compromise')",7.0,"('suck', 'new', 'update', 'suck')",8
"('aps', 'since', 'compromise', 'account')",7.0,"('this', 'new', 'update', 'this')",8
"('since', 'compromise', 'account', 'security')",7.0,"('this', 'new', 'update', 'doe')",8
"('compromise', 'account', 'security', 'may')",7.0,"('not', 'even', 'open', 'application')",8
"('account', 'security', 'may', 'continue')",7.0,"('snap', 'please', 'fix', 'this')",8
"('security', 'may', 'continue', 'experience')",7.0,"('new', 'update', 'not', 'find')",8
"('may', 'continue', 'experience', 'difficulty')",7.0,"('new', 'update', 'not', 'good')",7
"('continue', 'experience', 'difficulty', 'logging')",7.0,"('doe', 'not', 'work', 'android')",7
"('experience', 'difficulty', 'logging', 'in')",7.0,"('hate', 'this', 'new', 'update')",7
"('difficulty', 'logging', 'in', 'time')",7.0,"('update', 'suck', 'not', 'save')",7
"('logging', 'in', 'time', 'until')",7.0,"('hate', 'new', 'update', 'new')",7
"('in', 'time', 'until', 'issue')",7.0,"('please', 'fix', 'this', 'update')",7
"('time', 'until', 'issue', 'resolve')",7.0,"('this', 'new', 'update', 'terrible')",7
"('until', 'issue', 'resolve', 'team')",7.0,"('see', 'friend', 'private', 'story')",7
"('issue', 'resolve', 'team', 'snapchat')",7.0,"('not', 'select', 'multiple', 'picture')",7
"('resolve', 'team', 'snapchat', 'unable')",7.0,"('used', 'love', 'this', 'application')",7
"('team', 'snapchat', 'unable', 'unlock')",7.0,"('not', 'able', 'send', 'snap')",7
"('snapchat', 'unable', 'unlock', 'account')",7.0,"('love', 'snapshot', 'new', 'update')",7
"('unable', 'unlock', 'account', 'this')",7.0,"('still', 'doe', 'not', 'work')",7
"('unlock', 'account', 'this', 'time')",7.0,"('new', 'update', 'not', 'send')",7
"('hey', 'having', 'trouble', 'adding')",6.0,"('this', 'update', 'this', 'update')",7
"('memory', 'never', 'fail', 'remind')",6.0,"('ever', 'since', 'update', 'not')",7
"('hear', 'trouble', 'dm', 'username')",6.0,"('update', 'doe', 'not', 'let')",7
"('hey', 'prohibit', 'use', 'unauthorized')",5.0,"('phone', 'please', 'fix', 'this')",7
"('via', 'twitter', 'stuff', 'add')",5.0,"('love', 'this', 'application', 'this')",7
"('twitter', 'stuff', 'add', 'snapchat')",5.0,"('go', 'back', 'old', 'version')",7
"('stuff', 'add', 'snapchat', 'instagram')",5.0,"('change', 'new', 'update', 'back')",6
"('add', 'snapchat', 'instagram', 'akshay')",5.0,"('please', 'fix', 'this', 'bug')",6
"('submitting', 'ticket', 'give', 'info')",5.0,"('update', 'not', 'send', 'snap')",6
"('ticket', 'give', 'info', 'case')",5.0,"('new', 'update', 'not', 'save')",6
"('give', 'info', 'case', 'help')",5.0,"('this', 'new', 'update', 'trash')",6
"('info', 'case', 'help', 'investigate')",5.0,"('new', 'update', 'not', 'work')",6
"('case', 'help', 'investigate', 'issue')",5.0,"('suck', 'this', 'new', 'update')",6
"('team', 'not', 'always', 'able')",5.0,"('new', 'update', 'not', 'get')",6
"('not', 'always', 'able', 'respond')",5.0,"('send', 'message', 'message', 'say')",6
"('always', 'able', 'respond', 'every')",5.0,"('camera', 'roll', 'private', 'story')",6
"('able', 'respond', 'every', 'email')",5.0,"('minute', 'ago', 'even', 'though')",6
"('respond', 'every', 'email', 'use')",5.0,"('not', 'even', 'take', 'picture')",6
"('every', 'email', 'use', 'information')",5.0,"('not', 'get', 'new', 'update')",6
"('email', 'use', 'information', 'provide')",5.0,"('newest', 'update', 'newest', 'update')",6
"('use', 'information', 'provide', 'help')",5.0,"('not', 'save', 'picture', 'camera')",6
"('information', 'provide', 'help', 'investigate')",5.0,"('new', 'update', 'please', 'fix')",6
"('provide', 'help', 'investigate', 'issue')",5.0,"('not', 'select', 'multiple', 'snap')",6
"('help', 'investigate', 'issue', 'work')",5.0,"('update', 'not', 'get', 'notification')",6
"('investigate', 'issue', 'work', 'fix')",5.0,"('not', 'know', 'new', 'update')",6
"('message', 'log', 'in', 'select')",5.0,"('application', 'gole', 'pixel', 'xl')",6
"('log', 'in', 'select', 'yes')",5.0,"('bring', 'back', 'old', 'snapshot')",6
"('in', 'select', 'yes', 'submit')",5.0,"('not', 'let', 'log', 'back')",6
,,"('update', 'not', 'like', 'new')",6
,,"('since', 'last', 'update', 'not')",6
,,"('doe', 'not', 'give', 'option')",6
,,"('update', 'doe', 'not', 'work')",6
,,"('snapshot', 'doe', 'not', 'work')",6
,,"('let', 'log', 'back', 'in')",5
,,"('like', 'new', 'update', 'not')",5
,,"('front', 'camera', 'zoomed', 'in')",5
,,"('please', 'help', 'new', 'update')",5
,,"('snapshot', 'this', 'new', 'update')",5
,,"('not', 'save', 'story', 'anymore')",5
,,"('application', 'please', 'fix', 'this')",5
,,"('application', 'doe', 'not', 'let')",5
,,"('this', 'application', 'please', 'fix')",5
,,"('doe', 'not', 'let', 'use')",5
,,"('ever', 'since', 'latest', 'update')",5
,,"('new', 'update', 'not', 'like')",5
,,"('new', 'update', 'not', 'able')",5
,,"('new', 'update', 'keep', 'crashing')",5
,,"('get', 'worse', 'every', 'update')",5
,,"('update', 'doe', 'not', 'show')",5
,,"('private', 'story', 'private', 'story')",5
,,"('photo', 'camera', 'roll', 'eye')",5
,,"('camera', 'roll', 'eye', 'please')",5
